ID;ClimateSectors;EmissionToAir;Periods;GreenhouseGasEmissions_1
0;Total climate sectors;Total greenhouse gases;1990;227.5
1;Total climate sectors;Total greenhouse gases;1991 ;235.5
2;Total climate sectors;Total greenhouse gases;1992;235.8
3;Total climate sectors;Total greenhouse gases;1993 ;236.1
4;Total climate sectors;Total greenhouse gases;1994 ;236.7
5;Total climate sectors;Total greenhouse gases;1995;236.5
6;Total climate sectors;Total greenhouse gases;1996 ;246.7
7;Total climate sectors;Total greenhouse gases;1997 ;238.1
8;Total climate sectors;Total greenhouse gases;1998 ;238.7
9;Total climate sectors;Total greenhouse gases;1999 ;226.0
10;Total climate sectors;Total greenhouse gases;2000;224.6
11;Total climate sectors;Total greenhouse gases;2001;226.1
12;Total climate sectors;Total greenhouse gases;2002;224.0
13;Total climate sectors;Total greenhouse gases;2003;224.0
14;Total climate sectors;Total greenhouse gases;2004;225.7
15;Total climate sectors;Total greenhouse gases;2005;219.8
16;Total climate sectors;Total greenhouse gases;2006;214.5
17;Total climate sectors;Total greenhouse gases;2007;213.4
18;Total climate sectors;Total greenhouse gases;2008;213.6
19;Total climate sectors;Total greenhouse gases;2009;207.7
20;Total climate sectors;Total greenhouse gases;2010;219.3
21;Total climate sectors;Total greenhouse gases;2011;205.3
22;Total climate sectors;Total greenhouse gases;2012;200.9
23;Total climate sectors;Total greenhouse gases;2013;199.9
24;Total climate sectors;Total greenhouse gases;2014;192.6
25;Total climate sectors;Total greenhouse gases;2015;199.9
26;Total climate sectors;Total greenhouse gases;2016;200.2
27;Total climate sectors;Total greenhouse gases;2017;196.7
28;Total climate sectors;Total greenhouse gases;2018;191.4
29;Total climate sectors;Total greenhouse gases;2019;185.2
30;Total climate sectors;Total greenhouse gases;2020;168.3
31;Total climate sectors;Total greenhouse gases;2021;170.6
32;Total climate sectors;Total greenhouse gases;2022;157.0
33;Total climate sectors;Total greenhouse gases;2023;146.4
34;Total climate sectors;Total greenhouse gases;2024;144.2
35;Total climate sectors;Carbon dioxide (CO2);1990;167.7
36;Total climate sectors;Carbon dioxide (CO2);1991 ;176.1
37;Total climate sectors;Carbon dioxide (CO2);1992;175.8
38;Total climate sectors;Carbon dioxide (CO2);1993 ;175.7
39;Total climate sectors;Carbon dioxide (CO2);1994 ;176.4
40;Total climate sectors;Carbon dioxide (CO2);1995;177.7
41;Total climate sectors;Carbon dioxide (CO2);1996 ;186.6
42;Total climate sectors;Carbon dioxide (CO2);1997 ;179.3
43;Total climate sectors;Carbon dioxide (CO2);1998 ;180.7
44;Total climate sectors;Carbon dioxide (CO2);1999 ;175.1
45;Total climate sectors;Carbon dioxide (CO2);2000;176.5
46;Total climate sectors;Carbon dioxide (CO2);2001;181.9
47;Total climate sectors;Carbon dioxide (CO2);2002;181.4
48;Total climate sectors;Carbon dioxide (CO2);2003;184.2
49;Total climate sectors;Carbon dioxide (CO2);2004;186.2
50;Total climate sectors;Carbon dioxide (CO2);2005;182.2
51;Total climate sectors;Carbon dioxide (CO2);2006;177.2
52;Total climate sectors;Carbon dioxide (CO2);2007;177.3
53;Total climate sectors;Carbon dioxide (CO2);2008;180.5
54;Total climate sectors;Carbon dioxide (CO2);2009;174.9
55;Total climate sectors;Carbon dioxide (CO2);2010;186.6
56;Total climate sectors;Carbon dioxide (CO2);2011;173.7
57;Total climate sectors;Carbon dioxide (CO2);2012;170.0
58;Total climate sectors;Carbon dioxide (CO2);2013;168.8
59;Total climate sectors;Carbon dioxide (CO2);2014;162.2
60;Total climate sectors;Carbon dioxide (CO2);2015;169.0
61;Total climate sectors;Carbon dioxide (CO2);2016;169.6
62;Total climate sectors;Carbon dioxide (CO2);2017;166.2
63;Total climate sectors;Carbon dioxide (CO2);2018;162.1
64;Total climate sectors;Carbon dioxide (CO2);2019;156.2
65;Total climate sectors;Carbon dioxide (CO2);2020;140.0
66;Total climate sectors;Carbon dioxide (CO2);2021;143.1
67;Total climate sectors;Carbon dioxide (CO2);2022;130.8
68;Total climate sectors;Carbon dioxide (CO2);2023;120.6
69;Total climate sectors;Carbon dioxide (CO2);2024;118.3
70;Total climate sectors;Dinitrogen oxide (N2O);1990;16.1
71;Total climate sectors;Dinitrogen oxide (N2O);1991 ;16.3
72;Total climate sectors;Dinitrogen oxide (N2O);1992;16.5
73;Total climate sectors;Dinitrogen oxide (N2O);1993 ;16.7
74;Total climate sectors;Dinitrogen oxide (N2O);1994 ;16.3
75;Total climate sectors;Dinitrogen oxide (N2O);1995;16.2
76;Total climate sectors;Dinitrogen oxide (N2O);1996 ;16.3
77;Total climate sectors;Dinitrogen oxide (N2O);1997 ;16.0
78;Total climate sectors;Dinitrogen oxide (N2O);1998 ;15.5
79;Total climate sectors;Dinitrogen oxide (N2O);1999 ;14.9
80;Total climate sectors;Dinitrogen oxide (N2O);2000;14.4
81;Total climate sectors;Dinitrogen oxide (N2O);2001;13.5
82;Total climate sectors;Dinitrogen oxide (N2O);2002;12.8
83;Total climate sectors;Dinitrogen oxide (N2O);2003;12.6
