ID;Jaren;Totaal_1;Mannen_2;Vrouwen_3;k_612Jaar_4;k_1317Jaar_5;k_1824Jaar_6;k_2534Jaar_7;k_3544Jaar_8;k_4554Jaar_9;k_5564Jaar_10;k_65EnOuder_11;TotaalSporters_12;Mannen_13;Vrouwen_14;k_612Jaar_15;k_1317Jaar_16;k_1824Jaar_17;k_2534Jaar_18;k_3544Jaar_19;k_4554Jaar_20;k_5564Jaar_21;k_65EnOuder_22;Atletiek_23;Badminton_24;Basketbal_25;Fitness_26;Golf_27;Gymnastiek_28;Handbal_29;Hockey_30;Korfbal_31;Paardrijden_32;Schaatsen_33;Tennis_34;Toerfietsen_35;Trimmen_36;Vechtsport_37;Voetbal_38;Volleybal_39;Zaalvoetbal_40;Zeilen_41;Zwemmen_42;Atletiek_43;Badminton_44;Basketbal_45;Fitness_46;Golf_47;Gymnastiek_48;Handbal_49;Hockey_50;Korfbal_51;Paardrijden_52;Schaatsen_53;Tennis_54;Toerfietsen_55;Trimmen_56;Vechtsport_57;Voetbal_58;Volleybal_59;Zaalvoetbal_60;Zeilen_61;Zwemmen_62;Totaal_63;Mannen_64;Vrouwen_65;k_612Jaar_66;k_1317Jaar_67;k_1824Jaar_68;k_2534Jaar_69;k_3544Jaar_70;k_4554Jaar_71;k_5564Jaar_72;k_65EnOuder_73;UrenOnbekend_74;k_125Uren_75;k_2650Uren_76;k_51100Uren_77;k_101150Uren_78;k_151200Uren_79;k_201300Uren_80;k_301400Uren_81;k_401UrenOfMeer_82
0;1991;64;66;63;88;87;80;77;69;55;44;27;57;58;56;76;80;62;55;53;47;36;26;1;6;1;9;1;7;1;2;1;3;13;10;14;10;2;9;5;3;7;32;57;36;36;61;38;58;73;80;81;43;5;65;5;8;79;67;49;49;10;10;2.6;2.7;2.4;2.7;3.5;3.0;2.7;2.4;2.1;1.9;1.6;15;11;13;17;12;8;10;5;8
1;1995;66;67;65;89;86;76;75;70;60;51;30;54;57;51;73;74;61;55;48;44;34;30;1;5;1;11;1;6;1;2;1;3;7;9;15;9;3;10;5;4;7;35;58;25;27;57;42;49;64;80;73;42;10;61;4;10;77;68;47;43;13;11;2.5;2.6;2.3;2.5;3.4;2.8;2.6;2.4;2.1;1.9;1.7;27;10;11;16;10;8;8;4;6
2;1999;63;64;63;89;84;78;72;66;58;52;31;49;51;47;76;68;56;46;45;40;34;27;1;5;2;12;2;6;1;1;1;3;5;9;15;8;2;9;4;4;5;31;56;25;28;50;34;53;61;62;73;38;12;56;3;9;70;63;44;32;12;11;2.6;2.7;2.4;3.0;3.8;2.9;2.6;2.4;2.1;2.1;1.7;30;10;11;14;10;7;8;4;6
