ID;RegioS;EconomischeActiviteiten;Perioden;ProductieBasisprijzen_1;IntermediairVerbruik_2;ToegevoegdeWaardeBrutoBasisprijzen_3;BeloningVanWerknemers_4;NietProductgebondenBelastingen_5;NietProductgebondenSubsidies_6;ExploitatieoverschotBruto_7;ArbeidsvolumeWerkzamePersonen_8;ArbeidsvolumeWerknemers_9
0;Nederland;Alle economische activiteiten;1995;573963.0;298277.0;275686.0;155837.0;3307.0;830.0;117372.0;;5000.6
1;Nederland;Alle economische activiteiten;1996;607125.0;320046.0;287079.0;161820.0;3425.0;1567.0;123401.0;;5105.7
2;Nederland;Alle economische activiteiten;1997;650820.0;344281.0;306539.0;171222.0;3439.0;2031.0;133909.0;;5269.7
3;Nederland;Alle economische activiteiten;1998;685191.0;361164.0;324027.0;184054.0;3608.0;2712.0;139077.0;;5457.3
4;Nederland;Alle economische activiteiten;1999;729542.0;385207.0;344335.0;197344.0;4018.0;3175.0;146148.0;;5627.8
5;Nederland;Alle economische activiteiten;2000;806161.0;432746.0;373415.0;211803.0;4321.0;3179.0;160470.0;;5749.9
6;Nederland;Alle economische activiteiten;2001;853164.0;455608.0;397556.0;227390.0;4788.0;3810.0;169188.0;6636.4;5858.4
7;Nederland;Alle economische activiteiten;2002;870427.0;456053.0;414374.0;238825.0;5004.0;3979.0;174524.0;6619.5;5850.4
8;Nederland;Alle economische activiteiten;2003;883492.0;458236.0;425256.0;245752.0;5050.0;3683.0;178137.0;6547.2;5776.3
9;Nederland;Alle economische activiteiten;2004;913856.0;476982.0;436874.0;251030.0;5261.0;4095.0;184678.0;6480.1;5699.4
10;Nederland;Alle economische activiteiten;2005;962007.0;505825.0;456182.0;254563.0;5599.0;3385.0;199405.0;6478.0;5682.5
11;Nederland;Alle economische activiteiten;2006;1021783.0;542771.0;479012.0;264925.0;5642.0;3502.0;211947.0;6582.8;5772.6
12;Nederland;Alle economische activiteiten;2007;1085522.0;577872.0;507650.0;280309.0;5948.0;4488.0;225881.0;6728.3;5905.3
13;Nederland;Alle economische activiteiten;2008;1151758.0;622439.0;529319.0;294701.0;6346.0;4567.0;232839.0;6810.6;5991.6
14;Nederland;Landbouw, bosbouw en visserij;1995;20714.0;11127.0;9587.0;1917.0;314.0;179.0;7535.0;;81.0
15;Nederland;Landbouw, bosbouw en visserij;1996;21106.0;11664.0;9442.0;1992.0;319.0;312.0;7443.0;;81.1
16;Nederland;Landbouw, bosbouw en visserij;1997;22370.0;11774.0;10596.0;2075.0;325.0;155.0;8351.0;;82.9
17;Nederland;Landbouw, bosbouw en visserij;1998;21382.0;11758.0;9624.0;2185.0;317.0;159.0;7281.0;;85.0
18;Nederland;Landbouw, bosbouw en visserij;1999;21246.0;12064.0;9182.0;2349.0;340.0;339.0;6832.0;;88.5
19;Nederland;Landbouw, bosbouw en visserij;2000;22560.0;12690.0;9870.0;2479.0;346.0;147.0;7192.0;;89.0
20;Nederland;Landbouw, bosbouw en visserij;2001;23456.0;13279.0;10177.0;2683.0;419.0;227.0;7302.0;231.8;92.5
21;Nederland;Landbouw, bosbouw en visserij;2002;23200.0;13567.0;9633.0;2910.0;420.0;182.0;6485.0;229.2;93.7
22;Nederland;Landbouw, bosbouw en visserij;2003;23242.0;13264.0;9978.0;2990.0;391.0;333.0;6930.0;224.6;91.3
23;Nederland;Landbouw, bosbouw en visserij;2004;23248.0;13849.0;9399.0;2986.0;407.0;345.0;6351.0;216.2;89.8
24;Nederland;Landbouw, bosbouw en visserij;2005;23723.0;14188.0;9535.0;2985.0;456.0;312.0;6406.0;214.7;89.8
