ID;Uitvoerstromen;Perioden;Uitvoerwaarde_1;ToegevoegdeWaardeDoorUitvoer_2;AandeelToegevoegdeWaardeInBbp_3;AandeelToegevoegdeWaardeInUitvoer_4;InvoerIntermediaireGoederenDiensten_5;InvoerVoorWederuitvoer_6;WerkgelegenheidTotaal_7;AandeelInNederlandseWerkgelegenheid_8
0;Uitvoer van goederen en diensten;2015;570.4;237.2;34.4;41.6;333.2;175.5;2185.9;31.2
1;Uitvoer van goederen en diensten;2016;563.4;234.4;33.1;41.6;328.9;177.2;2203.2;30.8
2;Uitvoer van goederen en diensten;2017;615.6;250.3;33.9;40.7;365.2;195.4;2303.4;31.5
3;Uitvoer van goederen en diensten;2018;655.4;261.2;33.7;39.8;394.3;205.9;2395.9;31.7
4;Uitvoer van goederen en diensten;2019;671.1;270.5;33.3;40.3;400.6;218.2;2438.3;31.6
5;Uitvoer van goederen en diensten;2020;623.4;252.3;31.7;40.5;371.1;205.5;2361.2;30.4
6;Uitvoer van goederen en diensten;2021;732.2;288.9;33.2;39.5;443.3;255.5;2398.4;30.7
7;Uitvoer van goederen en diensten;2022;898.7;336.6;35.1;37.5;562.0;322.1;2554.2;31.4
8;Totale uitvoer van goederen;2015;418.4;139.7;20.2;33.4;278.7;167.5;1227.2;17.5
9;Totale uitvoer van goederen;2016;420.9;141.4;20.0;33.6;279.5;170.8;1264.2;17.7
10;Totale uitvoer van goederen;2017;460.8;151.0;20.5;32.8;309.8;188.9;1314.8;18.0
11;Totale uitvoer van goederen;2018;484.9;155.8;20.1;32.1;329.1;200.3;1353.8;17.9
12;Totale uitvoer van goederen;2019;490.3;159.6;19.6;32.5;330.7;211.5;1368.5;17.7
13;Totale uitvoer van goederen;2020;459.2;152.1;19.1;33.1;307.1;201.2;1330.0;17.1
14;Totale uitvoer van goederen;2021;561.5;179.8;20.7;32.0;381.7;255.9;1381.2;17.7
15;Totale uitvoer van goederen;2022;694.9;206.4;21.5;29.7;488.5;325.3;1415.3;17.4
16;Uitvoer Nederlands product;2015;212.1;111.4;16.1;52.5;100.7;0.0;965.1;13.8
17;Uitvoer Nederlands product;2016;209.5;111.7;15.8;53.3;97.9;0.0;989.7;13.8
18;Uitvoer Nederlands product;2017;227.5;118.5;16.1;52.1;109.0;0.0;1018.3;13.9
19;Uitvoer Nederlands product;2018;239.3;122.7;15.9;51.3;116.6;0.0;1055.1;14.0
20;Uitvoer Nederlands product;2019;232.0;124.7;15.3;53.8;107.3;0.0;1067.5;13.8
21;Uitvoer Nederlands product;2020;216.0;120.8;15.2;55.9;95.2;0.0;1058.1;13.6
22;Uitvoer Nederlands product;2021;255.6;142.1;16.3;55.6;113.5;0.0;1086.9;13.9
23;Uitvoer Nederlands product;2022;313.9;165.3;17.2;52.7;148.5;0.0;1108.3;13.6
24;Wederuitvoer;2015;206.3;28.3;4.1;13.7;178.0;167.5;262.1;3.7
25;Wederuitvoer;2016;211.4;29.7;4.2;14.1;181.6;170.8;274.6;3.8
26;Wederuitvoer;2017;233.3;32.5;4.4;13.9;200.8;188.9;296.4;4.1
27;Wederuitvoer;2018;245.6;33.1;4.3;13.5;212.5;200.3;298.6;3.9
28;Wederuitvoer;2019;258.3;34.8;4.3;13.5;223.4;211.5;301.0;3.9
29;Wederuitvoer;2020;243.2;31.3;3.9;12.9;211.8;201.2;271.9;3.5
30;Wederuitvoer;2021;305.9;37.7;4.3;12.3;268.2;255.9;294.3;3.8
31;Wederuitvoer;2022;381.0;41.0;4.3;10.8;340.0;325.3;307.0;3.8
32;Uitvoer diensten (incl. reisverkeer);2015;152.0;97.5;14.1;64.1;54.5;8.0;958.7;13.7
33;Uitvoer diensten (incl. reisverkeer);2016;142.5;93.0;13.1;65.3;49.4;6.4;939.0;13.1
34;Uitvoer diensten (incl. reisverkeer);2017;154.8;99.3;13.5;64.2;55.5;6.6;988.6;13.5
35;Uitvoer diensten (incl. reisverkeer);2018;170.5;105.4;13.6;61.8;65.2;5.6;1042.1;13.8
36;Uitvoer diensten (incl. reisverkeer);2019;180.8;110.9;13.6;61.4;69.8;6.7;1069.8;13.8
37;Uitvoer diensten (incl. reisverkeer);2020;164.2;100.2;12.6;61.0;64.0;4.3;1031.1;13.3
38;Uitvoer diensten (incl. reisverkeer);2021;170.7;109.1;12.5;63.9;61.6;-0.4;1017.2;13.0
39;Uitvoer diensten (incl. reisverkeer);2022;203.8;130.3;13.6;63.9;73.5;-3.3;1138.9;14.0
