ID;EnergieAfnemers;Perioden;Aardgas_1;Elektriciteit_2
0;Totaal Nederland;1993;34659;69589
1;Totaal Nederland;1994;33398;71894
2;Totaal Nederland;1995;34442;74274
3;Totaal Nederland;1996;37659;77433
4;Totaal Nederland;1997;33785;80973
5;Totaal Nederland;1998;33123;84002
6;Totaal Nederland;1999;31731;86488
7;15-37  Totaal industrie;1993;13346;26958
8;15-37  Totaal industrie;1994;13468;28081
9;15-37  Totaal industrie;1995;13274;29820
10;15-37  Totaal industrie;1996;13224;30202
11;15-37  Totaal industrie;1997;13150;31570
12;15-37  Totaal industrie;1998;12881;32426
13;15-37  Totaal industrie;1999;12597;33675
14;Totaal transport;1993;0;1382
15;Totaal transport;1994;0;1446
16;Totaal transport;1995;0;1478
17;Totaal transport;1996;0;1565
18;Totaal transport;1997;0;1571
19;Totaal transport;1998;0;1630
20;Totaal transport;1999;0;1639
21;Totaal huishoudens;1993;11250;17900
22;Totaal huishoudens;1994;10700;18500
23;Totaal huishoudens;1995;11400;19700
24;Totaal huishoudens;1996;13350;20000
25;Totaal huishoudens;1997;11200;20400
26;Totaal huishoudens;1998;10650;20800
27;Totaal huishoudens;1999;10550;21350
28;Totaal overige energie afnemers;1993;10063;23350
29;Totaal overige energie afnemers;1994;9230;23867
30;Totaal overige energie afnemers;1995;9768;23276
31;Totaal overige energie afnemers;1996;11085;25666
32;Totaal overige energie afnemers;1997;9435;27432
33;Totaal overige energie afnemers;1998;9592;29146
34;Totaal overige energie afnemers;1999;8584;29824
35;0 Landbouw en visserij;1993;4628;2791
36;0 Landbouw en visserij;1994;4626;3172
37;0 Landbouw en visserij;1995;4377;2988
38;0 Landbouw en visserij;1996;4962;3141
39;0 Landbouw en visserij;1997;4316;3250
40;0 Landbouw en visserij;1998;4383;3311
41;0 Landbouw en visserij;1999;3931;3653
42;14 Winning van zand,grind,klei,zout etc.;1993;9;49
43;14 Winning van zand,grind,klei,zout etc.;1994;12;75
44;14 Winning van zand,grind,klei,zout etc.;1995;17;97
