ID;Perioden;TotaalPersonen_1;AlleenstaandePersonen_2;SamenwonendePersonen_3;ThuiswonendeKinderen_4;Eenouders_5;OverigePersonen_6;InInstitutieWonendePersonen_7;TotaalHuishoudens_8;Eenpersoonshuishouden_9;Paren_10;Eenouderhuishouden_11;OverigeHuishoudens_12;GemiddeldeHuishoudensgrootte_13;TotaalHuishoudens_14;Eenpersoonshuishouden_15;TotaalMeerpersoonshuishoudens_16;k_2Personen_17;k_3Personen_18;k_4Personen_19;k_5OfMeerPersonen_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;TotaalHuishoudensMetKinderen_30;k_0Tot3Jaar_31;k_3Tot6Jaar_32;k_6Tot12Jaar_33;k_12Tot18Jaar_34;k_18JaarOfOuder_35
0;2009;16481284;2607426;8342279;4581532;473626;266445;209976;7302480;2607426;4171137;473626;50291;2.23;7302484;2607426;4695058;2395712;902581;972424;424341;4171137;2118386;740309;931874;380568;473623;281876;145666;46081;2526374;489581;338104;575453;531241;591995
1;2010;16536423;2639631;8367958;4570173;480793;266738;211130;7354717;2639631;4183981;480793;50312;2.22;7354720;2639631;4715089;2417942;904778;972091;420278;4183981;2137135;739199;931135;376512;480789;285705;148728;46356;2527636;482496;327975;587217;529135;600813
2;2011;16585423;2673525;8391083;4555183;486959;268269;210404;7406569;2673525;4195544;486959;50541;2.21;7406579;2673525;4733054;2440007;907479;970102;415466;4195544;2156258;738980;928763;371543;486957;289044;151380;46533;2526242;478975;316247;593722;529867;607431
3;2012;16633671;2709668;8413190;4539564;492408;270554;208287;7459596;2709668;4206598;492408;50922;2.2;7459603;2709668;4749935;2462011;910595;967089;410240;4206598;2175689;739484;925392;366033;492406;291963;153798;46645;2523313;472786;309863;593021;534065;613578
4;2013;16682058;2747495;8434825;4523536;497220;273275;205707;7513500;2747495;4217411;497220;51374;2.19;7513502;2747495;4766007;2483926;913637;963551;404893;4217411;2195306;740214;921537;360354;497218;294614;155910;46694;2519324;469885;303953;586708;538030;620748
5;2014;16730854;2784943;8456335;4508382;501903;275858;203433;7566818;2784943;4228168;501903;51804;2.18;7566819;2784943;4781876;2504512;917595;960394;399375;4228168;2213503;742031;918117;354517;501903;297327;157896;46680;2516570;469371;301443;573460;547930;624366
6;2015;16779252;2822316;8476927;4493658;505859;278509;201983;7618871;2822316;4238465;505859;52231;2.18;7618874;2822316;4796558;2524626;921113;957006;393813;4238465;2231576;743727;914533;348629;505858;299718;159565;46575;2512747;469066;297722;562331;558437;625191
7;2016;16827557;2859706;8496349;4479746;509051;281193;201512;7669564;2859706;4248176;509051;52631;2.17;7669571;2859706;4809865;2543605;924761;953408;388091;4248176;2248939;745866;910806;342565;509053;301683;160968;46402;2508291;469256;295817;547685;571512;624021
8;2017;16875507;2896958;8514554;4466301;511866;283897;201931;7719153;2896958;4257278;511866;53051;2.16;7719161;2896958;4822203;2560855;928802;950089;382457;4257278;2264721;748566;907432;336559;511862;303425;162275;46162;2504417;470205;295086;534318;579629;625179
9;2018;16922512;2934322;8531109;4453238;514013;286710;203120;7767375;2934322;4265556;514013;53484;2.15;7767375;2934322;4833053;2576455;932803;946735;377060;4265556;2279215;751522;904054;330765;514012;304805;163296;45911;2500353;471808;294109;524398;579343;630695
10;2019;16968631;2971802;8546075;4440437;515684;289665;204968;7814461;2971802;4273041;515684;53934;2.15;7814464;2971802;4842662;2590298;937175;943248;371941;4273041;2292136;755111;900568;325226;515684;305976;164070;45638;2496587;473864;293381;517088;573433;638821
11;2020;17013720;3009204;8559423;4428205;516863;292669;207356;7860148;3009204;4279708;516863;54373;2.14;7860148;3009204;4850944;2602673;941862;939203;367206;4279708;2303706;759441;896514;320047;516861;307052;164446;45363;2492864;476163;293059;513727;560065;649850
12;2021;17057887;3046285;8571120;4416854;517658;295722;210248;7904303;3046285;4285562;517658;54798;2.13;7904307;3046285;4858022;2613482;946106;935187;363247;4285562;2313839;763602;892497;315624;517662;308013;164560;45089;2489386;478953;293574;509701;548989;658169
13;2022;17100870;3082718;8581134;4406424;518300;298677;213617;7946801;3082718;4290567;518300;55216;2.13;7946796;3082718;4864078;2621939;949703;931852;360584;4290567;2321634;767322;889132;312479;518303;308888;164510;44905;2487237;481986;294614;507474;534741;668422
14;2023;17142503;3118534;8589044;4397374;518509;301631;217411;7987157;3118534;4294519;518509;55595;2.12;7987155;3118534;4868621;2628807;951469;929474;358871;4294519;2328351;769191;886744;310233;518506;309258;164473;44775;2484675;485207;296219;506662;521720;674867
15;2024;17182673;3153269;8594551;4390063;518715;304451;221624;8025176;3153269;4297275;518715;55917;2.11;8025181;3153269;4871912;2633833;952091;927771;358217;4297275;2333290;769962;885017;309006;518715;309572;164410;44733;2482702;488581;298428;506841;512991;675861
16;2025;17221044;3187236;8597239;4384620;518455;307260;226234;8060527;3187236;4298620;518455;56216;2.11;8060523;3187236;4873287;2636735;951120;927310;358122;4298620;2336787;768997;884569;308267;518454;309207;164513;44734;2480285;491857;300940;507809;507303;672376
17;2026;17257459;3220102;8596779;4381207;518170;309979;231222;8093116;3220102;4298389;518170;56455;2.1;8093106;3220102;4873004;2637354;949243;927881;358526;4298389;2338086;767071;885220;308012;518169;308795;164673;44701;2478474;494889;303494;509642;505593;664856
18;2027;17291741;3252134;8593059;4379436;517825;312721;236566;8123180;3252134;4296531;517825;56690;2.1;8123176;3252134;4871042;2635730;947143;929028;359141;4296531;2337099;764987;886493;307952;517823;308383;164796;44644;2477257;497669;305925;512466;503038;658159
19;2028;17323730;3283034;8585865;4379592;517531;315445;242263;8150417;3283034;4292932;517531;56920;2.1;8150412;3283034;4867378;2631563;944591;931027;360197;4292932;2333659;762351;888618;308304;517532;307875;165029;44628;2476805;500035;308165;515755;501728;651122
20;2029;17353338;3312431;8575291;4381796;517371;318127;248322;8174584;3312431;4287646;517371;57136;2.09;8174582;3312431;4862151;2625053;942184;933504;361410;4287646;2327744;759894;891225;308783;517369;307477;165267;44625;2477271;502157;310258;519534;501404;643918
21;2030;17380345;3340254;8561421;4385822;517395;320779;254674;8195690;3340254;4280708;517395;57333;2.09;8195689;3340254;4855435;2616216;940185;936323;362711;4280708;2319361;757806;894188;309353;517394;307208;165565;44621;2478739;503940;312134;523557;501490;637618
22;2031;17404507;3366674;8544421;4391329;517305;323477;261301;8213740;3366674;4272213;517305;57548;2.09;8213738;3366674;4847064;2605562;937606;939553;364343;4272213;2309301;755119;897560;310233;517309;306812;165850;44647;2480220;504956;313560;527360;501781;632563
23;2032;17425688;3391339;8524637;4397859;517638;326075;268140;8229047;3391339;4262324;517638;57746;2.08;8229038;3391339;4837699;2593067;935464;943018;366150;4262324;2297053;752814;901154;311303;517637;306749;166191;44697;2482908;505660;314790;531163;502971;628324
24;2033;17443665;3414686;8502254;4404996;517853;328726;275150;8241634;3414686;4251126;517853;57969;2.08;8241626;3414686;4826940;2579333;933215;946471;367921;4251126;2283672;750383;904730;312341;517851;306582;166526;44743;2485303;505754;315731;534640;505078;624100
25;2034;17458244;3436505;8477739;4412258;518202;331315;282225;8251755;3436505;4238868;518202;58180;2.08;8251759;3436505;4815254;2564659;931208;949730;369657;4238868;2269249;748174;908079;313366;518205;306491;166896;44818;2487822;505300;316352;537735;507725;620710
26;2035;17469292;3456765;8451467;4419240;518658;333860;289302;8259580;3456765;4225734;518658;58423;2.08;8259578;3456765;4802813;2549133;929306;952963;371411;4225734;2253898;746024;911380;314432;518657;306455;167299;44903;2490496;504328;316778;540405;510840;618145
27;2036;17476792;3475512;8423828;4425563;519263;336339;296287;8265351;3475512;4211914;519263;58662;2.08;8265354;3475512;4789842;2533061;927708;955940;373133;4211914;2237852;744159;914384;315519;519267;306567;167705;44995;2493326;502926;316987;542676;514259;616478
28;2037;17480761;3492699;8395251;4430980;519996;338734;303101;8269215;3492699;4197626;519996;58894;2.08;8269223;3492699;4776524;2516584;926675;958572;374693;4197626;2221299;742849;917002;316476;519997;306796;168116;45085;2496322;501183;317046;544490;517871;615732
29;2038;17481394;3508488;8366157;4435250;520782;341047;309670;8271498;3508488;4183083;520782;59145;2.08;8271493;3508488;4763005;2500264;926416;960481;375844;4183083;2204747;742377;918870;317089;520784;307180;168460;45144;2499120;499201;316842;545849;521349;615879
30;2039;17478941;3522924;8336864;4438272;521590;343319;315972;8272337;3522924;4168428;521590;59395;2.07;8272339;3522924;4749415;2484133;926679;961875;376728;4168428;2188330;742442;920183;317473;521593;307611;168791;45191;2501686;497164;316361;546800;524534;616827
31;2040;17473632;3536076;8307691;4440006;522422;345485;321952;8271999;3536076;4153848;522422;59653;2.07;8271998;3536076;4735922;2468434;927386;962746;377356;4153848;2172259;742989;920952;317648;522425;308103;169093;45229;2504011;495253;315582;547392;527372;618412
32;2041;17465847;3548058;8278927;4440450;523213;347587;327612;8270649;3548058;4139461;523213;59917;2.07;8270647;3548058;4722589;2453181;928494;963167;377747;4139461;2156649;743955;921236;317621;523212;308581;169370;45261;2506023;493527;314577;547654;529794;620471
33;2042;17455967;3558909;8250835;4439706;523939;349613;332965;8268415;3558909;4125414;523939;60153;2.07;8268418;3558909;4709509;2438512;929973;963160;377864;4125414;2141634;745340;921086;317354;523940;309063;169600;45277;2507720;492098;313398;547557;531777;622890
34;2043;17444357;3568684;8223630;4437898;524593;351545;338007;8265491;3568684;4111811;524593;60403;2.07;8265485;3568684;4696801;2424627;931760;962689;377725;4111811;2127373;747097;920466;316875;524595;309586;169746;45263;2509034;490997;312155;547098;533281;625503
35;2044;17431395;3577429;8197454;4435150;525143;353400;342819;8261933;3577429;4098727;525143;60634;2.07;8261932;3577429;4684503;2411470;933470;962042;377521;4098727;2113904;748792;919671;316360;525141;310053;169851;45237;2509964;490278;310884;546208;534403;628191
36;2045;17417485;3585086;8172542;4431669;525583;355182;347423;8257801;3585086;4086271;525583;60861;2.07;8257798;3585086;4672712;2399129;935281;961160;377142;4086271;2101294;750646;918636;315695;525585;310481;169904;45200;2510558;489955;309700;544895;535178;630830
37;2046;17402828;3591668;8148972;4427615;525858;356842;351873;8253077;3591668;4074482;525858;61069;2.07;8253078;3591668;4661410;2387539;937108;960120;376643;4074482;2089538;752554;917466;314924;525857;310798;169911;45148;2510799;489997;308640;543197;535660;633305
38;2047;17387794;3597191;8126823;4423157;525969;358464;356190;8247831;3597191;4063408;525969;61263;2.06;8247820;3597191;4650629;2376744;938977;958908;376000;4063408;2078679;754570;916136;314023;525971;311041;169846;45084;2510700;490371;307771;541165;535875;635518
39;2048;17372553;3601621;8106221;4418485;525904;359976;360346;8242059;3601621;4053109;525904;61425;2.06;8242056;3601621;4640435;2366758;940785;957585;375307;4053109;2068723;756586;914708;313092;525905;311206;169700;44999;2510293;491070;307098;538920;535757;637448
40;2049;17357393;3604954;8087279;4413780;525669;361402;364309;8235831;3604954;4043639;525669;61569;2.06;8235833;3604954;4630879;2357560;942391;956272;374656;4043639;2059684;758433;913305;312217;525666;311255;169504;44907;2509623;491996;306645;536621;535311;639050
41;2050;17342447;3607141;8070082;4409191;525274;362716;368043;8229149;3607141;4035041;525274;61693;2.06;8229146;3607141;4622005;2349164;943957;954939;373945;4035041;2051543;760297;911903;311298;525271;311200;169259;44812;2508768;493112;306436;534384;534459;640377
