ID;SBI93;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;UitzendenVanPersoneelFaseA_3;DetacherenVanPersoneelFaseBC_4;Arbeidsbemiddeling_5;TestenWervenEnSelectVanPersoneel_6;DetacherenVanGesubsidieerdPersoneel_7;OverigeDienstverleningNietElders_8;TotaalNettoOmzetOverigeActiviteiten_9;Handel_10;OverigeDienstverleningNietEerder_11;TotaalBeschikbaarGesteldeUren_12;AdministratiefPersoneel_13;ParaMedischPersoneel_14;IndustrieelPersoneel_15;TechnischPersoneelGeschoold_16;OverigPersoneel_17;TotaalBeschikbaarGesteldeUren_18;AdministratiefPersoneel_19;ParaMedischPersoneel_20;IndustrieelPersoneel_21;TechnischPersoneelGeschoold_22;OverigPersoneel_23
0;7450a Uitzend- en uitleenbedrijven;2002;3800;;;;;;;;;;;;;;;;;;;;;;
1;7450a Uitzend- en uitleenbedrijven;2003;4060;;;;;;;;;;;;;;;;;;;;;;
2;7450a Uitzend- en uitleenbedrijven;2004;4235;9603.0;5048.0;4324.0;34.0;55.0;8.0;135.0;149.0;;;257716.0;60719.0;7439.0;100248.0;31260.0;58050.0;145039.0;28097.0;4094.0;33381.0;38444.0;41023.0
3;7450a Uitzend- en uitleenbedrijven;2005;4215;11197.0;5999.0;4835.0;122.0;73.0;1.0;166.0;109.0;35.0;75.0;304578.0;69199.0;8120.0;118176.0;46108.0;62976.0;154781.0;28796.0;3953.0;34377.0;43567.0;44087.0
4;74501 Uitzendbureaus;2002;2625;7111.0;4658.0;2239.0;73.0;48.0;3.0;89.0;17.0;0.0;16.0;234603.0;64724.0;8094.0;90956.0;15752.0;55077.0;97908.0;27389.0;3280.0;27913.0;15888.0;23438.0
5;74501 Uitzendbureaus;2003;2760;6662.0;4435.0;2050.0;27.0;51.0;0.0;99.0;31.0;1.0;29.0;224076.0;55175.0;6963.0;89207.0;21155.0;51576.0;82604.0;21690.0;3967.0;27354.0;13761.0;15832.0
6;74501 Uitzendbureaus;2004;2765;;;;;;;;;;;;;;;;;;;;;;
7;74501 Uitzendbureaus;2005;2750;;;;;;;;;;;;;;;;;;;;;;
8;7450c Uitleenbedrijven en ..;2002;3280;3996.0;343.0;2199.0;983.0;189.0;21.0;259.0;46.0;12.0;34.0;14049.0;2761.0;271.0;2426.0;4508.0;4082.0;66522.0;9872.0;1562.0;5612.0;27561.0;21915.0
9;7450c Uitleenbedrijven en ..;2003;3465;;;;;;;;;;;;;;;;;;;;;;
10;7450c Uitleenbedrijven en ..;2004;3630;;;;;;;;;;;;;;;;;;;;;;
11;7450c Uitleenbedrijven en ..;2005;3670;;;;;;;;;;;;;;;;;;;;;;
