ID;BalansstandenEnTransacties;Sectoren;Perioden;TotaalVorderingen_1;TotaalChartaalGeldEnDepositoS_2;ChartaalGeld_3;GiraleDepositoS_4;OverigeDepositoS_5;TotaalSchuldbewijzen_6;KortlopendeSchuldbewijzen_7;LanglopendeSchuldbewijzen_8;FinancieleDerivaten_9;TotaalLeningen_10;KortlopendeLeningen_11;LanglopendeLeningen_12;TotaalAandelenEnOverigeDeelnemingen_13;BeursgenoteerdeAandelen_14;OverigeDeelnemingen_15;AandelenInBeleggingsfondsen_16;HandelskredietenTransitorischePosten_17;TotaalSchulden_18;TotaalDepositoS_19;GiraleDepositoS_20;OverigeDepositoS_21;TotaalSchuldbewijzen_22;KortlopendeSchuldbewijzen_23;LanglopendeSchuldbewijzen_24;TotaalLeningen_25;KortlopendeLeningen_26;LanglopendeLeningen_27;HandelskredietenTransitorischePosten_28;FinancieelVermogen_29
0;Beginbalans;Overheid;1995;151643.0;17783.0;203.0;11778.0;5802.0;2349.0;640.0;1709.0;0.0;45504.0;464.0;45040.0;49749.0;9761.0;39985.0;3.0;36258.0;254310.0;2033.0;843.0;1190.0;140708.0;3501.0;137207.0;90580.0;4367.0;86213.0;20989.0;-102667.0
1;Beginbalans;Overheid;1996;132828.0;19767.0;199.0;14544.0;5024.0;2324.0;559.0;1765.0;0.0;34409.0;277.0;34132.0;43782.0;6835.0;36944.0;3.0;32546.0;278775.0;2068.0;859.0;1209.0;171054.0;5798.0;165256.0;88280.0;5771.0;82509.0;17373.0;-145947.0
2;Beginbalans;Overheid;1997;137648.0;19836.0;188.0;14473.0;5175.0;2661.0;547.0;2114.0;0.0;33689.0;175.0;33514.0;47699.0;6964.0;40732.0;3.0;33763.0;286606.0;1860.0;641.0;1219.0;183713.0;7079.0;176634.0;82901.0;7711.0;75190.0;18132.0;-148958.0
3;Beginbalans;Overheid;1998;136704.0;14744.0;230.0;8035.0;6479.0;3333.0;548.0;2785.0;0.0;33418.0;408.0;33010.0;50624.0;8906.0;41708.0;10.0;34585.0;287212.0;1766.0;524.0;1242.0;189778.0;6022.0;183756.0;74124.0;5316.0;68808.0;21544.0;-150508.0
4;Beginbalans;Overheid;1999 1e kwartaal;143180.0;17537.0;254.0;10583.0;6700.0;2659.0;600.0;2059.0;0.0;31488.0;494.0;30994.0;55522.0;15947.0;39524.0;51.0;35974.0;297096.0;2131.0;863.0;1268.0;204849.0;6944.0;197905.0;68805.0;5450.0;63355.0;21311.0;-153916.0
5;Beginbalans;Overheid;1999 2e kwartaal;142777.0;14541.0;258.0;7390.0;6893.0;2762.0;590.0;2172.0;0.0;31328.0;495.0;30833.0;55845.0;14850.0;40927.0;68.0;38301.0;296345.0;2144.0;877.0;1267.0;207854.0;9436.0;198418.0;64423.0;5127.0;59296.0;21924.0;-153568.0
6;Beginbalans;Overheid;1999 3e kwartaal;144340.0;15544.0;262.0;7766.0;7516.0;2881.0;576.0;2305.0;0.0;31118.0;502.0;30616.0;57326.0;15610.0;41634.0;82.0;37471.0;291829.0;2158.0;891.0;1267.0;208763.0;11070.0;197693.0;60835.0;4477.0;56358.0;20073.0;-147489.0
7;Beginbalans;Overheid;1999 4e kwartaal;146555.0;16529.0;266.0;7852.0;8411.0;3004.0;563.0;2441.0;0.0;30884.0;510.0;30374.0;58187.0;14855.0;43234.0;98.0;37951.0;283846.0;2172.0;905.0;1267.0;196855.0;8767.0;188088.0;58783.0;4848.0;53935.0;26036.0;-137291.0
8;Beginbalans;Overheid;1999;143180.0;17537.0;254.0;10583.0;6700.0;2659.0;600.0;2059.0;0.0;31488.0;494.0;30994.0;55522.0;15947.0;39524.0;51.0;35974.0;297096.0;2131.0;863.0;1268.0;204849.0;6944.0;197905.0;68805.0;5450.0;63355.0;21311.0;-153916.0
9;Beginbalans;Overheid;2000 1e kwartaal;160260.0;17886.0;270.0;8131.0;9485.0;3129.0;554.0;2575.0;0.0;30597.0;504.0;30093.0;71911.0;27151.0;44645.0;115.0;36737.0;280212.0;2185.0;918.0;1267.0;195274.0;5086.0;190188.0;58514.0;5427.0;53087.0;24239.0;-119952.0
10;Beginbalans;Overheid;2000 2e kwartaal;168585.0;23022.0;223.0;8219.0;14580.0;3192.0;555.0;2637.0;0.0;30816.0;536.0;30280.0;75592.0;30961.0;44530.0;101.0;35963.0;289065.0;2302.0;1028.0;1274.0;203975.0;13595.0;190380.0;56414.0;4941.0;51473.0;26374.0;-120480.0
11;Beginbalans;Overheid;2000 3e kwartaal;157997.0;16321.0;176.0;8536.0;7609.0;3253.0;557.0;2696.0;0.0;30976.0;552.0;30424.0;70889.0;25480.0;45319.0;90.0;36558.0;279786.0;2419.0;1138.0;1281.0;199077.0;10385.0;188692.0;54651.0;5385.0;49266.0;23639.0;-121789.0
12;Beginbalans;Overheid;2000 4e kwartaal;152503.0;20850.0;129.0;8469.0;12252.0;3318.0;558.0;2760.0;0.0;31123.0;566.0;30557.0;61291.0;14550.0;46665.0;76.0;35921.0;278715.0;2537.0;1248.0;1289.0;194684.0;11580.0;183104.0;53988.0;5669.0;48319.0;27506.0;-126212.0
13;Beginbalans;Overheid;2000;160260.0;17886.0;270.0;8131.0;9485.0;3129.0;554.0;2575.0;0.0;30597.0;504.0;30093.0;71911.0;27151.0;44645.0;115.0;36737.0;280212.0;2185.0;918.0;1267.0;195274.0;5086.0;190188.0;58514.0;5427.0;53087.0;24239.0;-119952.0
14;Beginbalans;Overheid;2001 1e kwartaal;145166.0;17170.0;82.0;8544.0;8544.0;3385.0;559.0;2826.0;0.0;31249.0;651.0;30598.0;57010.0;11280.0;45666.0;64.0;36352.0;270542.0;2655.0;1359.0;1296.0;192256.0;5493.0;186763.0;51778.0;6005.0;45773.0;23853.0;-125376.0
15;Beginbalans;Overheid;2001 2e kwartaal;144836.0;15808.0;82.0;8243.0;7483.0;3327.0;574.0;2753.0;0.0;31535.0;661.0;30874.0;54927.0;8938.0;45927.0;62.0;39239.0;272493.0;2794.0;1507.0;1287.0;193510.0;14216.0;179294.0;50443.0;6044.0;44399.0;25746.0;-127657.0
16;Beginbalans;Overheid;2001 3e kwartaal;147789.0;18491.0;80.0;10826.0;7585.0;3260.0;589.0;2671.0;0.0;31238.0;587.0;30651.0;52138.0;6453.0;45623.0;62.0;42662.0;279458.0;2814.0;1528.0;1286.0;201115.0;14718.0;186397.0;52864.0;7637.0;45227.0;22665.0;-131669.0
17;Beginbalans;Overheid;2001 4e kwartaal;137657.0;19808.0;79.0;11501.0;8228.0;3189.0;603.0;2586.0;44.0;31296.0;571.0;30725.0;45491.0;4292.0;41137.0;62.0;37829.0;275410.0;2897.0;1622.0;1275.0;196428.0;13365.0;183063.0;52084.0;9189.0;42895.0;24001.0;-137753.0
18;Beginbalans;Overheid;2001;145166.0;17170.0;82.0;8544.0;8544.0;3385.0;559.0;2826.0;0.0;31249.0;651.0;30598.0;57010.0;11280.0;45666.0;64.0;36352.0;270542.0;2655.0;1359.0;1296.0;192256.0;5493.0;186763.0;51778.0;6005.0;45773.0;23853.0;-125376.0
19;Beginbalans;Overheid;2002 1e kwartaal;137657.0;15132.0;79.0;7140.0;7913.0;3119.0;615.0;2504.0;69.0;31178.0;535.0;30643.0;53768.0;9345.0;44362.0;61.0;34391.0;268815.0;3072.0;1814.0;1258.0;194538.0;5817.0;188721.0;50567.0;8761.0;41806.0;20638.0;-131158.0
20;Beginbalans;Overheid;2002 2e kwartaal;141239.0;14816.0;72.0;7433.0;7311.0;3079.0;612.0;2467.0;29.0;30897.0;439.0;30458.0;53774.0;10565.0;43154.0;55.0;38644.0;272177.0;2789.0;1488.0;1301.0;193035.0;16905.0;176130.0;52792.0;10412.0;42380.0;23561.0;-130938.0
21;Beginbalans;Overheid;2002 3e kwartaal;138358.0;17682.0;69.0;10498.0;7115.0;3010.0;609.0;2401.0;92.0;30855.0;551.0;30304.0;49657.0;10573.0;39033.0;51.0;37062.0;277732.0;2593.0;1608.0;985.0;201679.0;16952.0;184727.0;51995.0;10293.0;41702.0;21465.0;-139374.0
