ID;BedrijfstakkenBranches;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2
0;M-N Zakelijke dienstverlening;2005 1e kwartaal;74.0;
1;M-N Zakelijke dienstverlening;2005 2e kwartaal;84.0;
2;M-N Zakelijke dienstverlening;2005 3e kwartaal;83.0;
3;M-N Zakelijke dienstverlening;2005 4e kwartaal;95.2;
4;M-N Zakelijke dienstverlening;2005;84.0;
5;M-N Zakelijke dienstverlening;2006 1e kwartaal;82.2;11.2
6;M-N Zakelijke dienstverlening;2006 2e kwartaal;91.7;9.2
7;M-N Zakelijke dienstverlening;2006 3e kwartaal;91.2;9.9
8;M-N Zakelijke dienstverlening;2006 4e kwartaal;105.5;10.8
9;M-N Zakelijke dienstverlening;2006;92.6;10.3
10;M-N Zakelijke dienstverlening;2007 1e kwartaal;91.0;10.7
11;M-N Zakelijke dienstverlening;2007 2e kwartaal;100.2;9.3
12;M-N Zakelijke dienstverlening;2007 3e kwartaal;98.5;8.0
13;M-N Zakelijke dienstverlening;2007 4e kwartaal;113.5;7.6
14;M-N Zakelijke dienstverlening;2007;100.8;8.8
15;M-N Zakelijke dienstverlening;2008 1e kwartaal;97.8;7.5
16;M-N Zakelijke dienstverlening;2008 2e kwartaal;107.5;7.3
17;M-N Zakelijke dienstverlening;2008 3e kwartaal;104.7;6.4
18;M-N Zakelijke dienstverlening;2008 4e kwartaal;118.4;4.3
19;M-N Zakelijke dienstverlening;2008;107.1;6.3
20;M-N Zakelijke dienstverlening;2009 1e kwartaal;99.1;1.3
21;M-N Zakelijke dienstverlening;2009 2e kwartaal;102.8;-4.3
22;M-N Zakelijke dienstverlening;2009 3e kwartaal;99.2;-5.3
23;M-N Zakelijke dienstverlening;2009 4e kwartaal;109.4;-7.6
24;M-N Zakelijke dienstverlening;2009;102.6;-4.2
25;M-N Zakelijke dienstverlening;2010 1e kwartaal;91.7;-7.5
26;M-N Zakelijke dienstverlening;2010 2e kwartaal;99.1;-3.6
27;M-N Zakelijke dienstverlening;2010 3e kwartaal;99.0;-0.2
28;M-N Zakelijke dienstverlening;2010 4e kwartaal;110.3;0.8
29;M-N Zakelijke dienstverlening;2010;100.0;-2.6
30;M-N Zakelijke dienstverlening;2011 1e kwartaal;94.2;2.8
31;M-N Zakelijke dienstverlening;2011 2e kwartaal;102.0;2.9
32;M-N Zakelijke dienstverlening;2011 3e kwartaal;99.3;0.3
33;M-N Zakelijke dienstverlening;2011 4e kwartaal;109.7;-0.5
34;M-N Zakelijke dienstverlening;2011;101.3;1.3
35;M-N Zakelijke dienstverlening;2012 1e kwartaal;95.0;0.9
36;M-N Zakelijke dienstverlening;2012 2e kwartaal;103.3;1.3
37;M-N Zakelijke dienstverlening;2012 3e kwartaal;102.1;2.8
38;M-N Zakelijke dienstverlening;2012 4e kwartaal;108.3;-1.3
39;M-N Zakelijke dienstverlening;2012;102.2;0.9
40;M-N Zakelijke dienstverlening;2013 1e kwartaal;93.1;-2.0
41;M-N Zakelijke dienstverlening;2013 2e kwartaal;103.0;-0.3
42;M-N Zakelijke dienstverlening;2013 3e kwartaal;101.1;-0.9
43;M-N Zakelijke dienstverlening;2013 4e kwartaal;110.7;2.2
44;M-N Zakelijke dienstverlening;2013;102.0;-0.2
45;M-N Zakelijke dienstverlening;2014 1e kwartaal;95.4;2.5
46;M-N Zakelijke dienstverlening;2014 2e kwartaal;105.4;2.3
47;M-N Zakelijke dienstverlening;2014 3e kwartaal;105.1;3.9
48;M-N Zakelijke dienstverlening;2014 4e kwartaal;116.5;5.2
49;M-N Zakelijke dienstverlening;2014;105.6;3.5
50;M-N Zakelijke dienstverlening;2015 1e kwartaal;100.8;5.6
51;M-N Zakelijke dienstverlening;2015 2e kwartaal;113.0;7.3
52;M-N Zakelijke dienstverlening;2015 3e kwartaal;114.5;9.0
53;M-N Zakelijke dienstverlening;2015 4e kwartaal;126.7;8.8
54;M-N Zakelijke dienstverlening;2015;113.8;7.8
55;M-N Zakelijke dienstverlening;2016 1e kwartaal;109.2;8.3
56;M-N Zakelijke dienstverlening;2016 2e kwartaal;121.2;7.2
57;M-N Zakelijke dienstverlening;2016 3e kwartaal;121.7;6.3
58;M-N Zakelijke dienstverlening;2016 4e kwartaal;133.5;5.4
59;M-N Zakelijke dienstverlening;2016;121.4;6.7
60;M-N Zakelijke dienstverlening;2017 1e kwartaal;116.6;6.9
61;M-N Zakelijke dienstverlening;2017 2e kwartaal;128.0;5.6
62;M-N Zakelijke dienstverlening;2017 3e kwartaal;129.1;6.1
63;M-N Zakelijke dienstverlening;2017 4e kwartaal;141.3;5.8
64;M-N Zakelijke dienstverlening;2017;128.8;6.1
65;69 Juridische diensten en administratie;2005 1e kwartaal;83.4;
66;69 Juridische diensten en administratie;2005 2e kwartaal;90.3;
67;69 Juridische diensten en administratie;2005 3e kwartaal;80.1;
68;69 Juridische diensten en administratie;2005 4e kwartaal;95.6;
69;69 Juridische diensten en administratie;2005;87.4;
70;69 Juridische diensten en administratie;2006 1e kwartaal;90.1;8.0
71;69 Juridische diensten en administratie;2006 2e kwartaal;92.1;2.0
72;69 Juridische diensten en administratie;2006 3e kwartaal;82.2;2.7
73;69 Juridische diensten en administratie;2006 4e kwartaal;98.8;3.4
74;69 Juridische diensten en administratie;2006;90.8;4.0
75;69 Juridische diensten en administratie;2007 1e kwartaal;92.5;2.7
76;69 Juridische diensten en administratie;2007 2e kwartaal;96.6;4.8
77;69 Juridische diensten en administratie;2007 3e kwartaal;87.5;6.4
78;69 Juridische diensten en administratie;2007 4e kwartaal;103.1;4.4
79;69 Juridische diensten en administratie;2007;94.9;4.5
80;69 Juridische diensten en administratie;2008 1e kwartaal;97.0;4.9
81;69 Juridische diensten en administratie;2008 2e kwartaal;101.8;5.4
82;69 Juridische diensten en administratie;2008 3e kwartaal;90.8;3.8
83;69 Juridische diensten en administratie;2008 4e kwartaal;106.6;3.4
84;69 Juridische diensten en administratie;2008;99.0;4.4
85;69 Juridische diensten en administratie;2009 1e kwartaal;101.8;5.0
86;69 Juridische diensten en administratie;2009 2e kwartaal;103.1;1.3
87;69 Juridische diensten en administratie;2009 3e kwartaal;91.4;0.6
88;69 Juridische diensten en administratie;2009 4e kwartaal;105.9;-0.7
89;69 Juridische diensten en administratie;2009;100.5;1.5
90;69 Juridische diensten en administratie;2010 1e kwartaal;101.3;-0.5
91;69 Juridische diensten en administratie;2010 2e kwartaal;102.5;-0.6
92;69 Juridische diensten en administratie;2010 3e kwartaal;90.4;-1.1
93;69 Juridische diensten en administratie;2010 4e kwartaal;105.8;0.0
94;69 Juridische diensten en administratie;2010;100.0;-0.5
95;69 Juridische diensten en administratie;2011 1e kwartaal;101.9;0.6
96;69 Juridische diensten en administratie;2011 2e kwartaal;104.1;1.5
97;69 Juridische diensten en administratie;2011 3e kwartaal;89.4;-1.1
98;69 Juridische diensten en administratie;2011 4e kwartaal;105.4;-0.3
99;69 Juridische diensten en administratie;2011;100.2;0.2
100;69 Juridische diensten en administratie;2012 1e kwartaal;101.4;-0.5
101;69 Juridische diensten en administratie;2012 2e kwartaal;103.2;-0.9
102;69 Juridische diensten en administratie;2012 3e kwartaal;91.0;1.8
103;69 Juridische diensten en administratie;2012 4e kwartaal;104.4;-1.0
104;69 Juridische diensten en administratie;2012;100.0;-0.2
105;69 Juridische diensten en administratie;2013 1e kwartaal;97.9;-3.4
106;69 Juridische diensten en administratie;2013 2e kwartaal;103.1;-0.1
107;69 Juridische diensten en administratie;2013 3e kwartaal;90.2;-0.8
108;69 Juridische diensten en administratie;2013 4e kwartaal;105.1;0.6
109;69 Juridische diensten en administratie;2013;99.1;-0.9
110;69 Juridische diensten en administratie;2014 1e kwartaal;98.9;0.9
111;69 Juridische diensten en administratie;2014 2e kwartaal;102.4;-0.7
112;69 Juridische diensten en administratie;2014 3e kwartaal;89.5;-0.8
113;69 Juridische diensten en administratie;2014 4e kwartaal;108.6;3.3
114;69 Juridische diensten en administratie;2014;99.9;0.8
115;69 Juridische diensten en administratie;2015 1e kwartaal;99.5;0.6
116;69 Juridische diensten en administratie;2015 2e kwartaal;104.9;2.4
117;69 Juridische diensten en administratie;2015 3e kwartaal;93.1;4.0
118;69 Juridische diensten en administratie;2015 4e kwartaal;113.8;4.7
119;69 Juridische diensten en administratie;2015;102.8;3.0
120;69 Juridische diensten en administratie;2016 1e kwartaal;104.4;4.9
121;69 Juridische diensten en administratie;2016 2e kwartaal;111.4;6.3
122;69 Juridische diensten en administratie;2016 3e kwartaal;96.3;3.4
123;69 Juridische diensten en administratie;2016 4e kwartaal;116.9;2.8
124;69 Juridische diensten en administratie;2016;107.3;4.3
125;69 Juridische diensten en administratie;2017 1e kwartaal;108.3;3.8
126;69 Juridische diensten en administratie;2017 2e kwartaal;112.6;1.0
127;69 Juridische diensten en administratie;2017 3e kwartaal;99.6;3.5
128;69 Juridische diensten en administratie;2017 4e kwartaal;122.7;4.9
129;69 Juridische diensten en administratie;2017;110.8;3.3
130;691 Rechtskundige dienstverlening;2005 1e kwartaal;74.1;
131;691 Rechtskundige dienstverlening;2005 2e kwartaal;93.6;
132;691 Rechtskundige dienstverlening;2005 3e kwartaal;82.1;
133;691 Rechtskundige dienstverlening;2005 4e kwartaal;98.4;
134;691 Rechtskundige dienstverlening;2005;87.0;
135;691 Rechtskundige dienstverlening;2006 1e kwartaal;82.2;10.9
136;691 Rechtskundige dienstverlening;2006 2e kwartaal;97.9;4.6
137;691 Rechtskundige dienstverlening;2006 3e kwartaal;85.5;4.1
138;691 Rechtskundige dienstverlening;2006 4e kwartaal;103.2;4.9
139;691 Rechtskundige dienstverlening;2006;92.2;5.9
140;691 Rechtskundige dienstverlening;2007 1e kwartaal;85.2;3.6
141;691 Rechtskundige dienstverlening;2007 2e kwartaal;100.0;2.2
142;691 Rechtskundige dienstverlening;2007 3e kwartaal;90.5;5.9
143;691 Rechtskundige dienstverlening;2007 4e kwartaal;106.6;3.2
144;691 Rechtskundige dienstverlening;2007;95.6;3.7
145;691 Rechtskundige dienstverlening;2008 1e kwartaal;89.4;5.0
146;691 Rechtskundige dienstverlening;2008 2e kwartaal;104.8;4.8
147;691 Rechtskundige dienstverlening;2008 3e kwartaal;92.2;1.8
148;691 Rechtskundige dienstverlening;2008 4e kwartaal;108.9;2.2
149;691 Rechtskundige dienstverlening;2008;98.8;3.4
150;691 Rechtskundige dienstverlening;2009 1e kwartaal;91.5;2.3
151;691 Rechtskundige dienstverlening;2009 2e kwartaal;103.8;-0.9
152;691 Rechtskundige dienstverlening;2009 3e kwartaal;92.4;0.2
153;691 Rechtskundige dienstverlening;2009 4e kwartaal;110.3;1.2
154;691 Rechtskundige dienstverlening;2009;99.5;0.7
155;691 Rechtskundige dienstverlening;2010 1e kwartaal;90.7;-0.9
156;691 Rechtskundige dienstverlening;2010 2e kwartaal;104.2;0.4
157;691 Rechtskundige dienstverlening;2010 3e kwartaal;93.3;1.0
158;691 Rechtskundige dienstverlening;2010 4e kwartaal;111.7;1.4
159;691 Rechtskundige dienstverlening;2010;100.0;0.5
160;691 Rechtskundige dienstverlening;2011 1e kwartaal;95.9;5.8
161;691 Rechtskundige dienstverlening;2011 2e kwartaal;106.6;2.3
162;691 Rechtskundige dienstverlening;2011 3e kwartaal;94.3;1.0
163;691 Rechtskundige dienstverlening;2011 4e kwartaal;112.1;0.3
164;691 Rechtskundige dienstverlening;2011;102.2;2.2
165;691 Rechtskundige dienstverlening;2012 1e kwartaal;99.2;3.4
166;691 Rechtskundige dienstverlening;2012 2e kwartaal;107.1;0.4
167;691 Rechtskundige dienstverlening;2012 3e kwartaal;97.9;3.8
168;691 Rechtskundige dienstverlening;2012 4e kwartaal;111.8;-0.2
169;691 Rechtskundige dienstverlening;2012;104.0;1.7
170;691 Rechtskundige dienstverlening;2013 1e kwartaal;94.5;-4.7
171;691 Rechtskundige dienstverlening;2013 2e kwartaal;107.8;0.7
172;691 Rechtskundige dienstverlening;2013 3e kwartaal;98.8;0.9
173;691 Rechtskundige dienstverlening;2013 4e kwartaal;115.3;3.1
174;691 Rechtskundige dienstverlening;2013;104.1;0.1
175;691 Rechtskundige dienstverlening;2014 1e kwartaal;97.9;3.6
176;691 Rechtskundige dienstverlening;2014 2e kwartaal;109.4;1.5
177;691 Rechtskundige dienstverlening;2014 3e kwartaal;101.3;2.5
178;691 Rechtskundige dienstverlening;2014 4e kwartaal;122.0;5.8
179;691 Rechtskundige dienstverlening;2014;107.7;3.4
180;691 Rechtskundige dienstverlening;2015 1e kwartaal;101.8;3.9
181;691 Rechtskundige dienstverlening;2015 2e kwartaal;114.2;4.4
182;691 Rechtskundige dienstverlening;2015 3e kwartaal;104.8;3.5
183;691 Rechtskundige dienstverlening;2015 4e kwartaal;125.8;3.1
184;691 Rechtskundige dienstverlening;2015;111.6;3.7
185;691 Rechtskundige dienstverlening;2016 1e kwartaal;105.3;3.4
186;691 Rechtskundige dienstverlening;2016 2e kwartaal;117.8;3.2
187;691 Rechtskundige dienstverlening;2016 3e kwartaal;106.5;1.6
188;691 Rechtskundige dienstverlening;2016 4e kwartaal;127.6;1.5
189;691 Rechtskundige dienstverlening;2016;114.3;2.4
190;691 Rechtskundige dienstverlening;2017 1e kwartaal;109.9;4.4
191;691 Rechtskundige dienstverlening;2017 2e kwartaal;120.1;1.9
192;691 Rechtskundige dienstverlening;2017 3e kwartaal;110.6;3.8
