ID;Heffingskortingen;KenmerkenHuishouden;Perioden;AantalParticuliereHuishoudens_1;AandeelParticuliereHuishoudens_2;TotaalBedrag_3;GemiddeldBedragPerHuishouden_4;k_25ePercentiel_5;k_50ePercentielMediaan_6;k_75ePercentiel_7
0;10;10000;2006;7081.0;99.6;35083.0;5.0;2.6;4.5;6.7
1;10;10000;2007;7138.0;99.6;36539.0;5.1;2.7;4.6;6.9
2;10;10000;2008;7213.0;99.6;37295.0;5.2;2.9;4.4;7.0
3;10;10000;2009;7267.0;99.5;37547.0;5.2;3.2;4.3;7.0
4;10;10000;2010;7295.0;99.4;37271.0;5.1;3.1;4.2;7.0
5;10;10000;2011;7374.0;99.4;38093.0;5.2;3.0;4.1;7.1
6;10;10000;2012;7424.0;99.4;38746.0;5.2;3.0;4.1;7.3
7;10;10000;2013;7440.0;99.4;38765.0;5.2;3.0;4.2;7.2
8;10;10000;2014;7505.0;99.3;39940.0;5.3;3.0;4.2;7.4
9;10;10050;2006;2447.0;98.9;6182.0;2.5;1.9;2.1;3.3
10;10;10050;2007;2485.0;99.0;6472.0;2.6;1.9;2.1;3.4
11;10;10050;2008;2535.0;99.0;6791.0;2.7;2.0;2.2;3.5
12;10;10050;2009;2567.0;98.8;6799.0;2.6;2.0;2.1;3.5
13;10;10050;2010;2578.0;98.5;6777.0;2.6;2.0;2.1;3.5
14;10;10050;2011;2643.0;98.7;7046.0;2.7;2.1;2.1;3.6
15;10;10050;2012;2677.0;98.5;7215.0;2.7;2.1;2.1;3.6
16;10;10050;2013;2673.0;98.4;7385.0;2.8;2.1;2.5;3.6
17;10;10050;2014;2727.0;98.3;7719.0;2.8;2.2;2.5;3.7
18;10;10450;2006;1111.0;98.7;3034.0;2.7;2.0;3.1;3.3
19;10;10450;2007;1135.0;98.8;3199.0;2.8;2.0;3.4;3.4
20;10;10450;2008;1169.0;98.8;3377.0;2.9;2.1;3.4;3.5
21;10;10450;2009;1187.0;98.6;3381.0;2.8;2.0;3.1;3.5
22;10;10450;2010;1195.0;98.2;3364.0;2.8;2.0;3.0;3.5
23;10;10450;2011;1232.0;98.3;3509.0;2.8;2.1;2.9;3.6
24;10;10450;2012;1256.0;98.2;3605.0;2.9;2.1;2.8;3.6
25;10;10450;2013;1261.0;98.2;3608.0;2.9;2.1;2.6;3.7
26;10;10450;2014;1284.0;98.0;3768.0;2.9;2.1;2.5;3.9
27;10;10500;2006;926.0;98.4;2689.0;2.9;2.1;3.3;3.3
28;10;10500;2007;944.0;98.5;2838.0;3.0;2.1;3.4;3.4
29;10;10500;2008;971.0;98.6;2985.0;3.1;2.2;3.5;3.5
30;10;10500;2009;977.0;98.3;2969.0;3.0;2.1;3.5;3.5
31;10;10500;2010;984.0;97.8;2951.0;3.0;2.1;3.4;3.5
32;10;10500;2011;1012.0;97.9;3068.0;3.0;2.1;3.5;3.6
33;10;10500;2012;1021.0;97.8;3131.0;3.1;2.1;3.6;3.6
34;10;10500;2013;1018.0;97.8;3038.0;3.0;2.1;3.1;3.7
35;10;10500;2014;1029.0;97.5;3179.0;3.1;2.1;3.1;4.0
36;10;10550;2006;185.0;100.0;345.0;1.9;1.9;1.9;1.9
37;10;10550;2007;191.0;100.0;361.0;1.9;1.9;1.9;1.9
38;10;10550;2008;198.0;100.0;392.0;2.0;2.0;2.0;2.0
39;10;10550;2009;209.0;100.0;413.0;2.0;2.0;2.0;2.0
40;10;10550;2010;210.0;100.0;412.0;2.0;2.0;2.0;2.0
41;10;10550;2011;221.0;100.0;440.0;2.0;2.1;2.1;2.1
42;10;10550;2012;235.0;100.0;475.0;2.0;2.1;2.1;2.1
43;10;10550;2013;243.0;100.0;570.0;2.3;2.5;2.5;2.5
44;10;10550;2014;255.0;100.0;589.0;2.3;2.4;2.5;2.5
45;10;10600;2006;1336.0;99.2;3148.0;2.4;1.9;2.0;3.3
46;10;10600;2007;1350.0;99.1;3273.0;2.4;1.9;2.0;3.4
47;10;10600;2008;1366.0;99.1;3415.0;2.5;2.0;2.1;3.5
48;10;10600;2009;1381.0;98.9;3418.0;2.5;2.0;2.0;3.5
49;10;10600;2010;1383.0;98.9;3413.0;2.5;2.0;2.0;3.4
50;10;10600;2011;1410.0;99.0;3537.0;2.5;2.1;2.1;3.5
51;10;10600;2012;1421.0;98.8;3610.0;2.5;2.1;2.1;3.5
52;10;10600;2013;1412.0;98.6;3777.0;2.7;2.1;2.5;3.2
53;10;10600;2014;1443.0;98.6;3951.0;2.7;2.2;2.5;3.2
54;10;10650;2006;747.0;98.5;2047.0;2.7;2.0;2.9;3.3
55;10;10650;2007;756.0;98.5;2146.0;2.8;2.1;3.1;3.4
56;10;10650;2008;766.0;98.5;2219.0;2.9;2.1;3.2;3.5
57;10;10650;2009;772.0;98.1;2212.0;2.9;2.0;3.0;3.5
58;10;10650;2010;776.0;98.0;2205.0;2.8;2.0;2.9;3.5
59;10;10650;2011;786.0;98.2;2272.0;2.9;2.0;3.0;3.6
60;10;10650;2012;782.0;97.8;2291.0;2.9;2.1;3.1;3.6
