ID;Werkloosheidsduur;Persoonskenmerken;Perioden;Werklozen_1
0;1;3;2001;252
1;1;3;2002;302
2;1;3;2003;399
3;1;3;2004;479
4;1;3;2005;483
5;1;3;2006;413
6;1;3;2007;344
7;1;1;2001;109
8;1;1;2002;147
9;1;1;2003;205
10;1;1;2004;246
11;1;1;2005;238
12;1;1;2006;191
13;1;1;2007;153
14;1;2;2001;143
15;1;2;2002;155
16;1;2;2003;194
17;1;2;2004;233
18;1;2;2005;245
19;1;2;2006;222
20;1;2;2007;190
21;1;4;2001;68
22;1;4;2002;79
23;1;4;2003;96
24;1;4;2004;119
25;1;4;2005;112
26;1;4;2006;91
27;1;4;2007;80
28;1;5;2001;121
29;1;5;2002;149
30;1;5;2003;206
31;1;5;2004;234
32;1;5;2005;233
33;1;5;2006;187
34;1;5;2007;141
35;1;6;2001;63
36;1;6;2002;75
37;1;6;2003;97
38;1;6;2004;126
39;1;6;2005;138
40;1;6;2006;134
41;1;6;2007;123
42;1;7;2001;173
43;1;7;2002;206
44;1;7;2003;262
45;1;7;2004;321
46;1;7;2005;313
47;1;7;2006;266
48;1;7;2007;233
49;1;8;2001;79
50;1;8;2002;96
51;1;8;2003;137
52;1;8;2004;158
53;1;8;2005;170
54;1;8;2006;147
55;1;8;2007;111
56;1;9;2001;114
57;1;9;2002;126
58;1;9;2003;161
59;1;9;2004;173
60;1;9;2005;176
61;1;9;2006;151
62;1;9;2007;127
63;1;Onderwijsniveau: middelbaar;2001;91
64;1;Onderwijsniveau: middelbaar;2002;113
65;1;Onderwijsniveau: middelbaar;2003;154
66;1;Onderwijsniveau: middelbaar;2004;196
67;1;Onderwijsniveau: middelbaar;2005;206
68;1;Onderwijsniveau: middelbaar;2006;177
69;1;Onderwijsniveau: middelbaar;2007;147
70;1;Onderwijsnibeau: hoog;2001;46
71;1;Onderwijsnibeau: hoog;2002;62
72;1;Onderwijsnibeau: hoog;2003;83
73;1;Onderwijsnibeau: hoog;2004;104
74;1;Onderwijsnibeau: hoog;2005;97
75;1;Onderwijsnibeau: hoog;2006;79
76;1;Onderwijsnibeau: hoog;2007;67
77;2;3;2001;123
78;2;3;2002;165
79;2;3;2003;195
80;2;3;2004;201
81;2;3;2005;183
82;2;3;2006;161
83;2;3;2007;145
84;2;1;2001;53
85;2;1;2002;86
86;2;1;2003;104
87;2;1;2004;101
88;2;1;2005;86
89;2;1;2006;71
90;2;1;2007;66
91;2;2;2001;70
92;2;2;2002;79
93;2;2;2003;91
94;2;2;2004;100
95;2;2;2005;96
96;2;2;2006;90
97;2;2;2007;79
98;2;4;2001;50
99;2;4;2002;59
100;2;4;2003;63
101;2;4;2004;73
102;2;4;2005;67
103;2;4;2006;57
104;2;4;2007;53
105;2;5;2001;54
106;2;5;2002;82
107;2;5;2003;102
108;2;5;2004;94
109;2;5;2005;86
110;2;5;2006;76
111;2;5;2007;64
112;2;6;2001;20
113;2;6;2002;24
114;2;6;2003;30
115;2;6;2004;34
116;2;6;2005;30
117;2;6;2006;28
118;2;6;2007;28
119;2;7;2001;85
120;2;7;2002;114
121;2;7;2003;135
122;2;7;2004;143
123;2;7;2005;129
124;2;7;2006;113
125;2;7;2007;101
126;2;8;2001;38
127;2;8;2002;51
128;2;8;2003;61
129;2;8;2004;58
130;2;8;2005;54
131;2;8;2006;48
132;2;8;2007;44
133;2;9;2001;49
134;2;9;2002;64
135;2;9;2003;71
136;2;9;2004;68
137;2;9;2005;67
138;2;9;2006;56
139;2;9;2007;53
140;2;Onderwijsniveau: middelbaar;2001;49
141;2;Onderwijsniveau: middelbaar;2002;68
142;2;Onderwijsniveau: middelbaar;2003;81
143;2;Onderwijsniveau: middelbaar;2004;87
144;2;Onderwijsniveau: middelbaar;2005;79
145;2;Onderwijsniveau: middelbaar;2006;69
146;2;Onderwijsniveau: middelbaar;2007;60
147;2;Onderwijsnibeau: hoog;2001;24
148;2;Onderwijsnibeau: hoog;2002;33
149;2;Onderwijsnibeau: hoog;2003;43
150;2;Onderwijsnibeau: hoog;2004;43
151;2;Onderwijsnibeau: hoog;2005;36
152;2;Onderwijsnibeau: hoog;2006;35
153;2;Onderwijsnibeau: hoog;2007;31
154;3;3;2001;40
155;3;3;2002;49
156;3;3;2003;79
157;3;3;2004;99
158;3;3;2005;97
159;3;3;2006;68
160;3;3;2007;55
161;3;1;2001;17
162;3;1;2002;24
163;3;1;2003;41
164;3;1;2004;49
165;3;1;2005;45
166;3;1;2006;30
167;3;1;2007;22
168;3;2;2001;23
169;3;2;2002;25
170;3;2;2003;38
171;3;2;2004;50
172;3;2;2005;52
173;3;2;2006;38
174;3;2;2007;33
175;3;4;2001;8
176;3;4;2002;11
177;3;4;2003;17
178;3;4;2004;23
179;3;4;2005;24
180;3;4;2006;16
181;3;4;2007;16
182;3;5;2001;22
183;3;5;2002;23
184;3;5;2003;43
185;3;5;2004;49
186;3;5;2005;47
187;3;5;2006;34
188;3;5;2007;24
189;3;6;2001;10
190;3;6;2002;15
191;3;6;2003;19
192;3;6;2004;27
193;3;6;2005;26
194;3;6;2006;19
195;3;6;2007;15
196;3;7;2001;28
197;3;7;2002;36
198;3;7;2003;49
199;3;7;2004;67
200;3;7;2005;63
201;3;7;2006;41
