ID;Periods;AmusementAndThemeParks_1;PeopleWorking_2;LabourVolumePeopleWorking_3;TotalRevenues_4;AdmissionFees_5;CateringProceeds_6;OtherRevenues_7;TotalCosts_8;EmployedStaff_9;HousingMaintenanceAndCleaning_10;Depreciations_11;Interest_12;CostsOfCateringPurchases_13;OtherCosts_14;TotalNumberOfPayingVisitors_15;ForeignVisitors_16
0;2018;171;16148;5233;616;67;25;8;524;36;12;16;3;9;25;22643;17
1;2020;172;12130;4292;385;67;19;14;407;35;17;18;3;6;21;11983;14
