ID;Perioden;Prijsindexcijfers_1;Jaarmutatie_2;Prijsindexcijfers_3;Jaarmutatie_4
0;2002;  100;  . ;  100; . 
1;2003;104,6; 4,6;105,4;5,4
2;2004;106,0; 1,3;109,8;4,2
3;2005;     ;    ;113,3;3,2
