ID;RegioS;Perioden;UitgavenAanDeBrandweer_1;UitgavenAanDeBrandweerPerInwoner_2
0;Nederland;2005;724;44
1;Nederland;2006;819;50
2;Nederland;2007;913;56
3;Nederland;2008;1017;62
4;Nederland;2009;1094;66
5;Nederland;2010;1125;68
6;Nederland;2011;1102;66
7;Nederland;2012;1107;66
8;Nederland;2013;1102;66
9;Nederland;2014;1093;65
10;Nederland;2015;1057;63
11;Nederland;2016;1107;65
12;Groningen (PV);2005;21;36
13;Groningen (PV);2006;27;47
14;Groningen (PV);2007;29;51
15;Groningen (PV);2008;35;60
16;Groningen (PV);2009;36;63
17;Groningen (PV);2010;36;63
18;Groningen (PV);2011;37;63
19;Groningen (PV);2012;37;63
20;Groningen (PV);2013;36;63
21;Groningen (PV);2014;38;65
22;Groningen (PV);2015;37;63
23;Groningen (PV);2016;38;64
24;Friesland (PV);2005;24;37
25;Friesland (PV);2006;25;39
26;Friesland (PV);2007;25;38
27;Friesland (PV);2008;28;44
28;Friesland (PV);2009;30;47
29;Friesland (PV);2010;31;48
30;Friesland (PV);2011;32;49
31;Friesland (PV);2012;32;50
32;Friesland (PV);2013;24;37
33;Friesland (PV);2014;34;53
34;Friesland (PV);2015;30;47
35;Friesland (PV);2016;35;54
36;Drenthe (PV);2005;19;40
37;Drenthe (PV);2006;15;31
38;Drenthe (PV);2007;16;33
39;Drenthe (PV);2008;26;54
40;Drenthe (PV);2009;30;61
41;Drenthe (PV);2010;29;58
42;Drenthe (PV);2011;29;59
43;Drenthe (PV);2012;29;60
44;Drenthe (PV);2013;29;60
45;Drenthe (PV);2014;28;57
46;Drenthe (PV);2015;27;55
47;Drenthe (PV);2016;28;58
48;Overijssel (PV);2005;42;37
49;Overijssel (PV);2006;50;45
50;Overijssel (PV);2007;65;58
51;Overijssel (PV);2008;69;61
52;Overijssel (PV);2009;77;69
53;Overijssel (PV);2010;78;69
54;Overijssel (PV);2011;78;69
55;Overijssel (PV);2012;77;68
56;Overijssel (PV);2013;75;66
57;Overijssel (PV);2014;73;64
58;Overijssel (PV);2015;77;67
59;Overijssel (PV);2016;79;69
60;Flevoland (PV);2005;15;42
61;Flevoland (PV);2006;19;52
62;Flevoland (PV);2007;21;56
63;Flevoland (PV);2008;23;60
64;Flevoland (PV);2009;21;55
65;Flevoland (PV);2010;22;56
66;Flevoland (PV);2011;22;56
67;Flevoland (PV);2012;22;56
68;Flevoland (PV);2013;22;55
69;Flevoland (PV);2014;23;57
70;Flevoland (PV);2015;22;56
71;Flevoland (PV);2016;23;56
72;Gelderland (PV);2005;84;42
73;Gelderland (PV);2006;94;48
74;Gelderland (PV);2007;101;51
75;Gelderland (PV);2008;113;57
76;Gelderland (PV);2009;121;61
77;Gelderland (PV);2010;122;61
78;Gelderland (PV);2011;118;59
79;Gelderland (PV);2012;118;59
80;Gelderland (PV);2013;119;59
81;Gelderland (PV);2014;118;58
82;Gelderland (PV);2015;114;56
83;Gelderland (PV);2016;121;59
84;Utrecht (PV);2005;60;51
85;Utrecht (PV);2006;66;56
86;Utrecht (PV);2007;74;63
87;Utrecht (PV);2008;82;68
88;Utrecht (PV);2009;90;74
89;Utrecht (PV);2010;90;74
90;Utrecht (PV);2011;88;72
91;Utrecht (PV);2012;87;70
92;Utrecht (PV);2013;86;69
93;Utrecht (PV);2014;83;66
94;Utrecht (PV);2015;81;64
95;Utrecht (PV);2016;83;65
96;Noord-Holland (PV);2005;146;56
97;Noord-Holland (PV);2006;157;60
98;Noord-Holland (PV);2007;174;67
99;Noord-Holland (PV);2008;202;77
100;Noord-Holland (PV);2009;215;81
101;Noord-Holland (PV);2010;227;85
102;Noord-Holland (PV);2011;216;80
103;Noord-Holland (PV);2012;215;79
104;Noord-Holland (PV);2013;217;80
105;Noord-Holland (PV);2014;218;79
106;Noord-Holland (PV);2015;213;77
107;Noord-Holland (PV);2016;216;78
108;Zuid-Holland (PV);2005;171;49
109;Zuid-Holland (PV);2006;202;59
110;Zuid-Holland (PV);2007;227;66
111;Zuid-Holland (PV);2008;239;69
112;Zuid-Holland (PV);2009;259;74
113;Zuid-Holland (PV);2010;258;73
114;Zuid-Holland (PV);2011;256;73
115;Zuid-Holland (PV);2012;264;74
116;Zuid-Holland (PV);2013;262;73
117;Zuid-Holland (PV);2014;255;71
118;Zuid-Holland (PV);2015;234;65
119;Zuid-Holland (PV);2016;256;71
120;Zeeland (PV);2005;19;50
121;Zeeland (PV);2006;21;55
122;Zeeland (PV);2007;28;74
123;Zeeland (PV);2008;26;68
124;Zeeland (PV);2009;29;76
125;Zeeland (PV);2010;28;74
126;Zeeland (PV);2011;29;76
127;Zeeland (PV);2012;30;78
128;Zeeland (PV);2013;29;77
129;Zeeland (PV);2014;29;76
130;Zeeland (PV);2015;27;72
131;Zeeland (PV);2016;27;71
132;Noord-Brabant (PV);2005;82;34
133;Noord-Brabant (PV);2006;94;39
134;Noord-Brabant (PV);2007;103;42
135;Noord-Brabant (PV);2008;113;47
136;Noord-Brabant (PV);2009;120;49
137;Noord-Brabant (PV);2010;135;55
138;Noord-Brabant (PV);2011;130;53
139;Noord-Brabant (PV);2012;131;53
140;Noord-Brabant (PV);2013;132;53
141;Noord-Brabant (PV);2014;128;52
142;Noord-Brabant (PV);2015;128;52
143;Noord-Brabant (PV);2016;135;54
144;Limburg (PV);2005;42;37
145;Limburg (PV);2006;47;42
146;Limburg (PV);2007;50;44
147;Limburg (PV);2008;62;55
148;Limburg (PV);2009;65;58
149;Limburg (PV);2010;69;61
150;Limburg (PV);2011;67;60
151;Limburg (PV);2012;66;59
152;Limburg (PV);2013;70;62
153;Limburg (PV);2014;68;61
154;Limburg (PV);2015;67;60
155;Limburg (PV);2016;66;59
156;Groningen (VR);2005;21;36
157;Groningen (VR);2006;27;47
158;Groningen (VR);2007;29;51
159;Groningen (VR);2008;35;60
160;Groningen (VR);2009;36;63
161;Groningen (VR);2010;36;63
162;Groningen (VR);2011;37;63
163;Groningen (VR);2012;37;63
164;Groningen (VR);2013;36;63
165;Groningen (VR);2014;38;65
166;Groningen (VR);2015;37;63
167;Groningen (VR);2016;38;64
168;Fryslân (VR);2005;24;37
169;Fryslân (VR);2006;25;39
170;Fryslân (VR);2007;25;38
171;Fryslân (VR);2008;28;44
172;Fryslân (VR);2009;30;47
173;Fryslân (VR);2010;31;48
174;Fryslân (VR);2011;32;49
175;Fryslân (VR);2012;32;50
176;Fryslân (VR);2013;24;37
177;Fryslân (VR);2014;34;53
178;Fryslân (VR);2015;30;47
179;Fryslân (VR);2016;35;54
180;Drenthe (VR);2005;19;40
181;Drenthe (VR);2006;15;31
182;Drenthe (VR);2007;16;33
183;Drenthe (VR);2008;26;54
184;Drenthe (VR);2009;30;61
185;Drenthe (VR);2010;29;58
186;Drenthe (VR);2011;29;59
187;Drenthe (VR);2012;29;60
188;Drenthe (VR);2013;29;60
189;Drenthe (VR);2014;28;57
190;Drenthe (VR);2015;27;55
191;Drenthe (VR);2016;28;58
192;IJsselland (VR);2005;22;45
193;IJsselland (VR);2006;27;55
194;IJsselland (VR);2007;31;62
195;IJsselland (VR);2008;32;63
196;IJsselland (VR);2009;36;71
197;IJsselland (VR);2010;37;72
198;IJsselland (VR);2011;35;69
199;IJsselland (VR);2012;35;68
200;IJsselland (VR);2013;33;64
201;IJsselland (VR);2014;33;64
202;IJsselland (VR);2015;34;67
203;IJsselland (VR);2016;36;70
204;Twente (VR);2005;19;31
205;Twente (VR);2006;23;37
206;Twente (VR);2007;34;55
207;Twente (VR);2008;37;60
208;Twente (VR);2009;41;67
209;Twente (VR);2010;42;67
210;Twente (VR);2011;43;68
211;Twente (VR);2012;43;68
212;Twente (VR);2013;43;68
213;Twente (VR);2014;40;64
214;Twente (VR);2015;43;68
215;Twente (VR);2016;43;69
216;Noord- en Oost-Gelderland (VR);2005;31;38
217;Noord- en Oost-Gelderland (VR);2006;34;42
218;Noord- en Oost-Gelderland (VR);2007;37;46
219;Noord- en Oost-Gelderland (VR);2008;42;52
220;Noord- en Oost-Gelderland (VR);2009;46;57
221;Noord- en Oost-Gelderland (VR);2010;47;58
222;Noord- en Oost-Gelderland (VR);2011;45;55
223;Noord- en Oost-Gelderland (VR);2012;44;55
224;Noord- en Oost-Gelderland (VR);2013;45;56
225;Noord- en Oost-Gelderland (VR);2014;46;56
226;Noord- en Oost-Gelderland (VR);2015;44;54
227;Noord- en Oost-Gelderland (VR);2016;47;58
228;Gelderland-Midden (VR);2005;29;46
229;Gelderland-Midden (VR);2006;32;50
230;Gelderland-Midden (VR);2007;34;53
231;Gelderland-Midden (VR);2008;38;59
232;Gelderland-Midden (VR);2009;40;61
233;Gelderland-Midden (VR);2010;40;61
234;Gelderland-Midden (VR);2011;39;59
235;Gelderland-Midden (VR);2012;39;59
236;Gelderland-Midden (VR);2013;40;60
237;Gelderland-Midden (VR);2014;41;61
238;Gelderland-Midden (VR);2015;37;55
239;Gelderland-Midden (VR);2016;41;61
240;Gelderland-Zuid (VR);2005;24;45
241;Gelderland-Zuid (VR);2006;28;53
242;Gelderland-Zuid (VR);2007;29;55
243;Gelderland-Zuid (VR);2008;33;62
244;Gelderland-Zuid (VR);2009;34;65
245;Gelderland-Zuid (VR);2010;35;66
246;Gelderland-Zuid (VR);2011;35;65
