ID;Pensioenuitvoerders;Pensioenregelingen;StatusPensioenaanspraken;Perioden;Pensioenaanspraken_1;BrutoJaarbedragOpgebouwdPensioen_2;BrutoJaarbedragTeBereikenPensioen_3
0;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2016;19894550;54201697;106373751
1;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2017;19808430;54755347;107461567
2;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2018;20274150;56256847;110643232
3;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2019;20450770;57615944;117081079
4;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2020;20459550;58175806;120210754
5;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2021;20708150;59200249;121486465
6;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2022;20355450;63388722;136891623
7;Totaal pensioenuitvoerders;Totaal ;Totaal pensioenaanspraken;2023;20161910;65701883;142291596
8;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2016;7362930;37067631;89239686
9;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2017;7095250;36889232;89595452
10;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2018;7090900;36664833;91051217
11;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2019;7183400;36646040;96111174
12;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2020;7097470;36928968;98963917
13;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2021;7304570;37018827;99305043
14;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2022;7528910;38941487;112444388
15;Totaal pensioenuitvoerders;Totaal ;Actieve pensioenaanspraken;2023;7597150;39850302;116440015
16;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2016;12531620;17134065;17134065
17;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2017;12713180;17866115;17866115
18;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2018;13183260;19592014;19592014
19;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2019;13267370;20969905;20969905
20;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2020;13362080;21246838;21246838
21;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2021;13403580;22181423;22181423
22;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2022;12826540;24447235;24447235
23;Totaal pensioenuitvoerders;Totaal ;Niet-actieve pensioenaanspraken;2023;12564760;25851581;25851581
24;Totaal pensioenuitvoerders;Totaal ;Onbekend;2016;0;0;0
25;Totaal pensioenuitvoerders;Totaal ;Onbekend;2017;0;0;0
26;Totaal pensioenuitvoerders;Totaal ;Onbekend;2018;0;0;0
27;Totaal pensioenuitvoerders;Totaal ;Onbekend;2019;0;0;0
28;Totaal pensioenuitvoerders;Totaal ;Onbekend;2020;0;0;0
29;Totaal pensioenuitvoerders;Totaal ;Onbekend;2021;0;0;0
30;Totaal pensioenuitvoerders;Totaal ;Onbekend;2022;0;0;0
31;Totaal pensioenuitvoerders;Totaal ;Onbekend;2023;0;0;0
32;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2016;15683470;51137609;97015795
33;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2017;15221270;51321124;97152305
34;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2018;15537310;52702304;98795264
35;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2019;15666550;53524871;101525085
36;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2020;15567240;53415275;102070321
37;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2021;15569780;53535545;102442758
38;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2022;14936730;54154011;106272945
39;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Totaal pensioenaanspraken;2023;14371660;56499605;110103314
40;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2016;5953600;35623684;81501869
41;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2017;5626740;35360044;81191224
42;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2018;5619120;35224451;81317410
43;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2019;5639500;34996840;82997054
44;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2020;5593500;34857890;83512936
45;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2021;5603870;34508582;83415795
46;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2022;5600550;34829706;86948639
47;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Actieve pensioenaanspraken;2023;5618550;35655866;89259575
48;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Niet-actieve pensioenaanspraken;2016;9729870;15513926;15513926
49;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Niet-actieve pensioenaanspraken;2017;9594530;15961081;15961081
50;Totaal pensioenuitvoerders;Uitkeringsovereenkomst;Niet-actieve pensioenaanspraken;2018;9918190;17477854;17477854
