ID;WisselingWerkgever;PositieInWerkkringVoorgaandePeriode;Persoonskenmerken;Perioden;Werknemer_1
0;Totaal;Totaal;Totaal personen;2013 1e kwartaal;6897.0
1;Totaal;Totaal;Totaal personen;2013 2e kwartaal;6866.0
2;Totaal;Totaal;Totaal personen;2013 3e kwartaal;6844.0
3;Totaal;Totaal;Totaal personen;2013 4e kwartaal;6817.0
4;Totaal;Totaal;Totaal personen;2014 1e kwartaal;6762.0
5;Totaal;Totaal;Totaal personen;2014 2e kwartaal;6754.0
6;Totaal;Totaal;Totaal personen;2014 3e kwartaal;6773.0
7;Totaal;Totaal;Totaal personen;2014 4e kwartaal;6797.0
8;Totaal;Totaal;Totaal personen;2015 1e kwartaal;6808.0
9;Totaal;Totaal;Totaal personen;2015 2e kwartaal;6822.0
10;Totaal;Totaal;Totaal personen;2015 3e kwartaal;6837.0
11;Totaal;Totaal;Totaal personen;2015 4e kwartaal;6844.0
12;Totaal;Totaal;Totaal personen;2016 1e kwartaal;6837.0
13;Totaal;Totaal;Totaal personen;2016 2e kwartaal;6870.0
14;Totaal;Totaal;Totaal personen;2016 3e kwartaal;6928.0
15;Totaal;Totaal;Totaal personen;2016 4e kwartaal;6956.0
16;Totaal;Totaal;Totaal personen;2017 1e kwartaal;6977.0
17;Totaal;Totaal;Totaal personen;2017 2e kwartaal;7010.0
18;Totaal;Totaal;Totaal personen;2017 3e kwartaal;7077.0
19;Totaal;Totaal;Totaal personen;2017 4e kwartaal;7119.0
20;Totaal;Totaal;Totaal personen;2018 1e kwartaal;7148.0
21;Totaal;Totaal;Totaal personen;2018 2e kwartaal;7194.0
22;Totaal;Totaal;Totaal personen;2018 3e kwartaal;7259.0
23;Totaal;Totaal;Totaal personen;2018 4e kwartaal;7312.0
24;Totaal;Totaal;Totaal personen;2019 1e kwartaal;7356.0
25;Totaal;Totaal;Totaal personen;2019 2e kwartaal;7376.0
26;Totaal;Totaal;Totaal personen;2019 3e kwartaal;7421.0
27;Totaal;Totaal;Totaal personen;2019 4e kwartaal;7422.0
