ID;Sectoren;COFOGOverheidsfuncties;Perioden;TotaalUitgaven_1;BeloningVanWerknemers_2;AankopenGoederenEnDiensten_3;NettoInvesteringen_4;Afschrijvingen_5;SaldoAanEnVerkopenVanNietGepro_6;TotaalInkomenUitVermogen_7;Rente_8;InkomenUitGrondEnMineraleReserves_9;TotaalUitkeringen_10;TotaalSocialeUitkeringenInGeld_11;UitkeringenWettSocVerzInGeld_12;UitkeringenSocialeVoorzieningInGeld_13;TotaalSocialeUitkeringenInNatura_14;UitkeringenWettSocVerzInNatura_15;UitkeringenSocVoorzieningInNatura_16;Subsidies_17;TotaalInkomensoverdrachten_18;InkomensoverdrachtenBinnenDeOverheid_19;InkomensoverdrIvmInternationSamenw_20;OverigeInkomensoverdrachtenNEG_21;TotaalKapitaaloverdrachten_22;Investeringsbijdragen_23;OverigeKapitaaloverdrachten_24;TotaalOverigeUitgaven_25;BelastingenOpProductieEnInvoer_26;UitkSocVerzRechtstrDoorWerkgevers_27
0;Overheid;18300;1995;172305.0;32345.0;20201.0;1657.0;7979.0;-917.0;17223.0;17199.0;24.0;65285.0;42624.0;32329.0;10295.0;22661.0;18355.0;4306.0;3076.0;3437.0;;1986.0;1451.0;17976.0;1574.0;16402.0;4043.0;368.0;3675.0
1;Overheid;18300;1996;158064.0;32391.0;21313.0;2395.0;8266.0;-1991.0;16974.0;16951.0;23.0;64885.0;42744.0;32616.0;10128.0;22141.0;17900.0;4241.0;3570.0;4041.0;;2144.0;1897.0;2030.0;1419.0;611.0;4190.0;383.0;3807.0
2;Overheid;18300;1997;162715.0;33602.0;22076.0;1463.0;8572.0;-1335.0;16891.0;16869.0;22.0;66332.0;42336.0;32650.0;9686.0;23996.0;20823.0;3173.0;4232.0;4327.0;;2197.0;2130.0;2235.0;1390.0;845.0;4320.0;392.0;3928.0
3;Overheid;18300;1998;169176.0;35280.0;23374.0;1800.0;8942.0;-2112.0;16952.0;16932.0;20.0;67424.0;42045.0;31685.0;10360.0;25379.0;21893.0;3486.0;4962.0;5047.0;;2228.0;2819.0;2996.0;1775.0;1221.0;4511.0;416.0;4095.0
4;Overheid;18300;1999;177733.0;37441.0;25615.0;2252.0;9420.0;-1377.0;16533.0;16515.0;18.0;69048.0;42268.0;32365.0;9903.0;26780.0;23070.0;3710.0;5741.0;5564.0;;2384.0;3180.0;2768.0;1647.0;1121.0;4728.0;441.0;4287.0
5;Overheid;18300;2000;184612.0;39647.0;27278.0;3012.0;10119.0;-3708.0;15284.0;15265.0;19.0;72132.0;42947.0;33017.0;9930.0;29185.0;25163.0;4022.0;6075.0;7155.0;;2829.0;4326.0;2879.0;1713.0;1166.0;4739.0;465.0;4274.0
6;Overheid;18300;2001;203063.0;42820.0;30969.0;3815.0;10767.0;-452.0;14211.0;14188.0;23.0;77071.0;45103.0;34979.0;10124.0;31968.0;27786.0;4182.0;6678.0;7878.0;;3178.0;4700.0;4168.0;1694.0;2474.0;5138.0;471.0;4667.0
7;Overheid;18300;2002;214960.0;45599.0;33070.0;5042.0;11402.0;-272.0;13070.0;13049.0;21.0;83408.0;47252.0;36908.0;10344.0;36156.0;31495.0;4661.0;6901.0;8286.0;;3216.0;5070.0;3318.0;1833.0;1485.0;5136.0;505.0;4631.0
8;Overheid;18300;2003;224621.0;48040.0;34945.0;4923.0;12035.0;-392.0;12406.0;12386.0;20.0;89230.0;50269.0;39508.0;10761.0;38961.0;34131.0;4830.0;6749.0;8259.0;;2945.0;5314.0;3362.0;1823.0;1539.0;5064.0;539.0;4525.0
9;Overheid;18300;2004;226403.0;48909.0;35292.0;3406.0;12427.0;-1708.0;12217.0;12199.0;18.0;91227.0;51099.0;40179.0;10920.0;40128.0;35358.0;4770.0;6881.0;9122.0;;3074.0;6048.0;3208.0;1563.0;1645.0;5422.0;549.0;4873.0
10;Overheid;18300;2005;229965.0;49543.0;36410.0;4044.0;12872.0;-2035.0;12125.0;12103.0;22.0;92638.0;51208.0;40027.0;11181.0;41430.0;36405.0;5025.0;6200.0;9587.0;;3153.0;6434.0;3013.0;1717.0;1296.0;5568.0;559.0;5009.0
11;Overheid;18300;2006;246028.0;50216.0;39024.0;4386.0;13476.0;-2470.0;11896.0;11893.0;3.0;105589.0;53843.0;39893.0;13950.0;51746.0;46118.0;5628.0;6149.0;10352.0;;3561.0;6791.0;2608.0;1659.0;949.0;4802.0;562.0;4240.0
12;Overheid;18300;2007;258843.0;52273.0;40961.0;4745.0;14251.0;-1863.0;12586.0;12583.0;3.0;110432.0;54545.0;40228.0;14317.0;55887.0;47892.0;7995.0;7127.0;9903.0;;3680.0;6223.0;3454.0;1868.0;1586.0;4974.0;569.0;4405.0
