ID;RegioS;Perioden;OrganisatiegraadVanWerknemers_1;Mannen15Tot65Jaar_2;Vrouwen15Tot65Jaar_3;k_15Tot25Jaar_4;k_25Tot45Jaar_5;k_45Tot65Jaar_6;LedenVakverenigingTotaal_7;Mannen15Tot65Jaar_8;Vrouwen15Tot65Jaar_9;k_15Tot25Jaar_10;k_25Tot45Jaar_11;k_45Tot65Jaar_12
0;Nederland totaal;2000;25;30;19.0;11.0;23;37;1553.2;1069.7;483.5;86.8;816.4;650.0
1;Nederland totaal;2001;25;29;19.0;11.0;22;36;1537.6;1053.7;483.9;87.3;777.5;672.7
2;Nederland totaal;2002;25;29;19.0;10.0;21;37;1543.6;1049.4;494.2;85.1;742.5;716.0
3;Nederland totaal;2003;24;29;18.0;11.0;21;35;1503.1;1018.8;484.3;89.7;721.5;691.9
4;Nederland totaal;2004;24;29;19.0;10.0;21;35;1492.1;989.2;502.9;77.0;704.8;710.3
5;Nederland totaal;2006;23;27;19.0;10.0;20;34;1446.0;933.3;512.8;73.4;644.3;728.3
6;Noord-Nederland (LD);2000;37;42;28.0;14.0;37;47;212.1;148.0;64.1;11.2;122.3;78.6
7;Noord-Nederland (LD);2001;36;42;27.0;14.0;34;49;220.7;153.2;67.5;11.4;117.6;91.7
8;Noord-Nederland (LD);2002;34;40;26.0;16.0;33;45;209.2;145.8;63.4;12.7;108.2;88.4
9;Noord-Nederland (LD);2003;34;40;25.0;14.0;32;46;203.8;142.1;61.7;10.7;103.7;89.5
10;Noord-Nederland (LD);2004;35;42;27.0;17.0;32;48;211.2;142.2;69.0;12.0;103.2;96.1
11;Noord-Nederland (LD);2006;34;40;26.0;14.0;30;46;202.5;132.3;70.3;10.1;95.0;97.4
12;Oost-Nederland (LD);2000;26;31;19.0;12.0;24;38;328.9;233.0;95.9;21.0;176.0;131.9
13;Oost-Nederland (LD);2001;25;30;19.0;12.0;23;35;328.7;232.7;95.9;21.8;171.7;135.2
14;Oost-Nederland (LD);2002;26;30;19.0;12.0;22;39;330.7;232.6;98.1;21.2;156.7;152.7
15;Oost-Nederland (LD);2003;26;31;19.0;13.0;23;37;338.1;233.3;104.8;23.6;159.9;154.5
16;Oost-Nederland (LD);2004;25;29;19.0;11.0;22;36;318.4;217.7;100.8;17.2;153.2;148.0
17;Oost-Nederland (LD);2006;24;29;19.0;13.0;21;34;311.0;207.9;103.1;20.6;139.4;150.9
18;West-Nederland (LD);2000;24;27;19.0;10.0;21;36;703.4;464.3;239.0;37.7;364.6;301.1
19;West-Nederland (LD);2001;23;27;19.0;9.0;20;36;696.1;458.4;237.7;37.4;346.0;312.6
20;West-Nederland (LD);2002;24;27;19.0;9.0;20;36;708.5;458.9;249.6;36.0;343.2;329.3
21;West-Nederland (LD);2003;23;27;18.0;10.0;20;33;677.3;442.9;234.4;38.8;325.3;313.3
22;West-Nederland (LD);2004;23;27;19.0;10.0;20;34;681.1;436.8;244.3;33.2;319.4;328.5
23;West-Nederland (LD);2006;23;26;19.0;9.0;19;33;670.4;414.3;256.1;31.0;296.9;342.5
24;4 grote gemeenten in West-Nederland;2000;22;23;20.0;11.0;18;37;169.7;99.4;70.3;10.9;92.7;66.2
25;4 grote gemeenten in West-Nederland;2001;22;23;20.0;;19;36;177.2;102.2;75.0;;96.4;71.6
26;4 grote gemeenten in West-Nederland;2002;22;24;21.0;;19;39;185.0;107.3;77.7;;93.7;84.6
27;4 grote gemeenten in West-Nederland;2003;22;24;19.0;;19;33;170.9;102.9;68.1;;92.8;71.5
28;4 grote gemeenten in West-Nederland;2004;22;23;20.0;;18;35;173.7;98.3;75.4;;89.3;77.0
29;4 grote gemeenten in West-Nederland;2006;22;23;21.0;;18;37;179.9;99.7;80.2;;85.4;88.5
30;Overige gemeenten in West-Nederland;2000;25;29;19.0;10.0;23;35;533.6;364.9;168.7;26.8;271.9;234.9
31;Overige gemeenten in West-Nederland;2001;24;28;18.0;10.0;21;36;518.9;356.2;162.7;28.3;249.6;240.9
32;Overige gemeenten in West-Nederland;2002;24;29;18.0;10.0;21;35;523.4;351.5;171.9;29.3;249.5;244.7
33;Overige gemeenten in West-Nederland;2003;23;28;18.0;11.0;20;34;506.4;340.0;166.4;32.1;232.5;241.8
34;Overige gemeenten in West-Nederland;2004;24;28;18.0;10.0;20;34;507.4;338.5;168.9;25.8;230.0;251.5
35;Overige gemeenten in West-Nederland;2006;23;27;18.0;10.0;19;32;490.5;314.6;175.9;25.1;211.4;254.0
36;Zuid-Nederland (LD);2000;23;28;16.0;10.0;20;35;308.8;224.3;84.5;16.9;153.5;138.4
37;Zuid-Nederland (LD);2001;21;26;15.0;10.0;18;32;292.1;209.3;82.8;16.7;142.2;133.3
38;Zuid-Nederland (LD);2002;21;26;15.0;9.0;17;33;295.2;212.1;83.1;15.3;134.4;145.6
39;Zuid-Nederland (LD);2003;21;25;15.0;10.0;18;30;283.9;200.5;83.4;16.6;132.6;134.7
40;Zuid-Nederland (LD);2004;21;25;16.0;9.0;18;30;281.3;192.5;88.8;14.5;129.1;137.7
41;Zuid-Nederland (LD);2006;20;24;14.0;8.0;16;29;262.1;178.8;83.3;11.6;113.0;137.5
42;Groningen (PV);2000;34;39;27.0;;36;41;68.6;46.0;22.6;;42.6;23.1
43;Groningen (PV);2001;35;40;27.0;;31;50;73.0;49.5;23.5;;37.0;32.3
44;Groningen (PV);2002;34;40;27.0;;31;47;71.2;48.5;22.7;;35.7;30.6
45;Groningen (PV);2003;34;39;26.0;;31;48;67.6;45.8;21.8;;34.8;29.8
46;Groningen (PV);2004;35;40;29.0;;31;48;70.8;45.6;25.2;;34.5;32.9
47;Groningen (PV);2006;33;39;26.0;;28;48;68.7;44.7;24.0;;32.1;33.7
48;Friesland (PV);2000;39;45;28.0;;38;51;81.5;59.2;22.3;;45.9;31.6
49;Friesland (PV);2001;37;44;26.0;;36;50;84.0;60.5;23.5;;45.4;34.7
50;Friesland (PV);2002;35;41;24.0;;32;48;76.8;54.7;22.1;;39.1;33.6
51;Friesland (PV);2003;35;43;23.0;;33;47;77.8;56.6;21.2;;39.5;34.2
52;Friesland (PV);2004;37;45;27.0;;33;52;82.8;57.2;25.6;;39.7;38.0
53;Friesland (PV);2006;36;43;27.0;;34;47;78.6;52.7;25.9;;39.2;35.2
54;Drenthe (PV);2000;38;43;29.0;;36;49;62.0;42.8;19.2;;33.7;23.9
55;Drenthe (PV);2001;36;41;29.0;;35;45;63.7;43.2;20.5;;35.2;24.7
56;Drenthe (PV);2002;35;40;27.0;;36;40;61.2;42.6;18.6;;33.4;24.2
57;Drenthe (PV);2003;33;38;26.0;;31;43;58.4;39.7;18.7;;29.4;25.5
58;Drenthe (PV);2004;34;40;25.0;;32;42;57.6;39.4;18.2;;29.0;25.2
59;Drenthe (PV);2006;32;37;26.0;;27;43;55.2;34.9;20.3;;23.7;28.6
60;Overijssel (PV);2000;27;33;19.0;;26;39;108.7;79.6;29.0;;58.9;41.9
61;Overijssel (PV);2001;25;30;18.0;;23;36;105.3;75.3;30.0;;54.9;43.5
62;Overijssel (PV);2002;27;33;17.0;;24;41;109.4;81.5;28.0;;52.5;50.2
63;Overijssel (PV);2003;27;33;18.0;;23;39;112.9;81.1;31.7;;53.1;52.2
64;Overijssel (PV);2004;25;30;20.0;;22;36;101.2;69.6;31.6;;49.6;46.0
65;Overijssel (PV);2006;26;31;19.0;;22;37;105.0;72.2;32.8;;47.7;49.4
66;Flevoland (PV);2000;25;29;;;23;36;31.6;22.2;;;16.8;11.5
67;Flevoland (PV);2001;26;28;22.0;;25;34;33.3;22.1;11.3;;19.3;12.3
68;Flevoland (PV);2002;24;27;20.0;;21;40;34.1;22.4;11.7;;17.5;14.7
69;Flevoland (PV);2003;25;30;20.0;;24;34;36.3;23.8;12.6;;19.5;14.0
70;Flevoland (PV);2004;22;25;18.0;;21;30;32.2;20.9;11.3;;16.8;13.0
71;Flevoland (PV);2006;27;29;24.0;;24;39;39.5;23.8;15.7;;19.5;18.6
72;Gelderland (PV);2000;26;30;20.0;;24;37;188.6;131.2;57.4;;100.3;78.5
73;Gelderland (PV);2001;25;30;18.0;14.0;23;35;190.0;135.4;54.6;13.2;97.5;79.3
74;Gelderland (PV);2002;25;30;19.0;12.0;21;38;187.2;128.7;58.4;12.6;86.7;87.8
75;Gelderland (PV);2003;26;30;20.0;14.0;22;37;188.9;128.4;60.5;13.3;87.3;88.3
76;Gelderland (PV);2004;25;30;19.0;;22;36;185.1;127.2;58.0;;86.8;89.1
77;Gelderland (PV);2006;23;27;17.0;12.0;19;32;166.5;111.9;54.6;11.3;72.2;83.0
78;Utrecht (PV);2000;23;26;19.0;;20;34;104.2;67.0;37.2;;54.5;43.9
79;Utrecht (PV);2001;23;26;19.0;;19;36;106.8;67.8;39.0;;50.8;49.6
80;Utrecht (PV);2002;23;25;20.0;;20;33;105.3;64.2;41.1;;53.5;45.0
81;Utrecht (PV);2003;21;24;17.0;;17;32;99.1;62.8;36.2;;45.9;47.4
82;Utrecht (PV);2004;21;23;18.0;;17;33;97.7;58.9;38.8;;44.2;48.3
83;Utrecht (PV);2006;22;24;19.0;;18;32;104.6;62.5;42.1;;46.5;53.9
84;Noord-Holland (PV);2000;24;27;20.0;9.0;21;37;239.1;152.7;86.4;11.1;126.5;101.5
85;Noord-Holland (PV);2001;25;29;20.0;12.0;22;37;255.6;166.5;89.1;16.0;131.3;108.3
86;Noord-Holland (PV);2002;25;28;21.0;;21;39;260.9;165.9;95.0;;121.3;130.0
87;Noord-Holland (PV);2003;23;27;18.0;10.0;20;35;237.6;153.7;83.8;11.5;112.8;113.2
88;Noord-Holland (PV);2004;25;29;20.0;12.0;21;35;244.0;156.2;87.8;12.9;119.0;112.1
89;Noord-Holland (PV);2006;24;26;20.0;;19;35;239.2;142.6;96.6;;105.8;124.0
90;Zuid-Holland (PV);2000;23;27;18.0;9.0;20;35;315.8;210.7;105.2;16.9;159.9;139.0
91;Zuid-Holland (PV);2001;22;25;18.0;7.0;19;34;298.2;196.6;101.6;13.4;147.5;137.3
92;Zuid-Holland (PV);2002;22;26;18.0;9.0;20;33;301.6;198.5;103.1;16.5;150.2;134.9
93;Zuid-Holland (PV);2003;22;26;18.0;11.0;20;32;300.6;198.1;102.5;18.7;148.9;133.1
94;Zuid-Holland (PV);2004;23;26;18.0;8.0;19;33;300.0;192.4;107.6;13.2;138.0;148.8
95;Zuid-Holland (PV);2006;22;25;18.0;10.0;18;31;289.4;183.8;105.5;15.9;129.4;144.1
96;Zeeland (PV);2000;32;41;19.0;;33;38;44.3;34.0;10.2;;23.6;16.6
97;Zeeland (PV);2001;27;33;;;22;41;35.5;27.5;;;16.5;17.3
98;Zeeland (PV);2002;30;37;19.0;;26;45;40.7;30.2;10.4;;18.2;19.5
99;Zeeland (PV);2003;30;36;21.0;;25;43;40.1;28.2;11.8;;17.7;19.6
100;Zeeland (PV);2004;30;38;18.0;;27;41;39.4;29.3;10.1;;18.2;19.3
101;Zeeland (PV);2006;28;33;21.0;;23;42;37.2;25.3;11.9;;15.2;20.5
102;Noord-Brabant (PV);2000;21;26;15.0;10.0;18;33;197.1;143.5;53.5;13.0;96.3;87.7
103;Noord-Brabant (PV);2001;21;25;14.0;10.0;18;31;195.2;140.0;55.2;12.0;94.6;88.6
104;Noord-Brabant (PV);2002;20;25;14.0;10.0;16;31;191.3;137.8;53.6;11.5;86.1;93.7
105;Noord-Brabant (PV);2003;20;25;14.0;11.0;17;29;186.7;132.8;53.9;12.8;87.3;86.6
106;Noord-Brabant (PV);2004;20;24;15.0;;17;29;182.2;124.5;57.7;;83.6;88.8
107;Noord-Brabant (PV);2006;18;22;13.0;;15;27;168.0;115.1;52.9;;72.5;86.7
108;Limburg (PV);2000;26;31;18.0;;23;38;111.7;80.8;31.0;;57.1;50.7
109;Limburg (PV);2001;22;27;16.0;;19;33;96.9;69.3;27.6;;47.6;44.6
110;Limburg (PV);2002;24;29;17.0;;20;36;103.9;74.3;29.6;;48.2;51.9
