ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
0;2013;16777674;16562235;4589792;2814298;8386073;523650;248422;215439;7572956;2814301;4758655;4193033;523650;41972;7572956;2814301;4758655;2466726;917375;967444;407110;2.19;2564016;1074577;1078563;410876;2040366;753566;923532;363268;523650;321011;155031;47608;2564017;471479;327374;571637;547547;645980
1;2014;16824182;16611341;4575213;2859058;8398756;531361;246953;212841;7631061;2859072;4771989;4199378;531348;41263;7631061;2859072;4771989;2487184;922375;960994;401436;2.18;2561557;1081686;1074479;405392;2030209;756058;916674;357477;531348;325628;157805;47915;2561553;467937;325089;562397;558072;648058
2;2015;16870726;16659545;4551488;2898067;8426334;535569;248087;211181;7687948;2898070;4789878;4213168;535568;41142;7687948;2898070;4789878;2514067;926340;953257;396214;2.17;2554746;1086895;1068067;399784;2019178;758546;908728;351904;535568;328349;159339;47880;2554747;469077;316575;554225;565150;649720
3;2016;16920256;16710032;4522575;2933423;8466190;537024;250820;210224;7744940;2933415;4811525;4233096;537018;41411;7744940;2933415;4811525;2545164;928152;946278;391931;2.16;2545292;1088674;1061801;394817;2008274;759442;901677;347155;537018;329232;160124;47662;2545296;470856;306829;549976;565035;652600
4;2017;16973104;16763283;4498712;2970187;8502637;538436;253311;209821;7801610;2970187;4831423;4251320;538437;41666;7801610;2970187;4831423;2572758;929329;941113;388223;2.15;2537694;1089876;1057323;390495;1999257;759818;896462;342977;538437;330058;160861;47518;2537691;473928;301163;545082;561591;655927
5;2018;17030266;16820360;4479657;3008184;8537027;539633;255859;209906;7858279;3008177;4850102;4268515;539632;41955;7858279;3008177;4850102;2597312;930193;937509;385088;2.14;2531756;1090550;1054500;386706;1992124;759877;892881;339366;539632;330673;161619;47340;2531760;477295;301136;537851;551764;663714
6;2019;17086402;16876073;4462972;3047103;8566996;540622;258380;210329;7913500;3047111;4866389;4283496;540627;42266;7913500;3047111;4866389;2618613;931044;934658;382074;2.13;2526603;1091208;1052329;383066;1985976;760046;890054;335876;540627;331162;162275;47190;2526607;480673;302506;532486;540906;670036
7;2020;17141077;16930035;4448317;3086032;8593600;541247;260839;211042;7966674;3086030;4880644;4296802;541253;42589;7966674;3086030;4880644;2637596;932215;931797;379036;2.13;2521735;1092413;1049970;379352;1980482;760803;887284;332395;541253;331610;162686;46957;2521734;483487;305236;524578;531789;676644
8;2021;17193906;16981854;4435283;3124384;8617321;541676;263190;212052;8017607;3124383;4893224;4308661;541679;42884;8017607;3124383;4893224;2653813;933027;929646;376738;2.12;2517819;1093113;1048292;376414;1976140;761242;885225;329673;541679;331871;163067;46741;2517816;486357;307919;516203;525022;682315
9;2022;17245133;17031768;4423752;3162397;8638550;541550;265519;213365;8066419;3162396;4904023;4319277;541549;43197;8066419;3162396;4904023;2668451;932885;928020;374667;2.11;2513496;1092880;1046934;373682;1971947;761006;883746;327195;541549;331874;163188;46487;2513498;488872;310409;507888;522685;683644
