ID;BedrijfsactiviteitenSBI93;Perioden;RealisatieToegenomen_1;RealisatieGelijkGebleven_2;RealisatieAfgenomen_3;RealisatieSaldo_4;VerwachteProductieToenemen_5;VerwachteProductieGelijkBlijven_6;VerwachteProductieAfnemen_7;VerwachteProductieSaldo_8;Bezettingsgraad_9;ProductiecapaciteitTeGroot_10;ProductiecapaciteitVoldoende_11;ProductiecapaciteitTeKlein_12;ProductiecapaciteitSaldo_13;GeenProductiebelemmeringen_14;BelemmeringDoorOnvoldoendeVraag_15;BelemmeringDoorPersoneelstekort_16;BelemmeringDoorGebrekAanCapaciteit_17;BelemmeringDoorAndereOorzaken_18;OrderontvangstToegenomen_19;OrderontvangstGelijkGebleven_20;OrderontvangstAfgenomen_21;OrderontvangstSaldo_22;OrderontvangstToegenomen_23;OrderontvangstGelijkGebleven_24;OrderontvangstAfgenomen_25;OrderontvangstSaldo_26;OrderontvangstToegenomen_27;OrderontvangstGelijkGebleven_28;OrderontvangstAfgenomen_29;OrderontvangstSaldo_30;OordeelOrderontvangstGroot_31;OordeelOrderontvangstNormaal_32;OordeelOrderontvangstKlein_33;OordeelOrderontvangstSaldo_34;BasisindexcijferJuli2000100_35;OordeelOrderpositieGroot_36;OordeelOrderpositieNormaal_37;OordeelOrderpositieKlein_38;OordeelOrderpositieSaldo_39;BuitenlandseOrderpositieGroot_40;BuitenlandseOrderpositieNormaal_41;BuitenlandseOrderpositieKlein_42;BuitenlandseOrderpositieSaldo_43;VerkoopprijzenStijgen_44;VerkoopprijzenBlijvenGelijk_45;VerkoopprijzenDalen_46;VerkoopprijzenSaldo_47;VoorradenEindproductTeGroot_48;VoorradenEindproductVoldoende_49;VoorradenEindproductTeKlein_50;VoorradenEindproductSaldo_51;ConcurrentiepositieVerbeterd_52;ConcurrentiepositieOngewijzigd_53;ConcurrentiepositieVerslechterd_54;ConcurrentiepositieSaldo_55;ConcurrentiepositieVerbeterd_56;ConcurrentiepositieOngewijzigd_57;ConcurrentiepositieVerslechterd_58;ConcurrentiepositieSaldo_59;ConcurrentiepositieVerbeterd_60;ConcurrentiepositieOngewijzigd_61;ConcurrentiepositieVerslechterd_62;ConcurrentiepositieSaldo_63;AfzetBuitenlandToenemen_64;AfzetBuitenlandGelijkBlijven_65;AfzetBuitenlandAfnemen_66;AfzetBuitenlandSaldo_67;PersoneelssterkteToenemen_68;PersoneelssterkteGelijkBlijven_69;PersoneelssterkteAfnemen_70;PersoneelssterkteSaldo_71;RealisatieProductie_72;VerwachtingProductie_73;OordeelProductiecapaciteit_74;OrdersTotaal_75;OrdersBinnenland_76;OrdersBuitenland_77;OordeelOrderontvangst_78;OordeelTotaleOrderpositie_79;OordeelOrderpositieBuitenland_80;Verkoopprijzen_81;VoorradenEindproduct_82;NederlandseMarkt_83;BinnenEU_84;BuitenEU_85;AfzetBuitenland_86;Personeelssterkte_87
0;1500h Industrie (uitgezonderd ..);1989 februari;14.0;73.0;13.0;1.0;17.0;78.0;5.0;12.0;;;;;;;;;;;25.0;57.0;18.0;7.0;20.0;62.0;18.0;2.0;27.0;53.0;20.0;7.0;12.0;77.0;11.0;1.0;113.5;9.0;80.0;11.0;-2.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;1.0;12.0;;7.0;2.0;7.0;1.0;-2.0;;;3.0;;;;;
1;1500h Industrie (uitgezonderd ..);1989 maart;12.0;79.0;9.0;3.0;20.0;73.0;7.0;13.0;;;;;;;;;;;23.0;60.0;17.0;6.0;19.0;66.0;15.0;4.0;24.0;59.0;17.0;7.0;9.0;79.0;12.0;-3.0;114.0;10.0;78.0;12.0;-2.0;;;;;;;;;8.0;88.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;3.0;13.0;;6.0;4.0;7.0;-3.0;-2.0;;;4.0;;;;;
2;1500h Industrie (uitgezonderd ..);1989 april;24.0;69.0;7.0;17.0;18.0;75.0;7.0;11.0;86.1;8.0;85.0;7.0;1.0;83.0;8.0;2.0;3.0;4.0;31.0;58.0;11.0;20.0;31.0;59.0;10.0;21.0;28.0;61.0;11.0;17.0;10.0;79.0;11.0;-1.0;120.0;11.0;78.0;11.0;0.0;;;;;;;;;7.0;87.0;6.0;1.0;;;;;;;;;;;;;29.0;67.0;4.0;25.0;14.0;70.0;16.0;-2.0;17.0;11.0;1.0;20.0;21.0;17.0;-1.0;0.0;;;1.0;;;;25.0;-2.0
3;1500h Industrie (uitgezonderd ..);1989 mei;15.0;74.0;11.0;4.0;19.0;74.0;7.0;12.0;;;;;;;;;;;18.0;59.0;23.0;-5.0;18.0;66.0;16.0;2.0;17.0;53.0;30.0;-13.0;9.0;78.0;13.0;-4.0;119.7;10.0;79.0;11.0;-1.0;;;;;;;;;7.0;88.0;5.0;2.0;;;;;;;;;;;;;;;;;;;;;4.0;12.0;;-5.0;2.0;-13.0;-4.0;-1.0;;;2.0;;;;;
4;1500h Industrie (uitgezonderd ..);1989 juni;15.0;75.0;10.0;5.0;15.0;78.0;7.0;8.0;;;;;;;;;;;20.0;61.0;19.0;1.0;21.0;62.0;17.0;4.0;19.0;62.0;19.0;0.0;9.0;78.0;13.0;-4.0;119.7;10.0;78.0;12.0;-2.0;;;;;;;;;7.0;88.0;5.0;2.0;;;;;;;;;;;;;;;;;;;;;5.0;8.0;;1.0;4.0;0.0;-4.0;-2.0;;;2.0;;;;;
5;1500h Industrie (uitgezonderd ..);1989 juli;19.0;72.0;9.0;10.0;11.0;79.0;10.0;1.0;85.8;6.0;87.0;7.0;-1.0;82.0;7.0;3.0;3.0;5.0;25.0;61.0;14.0;11.0;19.0;66.0;15.0;4.0;25.0;62.0;13.0;12.0;10.0;77.0;13.0;-3.0;120.7;12.0;78.0;10.0;2.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;14.0;80.0;6.0;8.0;13.0;73.0;14.0;-1.0;10.0;1.0;-1.0;11.0;4.0;12.0;-3.0;2.0;;;3.0;;;;8.0;-1.0
6;1500h Industrie (uitgezonderd ..);1989 augustus;9.0;78.0;13.0;-4.0;15.0;78.0;7.0;8.0;;;;;;;;;;;14.0;60.0;26.0;-12.0;12.0;68.0;20.0;-8.0;12.0;57.0;31.0;-19.0;7.0;81.0;12.0;-5.0;120.3;11.0;79.0;10.0;1.0;;;;;;;;;7.0;89.0;4.0;3.0;;;;;;;;;;;;;;;;;;;;;-4.0;8.0;;-12.0;-8.0;-19.0;-5.0;1.0;;;3.0;;;;;
7;1500h Industrie (uitgezonderd ..);1989 september;13.0;76.0;11.0;2.0;17.0;75.0;8.0;9.0;;;;;;;;;;;21.0;59.0;20.0;1.0;22.0;62.0;16.0;6.0;22.0;56.0;22.0;0.0;7.0;78.0;15.0;-8.0;120.6;9.0;81.0;10.0;-1.0;;;;;;;;;8.0;88.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;2.0;9.0;;1.0;6.0;0.0;-8.0;-1.0;;;4.0;;;;;
8;1500h Industrie (uitgezonderd ..);1989 oktober;20.0;71.0;9.0;11.0;15.0;78.0;7.0;8.0;86.5;6.0;87.0;7.0;-1.0;81.0;7.0;4.0;3.0;5.0;31.0;55.0;14.0;17.0;27.0;60.0;13.0;14.0;33.0;50.0;17.0;16.0;8.0;78.0;14.0;-6.0;121.9;10.0;80.0;10.0;0.0;;;;;;;;;8.0;87.0;5.0;3.0;;;;;;;;;;;;;16.0;75.0;9.0;7.0;14.0;72.0;14.0;0.0;11.0;8.0;-1.0;17.0;14.0;16.0;-6.0;0.0;;;3.0;;;;7.0;0.0
9;1500h Industrie (uitgezonderd ..);1989 november;14.0;76.0;10.0;4.0;13.0;80.0;7.0;6.0;;;;;;;;;;;20.0;62.0;18.0;2.0;19.0;65.0;16.0;3.0;20.0;61.0;19.0;1.0;8.0;78.0;14.0;-6.0;122.3;10.0;80.0;10.0;0.0;;;;;;;;;8.0;88.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;4.0;6.0;;2.0;3.0;1.0;-6.0;0.0;;;4.0;;;;;
