ID;Diersoorten;Perioden;RodeLijstenToeOfAfname_1
0;Totaal diergroepen;1950-1994;100.0
1;Totaal diergroepen;1950-2005;106.0
2;Totaal diergroepen;1950-2012;104.0
3;Amfibieën en reptielen;1950-1994;100.0
4;Amfibieën en reptielen;1950-2005;
5;Amfibieën en reptielen;1950-2012;
6;Dagvlinders;1950-1994;100.0
7;Dagvlinders;1950-2005;116.0
8;Dagvlinders;1950-2012;116.0
9;Vogels;1950-1994;100.0
10;Vogels;1950-2005;104.0
11;Vogels;1950-2012;104.0
12;Zoogdieren;1950-1994;100.0
13;Zoogdieren;1950-2005;87.0
14;Zoogdieren;1950-2012;72.0
