ID;Periods;TotalPopulation_1;Males_2;Females_3;TotalPopulation_4;NeverMarried_5;Married_6;Widowed_7;Divorced_8;TotalPopulation_9;YoungerThan20Years_10;k_20To40Years_11;k_40To65Years_12;k_65To80Years_13;k_80YearsOrOlder_14;YoungerThan20Years_15;k_20To40Years_16;k_40To65Years_17;k_65To80Years_18;k_80YearsOrOlder_19;TotalDemographicPressure_20;GreenPressure_21;GreyPressure_22;TotalPopulation_23;Males_24;Females_25;TotalPopulation_26;TheNetherlands_27;EuropeExcludingTheNetherlands_28;TotalOutsideEurope_29;Turkey_30;Morocco_31;Suriname_32;DutchCaribbean_33;Indonesia_34;OtherAfrica_35;OtherAsia_36;OtherAmericaAndOceania_37;TheNetherlands_38;EuropeExcludingTheNetherlands_39;TotalOutsideEurope_40;Turkey_41;Morocco_42;Suriname_43;DutchCaribbean_44;Indonesia_45;OtherAfrica_46;OtherAsia_47;OtherAmericaAndOceania_48;TheNetherlands_49;EuropeExcludingTheNetherlands_50;TotalOutsideEurope_51;Turkey_52;Morocco_53;Suriname_54;DutchCaribbean_55;Indonesia_56;OtherAfrica_57;OtherAsia_58;OtherAmericaAndOceania_59;TotalPrivateHouseholds_60;OnePersonHouseholds_61;MultiPersonHouseholds_62;AverageHouseholdSize_63;PopulationInInstitutionalHouseholds_64;TotalPopulationGrowth_65;TotalPopulationGrowthRate_66;LiveBornChildren_67;Deaths_68;NaturalIncrease_69;NaturalIncreaseRate_70;Immigration_71;EmigrationIncludingAdministrativeC_72;NetMigrationIncludingAdministrativ_73;NetMigrationIncludingAdminRate_74;OtherCorrections_75;PopulationDensity_76
10;1960;11417254;5686152;5731102;11417254;5730715;5103163;495131;88245;11417254;4331042;3098779;2968611;864423;154399;37.9;27.1;26.0;7.6;1.4;88.2;71.4;16.8;31.7;31.1;32.4;11417254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3171;387;2784;3.56;;138754.0;12.2;239128.0;87825.0;151303.0;13.2;45407.0;58226.0;-12819.0;-1.1;270.0;352
11;1961;11556008;5754229;5801779;11556008;5785892;5182053;506613;81450;11556008;4386744;3100271;3020409;887637;160947;38.0;26.8;26.1;7.7;1.4;88.8;71.7;17.1;31.8;31.1;32.5;11556008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3231;410;2821;3.54;;165408.0;14.3;247407.0;88321.0;159086.0;13.7;55082.0;48670.0;6412.0;0.6;-90.0;344
12;1962;11721416;5838368;5883048;11721416;5850611;5270315;516742;83748;11721416;4461142;3114828;3065393;912524;167529;38.1;26.6;26.2;7.8;1.4;89.7;72.2;17.5;31.9;31.2;32.6;11721416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3286;433;2853;3.53;;168546.0;14.4;246150.0;93969.0;152181.0;12.9;66035.0;49082.0;16953.0;1.4;-588.0;349
13;1963;11889962;5923811;5966151;11889962;5917551;5359878;527100;85433;11889962;4532162;3141795;3108573;934630;172802;38.1;26.4;26.1;7.9;1.5;90.2;72.5;17.7;31.9;31.2;32.6;11889962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3342;457;2886;3.52;;152008.0;12.8;249879.0;95734.0;154145.0;12.9;55127.0;46691.0;8436.0;0.7;-10573.0;355
14;1964;12041970;6001376;6040594;12041970;5975336;5441831;537585;87218;12041970;4583772;3174758;3150735;955313;177392;38.1;26.4;26.2;7.9;1.5;90.4;72.5;17.9;32.0;31.2;32.7;12041970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3419;484;2935;3.49;;170299.0;14.1;250914.0;93437.0;157477.0;13.0;67079.0;53419.0;13660.0;1.1;-838.0;360
15;1965;12212269;6090529;6121740;12212269;6025009;5547842;549790;89628;12212269;4631281;3227357;3191097;976752;185782;37.9;26.4;26.1;8.0;1.5;90.3;72.2;18.1;32.0;31.3;32.8;12212269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3508;513;2995;3.45;;164925.0;13.5;245216.0;98026.0;147190.0;12.0;76572.0;57808.0;18764.0;1.5;-1029.0;365
16;1966;12377194;6178283;6198911;12377194;6059792;5662112;562821;92469;12377194;4685535;3274528;3227483;996411;193237;37.9;26.5;26.1;8.1;1.6;90.4;72.1;18.3;32.1;31.3;32.9;12377194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3602;544;3058;3.4;;158113.0;12.8;239611.0;100516.0;139095.0;11.2;81842.0;61892.0;19950.0;1.6;-932.0;370
17;1967;12535307;6262052;6273255;12535307;6080609;5783104;575104;96490;12535307;4659556;3397478;3259448;1018765;200060;37.2;27.1;26.0;8.1;1.6;88.3;70.0;18.3;32.2;31.4;33.0;12535307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3698;576;3121;3.34;;125788.0;10.0;238678.0;99792.0;138886.0;11.0;55784.0;67292.0;-11508.0;-0.9;-1590.0;375
18;1968;12661095;6317025;6344070;12661095;6082119;5888608;588916;101452;12661095;4640156;3485200;3283600;1043617;208522;36.6;27.5;25.9;8.2;1.6;87.1;68.6;18.5;32.3;31.5;33.2;12661095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3790;609;3181;3.3;;137251.0;10.8;237112.0;104989.0;132123.0;10.4;64486.0;58479.0;6007.0;0.5;-879.0;379
19;1969;12798346;6382960;6415386;12798346;6083804;6004522;602271;107749;12798346;4637626;3566931;3312816;1065626;215347;36.2;27.9;25.9;8.3;1.7;86.0;67.4;18.6;32.4;31.5;33.3;12798346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3890;644;3246;3.25;;159275.0;12.4;247588.0;107615.0;139973.0;10.9;76359.0;56176.0;20183.0;1.6;-881.0;379
20;1970;12957621;6465081;6492540;12957621;6104254;6121941;616504;114922;12957621;4657606;3650362;3338678;1089232;221743;35.9;28.2;25.8;8.4;1.7;85.4;66.6;18.8;32.5;31.6;33.4;12957621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3986;679;3307;3.21;;161809.0;12.5;238912.0;109619.0;129293.0;9.9;90829.0;57375.0;33454.0;2.6;-938.0;384
21;1971;13119430;6549696;6569734;13119430;6114007;6253128;631129;121166;13119430;4678829;3730445;3370407;1111504;228245;35.7;28.4;25.7;8.5;1.7;84.8;65.9;18.9;32.6;31.6;33.5;13119430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4094;716;3378;3.17;255.0;150133.0;11.4;227180.0;110243.0;116937.0;8.9;95054.0;62040.0;33014.0;2.5;182.0;389
22;1972;13269563;6624210;6645353;13269563;6116183;6377948;644911;130521;13269563;4694750;3809177;3397711;1132778;235147;35.4;28.7;25.6;8.5;1.8;84.1;65.1;19.0;32.7;31.7;33.6;13269563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4211;756;3454;3.11;;118060.0;8.9;214133.0;113576.0;100557.0;7.5;81329.0;62200.0;19129.0;1.4;-1626.0;394
23;1973;13387623;6675531;6712092;13387623;6109300;6472860;660242;145221;13387623;4691201;3876435;3424718;1154901;240368;35.0;29.0;25.6;8.6;1.8;83.4;64.3;19.1;32.8;31.8;33.8;13387623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4337;799;3538;3.04;;103397.0;7.7;194993.0;110682.0;84311.0;6.3;84691.0;63623.0;21068.0;1.6;-1982.0;396
24;1974;13491020;6722096;6768924;13491020;6106097;6546349;674186;164388;13491020;4670957;3948968;3444804;1177000;249291;34.6;29.3;25.5;8.7;1.8;82.5;63.2;19.3;33.0;32.0;34.0;13491020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4454;842;3613;2.99;;108072.0;8.0;185982.0;109250.0;76732.0;5.7;93796.0;60655.0;33141.0;2.4;-1801.0;399
25;1975;13599092;6771613;6827479;13599092;6099415;6626364;688197;185116;13599092;4646232;4026470;3466969;1201043;258378;34.2;29.6;25.5;8.8;1.9;81.5;62.0;19.5;33.2;32.2;34.3;13599092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4561;883;3678;2.95;;134486.0;9.9;177876.0;113737.0;64139.0;4.7;127264.0;55209.0;72055.0;5.3;-1708.0;402
26;1976;13733578;6836875;6896703;13733578;6120879;6704149;694903;213647;13733578;4624109;4121445;3497868;1221862;268294;33.7;30.0;25.5;8.9;2.0;80.2;60.7;19.6;33.5;32.4;34.5;13733578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4660;924;3737;2.9;;80917.0;5.9;177090.0;114454.0;62636.0;4.5;82953.0;61530.0;21423.0;1.6;-3142.0;406
27;1977;13814495;6871547;6942948;13814495;6120117;6747124;708657;238597;13814495;4579205;4197667;3523309;1236344;277970;33.1;30.4;25.5;8.9;2.0;78.9;59.3;19.6;33.7;32.6;34.8;13814495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4752;964;3788;2.87;;83379.0;6.0;173296.0;110093.0;63203.0;4.6;83899.0;63555.0;20344.0;1.5;-168.0;409
28;1978;13897874;6907216;6990658;13897874;6127203;6784633;723362;262676;13897874;4528294;4276841;3543413;1259198;290128;32.6;30.8;25.5;9.1;2.1;77.7;57.9;19.8;34.0;32.8;35.1;13897874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4839;1004;3835;2.83;;87652.0;6.3;175550.0;114415.0;61135.0;4.4;89184.0;62579.0;26605.0;1.9;-88.0;411
29;1979;13985526;6945442;7040084;13985526;6149643;6811470;737346;287067;13985526;4479535;4353469;3571626;1280786;300110;32.0;31.1;25.5;9.2;2.1;76.5;56.5;19.9;34.2;33.0;35.3;13985526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4911;1042;3869;2.81;;105488.0;7.5;174979.0;112565.0;62414.0;4.4;104553.0;61517.0;43036.0;3.1;38.0;413
30;1980;14091014;6994280;7096734;14091014;6190940;6835014;751355;313705;14091014;4431785;4441579;3602326;1303447;311877;31.5;31.5;25.6;9.3;2.2;75.2;55.1;20.1;34.4;33.2;35.6;14091014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5006;1085;3921;2.78;;117572.0;8.3;181294.0;114279.0;67015.0;4.7;112504.0;61948.0;50556.0;3.6;1.0;415
31;1981;14208586;7048474;7160112;14208586;6234552;6866010;764965;343059;14208586;4395798;4525169;3645612;1318916;323091;30.9;31.8;25.7;9.3;2.3;73.9;53.8;20.1;34.6;33.4;35.8;14208586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5103;1139;3964;2.75;289.0;77243.0;5.4;178569.0;115515.0;63054.0;4.4;80183.0;65814.0;14369.0;1.0;-180.0;419
32;1982;14285829;7081566;7204263;14285829;6259816;6870988;777553;377472;14285829;4330786;4607340;3679442;1332480;335781;30.3;32.3;25.8;9.3;2.4;72.4;52.3;20.1;34.9;33.6;36.1;14285829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5239;1240;3999;2.69;;53722.0;3.8;172071.0;117264.0;54807.0;3.8;70740.0;72024.0;-1284.0;-0.1;199.0;421
33;1983;14339551;7102598;7236953;14339551;6238717;6905257;786477;409100;14339551;4252760;4676776;3721901;1343109;345005;29.7;32.6;26.0;9.4;2.4;70.7;50.6;20.1;35.1;33.9;36.3;14339551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5367;1343;4024;2.63;;55038.0;3.8;170246.0;117761.0;52485.0;3.7;66762.0;64431.0;2331.0;0.2;222.0;423
34;1984;14394589;7124152;7270437;14394589;6261073;6884996;798174;450346;14394589;4167550;4739037;3779544;1350817;357641;29.0;32.9;26.3;9.4;2.5;69.0;48.9;20.1;35.4;34.1;36.6;14394589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5494;1449;4045;2.58;;59244.0;4.1;174436.0;119812.0;54624.0;3.8;66907.0;61774.0;5133.0;0.4;-513.0;424
35;1985;14453833;7149620;7304213;14453833;6285610;6869619;808543;490061;14453833;4084506;4795956;3843625;1359038;370708;28.3;33.2;26.6;9.4;2.6;67.3;47.3;20.0;35.6;34.4;36.9;14453833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5613;1556;4057;2.54;290.0;75597.0;5.2;178136.0;122704.0;55432.0;3.8;79362.0;59475.0;19887.0;1.4;278.0;426
36;1986;14529430;7184538;7344892;14529430;6323365;6859886;818352;527827;14529430;4018630;4863855;3877757;1386796;382392;27.7;33.5;26.7;9.5;2.6;66.2;46.0;20.2;35.9;34.6;37.1;14529430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5711;1604;4107;2.51;;85695.0;5.9;184513.0;125307.0;59206.0;4.1;87387.0;60607.0;26780.0;1.8;-291.0;428
37;1987;14615125;7224323;7390802;14615125;6356280;6879804;826934;552107;14615125;3968023;4854891;3988197;1411662;392352;27.2;33.2;27.3;9.7;2.7;65.3;44.9;20.4;36.1;34.8;37.3;14615125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5814;1658;4156;2.49;;99823.0;6.8;186667.0;122199.0;64468.0;4.4;95935.0;60844.0;35091.0;2.4;264.0;431
38;1988;14714948;7273611;7441337;14714948;6405860;6898335;836619;574134;14714948;3922311;4862329;4090241;1434264;405803;26.7;33.0;27.8;9.7;2.8;64.4;43.8;20.6;36.2;34.9;37.5;14714948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5837;1677;4160;2.48;;90292.0;6.1;186647.0;124163.0;62484.0;4.2;91238.0;63996.0;27242.0;1.8;566.0;434
39;1989;14805240;7316590;7488650;14805240;6446803;6916716;845193;596528;14805240;3874701;4879741;4173791;1458653;418354;26.2;33.0;28.2;9.9;2.8;63.5;42.8;20.7;36.4;35.1;37.7;14805240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5938;1721;4218;2.45;;87334.0;5.9;188979.0;128905.0;60074.0;4.0;98914.0;72063.0;26851.0;1.8;409.0;436
40;1990;14892574;7358482;7534092;14892574;6464971;6956510;853599;617494;14892574;3822205;4912128;4252617;1477909;427715;25.7;33.0;28.6;9.9;2.9;62.5;41.7;20.8;36.6;35.3;37.9;14892574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6061;1813;4249;2.42;272.0;117871.0;7.9;197965.0;128824.0;69141.0;4.6;117350.0;68939.0;48411.0;3.2;319.0;439
41;1991;15010445;7419501;7590944;15010445;6518388;6995091;861207;635759;15010445;3786164;4960023;4330616;1496394;437248;25.2;33.0;28.9;10.0;2.9;61.6;40.8;20.8;36.8;35.4;38.1;15010445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6164;1844;4320;2.4;;118705.0;7.9;198665.0;129958.0;68707.0;4.6;120249.0;70639.0;49610.0;3.3;388.0;442
42;1992;15129150;7480422;7648728;15129150;6572603;7036575;866367;653605;15129150;3762239;4998563;4408652;1515408;444288;24.9;33.0;29.1;10.0;2.9;60.8;40.0;20.8;36.9;35.6;38.2;15129150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6266;1913;4353;2.38;250.0;110032.0;7.3;196734.0;129887.0;66847.0;4.4;116926.0;73808.0;43118.0;2.8;67.0;446
43;1993;15239182;7535268;7703914;15239182;6626044;7064236;871905;676997;15239182;3746470;5014662;4492523;1529136;456391;24.6;32.9;29.5;10.0;3.0;60.3;39.4;20.9;37.1;35.8;38.4;15239182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6368;1968;4401;2.36;;102371.0;6.7;195748.0;137795.0;57953.0;3.8;119154.0;74788.0;44366.0;2.9;52.0;449
44;1994;15341553;7585887;7755666;15341553;6688832;7075002;876986;700733;15341553;3751154;5011430;4570975;1543699;464295;24.5;32.7;29.8;10.1;3.0;60.1;39.1;21.0;37.2;35.9;38.5;15341553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6445;2003;4442;2.35;;82569.0;5.4;195611.0;133471.0;62140.0;4.0;99311.0;79228.0;20083.0;1.3;346.0;452
45;1995;15424122;7627482;7796640;15424122;6735614;7081536;875647;731325;15424122;3760155;4981153;4649238;1557819;475757;24.4;32.3;30.1;10.1;3.1;60.2;39.0;21.1;37.4;36.1;38.6;15424122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6469;2109;4360;2.35;248.0;69767.0;4.5;190513.0;135675.0;54838.0;3.5;96099.0;82195.0;13904.0;0.9;1025.0;455
46;1996;15493889;7662289;7831600;15493889;6792423;7061695;878081;761690;15493889;3771609;4938040;4723368;1579397;481475;24.3;31.9;30.5;10.2;3.1;60.4;39.0;21.3;37.6;36.3;38.8;15493889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6518;2124;4394;2.34;247.0;73218.0;4.7;189521.0;137561.0;51960.0;3.3;108749.0;91945.0;16804.0;1.1;4454.0;457
47;1997;15567107;7696803;7870304;15567107;6848973;7045382;881565;791187;15567107;3787364;4893195;4802709;1596420;487419;24.3;31.4;30.9;10.3;3.1;60.6;39.1;21.5;37.7;36.5;39.0;15567107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6581;2158;4423;2.33;242.0;87085.0;5.6;192443.0;135783.0;56660.0;3.6;109860.0;81973.0;27887.0;1.8;2538.0;459
48;1998;15654192;7740074;7914118;15654192;6910940;7044539;882562;816151;15654192;3809170;4848625;4886678;1616527;493192;24.3;31.0;31.2;10.3;3.2;60.8;39.1;21.7;37.9;36.6;39.1;15654192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6656;2201;4455;2.32;237.0;106033.0;6.8;199408.0;137482.0;61926.0;3.9;122407.0;79289.0;43118.0;2.7;989.0;462
49;1999;15760225;7793271;7966954;15760225;6980384;7058381;862537;858923;15760225;3839842;4809644;4979805;1634782;496152;24.4;30.5;31.6;10.4;3.1;61.0;39.2;21.8;38.0;36.8;39.2;15760225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6745;2255;4491;2.3;231.0;103725.0;6.6;200445.0;140487.0;59958.0;3.8;119151.0;78779.0;40372.0;2.6;3395.0;465
50;2000;15863950;7846317;8017633;15863950;7048699;7071202;882071;861978;15863950;3873008;4761504;5076996;1652103;500339;24.4;30.0;32.0;10.4;3.2;61.2;39.4;21.9;38.2;37.0;39.4;15863950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6801;2272;4529;2.3;224.0;123125.0;7.8;206619.0;140527.0;66092.0;4.2;132850.0;78977.0;53873.0;3.4;3160.0;468
51;2001;15987075;7909855;8077220;15987075;7138972;7079502;882162;886439;15987075;3908053;4727104;5177417;1657864;516637;24.4;29.6;32.4;10.4;3.2;61.4;39.5;22.0;38.3;37.1;39.5;15987075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6867;2307;4560;2.3;219.0;118210.0;7.4;202603.0;140377.0;62226.0;3.9;133404.0;82566.0;50838.0;3.2;5146.0;472
52;2002;16105285;7971967;8133318;16105285;7241077;7063982;881876;918350;16105285;3940636;4685727;5280208;1667107;531607;24.5;29.1;32.8;10.4;3.3;61.6;39.5;22.1;38.4;37.3;39.6;16105285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6934;2345;4589;2.29;217.0;87287.0;5.4;202083.0;142355.0;59728.0;3.7;121250.0;96918.0;24332.0;1.5;3227.0;475
53;2003;16192572;8015471;8177101;16192572;7321665;7052176;879742;938989;16192572;3968999;4624170;5378947;1676486;543970;24.5;28.6;33.2;10.4;3.4;61.9;39.7;22.2;38.6;37.4;39.7;16192572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6996;2384;4612;2.28;215.0;65460.0;4.0;200297.0;141936.0;58361.0;3.6;104514.0;104831.0;-317.0;0.0;7416.0;479
54;2004;16258032;8045914;8212118;16258032;7389408;7034504;877579;956541;16258032;3987557;4548566;5470755;1692856;558298;24.5;28.0;33.6;10.4;3.4;62.3;39.8;22.5;38.7;37.6;39.8;16258032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7049;2424;4625;2.28;215.0;47494.0;2.9;194007.0;136553.0;57454.0;3.5;94019.0;110235.0;-16216.0;-1.0;6256.0;481
55;2005;16305526;8065979;8239547;16305526;7450192;7002557;876605;976172;16305526;3987957;4467783;5561116;1715097;573573;24.5;27.4;34.1;10.5;3.5;62.6;39.8;22.8;39.0;37.9;40.0;16305526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7091;2449;4642;2.27;213.0;28684.0;1.8;187910.0;136402.0;51508.0;3.2;92297.0;119725.0;-27428.0;-1.7;4604.0;483
56;2006;16334210;8077407;8256803;16334210;7499312;6964100;874896;995902;16334210;3975626;4389840;5638285;1743443;587016;24.3;26.9;34.5;10.7;3.6;62.9;39.6;23.2;39.2;38.1;40.3;16334210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7146;2502;4644;2.26;209.0;23782.0;1.5;185057.0;135372.0;49685.0;3.0;101150.0;132470.0;-31320.0;-1.9;5417.0;483
57;2007;16357992;8088514;8269478;16357992;7543236;6927736;871565;1015455;16357992;3957103;4319136;5713401;1767510;600842;24.2;26.4;34.9;10.8;3.7;63.0;39.4;23.6;39.5;38.4;40.5;16357992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7191;2537;4654;2.25;207.0;47407.0;2.9;181336.0;133022.0;48314.0;2.9;116819.0;122576.0;-5757.0;-0.4;4850.0;484
58;2008;16405399;8112073;8293326;16405399;7601904;6898147;869611;1035737;16405399;3940450;4267063;5783060;1799337;615489;24.0;26.0;35.3;11.0;3.8;63.2;39.2;24.0;39.7;38.7;40.7;16405399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7242;2571;4671;2.24;207.0;80388.0;4.9;184634.0;135136.0;49498.0;3.0;143516.0;117779.0;25737.0;1.6;5153.0;486
