ID;BedrijfstakkenBranchesSBI2008;Perioden;SnelgroeiendeBedrijven_1;WerknemersBijSnelgroeiendeBedrijven_2;JongeSnelgroeiendeBedrijven_3;WerknemersBijJongeSnelgroeiendeBed_4
0;B Delfstoffenwinning;2010;9.0;788.0;;
1;B Delfstoffenwinning;2011;10.0;648.0;;
2;B Delfstoffenwinning;2012;5.0;603.0;;
3;B Delfstoffenwinning;2013;8.0;2337.0;;
4;B Delfstoffenwinning;2014;14.0;3058.0;;
5;B Delfstoffenwinning;2015;13.0;1871.0;;
6;B Delfstoffenwinning;2016;10.0;973.0;;
7;B Delfstoffenwinning;2017;4.0;;;
8;B Delfstoffenwinning;2018;7.0;523.0;;
9;B Delfstoffenwinning;2019;7.0;568.0;;
10;B Delfstoffenwinning;2020;11.0;681.0;;
11;B Delfstoffenwinning;2021;7.0;478.0;0.0;0.0
12;B Delfstoffenwinning;2022;5.0;325.0;;
13;Business Economy, B-N, excl. K, incl. 95;2010;6025.0;592188.0;;
14;Business Economy, B-N, excl. K, incl. 95;2011;5616.0;540458.0;;
15;Business Economy, B-N, excl. K, incl. 95;2012;5868.0;619678.0;;
16;Business Economy, B-N, excl. K, incl. 95;2013;5794.0;611985.0;;
17;Business Economy, B-N, excl. K, incl. 95;2014;5528.0;637410.0;;
18;Business Economy, B-N, excl. K, incl. 95;2015;6128.0;699160.0;;
19;Business Economy, B-N, excl. K, incl. 95;2016;7279.0;830332.0;;
20;Business Economy, B-N, excl. K, incl. 95;2017;8498.0;945515.0;;
21;Business Economy, B-N, excl. K, incl. 95;2018;10206.0;1263069.0;;
22;Business Economy, B-N, excl. K, incl. 95;2019;9278.0;1063392.0;;
23;Business Economy, B-N, excl. K, incl. 95;2020;7746.0;732159.0;;
24;Business Economy, B-N, excl. K, incl. 95;2021;;;;
25;Business Economy, B-N, excl. K, incl. 95;2022;;;;
26;06 Winning van aardolie en aardgas;2010;2.0;;;
27;06 Winning van aardolie en aardgas;2011;2.0;;;
28;06 Winning van aardolie en aardgas;2012;1.0;;;
29;06 Winning van aardolie en aardgas;2013;0.0;0.0;;
30;06 Winning van aardolie en aardgas;2014;2.0;;;
31;06 Winning van aardolie en aardgas;2015;2.0;;;
32;06 Winning van aardolie en aardgas;2016;2.0;;;
33;06 Winning van aardolie en aardgas;2017;0.0;0.0;;
34;06 Winning van aardolie en aardgas;2018;0.0;0.0;;
35;06 Winning van aardolie en aardgas;2019;0.0;0.0;;
36;06 Winning van aardolie en aardgas;2020;2.0;;;
37;06 Winning van aardolie en aardgas;2021;1.0;;0.0;0.0
38;06 Winning van aardolie en aardgas;2022;1.0;;;
39;061 Winning van aardolie;2010;1.0;;;
40;061 Winning van aardolie;2011;1.0;;;
41;061 Winning van aardolie;2012;0.0;0.0;;
42;061 Winning van aardolie;2013;0.0;0.0;;
43;061 Winning van aardolie;2014;1.0;;;
44;061 Winning van aardolie;2015;0.0;0.0;;
45;061 Winning van aardolie;2016;1.0;;;
46;061 Winning van aardolie;2017;0.0;0.0;;
47;061 Winning van aardolie;2018;0.0;0.0;;
48;061 Winning van aardolie;2019;0.0;0.0;;
49;061 Winning van aardolie;2020;0.0;0.0;;
50;061 Winning van aardolie;2021;0.0;0.0;0.0;0.0
51;061 Winning van aardolie;2022;0.0;0.0;;
52;062 Winning van aardgas;2010;1.0;;;
53;062 Winning van aardgas;2011;1.0;;;
54;062 Winning van aardgas;2012;1.0;;;
55;062 Winning van aardgas;2013;0.0;0.0;;
56;062 Winning van aardgas;2014;1.0;;;
57;062 Winning van aardgas;2015;2.0;;;
58;062 Winning van aardgas;2016;1.0;;;
59;062 Winning van aardgas;2017;0.0;0.0;;
60;062 Winning van aardgas;2018;0.0;0.0;;
61;062 Winning van aardgas;2019;0.0;0.0;;
62;062 Winning van aardgas;2020;2.0;;;
63;062 Winning van aardgas;2021;1.0;;0.0;0.0
64;062 Winning van aardgas;2022;1.0;;;
65;08 Delfstoffenwinning (geen olie en gas);2010;4.0;;;
66;08 Delfstoffenwinning (geen olie en gas);2011;3.0;;;
67;08 Delfstoffenwinning (geen olie en gas);2012;1.0;;;
68;08 Delfstoffenwinning (geen olie en gas);2013;2.0;;;
69;08 Delfstoffenwinning (geen olie en gas);2014;2.0;;;
70;08 Delfstoffenwinning (geen olie en gas);2015;3.0;;;
71;08 Delfstoffenwinning (geen olie en gas);2016;2.0;;;
72;08 Delfstoffenwinning (geen olie en gas);2017;3.0;;;
73;08 Delfstoffenwinning (geen olie en gas);2018;6.0;;;
74;08 Delfstoffenwinning (geen olie en gas);2019;6.0;;;
75;08 Delfstoffenwinning (geen olie en gas);2020;7.0;468.0;;
76;08 Delfstoffenwinning (geen olie en gas);2021;6.0;;0.0;0.0
77;08 Delfstoffenwinning (geen olie en gas);2022;2.0;;;
78;081 Winning van zand, grind en klei;2010;2.0;;;
79;081 Winning van zand, grind en klei;2011;2.0;;;
80;081 Winning van zand, grind en klei;2012;1.0;;;
81;081 Winning van zand, grind en klei;2013;1.0;;;
82;081 Winning van zand, grind en klei;2014;1.0;;;
83;081 Winning van zand, grind en klei;2015;2.0;;;
84;081 Winning van zand, grind en klei;2016;2.0;;;
85;081 Winning van zand, grind en klei;2017;3.0;;;
86;081 Winning van zand, grind en klei;2018;5.0;357.0;;
87;081 Winning van zand, grind en klei;2019;4.0;362.0;;
88;081 Winning van zand, grind en klei;2020;6.0;;;
89;081 Winning van zand, grind en klei;2021;5.0;297.0;0.0;0.0
90;081 Winning van zand, grind en klei;2022;2.0;;;
91;089 Winning van overige delfstoffen;2010;2.0;;;
92;089 Winning van overige delfstoffen;2011;1.0;;;
