ID;Geslacht;Leeftijd;BurgerlijkeStaat;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2016;16974177.0;16733341.0;4569610.0;2918465.0;8437940.0;554282.0;253044;240836
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2017;17087136.0;16843071.0;4582135.0;2971340.0;8472329.0;562136.0;255131;244065
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2018;17195139.0;16950376.0;4597687.0;3017622.0;8508806.0;569242.0;257019;244763
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2019;17273444.0;17031805.0;4609176.0;3051296.0;8538828.0;575236.0;257269;241639
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2020;17337960.0;17099322.0;4619127.0;3077076.0;8566286.0;580164.0;256669;238638
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2021;17399847.0;17162331.0;4624842.0;3105292.0;8591443.0;583879.0;256875;237516
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2022;17459232.0;17221641.0;4627196.0;3135416.0;8614906.0;586506.0;257617;237591
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2023;17514803.0;17276434.0;4627445.0;3166080.0;8636062.0;588225.0;258622;238369
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2024;17566825.0;17327187.0;4626599.0;3196657.0;8654887.0;589287.0;259757;239638
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2025;17616586.0;17375119.0;4625881.0;3226780.0;8671541.0;589938.0;260979;241467
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2026;17664540.0;17420805.0;4625874.0;3256716.0;8685884.0;589987.0;262344;243735
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2027;17710424.0;17464241.0;4626647.0;3286323.0;8697702.0;589791.0;263778;246183
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2028;17754359.0;17505568.0;4628537.0;3315519.0;8706814.0;589421.0;265277;248791
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2029;17796628.0;17545042.0;4631954.0;3343835.0;8713236.0;589209.0;266808;251586
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2030;17837429.0;17582854.0;4637213.0;3371187.0;8717016.0;589057.0;268381;254575
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2031;17876383.0;17618643.0;4644396.0;3396957.0;8718295.0;589068.0;269927;257740
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2032;17913312.0;17652235.0;4653257.0;3421242.0;8717170.0;589103.0;271463;261077
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2033;17947995.0;17683455.0;4663182.0;3444127.0;8713804.0;589384.0;272958;264540
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2034;17980099.0;17712017.0;4673855.0;3465659.0;8708224.0;589876.0;274403;268082
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2035;18009419.0;17737751.0;4684919.0;3486025.0;8700406.0;590583.0;275818;271668
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2036;18035683.0;17760485.0;4695923.0;3505178.0;8690659.0;591544.0;277181;275198
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2037;18058813.0;17780090.0;4706436.0;3523085.0;8679317.0;592763.0;278489;278723
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2038;18078695.0;17796543.0;4716003.0;3539975.0;8666755.0;594018.0;279792;282152
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2039;18095325.0;17809908.0;4724372.0;3555517.0;8653405.0;595584.0;281030;285417
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2040;18108898.0;17820372.0;4731157.0;3569824.0;8639769.0;597400.0;282222;288526
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2041;18119685.0;17828217.0;4736071.0;3583210.0;8626303.0;599215.0;283418;291468
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2042;18127856.0;17833602.0;4738917.0;3595563.0;8613375.0;601175.0;284572;294254
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2043;18133733.0;17836860.0;4739622.0;3607470.0;8601281.0;602713.0;285774;296873
28;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2044;18137649.0;17838284.0;4738278.0;3618831.0;8590110.0;604117.0;286948;299365
29;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2045;18139986.0;17838241.0;4735124.0;3629595.0;8580118.0;605299.0;288105;301745
30;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2046;18141096.0;17837082.0;4730500.0;3639752.0;8571340.0;606236.0;289254;304014
31;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2047;18141485.0;17835258.0;4724794.0;3649431.0;8563748.0;606901.0;290384;306227
32;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2048;18141478.0;17833082.0;4718395.0;3658506.0;8557381.0;607291.0;291509;308396
33;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2049;18141384.0;17830890.0;4711710.0;3666653.0;8552268.0;607675.0;292584;310494
34;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2050;18141420.0;17828932.0;4705116.0;3674160.0;8548402.0;607545.0;293709;312488
35;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2051;18141702.0;17827378.0;4698902.0;3680658.0;8545862.0;607146.0;294810;314324
36;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2052;18142377.0;17826403.0;4693339.0;3686061.0;8544585.0;606550.0;295868;315974
37;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2053;18143557.0;17826157.0;4688632.0;3690271.0;8544590.0;605797.0;296867;317400
38;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2054;18145388.0;17826808.0;4684957.0;3693247.0;8545884.0;604923.0;297797;318580
39;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2055;18147996.0;17828504.0;4682408.0;3694963.0;8548533.0;603957.0;298643;319492
40;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2056;18151509.0;17831412.0;4681075.0;3695484.0;8552520.0;602933.0;299400;320097
41;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2057;18156035.0;17835653.0;4680996.0;3694884.0;8557835.0;601863.0;300075;320382
42;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2058;18161682.0;17841343.0;4682168.0;3693274.0;8564442.0;600789.0;300670;320339
43;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2059;18168586.0;17848612.0;4684570.0;3690815.0;8572310.0;599733.0;301184;319974
44;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;2060;18176850.0;17857530.0;4688144.0;3687670.0;8581363.0;598718.0;301635;319320
45;Totaal mannen en vrouwen;Totaal;Ongehuwd;2016;;;;1576540.0;1530945.0;171782.0;170912;122603
46;Totaal mannen en vrouwen;Totaal;Ongehuwd;2017;;;;1609602.0;1586435.0;178117.0;173490;128986
47;Totaal mannen en vrouwen;Totaal;Ongehuwd;2018;;;;1637482.0;1641738.0;184473.0;175620;132469
48;Totaal mannen en vrouwen;Totaal;Ongehuwd;2019;;;;1654775.0;1691858.0;190695.0;175955;131773
49;Totaal mannen en vrouwen;Totaal;Ongehuwd;2020;;;;1666025.0;1738760.0;196606.0;175374;130219
50;Totaal mannen en vrouwen;Totaal;Ongehuwd;2021;;;;1679781.0;1781877.0;202283.0;175357;129407
51;Totaal mannen en vrouwen;Totaal;Ongehuwd;2022;;;;1695462.0;1821968.0;207677.0;175716;128990
52;Totaal mannen en vrouwen;Totaal;Ongehuwd;2023;;;;1711813.0;1859332.0;212807.0;176270;128781
53;Totaal mannen en vrouwen;Totaal;Ongehuwd;2024;;;;1728316.0;1894254.0;217692.0;176932;128732
54;Totaal mannen en vrouwen;Totaal;Ongehuwd;2025;;;;1744732.0;1926998.0;222358.0;177695;128977
55;Totaal mannen en vrouwen;Totaal;Ongehuwd;2026;;;;1761179.0;1957732.0;226774.0;178565;129473
56;Totaal mannen en vrouwen;Totaal;Ongehuwd;2027;;;;1777826.0;1986562.0;230928.0;179538;130087
57;Totaal mannen en vrouwen;Totaal;Ongehuwd;2028;;;;1794657.0;2013528.0;234832.0;180606;130808
58;Totaal mannen en vrouwen;Totaal;Ongehuwd;2029;;;;1811531.0;2038727.0;238532.0;181771;131630
59;Totaal mannen en vrouwen;Totaal;Ongehuwd;2030;;;;1828282.0;2062325.0;242039.0;183008;132549
60;Totaal mannen en vrouwen;Totaal;Ongehuwd;2031;;;;1844526.0;2084470.0;245365.0;184268;133558
61;Totaal mannen en vrouwen;Totaal;Ongehuwd;2032;;;;1860327.0;2105331.0;248500.0;185550;134653
62;Totaal mannen en vrouwen;Totaal;Ongehuwd;2033;;;;1876023.0;2125013.0;251483.0;186861;135830
63;Totaal mannen en vrouwen;Totaal;Ongehuwd;2034;;;;1891733.0;2143545.0;254312.0;188192;137094
