ID;SBI93;Perioden;VacaturesSeizoengecorrigeerd_1
0;193;1997 1e kwartaal;84.1
1;193;1997 2e kwartaal;91.2
2;193;1997 3e kwartaal;91.2
3;193;1997 4e kwartaal;121.2
4;193;1998 1e kwartaal;126.7
5;193;1998 2e kwartaal;137.9
6;193;1998 3e kwartaal;143.3
7;193;1998 4e kwartaal;143.7
8;193;1999 1e kwartaal;150.2
9;193;1999 2e kwartaal;180.0
10;193;1999 3e kwartaal;191.1
11;193;1999 4e kwartaal;193.7
12;193;2000 1e kwartaal;204.3
13;193;2000 2e kwartaal;197.9
14;193;2000 3e kwartaal;204.8
15;193;2000 4e kwartaal;215.5
16;193;2001 1e kwartaal;202.7
17;193;2001 2e kwartaal;197.7
18;193;2001 3e kwartaal;190.7
19;193;2001 4e kwartaal;173.2
20;193;2002 1e kwartaal;166.4
21;193;2002 2e kwartaal;146.7
22;193;2002 3e kwartaal;127.8
23;193;2002 4e kwartaal;127.2
24;193;2003 1e kwartaal;115.1
25;193;2003 2e kwartaal;113.2
26;193;2003 3e kwartaal;90.0
27;193;2003 4e kwartaal;100.4
28;193;2004 1e kwartaal;113.2
29;193;2004 2e kwartaal;123.5
30;193;2004 3e kwartaal;121.0
31;193;2004 4e kwartaal;128.6
32;193;2005 1e kwartaal;144.5
33;193;2005 2e kwartaal;141.1
34;193;2005 3e kwartaal;167.9
35;193;2005 4e kwartaal;167.4
36;193;2006 1e kwartaal;178.2
37;193;2006 2e kwartaal;196.2
38;193;2006 3e kwartaal;215.6
39;193;2006 4e kwartaal;229.7
40;193;2007 1e kwartaal;230.8
41;193;2007 2e kwartaal;236.5
42;193;2007 3e kwartaal;252.9
43;193;2007 4e kwartaal;248.9
44;193;2008 1e kwartaal;242.7
45;193;2008 2e kwartaal;241.4
46;193;2008 3e kwartaal;247.0
47;193;2008 4e kwartaal;199.8
48;193;2009 1e kwartaal*;151.5
49;193;2009 2e kwartaal*;129.7
50;193;2009 3e kwartaal*;127.9
51;193;2009 4e kwartaal*;122.4
52;105;1997 1e kwartaal;0.3
53;105;1997 2e kwartaal;1.6
54;105;1997 3e kwartaal;1.6
55;105;1997 4e kwartaal;1.7
56;105;1998 1e kwartaal;1.9
57;105;1998 2e kwartaal;1.4
58;105;1998 3e kwartaal;2.2
59;105;1998 4e kwartaal;2.3
60;105;1999 1e kwartaal;1.9
61;105;1999 2e kwartaal;2.5
62;105;1999 3e kwartaal;2.6
63;105;1999 4e kwartaal;2.8
64;105;2000 1e kwartaal;2.6
65;105;2000 2e kwartaal;3.1
66;105;2000 3e kwartaal;3.1
67;105;2000 4e kwartaal;4.2
68;105;2001 1e kwartaal;3.3
69;105;2001 2e kwartaal;2.6
70;105;2001 3e kwartaal;3.0
71;105;2001 4e kwartaal;2.9
72;105;2002 1e kwartaal;3.4
73;105;2002 2e kwartaal;3.0
74;105;2002 3e kwartaal;1.4
75;105;2002 4e kwartaal;2.1
76;105;2003 1e kwartaal;2.2
77;105;2003 2e kwartaal;2.0
78;105;2003 3e kwartaal;1.3
79;105;2003 4e kwartaal;1.6
80;105;2004 1e kwartaal;2.9
81;105;2004 2e kwartaal;3.0
82;105;2004 3e kwartaal;3.0
83;105;2004 4e kwartaal;2.9
84;105;2005 1e kwartaal;3.8
85;105;2005 2e kwartaal;3.2
86;105;2005 3e kwartaal;4.5
87;105;2005 4e kwartaal;3.5
88;105;2006 1e kwartaal;3.0
89;105;2006 2e kwartaal;3.8
90;105;2006 3e kwartaal;3.7
91;105;2006 4e kwartaal;5.2
92;105;2007 1e kwartaal;4.8
93;105;2007 2e kwartaal;5.5
94;105;2007 3e kwartaal;5.4
95;105;2007 4e kwartaal;4.6
96;105;2008 1e kwartaal;4.0
97;105;2008 2e kwartaal;3.8
98;105;2008 3e kwartaal;4.0
99;105;2008 4e kwartaal;3.2
100;105;2009 1e kwartaal*;2.0
101;105;2009 2e kwartaal*;1.8
102;105;2009 3e kwartaal*;2.3
103;105;2009 4e kwartaal*;2.3
104;C-F Nijverheid;1997 1e kwartaal;20.4
105;C-F Nijverheid;1997 2e kwartaal;22.0
106;C-F Nijverheid;1997 3e kwartaal;22.0
107;C-F Nijverheid;1997 4e kwartaal;26.7
108;C-F Nijverheid;1998 1e kwartaal;26.8
109;C-F Nijverheid;1998 2e kwartaal;28.3
110;C-F Nijverheid;1998 3e kwartaal;29.7
111;C-F Nijverheid;1998 4e kwartaal;30.4
112;C-F Nijverheid;1999 1e kwartaal;32.7
113;C-F Nijverheid;1999 2e kwartaal;38.2
114;C-F Nijverheid;1999 3e kwartaal;42.9
115;C-F Nijverheid;1999 4e kwartaal;42.7
116;C-F Nijverheid;2000 1e kwartaal;49.4
117;C-F Nijverheid;2000 2e kwartaal;48.1
118;C-F Nijverheid;2000 3e kwartaal;47.6
119;C-F Nijverheid;2000 4e kwartaal;46.6
120;C-F Nijverheid;2001 1e kwartaal;43.3
121;C-F Nijverheid;2001 2e kwartaal;40.5
122;C-F Nijverheid;2001 3e kwartaal;39.3
123;C-F Nijverheid;2001 4e kwartaal;36.0
124;C-F Nijverheid;2002 1e kwartaal;33.3
125;C-F Nijverheid;2002 2e kwartaal;28.3
126;C-F Nijverheid;2002 3e kwartaal;21.0
127;C-F Nijverheid;2002 4e kwartaal;20.8
128;C-F Nijverheid;2003 1e kwartaal;18.9
129;C-F Nijverheid;2003 2e kwartaal;16.7
130;C-F Nijverheid;2003 3e kwartaal;13.9
131;C-F Nijverheid;2003 4e kwartaal;15.2
132;C-F Nijverheid;2004 1e kwartaal;16.7
133;C-F Nijverheid;2004 2e kwartaal;18.0
134;C-F Nijverheid;2004 3e kwartaal;17.0
135;C-F Nijverheid;2004 4e kwartaal;18.8
136;C-F Nijverheid;2005 1e kwartaal;20.3
137;C-F Nijverheid;2005 2e kwartaal;21.6
138;C-F Nijverheid;2005 3e kwartaal;26.3
139;C-F Nijverheid;2005 4e kwartaal;26.9
140;C-F Nijverheid;2006 1e kwartaal;29.3
