ID;Leeftijd;Marges;RegioS;ErvarenGezondheidGoedZeerGoed_1;EenOfMeerLangdurigeAandoeningen_2;EenOfMeerLichamelijkeBeperkingen_3;BeperkingInHoren_4;BeperkingInZien_5;BeperkingInBewegen_6;Ondergewicht_7;NormaalGewicht_8;Overgewicht_9;MatigOvergewicht_10;ErnstigOvergewichtObesitas_11;VoldoetAanBeweegrichtlijn_12;WekelijksSporter_13;Mantelzorger_14;ZwaarBelasteMantelzorgers_15;UrenMantelzorgPerWeek_16;Rokers_17;VoldoetAanRichtlijnAlcoholgebruik_18;ZwareDrinker_19;OvermatigDrinker_20
0;Totaal;Waarde;Nederland;79.1;32.2;14.5;4.4;5.4;9.0;1.7;48.8;49.4;34.8;14.7;50.4;50.8;13.5;13.5;11.6;16.7;43.4;8.2;6.2
1;Totaal;Waarde;Noord-Nederland (LD);79.3;33.2;13.6;3.9;4.6;8.9;1.6;47.0;51.4;36.0;15.4;51.0;45.6;12.5;11.8;12.4;18.3;42.4;8.4;6.8
2;Totaal;Waarde;Oost-Nederland (LD);79.7;32.6;14.2;4.4;5.0;8.6;1.5;47.3;51.2;35.8;15.4;51.1;49.7;14.7;13.6;11.2;16.9;43.3;8.6;6.3
3;Totaal;Waarde;West-Nederland (LD);79.4;31.3;14.1;4.2;5.4;8.9;1.9;50.8;47.4;33.6;13.8;;;12.7;14.0;12.0;16.5;44.4;7.8;6.0
4;Totaal;Waarde;Zuid-Nederland (LD);77.4;33.2;15.9;5.0;5.9;9.9;1.7;46.9;51.5;35.8;15.7;48.9;51.4;14.7;13.2;11.1;16.1;41.4;8.7;6.1
5;Totaal;Waarde;Groningen (PV);77.9;31.9;13.5;3.5;4.6;9.2;1.8;48.1;50.2;34.2;16.0;49.8;46.1;12.2;11.4;12.1;19.7;42.9;8.3;6.4
6;Totaal;Waarde;Fryslân (PV);80.7;32.9;12.8;3.6;4.4;8.2;1.6;47.4;51.0;36.4;14.5;53.7;46.1;12.2;10.7;11.5;17.7;41.4;9.1;7.3
7;Totaal;Waarde;Drenthe (PV);79.3;35.3;14.9;4.8;4.9;9.3;1.3;45.3;53.5;37.7;15.8;49.1;44.5;13.2;13.6;13.9;17.2;43.2;7.6;6.5
8;Totaal;Waarde;Overijssel (PV);80.9;31.2;14.6;4.5;5.3;8.9;1.3;46.8;51.8;36.4;15.5;51.9;49.0;15.4;12.0;10.5;17.3;40.5;9.7;7.2
9;Totaal;Waarde;Flevoland (PV);78.1;32.9;14.0;3.8;5.2;8.3;1.9;45.2;52.9;37.7;15.2;46.6;47.2;13.5;17.7;14.0;16.7;52.6;5.9;4.2
