ID;Perioden;TotaalNieuwbouwEnBestaandeBouw_1;WoningenNieuwbouwEnBestaandeBouw_2;BedrijfsgebouwenNieuwbouwEnBestaand_3;TotaalWoningenEnBedrijfsgebouwen_4;Woningen_5;Bedrijfsgebouwen_6;TotaalHuurEnKoopwoningen_7;Huurwoningen_8;Koopwoningen_9;TotaalHuurEnKoopwoningen_10;Huurwoningen_11;Koopwoningen_12;TotaalHuurEnKoopwoningen_13;Huurwoningen_14;Koopwoningen_15;TotaalHuurEnKoopwoningen_16;Huurwoningen_17;Koopwoningen_18;TotaalHuurEnKoopwoningen_19;Huurwoningen_20;Koopwoningen_21;TotaalHuurEnKoopwoningen_22;Huurwoningen_23;Koopwoningen_24;TotaalHuurEnKoopwoningen_25;Huurwoningen_26;Koopwoningen_27;TotaalHuurEnKoopwoningen_28;Huurwoningen_29;Koopwoningen_30
0;1995 1e kwartaal;2796;1685;1111;2260;1537;723;23856;8088;15768;15387;4283;11104;8405;6877;1528;3896;3534;362;11400;790;10610;8503;606;7897;4051;421;3630;2988;143;2845
1;1995 2e kwartaal;3134;1777;1357;2533;1616;917;25244;8419;16825;20340;6700;13640;9781;7637;2144;6355;5620;735;11626;669;10957;10229;957;9272;3837;113;3724;3756;123;3633
2;1995 3e kwartaal;3047;1631;1417;2433;1482;950;21638;7953;13685;20918;6576;14342;7961;6760;1201;7003;5892;1111;9804;884;8920;10194;648;9546;3873;309;3564;3721;36;3685
3;1995 4e kwartaal;3146;1922;1224;2621;1790;830;27667;9832;17835;37191;11531;25660;9973;8213;1760;10889;9532;1357;13652;1286;12366;20658;1655;19003;4042;333;3709;5644;344;5300
4;1995;12123;7015;5108;9846;6425;3421;98405;34292;64113;93836;29090;64746;36120;29487;6633;28143;24578;3565;46482;3629;42853;49584;3866;45718;15803;1176;14627;16109;646;15463
5;1996 1e kwartaal;3041;1805;1236;2469;1657;812;23370;5757;17613;10576;3602;6974;5951;4697;1254;3615;3130;485;13860;725;13135;5033;411;4622;3559;335;3224;1928;61;1867
6;1996 2e kwartaal;3353;1877;1475;2722;1653;1069;23236;5287;17949;19851;6400;13451;5311;4143;1168;6593;5543;1050;13742;875;12867;10238;591;9647;4183;269;3914;3020;266;2754
7;1996 3e kwartaal;3215;1786;1429;2563;1618;945;23181;5797;17384;22148;8075;14073;5209;4470;739;8015;6683;1332;13614;933;12681;10255;1208;9047;4358;394;3964;3878;184;3694
8;1996 4e kwartaal;3762;2315;1447;3145;2174;970;31329;7918;23411;36359;13002;23357;7232;5968;1264;12779;10511;2268;20517;1888;18629;17900;1950;15950;3580;62;3518;5680;541;5139
9;1996;13370;7783;5587;10899;7102;3797;101116;24759;76357;88934;31079;57855;23703;19278;4425;31002;25867;5135;61733;4421;57312;43426;4160;39266;15680;1060;14620;14506;1052;13454
10;1997 1e kwartaal;2835;1614;1221;2329;1473;856;20060;4107;15953;11909;3307;8602;4809;3479;1330;3545;2875;670;12134;588;11546;5817;294;5523;3117;40;3077;2547;138;2409
11;1997 2e kwartaal;3604;2000;1604;2963;1810;1153;24786;5855;18931;21586;6140;15446;5628;4272;1356;6114;4874;1240;15257;1355;13902;12291;1110;11181;3901;228;3673;3181;156;3025
12;1997 3e kwartaal;3625;2072;1554;3002;1921;1081;26330;5019;21311;20137;5574;14563;5567;4041;1526;5416;4174;1242;17357;892;16465;11435;1272;10163;3406;86;3320;3286;128;3158
13;1997 4e kwartaal;4184;2389;1795;3404;2215;1189;30325;6573;23752;38683;10855;27828;7010;4797;2213;10085;7950;2135;19629;1641;17988;23139;2599;20540;3686;135;3551;5459;306;5153
14;1997;14248;8075;6174;11699;7419;4280;101501;21554;79947;92315;25876;66439;23014;16589;6425;25160;19873;5287;64377;4476;59901;52682;5275;47407;14110;489;13621;14473;728;13745
15;1998 1e kwartaal;3472;1765;1707;2735;1623;1112;21242;5357;15885;16301;4254;12047;5738;4254;1484;4298;3214;1084;12119;726;11393;9497;862;8635;3385;377;3008;2506;178;2328
16;1998 2e kwartaal;3387;1647;1740;2751;1476;1276;19198;4660;14538;19552;4941;14611;4289;3550;739;4551;3623;928;11357;847;10510;12179;1191;10988;3552;263;3289;2822;127;2695
17;1998 3e kwartaal;3712;1747;1965;2990;1572;1418;19435;4062;15373;18359;3997;14362;3861;2667;1194;3985;2925;1060;11955;1247;10708;11548;996;10552;3619;148;3471;2826;76;2750
