ID;RegioS;SamenstellingVanHetHuishouden;Totaal_1;Totaal_2;HuishoudensMetEenLaagInkomen_3;HuishOnderOfRondHetSociaalMinimum_4;Totaal_5;HuishMetEenLangdurigLaagInkomen_6;HuishLangdurigOnderOfRondSocMin_7
249;West-Noord-Brabant (CR);Eenoudergezin;12.8;11.7;23.0;24.0;9.4;7.0;7.0
250;Midden-Noord-Brabant (CR);Totaal particulier huishouden;179.7;174.0;8.0;7.0;156.4;2.0;2.0
251;Midden-Noord-Brabant (CR);Eenpersoonshuishouden;51.0;48.4;15.0;14.0;43.7;5.0;4.0
252;Midden-Noord-Brabant (CR);Paar zonder kinderen;55.0;54.5;3.0;3.0;50.5;1.0;1.0
253;Midden-Noord-Brabant (CR);Paar met kinderen;57.8;56.3;5.0;3.0;50.0;1.0;1.0
254;Midden-Noord-Brabant (CR);Eenoudergezin;9.9;9.1;26.0;26.0;7.4;8.0;8.0
255;Noordoost-Noord-Brabant (CR);Totaal particulier huishouden;247.2;240.9;8.0;7.0;217.2;2.0;2.0
256;Noordoost-Noord-Brabant (CR);Eenpersoonshuishouden;65.4;62.7;15.0;13.0;57.0;5.0;4.0
257;Noordoost-Noord-Brabant (CR);Paar zonder kinderen;75.6;75.1;3.0;3.0;70.0;1.0;1.0
258;Noordoost-Noord-Brabant (CR);Paar met kinderen;84.6;82.7;5.0;3.0;73.4;1.0;1.0
259;Noordoost-Noord-Brabant (CR);Eenoudergezin;12.6;11.7;24.0;24.0;9.5;6.0;6.0
260;Zuidoost-Noord-Brabant (CR);Totaal particulier huishouden;298.7;288.9;8.0;8.0;257.7;2.0;2.0
261;Zuidoost-Noord-Brabant (CR);Eenpersoonshuishouden;88.6;83.9;15.0;14.0;74.7;5.0;5.0
262;Zuidoost-Noord-Brabant (CR);Paar zonder kinderen;92.6;91.6;3.0;3.0;84.8;1.0;1.0
263;Zuidoost-Noord-Brabant (CR);Paar met kinderen;92.2;89.8;5.0;3.0;79.3;1.0;1.0
264;Zuidoost-Noord-Brabant (CR);Eenoudergezin;15.2;14.0;24.0;25.0;11.1;8.0;8.0
265;Noord-Limburg (CR);Totaal particulier huishouden;111.2;107.2;9.0;8.0;95.4;2.0;2.0
266;Noord-Limburg (CR);Eenpersoonshuishouden;29.2;27.8;15.0;14.0;25.3;4.0;5.0
267;Noord-Limburg (CR);Paar zonder kinderen;35.6;35.1;4.0;4.0;32.3;1.0;1.0
268;Noord-Limburg (CR);Paar met kinderen;37.3;35.7;6.0;4.0;31.0;1.0;1.0
269;Noord-Limburg (CR);Eenoudergezin;5.6;5.1;25.0;26.0;4.0;7.0;8.0
270;Midden-Limburg (CR);Totaal particulier huishouden;95.4;92.2;9.0;8.0;82.5;3.0;2.0
271;Midden-Limburg (CR);Eenpersoonshuishouden;25.4;24.3;16.0;14.0;22.0;5.0;5.0
272;Midden-Limburg (CR);Paar zonder kinderen;30.9;30.5;4.0;4.0;28.1;1.0;1.0
273;Midden-Limburg (CR);Paar met kinderen;30.6;29.4;6.0;4.0;25.9;2.0;1.0
274;Midden-Limburg (CR);Eenoudergezin;4.9;4.6;25.0;28.0;3.7;8.0;8.0
275;Zuid-Limburg (CR);Totaal particulier huishouden;268.2;255.1;11.0;10.0;225.8;4.0;3.0
276;Zuid-Limburg (CR);Eenpersoonshuishouden;86.4;81.3;19.0;17.0;72.5;7.0;6.0
277;Zuid-Limburg (CR);Paar zonder kinderen;84.2;82.3;5.0;4.0;75.4;1.0;1.0
278;Zuid-Limburg (CR);Paar met kinderen;72.4;68.2;7.0;4.0;59.2;2.0;1.0
279;Zuid-Limburg (CR);Eenoudergezin;16.6;15.1;27.0;30.0;12.1;9.0;11.0
280;Flevoland (CR);Totaal particulier huishouden;141.7;135.8;10.0;9.0;118.1;2.0;2.0
281;Flevoland (CR);Eenpersoonshuishouden;36.2;33.8;17.0;15.0;29.9;5.0;5.0
282;Flevoland (CR);Paar zonder kinderen;37.3;36.9;4.0;4.0;33.5;1.0;1.0
283;Flevoland (CR);Paar met kinderen;51.8;50.1;7.0;4.0;43.2;1.0;1.0
284;Flevoland (CR);Eenoudergezin;10.9;9.7;26.0;27.0;7.6;8.0;8.0
285;Groningen (GA);Totaal particulier huishouden;86.4;82.2;15.0;13.0;69.4;5.0;5.0
286;Groningen (GA);Eenpersoonshuishouden;39.5;37.1;21.0;18.0;31.3;9.0;8.0
287;Groningen (GA);Paar zonder kinderen;22.4;21.9;5.0;4.0;18.7;1.0;1.0
288;Groningen (GA);Paar met kinderen;16.5;16.0;8.0;5.0;13.8;3.0;1.0
289;Groningen (GA);Eenoudergezin;5.8;5.3;29.0;32.0;4.3;11.0;11.0
290;Leeuwarden (GA);Totaal particulier huishouden;40.7;38.4;15.0;13.0;33.1;5.0;4.0
291;Leeuwarden (GA);Eenpersoonshuishouden;16.8;15.6;21.0;19.0;13.5;8.0;7.0
292;Leeuwarden (GA);Paar zonder kinderen;11.2;10.9;5.0;4.0;9.7;1.0;1.0
293;Leeuwarden (GA);Paar met kinderen;8.8;8.5;9.0;5.0;7.2;3.0;
294;Leeuwarden (GA);Eenoudergezin;2.9;2.6;36.0;37.0;2.0;12.0;14.0
295;Zwolle (GA);Totaal particulier huishouden;47.5;46.0;10.0;8.0;40.6;3.0;3.0
296;Zwolle (GA);Eenpersoonshuishouden;16.7;16.0;16.0;14.0;14.1;6.0;5.0
297;Zwolle (GA);Paar zonder kinderen;13.3;13.2;3.0;3.0;11.9;1.0;1.0
298;Zwolle (GA);Paar met kinderen;13.4;13.1;5.0;3.0;11.6;1.0;
299;Zwolle (GA);Eenoudergezin;2.7;2.4;30.0;31.0;2.0;14.0;14.0
300;Enschede (GA);Totaal particulier huishouden;63.5;60.2;14.0;12.0;52.1;5.0;4.0
301;Enschede (GA);Eenpersoonshuishouden;22.0;20.5;22.0;20.0;17.8;8.0;7.0
302;Enschede (GA);Paar zonder kinderen;18.3;18.0;6.0;6.0;16.2;2.0;2.0
303;Enschede (GA);Paar met kinderen;16.9;16.0;10.0;5.0;13.8;3.0;1.0
304;Enschede (GA);Eenoudergezin;4.0;3.5;36.0;37.0;2.7;11.0;11.0
305;Apeldoorn (GA);Totaal particulier huishouden;64.2;62.2;8.0;7.0;56.5;2.0;2.0
306;Apeldoorn (GA);Eenpersoonshuishouden;19.8;18.9;14.0;12.0;17.2;4.0;4.0
307;Apeldoorn (GA);Paar zonder kinderen;19.7;19.6;3.0;3.0;18.5;1.0;1.0
308;Apeldoorn (GA);Paar met kinderen;19.0;18.4;5.0;3.0;16.4;1.0;
309;Apeldoorn (GA);Eenoudergezin;3.4;3.1;27.0;29.0;2.5;7.0;8.0
310;Arnhem (GA);Totaal particulier huishouden;64.3;61.0;15.0;13.0;48.5;2.0;2.0
311;Arnhem (GA);Eenpersoonshuishouden;26.3;24.5;21.0;18.0;19.1;3.0;3.0
312;Arnhem (GA);Paar zonder kinderen;16.5;16.2;5.0;5.0;13.9;1.0;1.0
313;Arnhem (GA);Paar met kinderen;14.4;13.8;10.0;6.0;11.4;2.0;
314;Arnhem (GA);Eenoudergezin;4.7;4.3;32.0;34.0;2.7;5.0;4.0
315;Nijmegen (GA);Totaal particulier huishouden;68.7;65.6;14.0;12.0;55.8;5.0;5.0
316;Nijmegen (GA);Eenpersoonshuishouden;29.2;27.5;20.0;18.0;23.0;9.0;8.0
317;Nijmegen (GA);Paar zonder kinderen;17.2;16.9;5.0;5.0;15.0;2.0;2.0
318;Nijmegen (GA);Paar met kinderen;15.2;14.7;9.0;5.0;12.8;3.0;1.0
319;Nijmegen (GA);Eenoudergezin;4.7;4.4;30.0;31.0;3.4;12.0;12.0
320;Amersfoort (GA);Totaal particulier huishouden;67.7;65.8;8.0;7.0;58.5;2.0;2.0
321;Amersfoort (GA);Eenpersoonshuishouden;21.4;20.5;14.0;12.0;18.4;5.0;4.0
322;Amersfoort (GA);Paar zonder kinderen;18.4;18.3;3.0;3.0;16.8;1.0;1.0
323;Amersfoort (GA);Paar met kinderen;21.7;21.2;5.0;3.0;18.8;1.0;0.0
324;Amersfoort (GA);Eenoudergezin;4.1;3.8;24.0;26.0;3.0;6.0;7.0
325;Utrecht (GA);Totaal particulier huishouden;174.6;167.0;10.0;9.0;141.1;3.0;3.0
326;Utrecht (GA);Eenpersoonshuishouden;66.7;62.4;15.0;13.0;52.0;6.0;5.0
327;Utrecht (GA);Paar zonder kinderen;45.6;45.0;3.0;3.0;38.8;1.0;1.0
328;Utrecht (GA);Paar met kinderen;44.8;43.5;8.0;4.0;37.6;2.0;1.0
329;Utrecht (GA);Eenoudergezin;10.6;9.8;25.0;26.0;7.8;9.0;9.0
330;Amsterdam (GA);Totaal particulier huishouden;480.0;451.4;15.0;14.0;375.2;6.0;5.0
331;Amsterdam (GA);Eenpersoonshuishouden;222.1;206.2;20.0;18.0;173.8;9.0;8.0
332;Amsterdam (GA);Paar zonder kinderen;102.7;100.3;5.0;5.0;85.5;1.0;1.0
333;Amsterdam (GA);Paar met kinderen;91.5;88.0;12.0;6.0;72.7;3.0;1.0
334;Amsterdam (GA);Eenoudergezin;42.3;37.5;27.0;28.0;29.7;10.0;11.0
335;Haarlem (GA);Totaal particulier huishouden;84.8;81.6;10.0;8.0;72.3;3.0;3.0
336;Haarlem (GA);Eenpersoonshuishouden;33.5;31.8;14.0;13.0;28.4;5.0;5.0
337;Haarlem (GA);Paar zonder kinderen;22.7;22.3;3.0;3.0;20.4;1.0;1.0
338;Haarlem (GA);Paar met kinderen;20.9;20.3;6.0;3.0;17.7;1.0;1.0
339;Haarlem (GA);Eenoudergezin;5.1;4.7;22.0;23.0;3.8;6.0;6.0
340;Leiden (GA);Totaal particulier huishouden;102.1;98.0;8.0;7.0;85.3;3.0;2.0
341;Leiden (GA);Eenpersoonshuishouden;35.8;33.4;13.0;12.0;29.0;5.0;5.0
342;Leiden (GA);Paar zonder kinderen;27.8;27.4;3.0;3.0;24.4;1.0;1.0
343;Leiden (GA);Paar met kinderen;30.2;29.4;4.0;3.0;25.7;1.0;1.0
344;Leiden (GA);Eenoudergezin;5.5;5.1;22.0;23.0;4.1;8.0;8.0
345;'s-Gravenhage (GA);Totaal particulier huishouden;282.0;264.9;13.0;11.0;223.3;4.0;4.0
346;'s-Gravenhage (GA);Eenpersoonshuishouden;119.0;109.6;17.0;15.0;94.7;7.0;6.0
347;'s-Gravenhage (GA);Paar zonder kinderen;66.9;65.5;4.0;4.0;57.7;1.0;1.0
348;'s-Gravenhage (GA);Paar met kinderen;60.2;57.5;10.0;6.0;47.1;3.0;1.0
349;'s-Gravenhage (GA);Eenoudergezin;22.2;19.9;29.0;30.0;15.1;11.0;11.0
350;Rotterdam (GA);Totaal particulier huishouden;439.1;416.5;14.0;12.0;358.8;5.0;5.0
351;Rotterdam (GA);Eenpersoonshuishouden;168.5;157.6;20.0;18.0;138.5;8.0;7.0
352;Rotterdam (GA);Paar zonder kinderen;109.7;107.9;5.0;5.0;97.6;1.0;2.0
353;Rotterdam (GA);Paar met kinderen;102.9;98.9;10.0;6.0;83.2;3.0;1.0
354;Rotterdam (GA);Eenoudergezin;38.2;34.1;29.0;31.0;26.3;12.0;12.0
355;Dordrecht (GA);Totaal particulier huishouden;102.5;99.2;9.0;8.0;88.5;3.0;3.0
356;Dordrecht (GA);Eenpersoonshuishouden;32.2;30.6;16.0;14.0;27.6;6.0;5.0
357;Dordrecht (GA);Paar zonder kinderen;29.7;29.5;3.0;3.0;27.3;1.0;1.0
358;Dordrecht (GA);Paar met kinderen;30.7;30.0;5.0;3.0;26.4;1.0;1.0
359;Dordrecht (GA);Eenoudergezin;6.4;5.9;26.0;27.0;4.6;8.0;9.0
360;Breda (GA);Totaal particulier huishouden;72.0;69.4;10.0;9.0;60.5;3.0;3.0
361;Breda (GA);Eenpersoonshuishouden;24.9;23.5;17.0;15.0;20.3;5.0;5.0
362;Breda (GA);Paar zonder kinderen;21.5;21.3;3.0;3.0;19.2;1.0;1.0
363;Breda (GA);Paar met kinderen;19.2;18.7;7.0;4.0;16.3;2.0;1.0
364;Breda (GA);Eenoudergezin;4.1;3.7;27.0;29.0;3.0;9.0;9.0
365;Tilburg (GA);Totaal particulier huishouden;91.2;87.9;10.0;9.0;77.5;3.0;3.0
366;Tilburg (GA);Eenpersoonshuishouden;30.2;28.5;17.0;15.0;25.2;5.0;5.0
367;Tilburg (GA);Paar zonder kinderen;26.8;26.5;4.0;4.0;24.2;1.0;1.0
368;Tilburg (GA);Paar met kinderen;25.4;24.7;6.0;4.0;21.7;2.0;1.0
369;Tilburg (GA);Eenoudergezin;5.7;5.2;30.0;30.0;4.1;10.0;9.0
370;'s-Hertogenbosch (GA);Totaal particulier huishouden;68.0;65.8;10.0;9.0;58.0;3.0;3.0
371;'s-Hertogenbosch (GA);Eenpersoonshuishouden;22.8;21.7;16.0;14.0;19.2;6.0;5.0
372;'s-Hertogenbosch (GA);Paar zonder kinderen;19.6;19.5;4.0;4.0;17.8;1.0;1.0
373;'s-Hertogenbosch (GA);Paar met kinderen;19.1;18.6;6.0;4.0;16.3;1.0;1.0
374;'s-Hertogenbosch (GA);Eenoudergezin;4.1;3.8;26.0;27.0;3.0;8.0;8.0
375;Eindhoven (GA);Totaal particulier huishouden;140.1;134.6;10.0;8.0;117.7;3.0;3.0
376;Eindhoven (GA);Eenpersoonshuishouden;49.7;46.7;16.0;14.0;40.6;6.0;5.0
377;Eindhoven (GA);Paar zonder kinderen;41.8;41.3;3.0;3.0;37.6;1.0;1.0
378;Eindhoven (GA);Paar met kinderen;36.2;35.1;6.0;3.0;30.7;2.0;1.0
379;Eindhoven (GA);Eenoudergezin;7.7;7.1;26.0;28.0;5.5;8.0;9.0
380;Geleen/Sittard (GA);Totaal particulier huishouden;60.4;58.1;10.0;8.0;52.0;3.0;2.0
381;Geleen/Sittard (GA);Eenpersoonshuishouden;18.2;17.2;17.0;15.0;15.4;6.0;5.0
382;Geleen/Sittard (GA);Paar zonder kinderen;19.3;19.1;4.0;3.0;17.7;1.0;1.0
383;Geleen/Sittard (GA);Paar met kinderen;17.2;16.6;6.0;3.0;14.6;1.0;1.0
384;Geleen/Sittard (GA);Eenoudergezin;3.7;3.4;28.0;30.0;2.7;9.0;9.0
385;Heerlen (GA);Totaal particulier huishouden;95.1;89.5;13.0;11.0;78.8;5.0;4.0
386;Heerlen (GA);Eenpersoonshuishouden;33.3;31.3;21.0;19.0;27.9;8.0;8.0
387;Heerlen (GA);Paar zonder kinderen;28.7;27.9;5.0;4.0;25.3;2.0;2.0
388;Heerlen (GA);Paar met kinderen;23.6;21.7;9.0;5.0;18.7;3.0;1.0
389;Heerlen (GA);Eenoudergezin;6.5;6.0;29.0;32.0;4.7;11.0;14.0
390;Maastricht (GA);Totaal particulier huishouden;51.9;49.4;14.0;12.0;42.8;5.0;4.0
391;Maastricht (GA);Eenpersoonshuishouden;19.8;18.6;21.0;18.0;16.2;8.0;7.0
392;Maastricht (GA);Paar zonder kinderen;15.1;14.8;6.0;6.0;13.3;2.0;2.0
393;Maastricht (GA);Paar met kinderen;11.9;11.4;8.0;5.0;9.7;3.0;1.0
394;Maastricht (GA);Eenoudergezin;3.3;3.0;30.0;33.0;2.4;10.0;10.0
395;Groningen (SG);Totaal particulier huishouden;142.8;137.3;12.0;10.0;119.8;4.0;3.0
396;Groningen (SG);Eenpersoonshuishouden;53.9;51.0;19.0;16.0;44.2;7.0;6.0
397;Groningen (SG);Paar zonder kinderen;41.5;40.9;4.0;4.0;36.6;1.0;1.0
398;Groningen (SG);Paar met kinderen;35.6;34.6;7.0;4.0;30.4;2.0;1.0
399;Groningen (SG);Eenoudergezin;8.5;7.8;27.0;30.0;6.3;9.0;10.0
400;Leeuwarden (SG);Totaal particulier huishouden;67.3;64.4;12.0;10.0;56.9;4.0;3.0
401;Leeuwarden (SG);Eenpersoonshuishouden;23.5;22.1;20.0;18.0;19.6;6.0;6.0
402;Leeuwarden (SG);Paar zonder kinderen;19.9;19.5;4.0;4.0;17.8;1.0;1.0
403;Leeuwarden (SG);Paar met kinderen;18.1;17.6;7.0;4.0;15.4;2.0;1.0
404;Leeuwarden (SG);Eenoudergezin;4.1;3.8;33.0;33.0;3.0;9.0;12.0
405;Zwolle (SG);Totaal particulier huishouden;68.8;66.8;8.0;7.0;59.8;3.0;2.0
406;Zwolle (SG);Eenpersoonshuishouden;21.6;20.7;15.0;13.0;18.6;5.0;4.0
407;Zwolle (SG);Paar zonder kinderen;20.2;20.0;3.0;3.0;18.4;1.0;1.0
408;Zwolle (SG);Paar met kinderen;21.6;21.1;5.0;2.0;18.8;1.0;0.0
409;Zwolle (SG);Eenoudergezin;3.5;3.2;25.0;27.0;2.6;11.0;11.0
410;Enschede (SG);Totaal particulier huishouden;127.7;122.0;12.0;10.0;108.0;3.0;3.0
411;Enschede (SG);Eenpersoonshuishouden;41.0;38.6;19.0;16.0;34.4;6.0;6.0
412;Enschede (SG);Paar zonder kinderen;38.4;37.8;4.0;4.0;34.6;1.0;1.0
413;Enschede (SG);Paar met kinderen;36.7;35.0;8.0;4.0;30.6;2.0;1.0
414;Enschede (SG);Eenoudergezin;7.2;6.5;30.0;32.0;5.1;8.0;8.0
415;Apeldoorn (SG);Totaal particulier huishouden;86.2;83.6;8.0;7.0;76.2;2.0;2.0
416;Apeldoorn (SG);Eenpersoonshuishouden;25.3;24.1;14.0;12.0;22.1;4.0;3.0
417;Apeldoorn (SG);Paar zonder kinderen;27.0;26.8;4.0;3.0;25.3;1.0;1.0
418;Apeldoorn (SG);Paar met kinderen;26.3;25.6;5.0;3.0;22.8;1.0;0.0
419;Apeldoorn (SG);Eenoudergezin;4.3;3.9;26.0;27.0;3.2;7.0;8.0
420;Arnhem (SG);Totaal particulier huishouden;146.1;140.8;10.0;9.0;121.4;2.0;2.0
421;Arnhem (SG);Eenpersoonshuishouden;48.2;45.6;17.0;15.0;38.6;3.0;3.0
422;Arnhem (SG);Paar zonder kinderen;42.9;42.5;4.0;4.0;38.7;1.0;1.0
423;Arnhem (SG);Paar met kinderen;41.6;40.4;7.0;4.0;35.1;1.0;0.0
424;Arnhem (SG);Eenoudergezin;8.9;8.2;27.0;29.0;5.8;5.0;5.0
425;Nijmegen (SG);Totaal particulier huishouden;114.6;110.4;11.0;10.0;96.5;4.0;3.0
426;Nijmegen (SG);Eenpersoonshuishouden;40.3;38.1;19.0;16.0;32.7;7.0;7.0
427;Nijmegen (SG);Paar zonder kinderen;31.5;31.2;4.0;4.0;28.3;1.0;1.0
428;Nijmegen (SG);Paar met kinderen;31.8;30.9;6.0;4.0;27.3;2.0;1.0
429;Nijmegen (SG);Eenoudergezin;7.2;6.7;27.0;29.0;5.3;10.0;11.0
430;Amersfoort (SG);Totaal particulier huishouden;108.1;105.1;7.0;7.0;94.3;2.0;2.0
431;Amersfoort (SG);Eenpersoonshuishouden;32.4;31.0;13.0;11.0;28.2;4.0;4.0
432;Amersfoort (SG);Paar zonder kinderen;30.5;30.3;3.0;3.0;28.0;1.0;1.0
433;Amersfoort (SG);Paar met kinderen;35.9;35.1;5.0;3.0;31.1;1.0;0.0
434;Amersfoort (SG);Eenoudergezin;6.0;5.5;22.0;24.0;4.4;5.0;6.0
435;Utrecht (SG);Totaal particulier huishouden;239.3;229.9;9.0;8.0;197.9;3.0;2.0
436;Utrecht (SG);Eenpersoonshuishouden;86.8;81.5;14.0;12.0;69.6;5.0;4.0
437;Utrecht (SG);Paar zonder kinderen;64.5;63.7;3.0;3.0;56.3;1.0;1.0
438;Utrecht (SG);Paar met kinderen;65.3;63.6;7.0;4.0;55.5;2.0;1.0
439;Utrecht (SG);Eenoudergezin;13.9;12.8;23.0;24.0;10.3;8.0;8.0
440;Amsterdam (SG);Totaal particulier huishouden;655.4;620.7;13.0;12.0;525.8;5.0;4.0
441;Amsterdam (SG);Eenpersoonshuishouden;268.4;250.0;19.0;17.0;213.4;8.0;7.0
442;Amsterdam (SG);Paar zonder kinderen;150.0;147.1;4.0;4.0;128.8;1.0;1.0
443;Amsterdam (SG);Paar met kinderen;153.6;148.6;9.0;5.0;126.2;2.0;1.0
444;Amsterdam (SG);Eenoudergezin;55.6;49.6;26.0;27.0;39.2;9.0;10.0
445;Haarlem (SG);Totaal particulier huishouden;176.2;170.4;9.0;8.0;153.6;2.0;2.0
446;Haarlem (SG);Eenpersoonshuishouden;62.4;59.5;14.0;12.0;54.0;4.0;4.0
447;Haarlem (SG);Paar zonder kinderen;50.1;49.6;3.0;3.0;46.4;1.0;1.0
448;Haarlem (SG);Paar met kinderen;48.1;46.9;5.0;3.0;41.6;1.0;0.0
449;Haarlem (SG);Eenoudergezin;10.6;9.7;23.0;24.0;7.9;6.0;7.0
450;Leiden (SG);Totaal particulier huishouden;134.4;129.2;8.0;7.0;113.5;2.0;2.0
451;Leiden (SG);Eenpersoonshuishouden;44.8;42.0;13.0;12.0;36.7;5.0;4.0
452;Leiden (SG);Paar zonder kinderen;37.2;36.8;3.0;3.0;33.1;0.0;1.0
453;Leiden (SG);Paar met kinderen;41.4;40.3;4.0;3.0;35.5;1.0;0.0
454;Leiden (SG);Eenoudergezin;7.2;6.6;21.0;21.0;5.4;6.0;7.0
455;'s-Gravenhage (SG);Totaal particulier huishouden;430.0;408.1;11.0;10.0;351.2;4.0;3.0
456;'s-Gravenhage (SG);Eenpersoonshuishouden;163.7;152.1;16.0;14.0;132.5;6.0;6.0
457;'s-Gravenhage (SG);Paar zonder kinderen;109.0;107.2;4.0;4.0;96.6;1.0;1.0
458;'s-Gravenhage (SG);Paar met kinderen;107.6;103.9;8.0;5.0;88.4;2.0;1.0
459;'s-Gravenhage (SG);Eenoudergezin;31.6;28.4;27.0;28.0;21.9;10.0;10.0
460;Rotterdam (SG);Totaal particulier huishouden;514.8;490.5;13.0;11.0;426.9;5.0;4.0
461;Rotterdam (SG);Eenpersoonshuishouden;188.0;176.3;19.0;17.0;156.1;7.0;7.0
462;Rotterdam (SG);Paar zonder kinderen;134.9;132.9;4.0;4.0;121.3;1.0;1.0
463;Rotterdam (SG);Paar met kinderen;127.8;123.4;8.0;5.0;105.3;3.0;1.0
464;Rotterdam (SG);Eenoudergezin;42.3;37.8;28.0;30.0;29.4;12.0;12.0
465;Dordrecht (SG);Totaal particulier huishouden;119.0;115.4;9.0;8.0;103.3;3.0;2.0
466;Dordrecht (SG);Eenpersoonshuishouden;36.2;34.5;15.0;14.0;31.3;5.0;5.0
467;Dordrecht (SG);Paar zonder kinderen;34.9;34.6;3.0;3.0;32.1;1.0;1.0
468;Dordrecht (SG);Paar met kinderen;36.9;36.0;5.0;3.0;31.8;1.0;1.0
469;Dordrecht (SG);Eenoudergezin;7.2;6.6;26.0;27.0;5.1;7.0;8.0
470;Breda (SG);Totaal particulier huishouden;128.5;124.3;9.0;8.0;110.3;2.0;2.0
471;Breda (SG);Eenpersoonshuishouden;39.2;37.2;15.0;14.0;32.8;4.0;4.0
472;Breda (SG);Paar zonder kinderen;40.3;39.8;3.0;3.0;36.5;1.0;1.0
473;Breda (SG);Paar met kinderen;38.2;37.3;5.0;3.0;32.9;1.0;1.0
474;Breda (SG);Eenoudergezin;6.7;6.1;25.0;26.0;4.9;7.0;8.0
475;Tilburg (SG);Totaal particulier huishouden;116.9;112.9;9.0;8.0;100.7;3.0;2.0
476;Tilburg (SG);Eenpersoonshuishouden;36.3;34.4;16.0;14.0;30.8;5.0;4.0
477;Tilburg (SG);Paar zonder kinderen;35.0;34.7;3.0;3.0;32.0;1.0;1.0
478;Tilburg (SG);Paar met kinderen;34.7;33.8;6.0;3.0;29.9;2.0;1.0
479;Tilburg (SG);Eenoudergezin;6.8;6.2;29.0;29.0;5.0;9.0;9.0
480;'s-Hertogenbosch (SG);Totaal particulier huishouden;78.6;76.2;9.0;8.0;67.7;3.0;3.0
481;'s-Hertogenbosch (SG);Eenpersoonshuishouden;25.2;24.1;16.0;14.0;21.4;6.0;5.0
482;'s-Hertogenbosch (SG);Paar zonder kinderen;23.1;22.9;3.0;4.0;21.1;1.0;1.0
483;'s-Hertogenbosch (SG);Paar met kinderen;23.0;22.5;6.0;4.0;19.8;1.0;1.0
484;'s-Hertogenbosch (SG);Eenoudergezin;4.5;4.2;25.0;26.0;3.3;8.0;8.0
485;Eindhoven (SG);Totaal particulier huishouden;173.6;167.3;9.0;8.0;147.5;3.0;2.0
486;Eindhoven (SG);Eenpersoonshuishouden;58.2;54.8;15.0;14.0;48.0;5.0;5.0
487;Eindhoven (SG);Paar zonder kinderen;53.1;52.5;3.0;3.0;48.2;1.0;1.0
488;Eindhoven (SG);Paar met kinderen;47.5;46.2;6.0;3.0;40.6;1.0;1.0
489;Eindhoven (SG);Eenoudergezin;9.4;8.6;25.0;27.0;6.7;8.0;9.0
490;Geleen/Sittard (SG);Totaal particulier huishouden;65.9;63.3;10.0;8.0;56.7;3.0;2.0
491;Geleen/Sittard (SG);Eenpersoonshuishouden;19.3;18.3;17.0;15.0;16.5;6.0;5.0
492;Geleen/Sittard (SG);Paar zonder kinderen;21.3;21.0;4.0;4.0;19.5;1.0;1.0
493;Geleen/Sittard (SG);Paar met kinderen;19.1;18.4;6.0;3.0;16.2;1.0;1.0
494;Geleen/Sittard (SG);Eenoudergezin;4.0;3.6;27.0;29.0;2.9;9.0;9.0
495;Heerlen (SG);Totaal particulier huishouden;114.9;108.5;12.0;11.0;95.9;4.0;4.0
496;Heerlen (SG);Eenpersoonshuishouden;37.9;35.6;20.0;18.0;31.9;8.0;7.0
497;Heerlen (SG);Paar zonder kinderen;35.8;34.8;5.0;4.0;31.8;2.0;1.0
498;Heerlen (SG);Paar met kinderen;30.0;27.8;8.0;5.0;24.0;2.0;1.0
499;Heerlen (SG);Eenoudergezin;7.6;7.0;28.0;30.0;5.6;10.0;13.0
500;Maastricht (SG);Totaal particulier huishouden;77.0;73.9;12.0;10.0;65.1;4.0;3.0
501;Maastricht (SG);Eenpersoonshuishouden;26.1;24.6;20.0;17.0;21.7;7.0;6.0
502;Maastricht (SG);Paar zonder kinderen;23.8;23.4;5.0;5.0;21.4;1.0;1.0
503;Maastricht (SG);Paar met kinderen;20.1;19.4;7.0;4.0;16.8;2.0;1.0
504;Maastricht (SG);Eenoudergezin;4.4;4.1;28.0;30.0;3.3;8.0;9.0
505;Aa en Hunze;Totaal particulier huishouden;10.4;10.1;7.0;6.0;9.3;2.0;2.0
506;Aa en Hunze;Eenpersoonshuishouden;2.5;2.4;11.0;9.0;2.2;;
507;Aa en Hunze;Paar zonder kinderen;3.9;3.9;4.0;4.0;3.6;;
508;Aa en Hunze;Paar met kinderen;3.3;3.2;7.0;5.0;2.9;;
509;Aa en Hunze;Eenoudergezin;0.4;0.4;;;0.3;;
510;Aalburg;Totaal particulier huishouden;4.1;4.1;7.0;7.0;3.7;;
511;Aalburg;Eenpersoonshuishouden;0.8;0.8;17.0;16.0;0.8;;
512;Aalburg;Paar zonder kinderen;1.1;1.1;;;1.0;;
513;Aalburg;Paar met kinderen;1.9;1.9;5.0;4.0;1.6;;
514;Aalburg;Eenoudergezin;0.2;0.2;;;0.1;;
515;Aalsmeer;Totaal particulier huishouden;9.8;9.5;7.0;6.0;8.6;1.0;2.0
516;Aalsmeer;Eenpersoonshuishouden;2.6;2.5;13.0;13.0;2.3;;
517;Aalsmeer;Paar zonder kinderen;3.2;3.1;3.0;3.0;2.9;;
518;Aalsmeer;Paar met kinderen;3.2;3.1;3.0;;2.8;;
519;Aalsmeer;Eenoudergezin;0.5;0.5;21.0;20.0;0.4;;
520;Aalten;Totaal particulier huishouden;10.7;10.3;6.0;6.0;9.4;1.0;1.0
521;Aalten;Eenpersoonshuishouden;2.8;2.6;11.0;13.0;2.5;;
522;Aalten;Paar zonder kinderen;3.4;3.4;3.0;3.0;3.1;;
