ID;Geslacht;Achtergrondkenmerken;Perioden;WerknemersDieRegelmatigOverwerken_1;WerknemersDieRegelmatigOverwerken_2
0;1;Totaal achtergrondkenmerken;2000;2005.0;33.0
1;1;Totaal achtergrondkenmerken;2001;2049.0;33.0
2;1;Totaal achtergrondkenmerken;2002;2003.0;32.0
3;1;Totaal achtergrondkenmerken;2003;2169.0;35.0
4;1;Totaal achtergrondkenmerken;2004;2276.0;37.0
5;1;Totaal achtergrondkenmerken;2005;2335.0;38.0
6;1;Totaal achtergrondkenmerken;2006;2392.0;39.0
7;1;15 tot 25 jaar;2000;188.0;23.0
8;1;15 tot 25 jaar;2001;179.0;22.0
9;1;15 tot 25 jaar;2002;182.0;22.0
10;1;15 tot 25 jaar;2003;195.0;25.0
11;1;15 tot 25 jaar;2004;199.0;27.0
12;1;15 tot 25 jaar;2005;207.0;29.0
13;1;15 tot 25 jaar;2006;204.0;28.0
14;1;25 tot 35 jaar;2000;621.0;34.0
15;1;25 tot 35 jaar;2001;600.0;33.0
16;1;25 tot 35 jaar;2002;570.0;33.0
17;1;25 tot 35 jaar;2003;618.0;37.0
18;1;25 tot 35 jaar;2004;642.0;40.0
19;1;25 tot 35 jaar;2005;636.0;40.0
20;1;25 tot 35 jaar;2006;635.0;41.0
21;1;35 tot 45 jaar;2000;594.0;35.0
22;1;35 tot 45 jaar;2001;624.0;35.0
23;1;35 tot 45 jaar;2002;608.0;35.0
24;1;35 tot 45 jaar;2003;644.0;37.0
25;1;35 tot 45 jaar;2004;677.0;39.0
26;1;35 tot 45 jaar;2005;699.0;40.0
27;1;35 tot 45 jaar;2006;699.0;40.0
28;1;45 tot 55 jaar;2000;471.0;35.0
29;1;45 tot 55 jaar;2001;507.0;36.0
30;1;45 tot 55 jaar;2002;483.0;34.0
31;1;45 tot 55 jaar;2003;527.0;37.0
32;1;45 tot 55 jaar;2004;554.0;38.0
33;1;45 tot 55 jaar;2005;575.0;40.0
34;1;45 tot 55 jaar;2006;612.0;41.0
35;1;55 tot 65 jaar;2000;132.0;32.0
36;1;55 tot 65 jaar;2001;139.0;31.0
37;1;55 tot 65 jaar;2002;160.0;31.0
38;1;55 tot 65 jaar;2003;186.0;33.0
39;1;55 tot 65 jaar;2004;204.0;34.0
40;1;55 tot 65 jaar;2005;219.0;35.0
41;1;55 tot 65 jaar;2006;243.0;36.0
42;1;Onderwijsniveau: laag;2000;421.0;24.0
43;1;Onderwijsniveau: laag;2001;406.0;23.0
44;1;Onderwijsniveau: laag;2002;391.0;23.0
45;1;Onderwijsniveau: laag;2003;402.0;25.0
46;1;Onderwijsniveau: laag;2004;415.0;27.0
47;1;Onderwijsniveau: laag;2005;393.0;27.0
48;1;Onderwijsniveau: laag;2006;404.0;28.0
49;1;Onderwijsniveau: middelbaar;2000;797.0;29.0
50;1;Onderwijsniveau: middelbaar;2001;860.0;31.0
51;1;Onderwijsniveau: middelbaar;2002;797.0;29.0
52;1;Onderwijsniveau: middelbaar;2003;859.0;31.0
53;1;Onderwijsniveau: middelbaar;2004;866.0;33.0
54;1;Onderwijsniveau: middelbaar;2005;916.0;34.0
55;1;Onderwijsniveau: middelbaar;2006;940.0;34.0
56;1;Onderwijsniveau: hoog;2000;780.0;47.0
57;1;Onderwijsniveau: hoog;2001;777.0;47.0
58;1;Onderwijsniveau: hoog;2002;809.0;46.0
59;1;Onderwijsniveau: hoog;2003;904.0;50.0
60;1;Onderwijsniveau: hoog;2004;989.0;51.0
61;1;Onderwijsniveau: hoog;2005;1019.0;53.0
62;1;Onderwijsniveau: hoog;2006;1038.0;53.0
63;1;Onderwijsniveau: onbekend;2000;7.0;25.0
64;1;Onderwijsniveau: onbekend;2001;6.0;20.0
65;1;Onderwijsniveau: onbekend;2002;6.0;27.0
66;1;Onderwijsniveau: onbekend;2003;5.0;19.0
67;1;Onderwijsniveau: onbekend;2004;5.0;15.0
68;1;Onderwijsniveau: onbekend;2005;6.0;23.0
69;1;Onderwijsniveau: onbekend;2006;10.0;29.0
70;1;Autochtonen;2000;1747.0;34.0
71;1;Autochtonen;2001;1767.0;34.0
72;1;Autochtonen;2002;1723.0;33.0
73;1;Autochtonen;2003;1862.0;36.0
74;1;Autochtonen;2004;1947.0;38.0
75;1;Autochtonen;2005;1986.0;39.0
76;1;Autochtonen;2006;2049.0;40.0
77;1;Allochtonen;2000;258.0;27.0
78;1;Allochtonen;2001;282.0;27.0
79;1;Allochtonen;2002;280.0;27.0
80;1;Allochtonen;2003;307.0;29.0
81;1;Allochtonen;2004;329.0;32.0
82;1;Allochtonen;2005;349.0;33.0
83;1;Allochtonen;2006;343.0;32.0
84;1;Westerse allochtonen;2000;177.0;32.0
85;1;Westerse allochtonen;2001;190.0;33.0
86;1;Westerse allochtonen;2002;184.0;32.0
87;1;Westerse allochtonen;2003;205.0;35.0
88;1;Westerse allochtonen;2004;208.0;37.0
89;1;Westerse allochtonen;2005;217.0;39.0
90;1;Westerse allochtonen;2006;218.0;38.0
91;1;Niet-westerse allochtonen;2000;81.0;19.0
92;1;Niet-westerse allochtonen;2001;93.0;20.0
93;1;Niet-westerse allochtonen;2002;95.0;20.0
94;1;Niet-westerse allochtonen;2003;102.0;21.0
95;1;Niet-westerse allochtonen;2004;121.0;25.0
96;1;Niet-westerse allochtonen;2005;133.0;27.0
