ID;Functies;Perioden;TotaalVerstrekt_1;VerstrektAanBedrijven_2;VerstrektAanGezinnen_3;VerstrektAanOverheid_4;VerstrektAanOverigeInstellingen_5;TotaleAflossing_6;AflossingBedrijven_7;AflossingGezinnen_8;AflossingOverheid_9;AflossingOverigeInstellingen_10;TotaalAandelenDeelnemingen_11;AandelenDeelnemingenInNederland_12;AandelenDeelnemingenInBuitenland_13;TotaalLiquidatieAandelenDeelnemingen_14;LiquidatieDeelnemingenInNederland_15;LiquidatieDeelnemingenInBuitenland_16;OpbrengstObligaties_17;AflossingObligaties_18;OpbrengstLanglopendeLeningen_19;AflossingLanglopendeLeningen_20
0;Totaal van alle functies;2003;2050;86;980;626;358;1842;639;668;114;421;48;39;9;2027;2026;1;34224;23718;6;241
1;Totaal van alle functies;2004;2015;74;1066;343;533;1787;275;801;205;507;17;7;10;1292;1291;1;33579;18761;0;145
2;Totaal van alle functies;2005;3463;37;1971;415;1039;1493;127;953;127;286;2868;2860;8;3697;3697;0;32156;26952;0;126
3;Totaal van alle functies;2006;3473;30;2292;460;692;1590;106;832;208;444;37;32;5;3721;3721;0;23238;27780;0;308
4;Totaal van alle functies;2007;4639;852;2721;524;542;1841;127;980;230;504;63;60;3;1195;1136;59;21593;26889;0;79
5;Totaal van alle functies;2008;4819;414;3004;725;676;2176;136;1291;92;656;37097;37095;2;448;430;18;29111;21345;0;34
6;Totaal van alle functies;2009*;4820;123;2993;1180;525;6683;714;1425;543;4001;1709;1708;1;8926;8564;362;48097;34791;0;56
7;Algemeen overheidsbestuur;2003;550;0;0;550;0;117;0;0;55;62;9;0;9;1;0;1;34208;23718;0;214
8;Algemeen overheidsbestuur;2004;267;0;0;267;0;205;0;0;168;38;10;0;10;1;0;1;33540;18761;0;118
9;Algemeen overheidsbestuur;2005;272;0;0;272;0;147;0;0;123;24;12;3;8;0;0;0;32118;26952;0;54
10;Algemeen overheidsbestuur;2006;395;0;0;395;0;165;0;0;136;30;9;5;5;146;146;0;23225;27780;0;249
11;Algemeen overheidsbestuur;2007;1312;800;0;512;0;223;0;0;191;32;3;0;3;60;1;59;21569;26889;0;79
12;Algemeen overheidsbestuur;2008;1025;300;0;717;8;94;0;0;53;40;2;0;2;26;8;18;29092;21345;0;34
13;Algemeen overheidsbestuur;2009*;1162;0;0;1162;0;4658;604;0;504;3551;2;1;1;6197;6185;12;48097;34791;0;56
14;Landsverdediging;2003;366;44;0;0;321;406;51;0;0;355;0;0;0;0;0;0;0;0;0;0
15;Landsverdediging;2004;542;32;0;0;509;486;18;0;0;468;0;0;0;0;0;0;0;0;0;0
16;Landsverdediging;2005;1030;21;0;0;1008;271;12;0;0;260;0;0;0;0;0;0;0;0;0;0
17;Landsverdediging;2006;659;0;0;0;659;418;6;0;0;412;0;0;0;0;0;0;0;0;0;0
18;Landsverdediging;2007;562;31;0;0;531;499;29;0;0;470;0;0;0;0;0;0;0;0;0;0
19;Landsverdediging;2008;746;85;0;0;661;638;23;0;0;615;0;0;0;0;0;0;0;0;0;0
20;Landsverdediging;2009*;574;58;0;0;516;460;11;0;0;449;0;0;0;0;0;0;0;0;0;0
21;Openbare orde en veiligheid;2003;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0
22;Openbare orde en veiligheid;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Openbare orde en veiligheid;2005;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
24;Openbare orde en veiligheid;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0
25;Openbare orde en veiligheid;2007;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0
26;Openbare orde en veiligheid;2008;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0
27;Openbare orde en veiligheid;2009*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Economische aangelegenheden;2003;112;42;0;34;36;651;588;0;58;5;35;35;0;2026;2026;0;16;0;0;27
29;Economische aangelegenheden;2004;115;41;0;50;23;296;257;0;37;1;6;6;0;1287;1287;0;39;0;0;27
30;Economische aangelegenheden;2005;155;15;0;108;31;121;116;0;4;2;2824;2824;0;3697;3697;0;38;0;0;72
31;Economische aangelegenheden;2006;89;30;0;26;33;175;100;0;72;2;1;1;0;3566;3566;0;12;0;0;60
32;Economische aangelegenheden;2007;32;22;0;0;10;139;98;0;39;2;50;50;0;1135;1135;0;25;0;0;0
33;Economische aangelegenheden;2008;37;29;0;0;7;146;106;0;39;1;37090;37090;0;382;382;0;19;0;0;0
34;Economische aangelegenheden;2009*;68;52;0;7;9;136;96;0;39;1;1705;1705;0;2729;2379;350;0;0;0;0
35;Milieubescherming;2003;31;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Milieubescherming;2004;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
