ID;Periods;GrossDomesticProduct_1;NetPrimaryIncomeFromRestOfWorld_2;Total_3;CompensationOfEmployees_4;PropertyIncome_5;SubsidiesReceivedFromRestOfWorld_6;Total_7;CompensationOfEmployees_8;PropertyIncome_9;TaxesOnProductionAndImports_10;GrossNationalIncome_11;ConsumptionOfFixedCapital_12;NetNationalIncome_13;NetCurrentTransfersFromRestOfWorld_14;Total_15;CurrentTaxesOnIncomeAndWealth_16;SocialContributions_17;SocialBenefitsInCash_18;OtherCurrentTransfers_19;Total_20;CurrentTaxesOnIncomeAndWealth_21;SocialContributions_22;SocialBenefitsInCash_23;OtherCurrentTransfers_24;NetDisposableNationalIncome_25;FinalConsumptionExpenditure_26;AdjustmChangeInPensionEntitlements_27;NetNationalSaving_28;NetFixedCapitalFormation_29;ChangesInInventories_30;SurplusNationOnCurrentTransactions_31;Total_32;NetExportsOfGoods_33;NetExportsOfServices_34;NetPrimaryIncome_35;PrimaryIncomeFromRestOfWorld_36;PrimaryIncomePaidToRestOfWorld_37;NetCurrentTransfers_38;CurrentTransfersFromRestOfWorld_39;CurrentTransfersPaidToRestOfWorld_40;AdjustmChangeInPensionEntitlements_41;NetCapitalTransfersFromRestOfWorld_42;CapitalTransfersFromRestOfWorld_43;CapitalTransfersPaidToRestOfWorld_44;AcqLessDisposalsOfNonProdAssets_45;NationalNetLendingOrNetBorrowing_46;TotalFinancialTransactionsInAssets_47;TotalFinancialTransactionsLiabilities_48;StatisticalDiscrepancy_49
0;1995;330032;-2287;45884;1688;42127;2069;48171;1699;44899;1573;327745;52832;274913;-5334;2430;1070;420;36;904;7764;909;511;658;5686;269579;234688;-32;34859;16169;1699;16991;24644;19837;4807;-2287;45884;48171;-5334;2430;7764;-32;-982;517;1499;0;16009;106381;89530;-842
1;1996;345300;-388;50964;1752;47481;1731;51352;1666;48179;1507;344912;54638;290274;-5647;2617;1096;431;42;1048;8264;970;518;683;6093;284627;244591;-26;40010;19696;2440;17874;23935;18515;5420;-388;50964;51352;-5647;2617;8264;-26;-1404;810;2214;0;16470;128409;112764;825
2;1997;369660;-1640;60956;1859;57423;1674;62596;1832;59101;1663;368020;57023;310997;-6185;3018;1404;476;47;1091;9203;1086;547;730;6840;304812;259536;-33;45243;23013;3337;18893;26751;20904;5847;-1640;60956;62596;-6185;3018;9203;-33;-1203;721;1924;7;17697;205785;186524;-1564
3;1998;394839;-7491;62989;1890;59506;1593;70480;2060;66832;1588;387348;59843;327505;-6238;3303;1623;550;46;1084;9541;1142;578;756;7065;321267;277615;-55;43597;26257;3697;13643;27427;22469;4958;-7491;62989;70480;-6238;3303;9541;-55;-776;789;1565;26;12893;213303;199415;-995
4;1999;420143;-2718;75519;1697;72263;1559;78237;1779;74853;1605;417425;63648;353777;-5623;4170;2129;624;54;1363;9793;1134;545;804;7310;348154;297313;-64;50777;32423;441;17913;26318;22597;3721;-2718;75519;78237;-5623;4170;9793;-64;-862;1046;1908;12;17063;293187;276351;227
5;2000;452191;-3649;126556;1813;123135;1608;130205;1988;126660;1557;448542;69098;379444;-7360;4075;1719;667;64;1625;11435;1330;579;877;8649;372084;317991;-42;54051;32771;-312;21592;32643;28776;3867;-3649;126556;130205;-7360;4075;11435;-42;-845;1395;2240;-4;20743;258080;237862;525
6;2001;482941;-12171;114323;1928;111118;1277;126494;2024;123002;1468;470770;74565;396205;-7633;4122;1862;655;200;1405;11755;1278;578;995;8904;388572;338667;-51;49854;32127;2474;15253;35108;31722;3386;-12171;114323;126494;-7633;4122;11755;-51;22;1181;1159;22;15297;339832;324072;-463
7;2002;502901;-14484;100179;1891;96853;1435;114663;2202;111131;1330;488417;79464;408953;-7496;4413;1833;688;217;1675;11909;1213;582;1112;9002;401457;359949;-56;41452;26218;-245;15479;37515;35248;2267;-14484;100179;114663;-7496;4413;11909;-56;-284;895;1179;0;15195;323198;305943;-2060
8;2003;514901;-6407;103555;1755;100194;1606;109962;2512;106078;1372;508494;82835;425659;-7958;4250;1488;808;207;1747;12208;1161;522;1262;9263;417701;372761;-61;44879;22803;-438;22514;36940;35958;982;-6407;103555;109962;-7958;4250;12208;-61;234;1217;983;16;22764;302178;278127;-1287
9;2004;531573;-7589;128134;1763;124696;1675;135723;2840;131344;1539;523984;85821;438163;-8690;4269;1533;944;218;1574;12959;1325;435;1351;9848;429473;380239;-58;49176;21445;300;27431;43768;41558;2210;-7589;128134;135723;-8690;4269;12959;-58;313;1203;890;41;27785;281708;252755;-1168
10;2005;553122;-7786;159688;1726;156383;1579;167474;2966;162867;1641;545336;88843;456493;-8721;5574;2769;959;230;1616;14295;1641;419;1534;10701;447772;391017;-58;56697;23509;437;32751;49316;47004;2312;-7786;159688;167474;-8721;5574;14295;-58;-213;1391;1604;18;32556;351113;318678;121
11;2006;587444;-4284;187061;1705;183475;1881;191345;3747;185858;1740;583160;92764;490396;-10222;5302;1984;1342;242;1734;15524;2027;424;1601;11472;480174;411028;9;69155;30068;151;38936;53433;49991;3442;-4284;187061;191345;-10222;5302;15524;9;-70;1245;1315;-906;37960;663938;626231;253
12;2007;622775;-7939;236583;1699;233586;1298;244522;6922;235627;1973;614836;97499;517337;-9309;7161;3341;1901;234;1685;16470;2400;417;1713;11940;508028;430646;26;77408;46386;777;30245;47467;52159;-4692;-7939;236583;244522;-9309;7161;16470;26;-487;650;1137;4086;33844;697758;662331;-1583
13;2008;651299;-32093;200779;1709;197581;1489;232872;8701;222048;2123;619206;102870;516336;-9171;7960;3537;2352;248;1823;17131;2378;402;2085;12266;507165;447669;-29;59467;39967;1790;17710;59003;51489;7514;-32093;200779;232872;-9171;7960;17131;-29;-1421;498;1919;-864;15425;127861;108880;-3556
