ID;BedrijfstakkenBranchesSBI2008;Perioden;Arbeidsinkomensquote_1;BeloningWerknemers_2;ToegerekendArbeidsinkomen_3;NettoExploitatieoverschotGemengdIn_4;TotaleBeloningVanArbeid_5;TotaleBeloningVanArbeidEnKapitaal_6
0;A-U Alle economische activiteiten;1995;77.8;165560;25864;80505;191424;246065
1;A-U Alle economische activiteiten;1996;77.2;171981;26763;85314;198744;257295
2;A-U Alle economische activiteiten;1997;76.1;181634;29125;95454;210759;277088
3;A-U Alle economische activiteiten;1998;75.7;194666;30223;102605;224889;297271
4;A-U Alle economische activiteiten;1999;76.7;209646;31666;104941;241312;314587
5;A-U Alle economische activiteiten;2000;76.9;226797;33419;111564;260216;338361
6;A-U Alle economische activiteiten;2001;77.0;239194;35943;118329;275137;357523
7;A-U Alle economische activiteiten;2002;77.3;251188;35640;119969;286828;371157
8;A-U Alle economische activiteiten;2003;77.6;257981;35353;120203;293334;378184
9;A-U Alle economische activiteiten;2004;76.1;261726;34821;127905;296547;389631
10;A-U Alle economische activiteiten;2005;74.6;265911;35699;138562;301610;404473
11;A-U Alle economische activiteiten;2006;72.7;274752;38297;155903;313049;430655
12;A-U Alle economische activiteiten;2007;72.0;290622;40289;168837;330911;459459
13;A-U Alle economische activiteiten;2008;72.7;307808;40841;172085;348649;479893
14;A-U Alle economische activiteiten;2009;76.4;312320;39875;148679;352195;460999
15;A-U Alle economische activiteiten;2010;75.2;311900;41416;157833;353316;469733
16;A-U Alle economische activiteiten;2011;75.3;319887;42878;162065;362765;481952
17;A-U Alle economische activiteiten;2012;75.9;324274;43181;159549;367455;483823
18;A-U Alle economische activiteiten;2013;75.9;325151;43542;160490;368693;485641
19;A-U Alle economische activiteiten;2014;76.0;328743;45883;164057;374626;492800
20;A-U Alle economische activiteiten;2015;74.3;330994;48544;180086;379538;511080
21;A-U Alle economische activiteiten;2016;75.4;342642;53038;182456;395680;525098
22;A-U Alle economische activiteiten;2017;74.6;354478;56094;195534;410572;550012
23;A-U Alle economische activiteiten;2018;75.1;372900;59804;203190;432704;576090
24;A-U Alle economische activiteiten;2019;75.2;393062;62852;213358;455914;606420
25;A-U Alle economische activiteiten;2020;76.7;406330;61033;203313;467363;609643
26;A-U Alle economische activiteiten;2021;74.0;423799;68092;241326;491891;665125
27;A-U Alle economische activiteiten;2022;71.3;454769;71717;283933;526486;738702
28;A-U Alle economische activiteiten;2023;71.1;489593;77687;307745;567280;797338
29;A Landbouw, bosbouw en visserij;1995;93.7;1816;5808;6320;7624;8136
30;A Landbouw, bosbouw en visserij;1996;94.1;1881;5623;6092;7504;7973
31;A Landbouw, bosbouw en visserij;1997;93.4;1937;6350;6940;8287;8877
32;A Landbouw, bosbouw en visserij;1998;93.6;2015;5472;5981;7487;7996
33;A Landbouw, bosbouw en visserij;1999;94.5;2154;5249;5680;7403;7834
34;A Landbouw, bosbouw en visserij;2000;95.1;2281;5444;5841;7725;8122
35;A Landbouw, bosbouw en visserij;2001;95.7;2396;5617;5981;8013;8377
36;A Landbouw, bosbouw en visserij;2002;95.7;2551;4916;5249;7467;7800
37;A Landbouw, bosbouw en visserij;2003;94.0;2572;5039;5523;7611;8095
38;A Landbouw, bosbouw en visserij;2004;94.6;2523;4426;4825;6949;7348
39;A Landbouw, bosbouw en visserij;2005;93.0;2495;4573;5105;7068;7600
40;A Landbouw, bosbouw en visserij;2006;91.1;2539;5644;6448;8183;8987
41;A Landbouw, bosbouw en visserij;2007;90.3;2669;5430;6301;8099;8970
42;A Landbouw, bosbouw en visserij;2008;91.2;2745;4797;5522;7542;8267
43;A Landbouw, bosbouw en visserij;2009;93.0;2768;3918;4418;6686;7186
44;A Landbouw, bosbouw en visserij;2010;88.8;2822;4937;5917;7759;8739
45;A Landbouw, bosbouw en visserij;2011;92.5;2896;4312;4893;7208;7789
46;A Landbouw, bosbouw en visserij;2012;92.0;2967;4697;5366;7664;8333
47;A Landbouw, bosbouw en visserij;2013;92.3;3017;5617;6334;8634;9351
48;A Landbouw, bosbouw en visserij;2014;90.3;3025;5187;6073;8212;9098
49;A Landbouw, bosbouw en visserij;2015;98.7;3009;6241;6360;9250;9369
50;A Landbouw, bosbouw en visserij;2016;97.4;3102;6529;6790;9631;9892
51;A Landbouw, bosbouw en visserij;2017;94.4;3241;7307;7927;10548;11168
52;A Landbouw, bosbouw en visserij;2018;99.2;3455;6643;6720;10098;10175
53;A Landbouw, bosbouw en visserij;2019;99.5;3659;7010;7064;10669;10723
54;A Landbouw, bosbouw en visserij;2020;91.9;3809;5979;6847;9788;10656
55;A Landbouw, bosbouw en visserij;2021;81.4;3937;5206;7290;9143;11227
