ID;TypeGefailleerde;Perioden;FaillissementenZittingsdaggecorrigeerd_1
0;Totaal rechtsvormen Nederland/buitenland;1981 januari;532
1;Totaal rechtsvormen Nederland/buitenland;1981 februari;590
2;Totaal rechtsvormen Nederland/buitenland;1981 maart;588
3;Totaal rechtsvormen Nederland/buitenland;1981 1e kwartaal;1710
4;Totaal rechtsvormen Nederland/buitenland;1981 april;559
5;Totaal rechtsvormen Nederland/buitenland;1981 mei;573
6;Totaal rechtsvormen Nederland/buitenland;1981 juni;564
7;Totaal rechtsvormen Nederland/buitenland;1981 2e kwartaal;1696
8;Totaal rechtsvormen Nederland/buitenland;1981 juli;634
9;Totaal rechtsvormen Nederland/buitenland;1981 augustus;547
10;Totaal rechtsvormen Nederland/buitenland;1981 september;652
11;Totaal rechtsvormen Nederland/buitenland;1981 3e kwartaal;1833
12;Totaal rechtsvormen Nederland/buitenland;1981 oktober;735
13;Totaal rechtsvormen Nederland/buitenland;1981 november;702
14;Totaal rechtsvormen Nederland/buitenland;1981 december;612
15;Totaal rechtsvormen Nederland/buitenland;1981 4e kwartaal;2049
16;Totaal rechtsvormen Nederland/buitenland;1981;7288
17;Totaal rechtsvormen Nederland/buitenland;1982 januari;728
18;Totaal rechtsvormen Nederland/buitenland;1982 februari;721
19;Totaal rechtsvormen Nederland/buitenland;1982 maart;820
20;Totaal rechtsvormen Nederland/buitenland;1982 1e kwartaal;2269
21;Totaal rechtsvormen Nederland/buitenland;1982 april;706
22;Totaal rechtsvormen Nederland/buitenland;1982 mei;611
23;Totaal rechtsvormen Nederland/buitenland;1982 juni;669
24;Totaal rechtsvormen Nederland/buitenland;1982 2e kwartaal;1986
25;Totaal rechtsvormen Nederland/buitenland;1982 juli;718
26;Totaal rechtsvormen Nederland/buitenland;1982 augustus;635
27;Totaal rechtsvormen Nederland/buitenland;1982 september;731
28;Totaal rechtsvormen Nederland/buitenland;1982 3e kwartaal;2084
29;Totaal rechtsvormen Nederland/buitenland;1982 oktober;793
30;Totaal rechtsvormen Nederland/buitenland;1982 november;797
31;Totaal rechtsvormen Nederland/buitenland;1982 december;715
32;Totaal rechtsvormen Nederland/buitenland;1982 4e kwartaal;2305
33;Totaal rechtsvormen Nederland/buitenland;1982;8644
34;Totaal rechtsvormen Nederland/buitenland;1983 januari;801
35;Totaal rechtsvormen Nederland/buitenland;1983 februari;675
36;Totaal rechtsvormen Nederland/buitenland;1983 maart;779
37;Totaal rechtsvormen Nederland/buitenland;1983 1e kwartaal;2255
38;Totaal rechtsvormen Nederland/buitenland;1983 april;664
39;Totaal rechtsvormen Nederland/buitenland;1983 mei;659
40;Totaal rechtsvormen Nederland/buitenland;1983 juni;661
41;Totaal rechtsvormen Nederland/buitenland;1983 2e kwartaal;1984
42;Totaal rechtsvormen Nederland/buitenland;1983 juli;563
43;Totaal rechtsvormen Nederland/buitenland;1983 augustus;599
44;Totaal rechtsvormen Nederland/buitenland;1983 september;660
45;Totaal rechtsvormen Nederland/buitenland;1983 3e kwartaal;1822
46;Totaal rechtsvormen Nederland/buitenland;1983 oktober;595
47;Totaal rechtsvormen Nederland/buitenland;1983 november;540
48;Totaal rechtsvormen Nederland/buitenland;1983 december;495
49;Totaal rechtsvormen Nederland/buitenland;1983 4e kwartaal;1630
50;Totaal rechtsvormen Nederland/buitenland;1983;7691
51;Totaal rechtsvormen Nederland/buitenland;1984 januari;590
52;Totaal rechtsvormen Nederland/buitenland;1984 februari;612
