ID;Perioden;TotaalIngeschrevenStrafzaken_1;TotaalAfdoeningenOpenbaarMinisterie_2;Sepots_3;Transacties_4;Voeging_5;Overdracht_6;TotaalAfdoeningenDoorDeRechter_7;Schuldigverklaring_8;VrijspraakOntslagVanRechtsvervolging_9;OverigeAfdoeningenDoorDeRechter_10;TotaalIngeschrevenStrafzaken_11;TotaalBeslissingenOpenbaarMinisterie_12;DagvaardingEnOproepenTtz_13;OnvoorwaardelijkSepot_14;VoorwaardelijkBeleidssepot_15;Transactie_16;Strafbeschikking_17;Voeging_18;Overdracht_19;OverigeEnOnbekendeBeslissingenOM_20;TotaalAfdoeningenDoorDeRechter_21;Schuldigverklaring_22;VrijspraakOntslagVanRechtsvervolging_23;OverigeAfdoeningenDoorDeRechter_24;TotaalBeschikkingenWetMulder_25;Snelheid_26;Verkeerslichten_27;ParkerenStilstaan_28;OverigeBeschikkingenWetMulder_29;TotaalOpBasisVanKenteken_30;Snelheid_31;Verkeerslichten_32;ParkerenStilstaan_33;OverigeBeschikkingenWetMulder_34;TotaalOpBasisVanStaandehouding_35;Snelheid_36;Verkeerslichten_37;ParkerenStilstaan_38;OverigeBeschikkingenWetMulder_39
0;1994;307.2;220.1;78.0;131.2;3.9;7.0;116.3;102.6;3.4;10.4;273.2;161.1;;57.3;4.2;58.7;;29.6;8.1;3.2;96.5;91.7;4.2;0.6;2539.1;1027.3;153.8;914.9;443.0;2117.7;926.8;115.8;892.0;183.1;421.4;100.5;38.0;22.9;259.9
1;1995;308.3;248.3;84.4;146.0;11.7;6.2;124.7;106.2;3.2;15.3;257.8;147.5;;50.3;3.8;57.6;;26.6;6.3;2.9;102.3;97.2;4.4;0.7;3263.8;1678.9;217.0;879.5;488.3;2805.2;1591.2;175.5;859.4;179.1;458.6;87.7;41.5;20.1;309.2
2;1996;261.1;183.9;53.9;111.7;13.0;5.3;100.2;89.3;2.5;8.3;250.7;133.8;;42.1;3.9;57.8;;21.3;6.0;2.7;104.6;99.6;4.4;0.6;3718.8;2035.2;218.0;848.5;617.1;3185.0;1945.7;171.8;827.3;240.1;533.8;89.5;46.2;21.2;377.0
3;1997;234.1;175.3;44.2;109.4;16.7;5.0;92.9;84.6;2.7;5.6;250.9;130.8;;39.9;3.6;59.1;;20.8;5.1;2.2;106.4;101.2;4.4;0.8;4653.7;2948.3;236.3;850.0;619.1;4058.2;2858.6;187.5;827.6;184.5;595.5;89.7;48.8;22.4;434.7
4;1998;225.6;148.4;33.9;95.3;15.0;4.2;80.3;71.8;3.1;5.5;242.5;120.2;;33.2;2.9;59.3;;17.4;5.1;2.3;105.0;100.2;4.3;0.5;5255.6;3421.8;227.4;878.2;728.3;4593.3;3329.5;182.5;852.0;229.3;662.3;92.2;44.9;26.2;499.0
5;1999;251.6;167.7;38.5;106.9;17.6;4.6;78.7;70.2;2.0;6.4;234.7;114.5;;25.7;2.3;66.8;;12.1;5.5;2.0;111.3;105.8;4.9;0.6;6368.0;4383.3;243.1;942.9;798.7;5694.2;4301.5;198.5;912.5;281.8;673.8;81.8;44.6;30.5;516.9
6;2000;182.5;144.5;38.5;89.9;12.8;3.4;87.6;78.6;2.3;6.7;233.3;118.4;;31.6;2.3;61.5;;14.6;4.5;3.8;111.0;105.4;4.9;0.7;7794.0;5648.3;277.9;966.8;901.1;7006.1;5556.1;224.4;933.6;292.0;787.9;92.1;53.5;33.1;609.2
7;2001;179.2;94.7;41.3;38.3;12.0;3.2;90.1;82.2;2.4;5.5;236.0;259.6;144.1;28.5;2.7;66.9;;13.7;3.6;0.1;113.3;107.1;5.1;1.1;9203.1;6738.7;321.3;1054.1;1089.0;8209.9;6616.8;257.7;1012.6;322.8;993.2;121.9;63.5;41.5;766.3
8;2002;219.4;89.3;31.1;38.5;16.4;3.2;108.5;100.8;2.8;4.9;251.3;275.4;154.7;28.1;3.0;71.2;;14.5;3.9;0.1;118.8;112.8;5.1;1.0;9536.9;6925.3;330.8;1120.9;1159.9;8388.3;6769.8;260.5;1074.7;283.3;1148.6;155.5;70.3;46.2;876.7
9;2003;273.5;130.1;46.3;49.9;30.5;3.4;135.6;126.0;4.0;5.5;270.3;292.6;163.9;26.7;3.5;81.1;;13.8;3.5;0.1;137.4;130.2;6.2;0.9;10570.0;7650.7;385.2;1176.6;1357.5;9212.5;7479.4;296.3;1121.9;315.0;1357.5;171.3;88.9;54.7;1042.6
