ID;Perioden;VolumemutatiesTOVEenJaarEerder_1
0;2005 januari;0.6
1;2005 februari;0.1
2;2005 maart;-4.1
3;2005 april;1.9
4;2005 mei;3.4
5;2005 juni;2.1
6;2005 juli;1.1
7;2005 augustus;12.5
8;2005 september;8.1
9;2005 oktober;2.5
10;2005 november;4.9
11;2005 december;2.9
12;2006 januari;2.0
13;2006 februari;5.7
14;2006 maart;10.6
15;2006 april;4.6
16;2006 mei;13.8
17;2006 juni;3.1
18;2006 juli;4.5
19;2006 augustus;9.3
20;2006 september;6.7
21;2006 oktober;10.2
22;2006 november;9.1
23;2006 december;9.4
24;2007 januari;12.3
25;2007 februari;14.1
26;2007 maart;9.0
27;2007 april;5.8
28;2007 mei;5.8
29;2007 juni;10.1
30;2007 juli;10.5
31;2007 augustus;12.8
32;2007 september;2.2
33;2007 oktober;9.4
34;2007 november;3.6
35;2007 december;-3.7
36;2008 januari;10.0
37;2008 februari;12.0
38;2008 maart;-0.8
39;2008 april;14.5
40;2008 mei;4.9
41;2008 juni;4.1
42;2008 juli;0.6
43;2008 augustus;1.7
44;2008 september;6.9
45;2008 oktober;2.1
46;2008 november;-6.1
47;2008 december;2.2
48;2009 januari;-4.5
49;2009 februari;-11.2
50;2009 maart;-1.7
51;2009 april;-10.6
52;2009 mei;-8.6
53;2009 juni;-12.5
54;2009 juli;-5.4
55;2009 augustus;-17.8
56;2009 september;-13.8
57;2009 oktober;-16.8
58;2009 november;-12.4
59;2009 december;-11.2
60;2010 januari;-17.5
61;2010 februari;-19.2
62;2010 maart;-12.0
63;2010 april;-8.5
64;2010 mei;-12.6
65;2010 juni;-3.6
66;2010 juli;-10.5
67;2010 augustus;-5.1
68;2010 september;-9.1
69;2010 oktober;-6.5
70;2010 november;-1.7
71;2010 december;-6.9
72;2011 januari;12.0
73;2011 februari;15.4
74;2011 maart;8.0
75;2011 april;2.5
76;2011 mei;14.5
77;2011 juni;-6.2
78;2011 juli;1.6
79;2011 augustus;7.5
80;2011 september;5.6
81;2011 oktober;4.5
82;2011 november;5.9
83;2011 december;11.2
84;2012 januari;-6.2
85;2012 februari;-11.0
86;2012 maart;-11.7
87;2012 april;-11.3
88;2012 mei;-11.7
89;2012 juni;3.3
90;2012 juli;-7.6
91;2012 augustus;-5.5
92;2012 september;-11.6
93;2012 oktober;-8.0
94;2012 november;-9.1
95;2012 december;-10.8
96;2013 januari;-13.1
97;2013 februari;-14.9
98;2013 maart;-12.3
99;2013 april;-8.6
100;2013 mei;-10.0
101;2013 juni;-13.2
102;2013 juli;-4.3
103;2013 augustus;-4.7
104;2013 september;-3.7
105;2013 oktober;2.2
106;2013 november;0.4
107;2013 december;13.5
108;2014 januari;2.4
109;2014 februari;8.1
110;2014 maart;-1.0
111;2014 april;4.4
112;2014 mei;-2.7
113;2014 juni;-4.0
114;2014 juli;4.1
115;2014 augustus;-6.3
116;2014 september;0.8
117;2014 oktober;9.1
118;2014 november;2.0
119;2014 december;-0.4
120;2015 januari;8.6
121;2015 februari;6.6
122;2015 maart;17.7
123;2015 april;10.9
124;2015 mei;10.1
125;2015 juni;24.4
126;2015 juli;11.0
127;2015 augustus;15.9
128;2015 september;11.5
129;2015 oktober;3.2
130;2015 november;13.9
131;2015 december;20.4
132;2016 januari;7.2
133;2016 februari;20.1
134;2016 maart;3.7
135;2016 april;11.0
136;2016 mei;6.8
137;2016 juni;10.6
138;2016 juli;7.4
139;2016 augustus;10.5
140;2016 september;9.8
141;2016 oktober;2.1
142;2016 november;1.3
143;2016 december;-8.5
144;2017 januari;6.3
145;2017 februari;2.8
146;2017 maart;11.7
147;2017 april;-1.1
148;2017 mei;17.0
149;2017 juni;-1.1
150;2017 juli;11.5
151;2017 augustus;8.4
152;2017 september;5.0
153;2017 oktober;9.6
154;2017 november;10.6
155;2017 december;0.2
156;2018 januari;14.3
157;2018 februari;2.7
158;2018 maart;5.4
159;2018 april;11.1
160;2018 mei;2.7
161;2018 juni;6.8
162;2018 juli;6.2
