ID;UitgaveVoorAanschafEnBezit;Perioden;Prijsindex_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3
0;Uitgaven aanschaf en bezit koopwoning;2010 1e kwartaal;86.4;;
1;Uitgaven aanschaf en bezit koopwoning;2010 2e kwartaal;86.4;0.0;
2;Uitgaven aanschaf en bezit koopwoning;2010 3e kwartaal;86.0;-0.4;
3;Uitgaven aanschaf en bezit koopwoning;2010 4e kwartaal;86.0;0.0;
4;Uitgaven aanschaf en bezit koopwoning;2010;86.2;;
5;Uitgaven aanschaf en bezit koopwoning;2011 1e kwartaal;86.7;0.8;0.4
6;Uitgaven aanschaf en bezit koopwoning;2011 2e kwartaal;84.9;-2.1;-1.7
7;Uitgaven aanschaf en bezit koopwoning;2011 3e kwartaal;81.8;-3.6;-4.9
8;Uitgaven aanschaf en bezit koopwoning;2011 4e kwartaal;81.1;-0.9;-5.7
9;Uitgaven aanschaf en bezit koopwoning;2011;83.6;-3.0;-3.0
10;Uitgaven aanschaf en bezit koopwoning;2012 1e kwartaal;78.7;-2.9;-9.2
11;Uitgaven aanschaf en bezit koopwoning;2012 2e kwartaal;79.1;0.5;-6.8
12;Uitgaven aanschaf en bezit koopwoning;2012 3e kwartaal;77.4;-2.2;-5.4
13;Uitgaven aanschaf en bezit koopwoning;2012 4e kwartaal;79.0;2.1;-2.5
14;Uitgaven aanschaf en bezit koopwoning;2012;78.6;-6.1;-6.1
15;Uitgaven aanschaf en bezit koopwoning;2013 1e kwartaal;78.0;-1.3;-0.9
16;Uitgaven aanschaf en bezit koopwoning;2013 2e kwartaal;75.7;-3.0;-4.4
17;Uitgaven aanschaf en bezit koopwoning;2013 3e kwartaal;76.2;0.8;-1.5
18;Uitgaven aanschaf en bezit koopwoning;2013 4e kwartaal;75.5;-1.0;-4.5
19;Uitgaven aanschaf en bezit koopwoning;2013;76.4;-2.8;-2.8
20;Uitgaven aanschaf en bezit koopwoning;2014 1e kwartaal;75.4;-0.1;-3.4
21;Uitgaven aanschaf en bezit koopwoning;2014 2e kwartaal;75.5;0.2;-0.2
22;Uitgaven aanschaf en bezit koopwoning;2014 3e kwartaal;75.9;0.5;-0.4
23;Uitgaven aanschaf en bezit koopwoning;2014 4e kwartaal;76.2;0.4;1.0
24;Uitgaven aanschaf en bezit koopwoning;2014;75.8;-0.8;-0.8
25;Uitgaven aanschaf en bezit koopwoning;2015 1e kwartaal;76.6;0.5;1.6
26;Uitgaven aanschaf en bezit koopwoning;2015 2e kwartaal;77.5;1.2;2.6
27;Uitgaven aanschaf en bezit koopwoning;2015 3e kwartaal;78.8;1.7;3.8
28;Uitgaven aanschaf en bezit koopwoning;2015 4e kwartaal;79.1;0.3;3.7
29;Uitgaven aanschaf en bezit koopwoning;2015;78.0;3.0;3.0
30;Uitgaven aanschaf en bezit koopwoning;2016 1e kwartaal;79.0;-0.1;3.1
31;Uitgaven aanschaf en bezit koopwoning;2016 2e kwartaal;80.0;1.2;3.2
