ID;BelastingschijfElektriciteit;SBI2008;Perioden;AantalDoorDeSchijfGehaaldeEenheden_1;LeveringVoorEigenGebruik_2;ElektriciteitsproductieTotaal_3;ElektriciteitsproductieAflevering_4;ElektriciteitsproductieVerbruik_5
60;Totaal elektriciteit;18 Grafische industrie;2019;1585;306400.0;1700.0;500.0;1200.0
61;Totaal elektriciteit;18 Grafische industrie;2020;1520;352300.0;1500.0;200.0;1400.0
62;Totaal elektriciteit;18 Grafische industrie;2022;1420;281100.0;18200.0;8300.0;9800.0
63;Totaal elektriciteit;19 Aardolie-industrie;2019;10;1648400.0;1725800.0;477800.0;1248100.0
64;Totaal elektriciteit;19 Aardolie-industrie;2020;10;1277700.0;1796200.0;458600.0;1337600.0
65;Totaal elektriciteit;19 Aardolie-industrie;2022;10;1544200.0;1614600.0;439400.0;1175100.0
66;Totaal elektriciteit;20-21 Chemie en farmaceutische industrie;2019;795;11226400.0;3011800.0;1368600.0;1643200.0
67;Totaal elektriciteit;20-21 Chemie en farmaceutische industrie;2020;810;11075600.0;5779800.0;3318700.0;2461200.0
68;Totaal elektriciteit;20-21 Chemie en farmaceutische industrie;2022;815;11187700.0;5022200.0;2760600.0;2261600.0
69;Totaal elektriciteit;Basischemie, excl. ov. anorg basischemie;2019;255;7859500.0;1870200.0;897600.0;972600.0
70;Totaal elektriciteit;Basischemie, excl. ov. anorg basischemie;2020;240;7576800.0;4750000.0;2819200.0;1930800.0
71;Totaal elektriciteit;Basischemie, excl. ov. anorg basischemie;2022;245;7771100.0;3936500.0;2214200.0;1722300.0
72;Totaal elektriciteit;2013 Overige anorganische basischemie;2019;20;1968600.0;1090300.0;454100.0;636200.0
73;Totaal elektriciteit;2013 Overige anorganische basischemie;2020;15;2101800.0;989800.0;488000.0;501800.0
74;Totaal elektriciteit;2013 Overige anorganische basischemie;2022;20;1935000.0;1049500.0;534100.0;515400.0
75;Totaal elektriciteit;Overige chemie, farmaceutische industrie;2019;520;1398300.0;51300.0;16900.0;34400.0
76;Totaal elektriciteit;Overige chemie, farmaceutische industrie;2020;555;1397000.0;40100.0;11500.0;28600.0
77;Totaal elektriciteit;Overige chemie, farmaceutische industrie;2022;550;1481600.0;36200.0;12100.0;24000.0
78;Totaal elektriciteit;22 Rubber- en kunststofproductindustrie;2019;1055;1696800.0;;;7100.0
79;Totaal elektriciteit;22 Rubber- en kunststofproductindustrie;2020;1045;1690600.0;;;16900.0
80;Totaal elektriciteit;22 Rubber- en kunststofproductindustrie;2022;1075;1659200.0;49600.0;19000.0;30600.0
81;Totaal elektriciteit;23 Bouwmaterialenindustrie;2019;995;1129800.0;21600.0;2100.0;19500.0
82;Totaal elektriciteit;23 Bouwmaterialenindustrie;2020;965;1052600.0;35500.0;3300.0;32200.0
83;Totaal elektriciteit;23 Bouwmaterialenindustrie;2022;1000;1138800.0;55100.0;17100.0;38100.0
