ID;RegioS;Perioden;TotaalTehuizenNaarGrootteklasse_1;MinderDan25Bewoners_2;k_2549Bewoners_3;k_5074Bewoners_4;k_7599Bewoners_5;k_100149Bewoners_6;k_150199Bewoners_7;k_200249Bewoners_8;k_250EnMeerBewoners_9;TotaleCapaciteit_10;Verzorgingsplaatsen_11;Ziekenbedden_12;TotaalAppartementen_13;Eenpersoons_14;Meerpersoons_15;TotaalAantalBewoners_16
0;Nederland;1995;1425;57;184;396;314;323;100;30;21;127838;125491;2347;115926;106641;9285;117491
1;Nederland;1996;1404;54;194;389;325;313;84;30;15;123042;121004;2039;112196;103547;8650;113033
2;Nederland;1997;1394;61;204;416;307;292;78;26;10;117309;116323;986;109586;100752;8835;111719
3;Nederland;1998;1380;53;213;429;307;278;73;21;6;114250;112815;1435;106381;97813;8574;107806
4;Nederland;1999;1366;46;208;423;311;279;75;18;6;112441;111372;1069;105636;95664;9972;107065
5;Nederland;2000;1352;45;228;402;324;264;67;16;6;110669;109646;1023;103805;93384;10421;104114
6;Nederland;2001;1346;44;218;415;314;260;75;14;6;109885;108864;1021;101375;92382;8993;102920
7;Nederland;2002;1342;42;216;424;303;270;67;14;6;108933;107944;989;100415;91664;8751;102088
8;Noord-Nederland;1995;175;5;19;59;50;31;8;2;0;14472;14058;414;12944;11836;1108;13225
9;Noord-Nederland;1996;175;4;22;62;44;35;7;1;0;13998;13645;353;12595;11551;1044;12857
10;Noord-Nederland;1997;173;5;20;67;44;29;6;2;0;13556;13389;167;12439;11279;1160;12873
11;Noord-Nederland;1998;168;4;19;71;41;25;6;2;0;13025;12832;193;12074;11037;1037;12296
12;Noord-Nederland;1999;167;1;19;73;45;22;5;2;0;12908;12738;170;12037;10759;1278;12237
13;Noord-Nederland;2000;166;1;24;72;40;25;3;1;0;12624;12387;237;11750;10212;1538;11967
14;Noord-Nederland;2001;174;4;29;71;45;21;4;0;0;12605;12455;150;11339;10295;1044;11970
15;Noord-Nederland;2002;173;4;29;75;39;21;4;1;0;12556;12403;153;11561;10556;1005;11903
16;Oost-Nederland;1995;305;15;44;95;72;57;14;0;0;25232;24993;239;23089;21265;1824;23370
17;Oost-Nederland;1996;297;19;43;93;71;52;12;0;0;24006;23785;221;22025;20341;1684;22074
18;Oost-Nederland;1997;297;18;47;99;70;51;7;0;0;22749;22644;105;21800;20044;1756;22173
19;Oost-Nederland;1998;297;17;46;102;70;49;8;0;0;22807;22596;211;21340;19605;1735;21751
20;Oost-Nederland;1999;295;17;45;97;71;51;8;0;0;22847;22661;186;21418;19248;2170;21887
21;Oost-Nederland;2000;293;16;46;93;76;49;8;2;3;22780;22613;167;21464;19187;2277;21345
22;Oost-Nederland;2001;287;15;44;88;77;47;11;2;3;22724;22552;172;20940;19003;1937;21115
23;Oost-Nederland;2002;285;15;46;90;73;49;7;2;3;22044;21896;148;20284;18468;1816;20649
24;West-Nederland;1995;618;10;60;158;128;171;58;0;0;62289;60784;1505;56008;51396;4612;56608
25;West-Nederland;1996;610;10;66;154;142;161;47;0;0;59377;58097;1280;53756;49483;4273;53965
26;West-Nederland;1997;600;14;69;168;127;152;46;0;0;55668;55101;567;51763;47617;4146;52627
27;West-Nederland;1998;591;15;75;167;130;147;43;0;0;53306;52563;743;49601;45619;3982;49978
28;West-Nederland;1999;582;14;73;164;128;146;45;0;0;51711;51179;532;48647;44217;4430;49129
29;West-Nederland;2000;571;12;85;152;141;131;38;9;3;50157;49683;474;47035;42648;4387;47397
