ID;Energiedragers;Perioden;TotaalAanbodTPES_1;Winning_2;Invoer_3;Uitvoer_4;Invoersaldo_5;Bunkering_6;Voorraadmutatie_7;Verbruikssaldo_8;TotaalInzet_9;InzetElektriciteitWKKOmzetting_10;InzetAndereOmzetting_11;TotaalProductie_12;ProductieElektriciteitWKKOmzetting_13;ProductieAndereOmzetting_14;TotaalSaldoEnergieomzetting_15;SaldoElektriciteitWKKOmzetting_16;SaldoAndereOmzetting_17;EigenVerbruikEnergiesector_18;VerliezenBijDistributie_19;TotaalFinaalVerbruik_20;FinaalEnergieverbruik_21;NietEnergetischGebruik_22;StatistischeVerschillen_23
0;Totaal energiedragers;1946;;;;;151.0;17.0;-16.0;;;;;;;;;;;;;;;;
1;Totaal energiedragers;1947;;;;;203.0;34.0;-23.0;;;;;;;;;;;;;;;;
2;Totaal energiedragers;1948;;;;;185.0;38.0;0.0;;;;;;;;;;;;;;;;
3;Totaal energiedragers;1949;;;;;209.0;48.0;4.0;;;;;;;;;;;;;;;;
4;Totaal energiedragers;1950;;;;;271.0;61.0;1.0;;;;;;;;;;;;;;;;
5;Totaal energiedragers;1951;;;;;326.0;81.0;-9.0;;;;;;;;;;;;;;;;
6;Totaal energiedragers;1952;;;;;317.0;78.0;-11.0;;;;;;;;;;;;;;;;
7;Totaal energiedragers;1953;;;;;316.0;75.0;11.0;;;;;;;;;;;;;;;;
8;Totaal energiedragers;1954;;;;;384.0;108.0;27.0;;;;;;;;;;;;;;;;
9;Totaal energiedragers;1955;;;;;472.0;118.0;-12.0;;;;;;;;;;;;;;;;
10;Totaal energiedragers;1956;;;;;549.0;129.0;-5.0;;;;;;;;;;;;;;;;
11;Totaal energiedragers;1957;;;;;540.0;120.0;-41.0;;;;;;;;;;;;;;;;
12;Totaal energiedragers;1958;;;;;520.0;121.0;-25.0;;;;;;;;;;;;;;;;
13;Totaal energiedragers;1959;;;;;498.0;115.0;4.0;;;;;;;;;;;;;;;;
14;Totaal energiedragers;1960;;;;;584.0;126.0;29.0;;;;;;;;;;;;;;;;
15;Totaal energiedragers;1961;;;;;708.0;170.0;-28.0;;;;;;;;;;;;;;;;
16;Totaal energiedragers;1962;;;;;780.0;183.0;33.0;;;;;;;;;;;;;;;;
17;Totaal energiedragers;1963;;;;;913.0;188.0;3.0;;;;;;;;;;;;;;;;
18;Totaal energiedragers;1964;;;;;1039.0;214.0;-46.0;;;;;;;;;;;;;;;;
19;Totaal energiedragers;1965;;;;;1080.0;243.0;-15.0;;;;;;;;;;;;;;;;
20;Totaal energiedragers;1966;;;;;1151.0;244.0;-39.0;;;;;;;;;;;;;;;;
21;Totaal energiedragers;1967;;;;;1193.0;259.0;-40.0;;;;;;;;;;;;;;;;
22;Totaal energiedragers;1968;;;;;1199.0;319.0;27.0;;;;;;;;;;;;;;;;
23;Totaal energiedragers;1969;;;;;1250.0;392.0;-13.0;;;;;;;;;;;;;;;;
24;Totaal energiedragers;1970;2016.0;1225.0;;;1255.0;423.0;-41.0;2016.0;;;;;;;;;;;;;;;
25;Totaal energiedragers;1971;2144.0;1584.0;;;956.0;442.0;46.0;2144.0;;;;;;;;;;;;;;;
26;Totaal energiedragers;1972;2451.0;2023.0;;;903.0;537.0;61.0;2451.0;;;;;;;;;;;;;;;
27;Totaal energiedragers;1973;2617.0;2401.0;;;952.0;567.0;-169.0;2617.0;;;;;;;;;;;;;;;
28;Totaal energiedragers;1974;2579.0;2819.0;;;135.0;460.0;85.0;2579.0;;;;;;;;;;;;;;;
29;Totaal energiedragers;1975;2482.0;3023.0;4681.0;4754.0;-73.0;507.0;39.0;2482.0;;673.0;;;333.0;;345.0;339.0;6.0;;;2136.0;1773.0;363.0;
30;Totaal energiedragers;1976;2718.0;3232.0;5316.0;5277.0;39.0;544.0;-8.0;2718.0;;711.0;;;343.0;;378.0;368.0;10.0;;;2341.0;1892.0;449.0;
31;Totaal energiedragers;1977;2696.0;3245.0;5047.0;5073.0;-26.0;522.0;-1.0;2695.0;;692.0;;;324.0;;384.0;368.0;16.0;;;2312.0;1878.0;434.0;
32;Totaal energiedragers;1978;2793.0;2989.0;5040.0;4745.0;295.0;534.0;44.0;2794.0;;713.0;;;338.0;;366.0;374.0;-8.0;;;2427.0;1965.0;462.0;
33;Totaal energiedragers;1979;2924.0;3126.0;5967.0;5621.0;346.0;464.0;-84.0;2924.0;;748.0;;;357.0;;391.0;391.0;0.0;;;2533.0;2065.0;468.0;
34;Totaal energiedragers;1980;2723.0;3032.0;5855.0;5689.0;166.0;445.0;-31.0;2723.0;;724.0;;;340.0;;391.0;384.0;7.0;;;2331.0;1922.0;409.0;
35;Totaal energiedragers;1981;2575.0;2821.0;5243.0;5211.0;32.0;421.0;143.0;2575.0;;721.0;;;347.0;;382.0;375.0;7.0;;;2193.0;1846.0;347.0;
36;Totaal energiedragers;1982;2381.0;2445.0;5211.0;4948.0;263.0;409.0;83.0;2381.0;;682.0;;;345.0;;367.0;338.0;29.0;;;2015.0;1749.0;266.0;
37;Totaal energiedragers;1983;2422.0;2634.0;4951.0;4850.0;101.0;387.0;74.0;2422.0;;669.0;;;340.0;;380.0;329.0;51.0;;;2042.0;1754.0;288.0;
38;Totaal energiedragers;1984;2511.0;2690.0;5078.0;4887.0;191.0;368.0;-1.0;2511.0;;690.0;;;353.0;;395.0;337.0;58.0;;;2116.0;1783.0;333.0;
39;Totaal energiedragers;1985;2558.0;2834.0;4930.0;4751.0;179.0;419.0;-36.0;2558.0;;690.0;;;351.0;;384.0;340.0;44.0;;;2175.0;1838.0;337.0;
40;Totaal energiedragers;1986;2640.0;2654.0;5335.0;4822.0;513.0;463.0;-65.0;2639.0;;731.0;;;365.0;;411.0;367.0;44.0;;;2228.0;1827.0;401.0;
41;Totaal energiedragers;1987;2703.0;2639.0;5138.0;4648.0;490.0;459.0;33.0;2703.0;;744.0;;;380.0;;405.0;364.0;41.0;;;2299.0;1891.0;408.0;
42;Totaal energiedragers;1988;2682.0;2350.0;5533.0;4719.0;814.0;509.0;26.0;2682.0;;748.0;;;390.0;;409.0;358.0;51.0;;;2273.0;1825.0;448.0;
43;Totaal energiedragers;1989;2691.0;2522.0;5824.0;5102.0;722.0;498.0;-55.0;2691.0;;769.0;;;405.0;;416.0;364.0;52.0;;;2276.0;1870.0;406.0;
44;Totaal energiedragers;1990;2843.0;2542.0;6034.0;5199.0;834.0;520.0;-13.0;2870.0;3343.0;756.0;2587.0;2894.0;400.0;2494.0;449.0;356.0;94.0;167.0;16.0;2238.0;1794.0;444.0;-27.0
45;Totaal energiedragers;1991;2953.0;2832.0;6290.0;5619.0;671.0;534.0;-16.0;2975.0;3496.0;779.0;2717.0;3053.0;419.0;2634.0;443.0;360.0;83.0;177.0;17.0;2338.0;1901.0;438.0;-22.0
46;Totaal energiedragers;1992;2932.0;2839.0;6160.0;5496.0;664.0;545.0;-26.0;2959.0;3572.0;813.0;2759.0;3109.0;438.0;2671.0;463.0;375.0;88.0;169.0;17.0;2310.0;1871.0;438.0;-26.0
47;Totaal energiedragers;1993;2988.0;2892.0;6276.0;5659.0;617.0;534.0;13.0;3019.0;3609.0;816.0;2793.0;3135.0;436.0;2699.0;474.0;380.0;94.0;176.0;18.0;2351.0;1932.0;419.0;-32.0
48;Totaal energiedragers;1994;3011.0;2802.0;6217.0;5417.0;800.0;551.0;-41.0;3034.0;3682.0;839.0;2843.0;3200.0;459.0;2741.0;483.0;381.0;102.0;177.0;19.0;2355.0;1894.0;462.0;-23.0
49;Totaal energiedragers;1995 1e kwartaal;882.0;950.0;1441.0;1458.0;-17.0;127.0;76.0;;933.0;220.0;713.0;818.0;126.0;692.0;115.0;95.0;21.0;45.0;6.0;;;121.0;
50;Totaal energiedragers;1995 2e kwartaal;695.0;532.0;1548.0;1242.0;307.0;141.0;-3.0;;979.0;201.0;779.0;862.0;109.0;753.0;117.0;91.0;25.0;40.0;5.0;;;116.0;
51;Totaal energiedragers;1995 3e kwartaal;633.0;397.0;1585.0;1159.0;426.0;149.0;-41.0;;959.0;201.0;758.0;836.0;106.0;730.0;123.0;96.0;28.0;42.0;4.0;;;114.0;
52;Totaal energiedragers;1995 4e kwartaal;888.0;932.0;1553.0;1512.0;41.0;141.0;55.0;;1018.0;233.0;785.0;894.0;132.0;762.0;124.0;101.0;23.0;44.0;6.0;;;124.0;
53;Totaal energiedragers;1995;3097.0;2811.0;6127.0;5371.0;756.0;557.0;87.0;3106.0;3890.0;855.0;3034.0;3410.0;473.0;2938.0;479.0;383.0;97.0;171.0;21.0;2435.0;1960.0;475.0;-8.0
54;Totaal energiedragers;1996 1e kwartaal;988.0;1176.0;1558.0;1683.0;-124.0;144.0;80.0;;1019.0;236.0;783.0;892.0;137.0;755.0;127.0;99.0;27.0;47.0;7.0;;;113.0;
