ID;Perioden;ArbeidsongeschiktheidUitgekeerdBedrag_1;WAOUitgekeerdeBedragen_2;WajongUitgekeerdeBedragen_3;WAZUitgekeerdeBedragen_4
0;1998 januari;706.7;606.3;80.7;19.8
1;1998 februari;703.3;602.2;81.5;19.6
2;1998 maart;716.9;615.5;80.9;20.6
3;1998 1e kwartaal;2127.0;1824.0;243.0;60.0
4;1998 april;723.0;619.2;82.6;21.2
5;1998 mei;1278.6;1097.1;154.2;27.3
6;1998 juni;716.4;612.6;82.5;21.2
7;1998 2e kwartaal;2717.9;2328.9;319.3;69.7
8;1998 juli;730.3;625.4;82.9;22.0
9;1998 augustus;720.9;616.3;83.1;21.5
10;1998 september;728.4;623.7;83.0;21.8
11;1998 3e kwartaal;2179.6;1865.4;249.0;65.3
12;1998 oktober;729.4;624.6;82.9;21.9
13;1998 november;726.6;621.8;83.2;21.6
14;1998 december;746.9;640.0;84.6;22.2
15;1998 4e kwartaal;2202.9;1886.4;250.7;65.7
16;1998 jaarcijfer;9227.4;7904.7;1062.0;260.7
17;1999 januari;751.7;633.4;84.1;34.2
18;1999 februari;753.4;633.4;85.8;34.2
19;1999 maart;769.3;648.9;84.7;35.6
20;1999 1e kwartaal;2274.4;1915.7;254.6;104.0
21;1999 april;763.4;643.2;85.2;35.0
22;1999 mei;1425.9;1201.2;161.4;63.3
23;1999 juni;759.1;639.4;85.4;34.3
24;1999 2e kwartaal;2948.4;2483.8;332.0;132.6
25;1999 juli;761.0;639.9;86.5;34.6
26;1999 augustus;767.7;646.4;86.5;34.7
27;1999 september;768.4;647.1;86.2;35.1
28;1999 3e kwartaal;2297.1;1933.4;259.2;104.4
29;1999 oktober;765.3;644.9;85.7;34.7
30;1999 november;775.9;653.5;86.2;36.2
31;1999 december;757.6;639.9;81.1;36.6
32;1999 4e kwartaal;2298.8;1938.3;253.0;107.5
33;1999 jaarcijfer;9818.7;8271.2;1098.8;448.5
34;2000 januari;769.7;648.1;86.2;35.3
35;2000 februari;790.4;664.8;89.9;35.8
36;2000 maart;794.0;671.8;86.2;36.0
37;2000 1e kwartaal;2354.1;1984.7;262.3;107.1
38;2000 april;785.3;660.9;89.6;34.9
39;2000 mei;1488.9;1251.4;171.7;65.8
40;2000 juni;788.6;662.8;90.0;35.7
41;2000 2e kwartaal;3062.8;2575.1;351.3;136.4
42;2000 juli;795.4;667.6;92.5;35.2
43;2000 augustus;805.1;676.9;91.8;36.4
44;2000 september;793.3;667.0;90.3;36.0
45;2000 3e kwartaal;2393.8;2011.5;274.7;107.6
46;2000 oktober;799.7;673.3;90.6;35.8
47;2000 november;809.9;682.6;91.5;35.9
48;2000 december;811.8;683.0;92.5;36.3
49;2000 4e kwartaal;2421.4;2038.9;274.6;108.0
50;2000 jaarcijfer;10232.1;8610.2;1162.8;459.1
51;2001 januari;823.3;694.5;93.0;35.8
52;2001 februari;831.1;698.0;95.8;37.3
53;2001 maart;839.3;706.5;96.0;36.9
54;2001 1e kwartaal;2493.7;2099.0;284.8;110.0
55;2001 april;835.4;701.4;97.6;36.5
56;2001 mei;1505.3;1255.1;184.5;65.8
57;2001 juni;827.8;695.1;96.1;36.5
58;2001 2e kwartaal;3168.5;2651.6;378.2;138.8
59;2001 juli;849.6;714.4;98.4;36.8
60;2001 augustus;849.3;713.0;99.0;37.3
61;2001 september;833.6;698.8;98.4;36.4
62;2001 3e kwartaal;2532.5;2126.1;295.8;110.5
63;2001 oktober;849.3;713.2;98.9;37.2
64;2001 november;847.0;711.1;98.7;37.1
65;2001 december;851.3;713.8;100.7;36.8
66;2001 4e kwartaal;2547.6;2138.2;298.3;111.2
