ID;Geslacht;Leeftijd;Cijfersoort;Perioden;PersonenMetMinimaal1Contact_1;GemiddeldAantalContactenBevolking_2;GemiddeldAantalContactenPatient_3;BijDeArts_4;ThuisBijPatient_5;Telefonisch_6;Overig_7;EigenInitiatief_8;InitiatiefVanDeHuisarts_9;HerhalingsconsultOfOproep_10;Doorverwijzing_11;TevredenheidMetDeHuisarts_12;PersonenMetMinimaal1Contact_13;GemiddeldAantalContactenBevolking_14;GemiddeldAantalContactenPatient_15;InPolikliniekVanEenZiekenhuis_16;Telefonisch_17;Overig_18;EersteContact_19;Herhalingsbezoek_20;EigenInitiatief_21;DoorverwijzingHuisarts_22;OproepVanSpecialist_23;Anders_24;TevredenheidMetDeSpecialist_25;PersonenMetMinimaal1Contact_26;GemiddeldAantalContactenBevolking_27;GemiddeldAantalContactenPatient_28;VanwegeAcutePijn_29;PeriodiekeControle_30;Behandeling_31;Controle_32;VerwijderenTandsteen_33;Fluorbehandeling_34;VullenVanTandOfKies_35;TrekkenVanTandOfKies_36;MakenVanKroonOfBrug_37;Wortelkanaalbehandeling_38;RechtzettenVanTanden_39;OverigeBehandelingen_40;TevredenheidMetDeTandarts_41;PersonenMetMinimaal1Contact_42;GemiddeldAantalContactenBevolking_43;GemiddeldAantalContactenPatient_44;TevredenheidMetDeFysiotherapeut_45;OnderBehandelingAlternatieveGenezer_46;PersonenMetOvernachtingEn_47;k_1Tot8Nachten_48;k_8Tot15Nachten_49;k_15Tot22Nachten_50;k_22NachtenOfMeer_51;AantalOpnamenPer100Personen_52;AantalOpnamenPer100Patienten_53;PersonenMetDagopname_54;AantalDagopnamenPer100Personen_55;AantalDagopnamenPer100Patienten_56;TevredenheidMetHetZiekenhuis_57;GebruikVoorgeschrevenIn2Weken_58;GebruikNietVoorgeschrevenIn2Weken_59
0;1100;Totaal;Percentages/aantallen;2010;72.3;4.2;5.9;75.1;4.2;15.2;5.4;77.4;7.8;13.0;1.9;7.7;37.8;2.3;6.2;;;;32.5;67.5;24.7;48.1;13.8;13.4;7.8;78.4;2.3;2.9;5.8;61.5;32.7;42.5;20.3;5.5;12.7;2.6;2.8;3.3;0.2;10.2;7.9;22.0;3.7;16.9;7.9;5.8;6.7;80.9;11.8;3.5;3.8;8.7;130.5;7.8;14.2;183.2;7.7;35.8;34.2
1;1100;Totaal;Percentages/aantallen;2011;72.0;4.3;6.0;77.1;3.7;14.1;5.1;77.3;6.7;13.4;2.6;7.7;39.0;2.2;5.7;81.5;5.7;12.8;34.7;65.3;23.9;47.8;13.1;15.1;7.8;78.2;2.3;3.0;6.1;62.9;31.1;42.9;20.8;5.1;12.4;2.2;3.2;2.6;0.2;10.6;7.9;22.8;3.7;16.3;7.9;6.3;6.5;84.9;9.7;3.2;2.2;8.4;128.1;7.9;12.8;162.5;7.6;38.0;35.7
2;1100;Totaal;Percentages/aantallen;2012;71.3;4.1;5.8;76.4;3.1;15.2;5.3;77.3;6.9;13.9;1.9;7.7;37.9;2.1;5.6;81.9;5.3;12.8;33.8;66.2;28.7;47.5;12.3;11.5;7.9;78.5;2.1;2.7;4.9;63.5;31.6;44.2;20.6;5.0;13.1;2.0;2.6;2.0;0.1;10.3;7.9;21.2;3.5;16.7;7.9;5.7;6.5;84.8;9.4;2.4;3.4;8.6;132.4;7.8;13.4;171.9;7.7;36.8;32.5
3;1100;Totaal;Percentages/aantallen;2013;71.5;4.1;5.7;77.4;3.5;15.0;4.1;77.0;8.0;12.5;2.6;7.8;37.8;2.2;5.7;81.2;6.7;12.1;33.5;66.5;26.2;48.3;10.7;14.6;7.9;78.7;2.2;2.7;5.8;63.4;30.9;43.5;22.1;5.1;11.4;2.6;2.7;2.1;0.2;10.2;7.9;22.0;3.5;16.0;8.0;6.3;6.8;84.4;10.2;2.7;2.8;9.1;133.8;7.2;12.4;172.1;7.7;37.0;33.4
4;1100;Totaal;Standaardfout;2010;0.3;0.1;0.1;0.6;0.3;0.5;0.3;0.6;0.4;0.5;0.2;0.0;0.4;0.1;0.2;;;;1.0;1.0;1.6;1.8;1.2;1.2;0.0;0.3;0.1;0.1;0.5;0.9;0.9;0.7;0.6;0.3;0.5;0.2;0.2;0.3;0.1;0.5;0.0;0.3;0.1;0.4;0.0;0.2;0.2;1.1;0.9;0.5;0.5;0.3;2.1;0.2;0.9;10.7;0.0;0.4;0.4
5;1100;Totaal;Standaardfout;2011;0.4;0.1;0.1;0.7;0.3;0.6;0.4;0.7;0.4;0.5;0.3;0.0;0.4;0.1;0.2;0.8;0.5;0.7;1.0;1.0;1.6;1.8;1.2;1.3;0.0;0.3;0.1;0.1;0.5;1.0;1.0;0.8;0.6;0.3;0.5;0.2;0.3;0.3;0.1;0.5;0.0;0.3;0.1;0.4;0.0;0.2;0.2;1.1;0.9;0.5;0.4;0.3;2.2;0.2;0.8;8.8;0.0;0.4;0.4
6;1100;Totaal;Standaardfout;2012;0.4;0.1;0.1;0.7;0.3;0.6;0.4;0.7;0.4;0.6;0.2;0.0;0.4;0.1;0.2;0.9;0.5;0.7;1.1;1.1;1.7;1.9;1.3;1.2;0.0;0.3;0.1;0.1;0.5;1.0;1.0;0.8;0.7;0.4;0.6;0.2;0.3;0.2;0.1;0.5;0.0;0.3;0.1;0.5;0.0;0.2;0.2;1.1;0.9;0.4;0.5;0.3;2.3;0.2;0.8;9.5;0.0;0.4;0.4
7;1100;Totaal;Standaardfout;2013;0.4;0.1;0.1;0.7;0.3;0.6;0.3;0.7;0.5;0.6;0.3;0.0;0.4;0.1;0.2;0.9;0.6;0.8;1.1;1.1;1.8;2.0;1.2;1.4;0.0;0.3;0.1;0.1;0.5;1.0;1.0;0.8;0.7;0.4;0.5;0.3;0.3;0.2;0.1;0.5;0.0;0.4;0.1;0.4;0.0;0.2;0.2;1.1;0.9;0.5;0.5;0.3;2.3;0.2;0.7;8.2;0.0;0.4;0.4
8;1100;103;Percentages/aantallen;2010;77.1;4.4;5.8;77.2;0.4;12.1;10.3;90.6;3.0;5.7;0.7;7.7;31.0;2.4;7.7;;;;36.9;63.1;;;;;7.8;32.1;0.6;1.8;;;;;;;;;;;;;7.8;10.0;0.9;9.3;7.6;6.4;7.1;83.1;8.9;2.6;5.4;8.5;118.9;7.3;8.2;113.0;7.7;15.1;43.2
9;1100;103;Percentages/aantallen;2011;79.6;4.1;5.2;78.4;0.5;11.3;9.8;89.8;5.3;1.5;3.4;7.7;32.1;1.3;4.1;75.0;6.7;18.3;40.0;60.0;;;;;7.9;34.6;1.1;3.1;;;;;;;;;;;;;7.9;9.5;0.7;7.0;8.1;5.2;9.9;81.0;12.2;4.0;2.8;11.9;120.5;7.5;10.3;138.2;7.5;15.3;46.7
