ID;SeizoenEnWerkdagcorrectie;Perioden;BrutoBinnenlandsProduct_1;BrutoExploitatieoverschot_2;SaldoPrimaireInkomensBruto_3;BrutoBeschikbaarInkomen_4;BrutoBesparingen_5;Vorderingensaldo_6;BrutoToegevoegdeWaarde_7;BrutoExploitatieoverschot_8;InvesteringenInVasteActivaBruto_9;BeloningVanWerknemers_10;ConsumptieveBestedingen_11;InvesteringenInVasteActivaBruto_12;TotaalInkomsten_13;TotaalUitgaven_14;VorderingensaldoEMUSaldo_15;BeloningVanWerknemers_16;InkomenUitVermogen_17;SocialeUitkeringenInGeld_18;OverigeInkomensoverdrachten_19;CorrectieMutatiesInPensioenrechten_20;ConsumptieveBestedingen_21;InvesteringenInVasteActivaBruto_22;InkomenUitVermogen_23;BelastingenOpInkomenEnVermogen_24;SocialePremies_25;OverigeInkomensoverdrachten_26;CorrectieMutatiesInPensioenrechten_27;BrutoExploitatieoverschot_28;BrutoBeschikbaarInkomen_29;BrutoBesparingen_30;InvoerUitHetBuitenland_31;OntvangenPrimaireInkomens_32;OntvangenInkomensoverdrachten_33;CorrectieMutatiesInPensioenrechten_34;OntvangenKapitaaloverdrachten_35;UitvoerNaarHetBuitenland_36;BetaaldePrimaireInkomens_37;BetaaldeInkomensoverdrachten_38;CorrectieMutatiesInPensioenrechten_39;BetaaldeKapitaaloverdrachten_40
0;Oorspronkelijke, ongecorrigeerde cijfers;1999 1e kwartaal;101009;42310;99895;98004;26079;3227;58528;23637;11079;35584;20393;3498;44181;43990;191;49104;9471;15934;4551;3254;51520;8004;4123;6954;24382;4877;0;12113;50837;2571;52312;19444;3443;12;393;58645;18330;1552;0;301
1;Oorspronkelijke, ongecorrigeerde cijfers;1999 2e kwartaal;104536;35974;104088;102644;26632;3733;58688;17505;12534;41620;22663;3844;46471;47864;-1393;57995;12182;19548;4591;3802;53339;8010;4202;7071;27723;4361;0;12203;63162;13625;55613;19383;2952;10;524;61510;18935;1508;0;259
2;Oorspronkelijke, ongecorrigeerde cijfers;1999 3e kwartaal;102986;42893;103002;101315;26686;2516;58738;23071;10820;36116;20426;3928;43909;43387;522;49481;10770;16886;4707;3671;54188;6250;4432;6903;24845;4515;0;12935;54084;3567;57476;19405;3208;15;592;61996;19421;1521;0;271
3;Oorspronkelijke, ongecorrigeerde cijfers;1999 4e kwartaal;110928;46824;110530;108794;31920;3678;62580;26426;12499;36673;22901;4513;49318;47649;1669;52322;9928;17855;4765;3227;53959;7303;4784;7079;26362;4626;0;13298;55317;4585;63191;19648;3214;14;399;69126;19250;1478;0;287
4;Oorspronkelijke, ongecorrigeerde cijfers;2000 1e kwartaal;109154;45362;107058;104766;27143;2051;63239;24912;11213;38918;21946;3708;45440;45871;-431;53532;10451;16551;4949;3624;55668;7985;5105;7466;25785;4621;0;13376;55882;3838;62738;25546;4189;9;461;69257;23450;1897;0;391
5;Oorspronkelijke, ongecorrigeerde cijfers;2000 2e kwartaal;113124;38473;113187;111024;29669;4068;63548;18936;12149;45078;24367;4041;51489;50090;1399;62759;13231;20359;5051;4220;56982;8347;5392;7592;30285;4768;0;12967;66330;13568;66252;31224;4065;6;616;72711;31287;1902;0;332
6;Oorspronkelijke, ongecorrigeerde cijfers;2000 3e kwartaal;110955;46712;112147;109936;30587;6234;64055;25305;13132;39222;21970;4019;46315;45209;1106;53523;11669;17455;5067;4230;57369;7414;5575;7412;26686;4811;0;13975;57205;4066;66635;38785;4106;10;697;74247;39977;1895;0;349
7;Oorspronkelijke, ongecorrigeerde cijfers;2000 4e kwartaal;118774;50049;116912;114540;32428;4656;67549;28696;12220;39413;24627;5168;53652;50360;3292;56102;10201;18211;5100;3829;57477;6979;5695;7596;28666;4868;0;14352;57141;3493;73268;33996;4228;8;466;82260;32134;1856;0;373
8;Oorspronkelijke, ongecorrigeerde cijfers;2001 1e kwartaal;118182;49670;114809;112672;30420;3222;69797;29410;12404;41031;23913;4214;48810;49479;-669;56548;8765;17617;5226;2316;58332;8230;3696;6732;25771;4657;0;12631;59931;3915;68037;29896;3823;7;243;76694;26523;1686;0;320
9;Oorspronkelijke, ongecorrigeerde cijfers;2001 2e kwartaal;121417;42239;119070;117066;30376;3116;69602;22544;12603;47528;26491;4454;53392;54160;-768;66321;12172;21738;5269;2332;60196;8905;3892;7938;28176;4568;0;12286;73212;15348;69253;26436;3638;3;315;76749;24089;1634;0;283
10;Oorspronkelijke, ongecorrigeerde cijfers;2001 3e kwartaal;117448;48881;115370;113170;28910;2388;68249;27300;11412;41334;23971;4575;48970;49580;-610;56535;10680;18601;5539;2704;60281;7081;3717;7656;25128;4820;0;13555;63589;6012;67758;35687;3838;8;359;74493;33609;1638;0;293
11;Oorspronkelijke, ongecorrigeerde cijfers;2001 4e kwartaal;124834;52048;120250;118058;30431;2006;71036;30392;13495;41269;26785;5518;54357;54421;-64;58935;9203;19234;6033;2267;60835;8681;3782;9792;25357;5295;0;13685;62864;4296;68373;35110;3802;7;242;77087;30526;1610;0;311
12;Oorspronkelijke, ongecorrigeerde cijfers;2002 1e kwartaal;122569;50237;120048;117965;30434;3910;71261;29062;12109;42822;26233;4736;50700;52246;-1546;59638;9537;18761;5662;3501;61286;8964;4211;7945;28071;4954;0;13079;61496;3711;64060;25895;3643;12;174;72502;23374;1560;0;258
13;Oorspronkelijke, ongecorrigeerde cijfers;2002 2e kwartaal;126495;43045;121668;119424;27494;974;71987;22397;12455;50052;28965;5113;54117;57587;-3470;69999;13682;22875;5845;3773;62959;8867;4134;10163;28936;5208;0;12734;76694;17508;67200;30035;3709;6;216;75242;25208;1465;0;225
14;Oorspronkelijke, ongecorrigeerde cijfers;2002 3e kwartaal;122746;51913;120116;118282;28742;3712;72065;29943;11349;42602;26284;5071;48718;51927;-3209;58784;11524;19294;6087;3966;63243;7852;3952;8150;27456;5363;0;13909;64677;5400;66473;29528;3331;13;240;74667;26898;1497;0;235
15;Oorspronkelijke, ongecorrigeerde cijfers;2002 4e kwartaal;129327;53468;125142;122979;30358;3312;73833;31641;11700;42787;29385;6026;55198;57121;-1923;61691;9672;19712;6247;3554;63225;7859;3657;10088;27435;5527;0;14094;64709;5038;69418;29448;3640;11;175;79015;25263;1477;0;249
16;Oorspronkelijke, ongecorrigeerde cijfers;2003 1e kwartaal;126435;52648;122601;120509;29508;3440;73608;30770;11072;43437;27779;4951;52126;54830;-2704;60657;8922;19665;6175;3954;63209;9293;3925;7628;29766;5577;0;13574;62097;2842;65908;26313;3728;13;216;75165;22479;1636;0;334
