ID;Geslacht;Leeftijd;Onderwijssoort;Migratieachtergrond;RegioS;Perioden;LeerlingenStudenten_1
0;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2000/'01;
1;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2001/'02;
2;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2002/'03;
3;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2003/'04;862542.0
4;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2004/'05;874315.0
5;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2005/'06;912601.0
6;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2006/'07;915245.0
7;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2007/'08;941136.0
8;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2008/'09;934560.0
9;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2009/'10;934943.0
10;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2010/'11;939534.0
11;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2011/'12;948673.0
12;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2012/'13;960682.0
13;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2013/'14;973514.0
14;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2014/'15;985069.0
15;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2015/'16;995336.0
16;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2016/'17;995477.0
17;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2017/'18;985252.0
18;Totaal mannen en vrouwen;Totaal;Totaal voortgezet onderwijs;Totaal;Nederland;2018/'19;968243.0
