ID;UitgaveVoorAanschafEnBezit;Perioden;Prijsindex_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3
0;Uitgaven aanschaf en bezit koopwoning;2010 1e kwartaal;111.2;;
1;Uitgaven aanschaf en bezit koopwoning;2010 2e kwartaal;111.1;0.0;
2;Uitgaven aanschaf en bezit koopwoning;2010 3e kwartaal;110.6;-0.4;
3;Uitgaven aanschaf en bezit koopwoning;2010 4e kwartaal;110.6;0.0;
4;Uitgaven aanschaf en bezit koopwoning;2010;110.9;;
5;Uitgaven aanschaf en bezit koopwoning;2011 1e kwartaal;111.5;0.8;0.3
6;Uitgaven aanschaf en bezit koopwoning;2011 2e kwartaal;109.2;-2.1;-1.7
7;Uitgaven aanschaf en bezit koopwoning;2011 3e kwartaal;105.2;-3.6;-4.9
8;Uitgaven aanschaf en bezit koopwoning;2011 4e kwartaal;104.3;-0.9;-5.7
9;Uitgaven aanschaf en bezit koopwoning;2011;107.6;-3.0;-3.0
10;Uitgaven aanschaf en bezit koopwoning;2012 1e kwartaal;101.3;-2.9;-9.2
11;Uitgaven aanschaf en bezit koopwoning;2012 2e kwartaal;101.8;0.5;-6.8
12;Uitgaven aanschaf en bezit koopwoning;2012 3e kwartaal;99.5;-2.2;-5.4
13;Uitgaven aanschaf en bezit koopwoning;2012 4e kwartaal;101.7;2.1;-2.5
14;Uitgaven aanschaf en bezit koopwoning;2012;101.1;-6.0;-6.0
15;Uitgaven aanschaf en bezit koopwoning;2013 1e kwartaal;100.4;-1.3;-0.9
16;Uitgaven aanschaf en bezit koopwoning;2013 2e kwartaal;97.3;-3.0;-4.4
17;Uitgaven aanschaf en bezit koopwoning;2013 3e kwartaal;98.1;0.8;-1.5
18;Uitgaven aanschaf en bezit koopwoning;2013 4e kwartaal;97.1;-1.0;-4.5
19;Uitgaven aanschaf en bezit koopwoning;2013;98.2;-2.8;-2.8
20;Uitgaven aanschaf en bezit koopwoning;2014 1e kwartaal;97.0;-0.1;-3.4
21;Uitgaven aanschaf en bezit koopwoning;2014 2e kwartaal;97.2;0.2;-0.2
22;Uitgaven aanschaf en bezit koopwoning;2014 3e kwartaal;97.7;0.5;-0.4
23;Uitgaven aanschaf en bezit koopwoning;2014 4e kwartaal;98.1;0.4;1.0
24;Uitgaven aanschaf en bezit koopwoning;2014;97.5;-0.8;-0.8
25;Uitgaven aanschaf en bezit koopwoning;2015 1e kwartaal;98.4;0.3;1.4
26;Uitgaven aanschaf en bezit koopwoning;2015 2e kwartaal;99.4;1.0;2.3
27;Uitgaven aanschaf en bezit koopwoning;2015 3e kwartaal;100.9;1.5;3.3
