ID;Sectoren;Perioden;Totaal_1;Totaal_2;InvoerVanGoederen_3;InvoerVanDiensten_4;Totaal_5;ProductieVanToegerekendeBankdiensten_6;OverigeMarktproductie_7;InvesteringenInEigenBeheer_8;ProductieVoorEigenConsumptie_9;OverigeNietMarktproductie_10;Totaal_11;Lonen_12;SocialePremiesTLVWerkgevers_13;Totaal_14;Totaal_15;BelastingOverToegevoegdeWaardeBtw_16;VerschilToegerekendeEnAfgedragenBtw_17;BelastingOpInvoerExclBtw_18;OverigeProductgebondenBelastingen_19;BelastOpProdEnInvoerNietProductg_20;Totaal_21;SubsidiesProductgebonden_22;SubsidiesNietProductgebonden_23;Totaal_24;RenteConformNationaleRekeningen_25;CorrectieToegerekendeBankdiensten_26;WerkelijkeRente_27;Totaal_28;Dividenden_29;InkomenOnttrokkenAanQuasiVennootsch_30;IngehoudenWinstenOpDirBuitenlInv_31;InkUitVermToegerAanPolishouders_32;InkomenUitGrondEnMineraleReserves_33;Totaal_34;BelastingenOpInkomen_35;BelastingenOpVermogen_36;Totaal_37;Totaal_38;Totaal_39;PremiesWettelijkeSocialeVerzekering_40;Pensioenpremies_41;OverigeParticuliereSocialePremies_42;ToegerekendeSocialePremies_43;Totaal_44;UitkeringenWettelSocialeVerzekering_45;Totaal_46;Pensioenuitkeringen_47;OverigeParticuliereSocialeUitkeringen_48;UitkeringenRechtstreeksDoorWerkgevers_49;UitkeringenSocialeVoorzieningInGeld_50;Totaal_51;Schadeverzekeringspremies_52;Schadeverzekeringsuitkeringen_53;InkomensoverdrachtenBinnenDeOverheid_54;InkOverdrIvmInternatSamenwerking_55;OverigeInkomensoverdrachtenNEG_56;CorrectiePensioenvoorziening_57;Totaal_58;Vermogensheffingen_59;Investeringsbijdragen_60;ToegerekendeKapitaaloverdrachten_61;OverigeKapitaaloverdrachtenOmNiet_62;Totaal_63;Totaal_64;UitvoerVanGoederen_65;UitvoerVanDiensten_66;IntermediairVerbruik_67;Totaal_68;Lonen_69;SocialePremiesTLVWerkgevers_70;Totaal_71;BelastOpProdEnInvoerProductg_72;BelastOpProdEnInvoerNietProductg_73;Totaal_74;SubsidiesProductgebonden_75;SubsidiesNietProductgebonden_76;Totaal_77;RenteConformNationaleRekeningen_78;CorrectieToegerekendeBankdiensten_79;WerkelijkeRente_80;Totaal_81;Dividenden_82;InkomenOnttrokkenAanQuasiVennootsch_83;IngehoudenWinstenOpDirBuitenlInv_84;InkUitVermToegerAanPolishouders_85;InkomenUitGrondEnMineraleReserves_86;Totaal_87;BelastingenOpInkomen_88;BelastingenOpVermogen_89;Totaal_90;Totaal_91;Totaal_92;PremiesWettelijkeSocialeVerzekering_93;Pensioenpremies_94;OverigeParticuliereSocialePremies_95;ToegerekendeSocialePremies_96;Totaal_97;UitkeringenWettelSocialeVerzekering_98;Totaal_99;Pensioenuitkeringen_100;OverigeParticuliereSocialeUitkeringen_101;UitkeringenRechtstreeksDoorWerkgevers_102;UitkeringenSocialeVoorziening_103;Totaal_104;Schadeverzekeringspremies_105;Schadeverzekeringsuitkeringen_106;InkomensoverdrachtenBinnenDeOverheid_107;InkOverdrIvmInternatSamenwerking_108;OverigeInkomensoverdrachtenNEG_109;Totaal_110;CollectieveConsumptie_111;Totaal_112;ConsumptieveBestedingenHuishoudens_113;Totaal_114;Totaal_115;WettUitkSocVerzekeringInNatura_116;UitkeringenSocVoorzieningInNatura_117;SocOverdrIndividueleNietMarktprod_118;Totaal_119;Vermogensheffingen_120;Investeringsbijdragen_121;ToegerekendeKapitaaloverdrachten_122;OverigeKapitaaloverdrachtenOmNiet_123;Totaal_124;Totaal_125;Afschrijvingen_126;InvesteringenInVasteActivaNetto_127;Totaal_128;VeranderingenInVoorraden_129;SaldoAanEnVerkopenKostbaarheden_130;SaldoAVNietGeprodNietFinActiva_131;BbpBrutoToegevoegdeWaarde_132;NbpNettoToegevoegdeWaarde_133;BrutoExploitatieoverschot_134;NettoExploitatieoverschot_135;SaldoPrimaireInkomensBruto_136;SaldoPrimaireInkomensNetto_137;BrutoBeschikbaarInkomen_138;NettoBeschikbaarInkomen_139;BrutoBesparingen_140;NettoBesparingen_141;SaldoNettoBespEnKapitaaloverdr_142;Vorderingensaldo_143
0;Totale economie;1969;182940.0;0.0;0.0;0.0;99728.0;;;;;;27713.0;22380.0;5333.0;4714.0;4324.0;2583.0;307.0;0.0;1741.0;390.0;-423.0;-337.0;-86.0;13224.0;;;;;;;;;;6779.0;6294.0;485.0;18745.0;10993.0;10205.0;6131.0;3707.0;367.0;788.0;7752.0;4825.0;1402.0;1029.0;373.0;788.0;737.0;8866.0;833.0;855.0;5831.0;30.0;1317.0;-2.0;3596.0;113.0;789.0;191.0;2503.0;186096.0;0.0;0.0;0.0;52296.0;27744.0;22398.0;5346.0;5332.0;4937.0;395.0;-993.0;-886.0;-107.0;11968.0;;;;;;;;;;6747.0;6262.0;485.0;18751.0;10961.0;10173.0;6130.0;3676.0;367.0;788.0;7790.0;4834.0;1431.0;1058.0;373.0;788.0;737.0;8908.0;855.0;833.0;5831.0;146.0;1243.0;37436.0;5625.0;31811.0;27144.0;4667.0;1530.0;1319.0;211.0;3137.0;3692.0;113.0;852.0;191.0;2536.0;14215.0;13436.0;5767.0;7669.0;779.0;;;0.0;51790.0;46023.0;19707.0;13940.0;52967.0;47200.0;52951.0;47184.0;15513.0;9746.0;9650.0;1202.0
1;Totale economie;1970;208800.0;0.0;0.0;0.0;113546.0;;;;;;31779.0;25624.0;6155.0;5563.0;5147.0;3238.0;35.0;0.0;1909.0;416.0;-525.0;-420.0;-105.0;15426.0;;;;;;;;;;7400.0;6862.0;538.0;21507.0;12684.0;11770.0;7118.0;4272.0;380.0;914.0;8823.0;5470.0;1544.0;1158.0;386.0;914.0;895.0;10250.0;972.0;997.0;6890.0;34.0;1357.0;-2.0;3856.0;123.0;946.0;200.0;2587.0;213278.0;0.0;0.0;0.0;60196.0;31770.0;25610.0;6160.0;6248.0;5810.0;438.0;-1261.0;-1122.0;-139.0;14350.0;;;;;;;;;;7355.0;6817.0;538.0;21509.0;12646.0;11732.0;7111.0;4241.0;380.0;914.0;8863.0;5481.0;1573.0;1187.0;386.0;914.0;895.0;10344.0;997.0;972.0;6890.0;166.0;1319.0;42064.0;6028.0;36036.0;30304.0;5732.0;1851.0;1621.0;230.0;3881.0;4005.0;123.0;1055.0;200.0;2627.0;16698.0;16215.0;6656.0;9559.0;483.0;;;0.0;58073.0;51417.0;21316.0;14660.0;59209.0;52553.0;59158.0;52502.0;17092.0;10436.0;10287.0;245.0
2;Totale economie;1971;237528.0;0.0;0.0;0.0;127241.0;;;;;;36551.0;29235.0;7316.0;6452.0;5998.0;4026.0;162.0;0.0;1972.0;454.0;-624.0;-504.0;-120.0;17394.0;;;;;;;;;;8897.0;8320.0;577.0;25617.0;15137.0;14038.0;8464.0;5124.0;450.0;1099.0;10480.0;6487.0;1837.0;1379.0;458.0;1099.0;1057.0;11865.0;1109.0;1138.0;8188.0;11.0;1419.0;-2.0;4137.0;136.0;1117.0;209.0;2675.0;242532.0;0.0;0.0;0.0;67123.0;36510.0;29194.0;7316.0;7123.0;6646.0;477.0;-1172.0;-1021.0;-151.0;16418.0;;;;;;;;;;8842.0;8265.0;577.0;25622.0;15093.0;13994.0;8452.0;5092.0;450.0;1099.0;10529.0;6506.0;1867.0;1409.0;458.0;1099.0;1057.0;12258.0;1138.0;1109.0;8188.0;313.0;1510.0;47499.0;6996.0;40503.0;33622.0;6881.0;2388.0;2058.0;330.0;4493.0;4237.0;136.0;1170.0;209.0;2722.0;18072.0;18503.0;7764.0;10739.0;-431.0;;;0.0;65905.0;58141.0;23444.0;15680.0;66799.0;59035.0;66456.0;58692.0;18955.0;11191.0;11091.0;783.0
3;Totale economie;1972;263729.0;0.0;0.0;0.0;138219.0;;;;;;40974.0;32612.0;8362.0;7412.0;6855.0;4551.0;47.0;0.0;2304.0;557.0;-791.0;-653.0;-138.0;19309.0;;;;;;;;;;10423.0;9752.0;671.0;30020.0;17596.0;16290.0;9662.0;6083.0;545.0;1306.0;12424.0;7609.0;2152.0;1596.0;556.0;1306.0;1357.0;13935.0;1318.0;1352.0;9687.0;33.0;1545.0;-2.0;4230.0;132.0;1150.0;213.0;2735.0;266916.0;0.0;0.0;0.0;70712.0;40890.0;32535.0;8355.0;8072.0;7493.0;579.0;-1422.0;-1244.0;-178.0;18188.0;;;;;;;;;;10368.0;9697.0;671.0;30017.0;17541.0;16235.0;9639.0;6051.0;545.0;1306.0;12476.0;7631.0;2182.0;1626.0;556.0;1306.0;1357.0;14316.0;1352.0;1318.0;9687.0;349.0;1610.0;53023.0;7961.0;45062.0;37039.0;8023.0;2984.0;2584.0;400.0;5039.0;4379.0;132.0;1216.0;213.0;2818.0;18373.0;19182.0;8751.0;10431.0;-809.0;;;0.0;73803.0;65052.0;26263.0;17512.0;74979.0;66228.0;74656.0;65905.0;21631.0;12880.0;12731.0;3109.0
4;Totale economie;1973;305018.0;0.0;0.0;0.0;158720.0;;;;;;47513.0;37135.0;10378.0;8454.0;7794.0;5173.0;557.0;0.0;2621.0;660.0;-929.0;-784.0;-145.0;22417.0;;;;;;;;;;12038.0;11341.0;697.0;36191.0;21588.0;20066.0;12086.0;7356.0;624.0;1522.0;14603.0;8878.0;2485.0;1847.0;638.0;1522.0;1718.0;15746.0;1526.0;1566.0;11141.0;68.0;1445.0;-2.0;4870.0;163.0;1367.0;259.0;3081.0;308800.0;0.0;0.0;0.0;81601.0;47392.0;37026.0;10366.0;9108.0;8427.0;681.0;-1875.0;-1682.0;-193.0;21187.0;;;;;;;;;;11975.0;11278.0;697.0;36186.0;21526.0;20004.0;12059.0;7321.0;624.0;1522.0;14660.0;8902.0;2518.0;1880.0;638.0;1522.0;1718.0;16581.0;1566.0;1526.0;11141.0;483.0;1865.0;60612.0;9016.0;51596.0;42452.0;9144.0;3490.0;3040.0;450.0;5654.0;5004.0;163.0;1442.0;259.0;3140.0;21029.0;20906.0;9696.0;11210.0;123.0;;;0.0;84421.0;74725.0;29796.0;20100.0;86064.0;76368.0;85297.0;75601.0;24683.0;14987.0;14853.0;3520.0
5;Totale economie;1974;358526.0;0.0;0.0;0.0;188141.0;;;;;;55150.0;42869.0;12281.0;9116.0;8355.0;5609.0;686.0;0.0;2746.0;761.0;-1186.0;-1013.0;-173.0;26557.0;;;;;;;;;;13926.0;13075.0;851.0;43378.0;25824.0;24030.0;14544.0;8632.0;854.0;1794.0;17554.0;10667.0;2915.0;2177.0;738.0;1794.0;2178.0;18355.0;1738.0;1784.0;13171.0;109.0;1553.0;-3.0;5092.0;191.0;1402.0;350.0;3149.0;359857.0;0.0;0.0;0.0;97292.0;55074.0;42796.0;12278.0;9673.0;8893.0;780.0;-2074.0;-1843.0;-231.0;25324.0;;;;;;;;;;13817.0;12966.0;851.0;43367.0;25753.0;23959.0;14512.0;8593.0;854.0;1794.0;17614.0;10691.0;2951.0;2213.0;738.0;1794.0;2178.0;18968.0;1784.0;1738.0;13171.0;451.0;1824.0;69339.0;10635.0;58704.0;47916.0;10788.0;4190.0;3635.0;555.0;6598.0;5211.0;191.0;1468.0;350.0;3202.0;23866.0;21989.0;11291.0;10698.0;1877.0;;;0.0;98585.0;87294.0;35912.0;24621.0;100225.0;88934.0;99732.0;88441.0;30390.0;19099.0;18980.0;6405.0
6;Totale economie;1975;398314.0;0.0;0.0;0.0;202776.0;;;;;;62361.0;48432.0;13929.0;10247.0;9476.0;6393.0;597.0;0.0;3083.0;771.0;-1499.0;-1268.0;-231.0;28931.0;;;;;;;;;;15955.0;15073.0;882.0;50839.0;29580.0;27429.0;16526.0;10138.0;765.0;2151.0;21259.0;12727.0;3349.0;2551.0;798.0;2151.0;3032.0;22417.0;1949.0;2000.0;16643.0;96.0;1729.0;-3.0;6290.0;163.0;1904.0;440.0;3783.0;403603.0;0.0;0.0;0.0;104831.0;62325.0;48391.0;13934.0;10885.0;10089.0;796.0;-2361.0;-2063.0;-298.0;28740.0;;;;;;;;;;15855.0;14973.0;882.0;50816.0;29490.0;27339.0;16480.0;10094.0;765.0;2151.0;21326.0;12753.0;3390.0;2592.0;798.0;2151.0;3032.0;23012.0;2000.0;1949.0;16643.0;820.0;1600.0;79405.0;12381.0;67024.0;54230.0;12794.0;5127.0;4414.0;713.0;7667.0;6445.0;163.0;1992.0;440.0;3850.0;23650.0;23762.0;13035.0;10727.0;-112.0;;;0.0;106568.0;93533.0;35719.0;22684.0;107019.0;93984.0;106547.0;93512.0;27139.0;14104.0;13949.0;3334.0
7;Totale economie;1976;455243.0;0.0;0.0;0.0;230746.0;;;;;;69308.0;53641.0;15667.0;12086.0;11104.0;7578.0;1087.0;0.0;3526.0;982.0;-2058.0;-1682.0;-376.0;35269.0;;;;;;;;;;17835.0;16785.0;1050.0;58035.0;33365.0;30870.0;18397.0;11531.0;942.0;2495.0;24670.0;14636.0;3924.0;2936.0;988.0;2495.0;3615.0;27087.0;2174.0;2231.0;20626.0;129.0;1927.0;-4.0;6939.0;190.0;2083.0;349.0;4317.0;461208.0;0.0;0.0;0.0;119649.0;69266.0;53595.0;15671.0;13054.0;12038.0;1016.0;-3346.0;-2894.0;-452.0;34480.0;;;;;;;;;;17717.0;16667.0;1050.0;58037.0;33269.0;30774.0;18351.0;11481.0;942.0;2495.0;24768.0;14688.0;3970.0;2982.0;988.0;2495.0;3615.0;27374.0;2231.0;2174.0;20626.0;665.0;1678.0;91023.0;14065.0;76958.0;62375.0;14583.0;5964.0;5012.0;952.0;8619.0;7137.0;190.0;2212.0;349.0;4386.0;26817.0;25867.0;14630.0;11237.0;950.0;;;0.0;121328.0;106698.0;42354.0;27724.0;122479.0;107849.0;122308.0;107678.0;31281.0;16651.0;16453.0;4266.0
8;Totale economie;1977;495661.0;0.0;0.0;0.0;248651.0;;;;;;75815.0;58905.0;16910.0;14283.0;13119.0;8980.0;656.0;0.0;4139.0;1164.0;-2228.0;-1950.0;-278.0;40815.0;;;;;;;;;;19493.0;18242.0;1251.0;63247.0;35684.0;32490.0;19981.0;11477.0;1032.0;3194.0;27563.0;16362.0;4294.0;3207.0;1087.0;3194.0;3713.0;29971.0;2423.0;2486.0;23003.0;169.0;1890.0;-3.0;5617.0;236.0;1938.0;295.0;3148.0;506799.0;0.0;0.0;0.0;129066.0;75741.0;58833.0;16908.0;15412.0;14204.0;1208.0;-3773.0;-3411.0;-362.0;40223.0;;;;;;;;;;19339.0;18088.0;1251.0;63251.0;35570.0;32376.0;19924.0;11420.0;1032.0;3194.0;27681.0;16426.0;4348.0;3261.0;1087.0;3194.0;3713.0;30828.0;2486.0;2423.0;23003.0;850.0;2066.0;100516.0;15697.0;84819.0;68592.0;16227.0;6709.0;5629.0;1080.0;9518.0;5845.0;236.0;2037.0;295.0;3277.0;30351.0;29513.0;16035.0;13478.0;838.0;;;0.0;131034.0;114999.0;43654.0;27619.0;132116.0;116081.0;131409.0;115374.0;30890.0;14855.0;14627.0;311.0
9;Totale economie;1978;537935.0;0.0;0.0;0.0;265481.0;;;;;;82218.0;63875.0;18343.0;15442.0;14173.0;9771.0;675.0;0.0;4402.0;1269.0;-2575.0;-2214.0;-361.0;46583.0;;;;;;;;;;21181.0;19744.0;1437.0;69636.0;39013.0;35490.0;21957.0;12432.0;1101.0;3523.0;30623.0;18538.0;4632.0;3476.0;1156.0;3523.0;3930.0;34001.0;2813.0;2887.0;26372.0;177.0;1752.0;-2.0;5970.0;267.0;2055.0;284.0;3364.0;551823.0;0.0;0.0;0.0;135823.0;82188.0;63838.0;18350.0;16530.0;15216.0;1314.0;-4257.0;-3803.0;-454.0;46626.0;;;;;;;;;;20995.0;19558.0;1437.0;69663.0;38879.0;35356.0;21888.0;12367.0;1101.0;3523.0;30784.0;18636.0;4695.0;3539.0;1156.0;3523.0;3930.0;35529.0;2887.0;2813.0;26372.0;1356.0;2101.0;109800.0;17156.0;92644.0;74806.0;17838.0;7419.0;6252.0;1167.0;10419.0;6227.0;267.0;2155.0;284.0;3521.0;32699.0;32006.0;17512.0;14494.0;693.0;;;0.0;141746.0;124234.0;47285.0;29773.0;142327.0;124815.0;140958.0;123446.0;31156.0;13644.0;13387.0;-1800.0
