ID;Perioden;AantalOndernemingen_1;WerkzamePersonen_2;NettoOmzetOntvangsten_3;AantalOndernemingen_4;WerkzamePersonen_5;NettoOmzet_6;AantalOndernemingen_7;WerkzamePersonen_8;NettoOmzet_9;AantalOndernemingen_10;WerkzamePersonen_11;NettoOmzet_12;AantalOndernemingen_13;WerkzamePersonen_14;NettoOmzet_15;AantalOndernemingen_16;WerkzamePersonen_17;NettoOmzet_18;AantalOndernemingen_19;WerkzamePersonen_20;NettoOntvangsten_21;AantalOndernemingen_22;WerkzamePersonen_23;NettoOntvangsten_24
0;1990;3294;23.9;1253;1960;13.6;708;263;0.4;10;748;7.3;410;191;1.4;56;35;0.7;49;20;0.6;20;77.0;0.0;0.0
1;1991;3374;25.4;1344;2014;14.4;767;274;0.4;11;762;7.8;432;193;1.4;58;34;0.7;54;20;0.6;21;77.0;0.0;1.0
2;1992;3450;24.8;1411;2042;13.9;806;329;0.5;15;747;7.6;438;193;1.6;67;40;0.7;62;20;0.6;23;79.0;0.0;0.0
3;1993;3333;25.7;1554;1951;14.1;860;307;0.6;19;745;7.9;509;197;1.8;87;39;0.7;56;20;0.6;23;74.0;0.0;0.0
4;1994;3427;28.3;1780;2009;16.0;997;347;0.6;23;738;8.3;565;196;2.0;104;44;0.7;64;20;0.7;25;73.0;0.0;0.0
5;1995;2140;29.2;1846;1110;16.1;1051;63;0.3;15;724;9.0;576;198;2.5;111;25;0.7;68;20;0.6;26;;;
6;1996;2209;30.5;1976;1156;16.6;1094;86;0.4;18;719;9.5;641;195;2.5;122;30;0.8;71;23;0.7;30;;;
7;1997;2238;32.8;2231;1204;18.7;1285;69;0.3;16;719;9.7;701;195;2.5;125;28;0.9;74;23;0.7;30;;;
8;1998;2797;35.3;2317;1647;20.1;1352;162;0.6;29;739;10.1;695;197;2.7;134;31;1.0;76;21;0.8;32;;;
9;1999;2675;36.7;2565;1571;21.2;1524;133;0.6;32;726;10.2;738;194;2.9;151;30;1.0;83;21;0.9;37;;;
10;2000;2790;38.6;2725;1667;22.0;1645;168;1.0;54;717;10.6;739;188;2.9;151;30;1.1;93;20;1.0;42;;;
11;2001;2744;37.5;2865;1589;20.5;1687;210;1.6;119;707;10.4;716;182;3.2;164;40;1.1;153;16;0.6;27;;;
