ID;Accuracy;OwnerOrTenant;DwellingCharacterristics;Regions;Period;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
0;Value;Total;Total;Nederland ;2009;773.4;554.6;218.8;31.8;85.4;11.3;3.3
1;Value;Total;Total;Nederland ;2012;822.9;601.1;221.8;33.5;85.1;9.7;5.3
2;Value;Total;Total;Nederland ;2015;798.8;599.0;199.8;32.5;85.5;7.2;7.3
3;Value;Total;Total;Noord-Nederland (LD);2009;754.5;524.2;230.3;33.4;90.6;7.4;2.0
4;Value;Total;Total;Noord-Nederland (LD);2012;795.3;562.6;232.7;34.3;90.5;5.8;3.7
5;Value;Total;Total;Noord-Nederland (LD);2015;747.3;541.2;206.2;32.5;88.8;5.4;5.8
6;Value;Total;Total;Oost-Nederland (LD);2009;785.9;559.9;225.9;31.8;87.2;9.8;3.0
7;Value;Total;Total;Oost-Nederland (LD);2012;824.3;599.2;225.1;33.0;86.5;8.9;4.5
8;Value;Total;Total;Oost-Nederland (LD);2015;792.3;593.7;198.6;31.8;87.3;6.0;6.7
9;Value;Total;Total;West-Nederland (LD);2009;769.1;559.9;209.2;31.6;82.8;13.3;3.9
10;Value;Total;Total;West-Nederland (LD);2012;827.9;613.0;214.8;33.5;82.7;11.3;6.0
11;Value;Total;Total;West-Nederland (LD);2015;817.5;620.6;196.9;32.9;83.5;8.5;7.9
12;Value;Total;Total;Zuid-Nederland (LD);2009;780.3;552.1;228.2;31.4;87.1;9.9;3.0
13;Value;Total;Total;Zuid-Nederland (LD);2012;823.4;594.5;228.9;33.3;86.4;8.5;5.1
14;Value;Total;Total;Zuid-Nederland (LD);2015;787.2;582.4;204.7;32.2;86.6;6.2;7.2
15;Value;Total;Total;Groningen (PV);2009;731.3;506.2;225.1;33.6;89.6;7.8;2.6
16;Value;Total;Total;Groningen (PV);2012;774.2;545.7;228.5;35.0;89.6;6.1;4.3
17;Value;Total;Total;Groningen (PV);2015;734.4;531.3;203.1;33.8;87.6;5.4;7.1
18;Value;Total;Total;Friesland (PV);2009;752.4;528.1;224.3;32.7;90.5;7.9;1.6
19;Value;Total;Total;Friesland (PV);2012;786.7;557.1;229.5;33.8;90.2;6.9;2.9
20;Value;Total;Total;Friesland (PV);2015;739.9;537.6;202.2;31.9;89.1;5.6;5.4
21;Value;Total;Total;Drenthe (PV);2009;783.7;539.8;243.9;34.0;91.9;6.3;1.9
22;Value;Total;Total;Drenthe (PV);2012;832.3;590.3;242.0;34.1;92.0;3.8;4.2
23;Value;Total;Total;Drenthe (PV);2015;773.6;558.3;215.4;31.4;90.1;5.1;4.8
24;Value;Total;Total;Overijssel (PV);2009;775.4;545.8;229.6;32.7;88.1;8.7;3.2
25;Value;Total;Total;Overijssel (PV);2012;805.2;573.3;231.9;33.4;87.6;7.6;4.8
26;Value;Total;Total;Overijssel (PV);2015;770.2;571.2;199.0;31.7;88.5;5.7;5.8
27;Value;Total;Total;Flevoland (PV);2009;795.6;571.3;224.3;31.1;89.7;6.5;3.8
28;Value;Total;Total;Flevoland (PV);2012;818.9;599.4;219.5;32.4;85.0;8.5;6.5
29;Value;Total;Total;Flevoland (PV);2015;822.7;624.9;197.8;32.5;86.7;4.0;9.3
30;Value;Total;Total;Gelderland (PV);2009;790.0;565.8;224.1;31.4;86.3;10.9;2.7
31;Value;Total;Total;Gelderland (PV);2012;836.2;613.8;222.3;32.9;86.2;9.8;4.0
32;Value;Total;Total;Gelderland (PV);2015;798.8;600.3;198.4;31.7;86.8;6.5;6.7
33;Value;Total;Total;Utrecht (PV);2009;811.2;593.6;217.6;29.7;84.6;12.8;2.6
34;Value;Total;Total;Utrecht (PV);2012;861.8;647.7;214.2;31.9;85.6;9.4;5.0
35;Value;Total;Total;Utrecht (PV);2015;859.4;664.3;195.2;31.2;86.0;7.8;6.2
36;Value;Total;Total;Noord-Holland (PV);2009;758.7;552.8;205.9;32.3;81.5;14.5;4.0
37;Value;Total;Total;Noord-Holland (PV);2012;829.4;616.5;212.9;34.1;82.0;12.1;5.9
38;Value;Total;Total;Noord-Holland (PV);2015;829.4;632.9;196.4;33.6;82.5;9.3;8.2
39;Value;Total;Total;Zuid-Holland (PV);2009;767.5;560.0;207.5;31.7;82.6;13.0;4.4
40;Value;Total;Total;Zuid-Holland (PV);2012;819.9;604.4;215.6;33.9;81.6;11.6;6.7
41;Value;Total;Total;Zuid-Holland (PV);2015;801.7;605.2;196.5;33.1;82.9;8.5;8.6
42;Value;Total;Total;Zeeland (PV);2009;735.9;511.9;224.0;31.4;89.4;8.7;1.9
43;Value;Total;Total;Zeeland (PV);2012;787.4;563.4;224.0;32.0;88.6;8.2;3.3
44;Value;Total;Total;Zeeland (PV);2015;747.3;537.7;209.5;31.5;89.6;5.4;5.0
45;Value;Total;Total;Noord-Brabant (PV);2009;790.4;564.0;226.5;31.0;86.9;10.5;2.6
46;Value;Total;Total;Noord-Brabant (PV);2012;838.0;610.7;227.3;33.0;86.2;9.0;4.8
47;Value;Total;Total;Noord-Brabant (PV);2015;807.8;603.7;204.1;32.0;86.0;6.6;7.4
48;Value;Total;Total;Limburg (PV);2009;759.5;527.6;231.9;32.4;87.7;8.7;3.6
49;Value;Total;Total;Limburg (PV);2012;792.9;560.5;232.4;33.9;86.8;7.5;5.7
50;Value;Total;Total;Limburg (PV);2015;743.1;537.0;206.1;32.5;87.8;5.2;6.9
51;Value;Total;Total;Oost-Groningen (CR);2009;716.9;479.0;237.9;32.1;89.5;8.4;2.1
52;Value;Total;Total;Oost-Groningen (CR);2012;768.4;518.6;249.8;34.7;90.6;5.5;3.9
53;Value;Total;Total;Oost-Groningen (CR);2015;711.5;487.2;224.3;33.2;91.6;3.3;5.0
54;Value;Total;Total;Delfzijl en omgeving (CR);2009;790.7;538.5;252.2;33.1;92.1;6.5;1.4
55;Value;Total;Total;Delfzijl en omgeving (CR);2012;818.9;584.0;235.0;37.3;86.5;6.8;6.7
56;Value;Total;Total;Delfzijl en omgeving (CR);2015;719.5;499.0;220.4;31.7;89.4;6.4;4.2
57;Value;Total;Total;Overig Groningen (CR);2009;729.4;513.2;216.2;34.3;89.2;7.7;3.0
58;Value;Total;Total;Overig Groningen (CR);2012;770.6;551.5;219.1;34.8;89.5;6.3;4.1
59;Value;Total;Total;Overig Groningen (CR);2015;744.6;551.4;193.2;34.4;85.8;6.0;8.2
