ID;Branches;Periods;LabourIncomeShare_1;CompensationOfEmployees_2;ImputedLabourIncome_3;NetOperatingSurplus_4;RemunerationOfLabour_5;RemunerationOfLabourAndCapital_6
0;A-U All economic activities;1995;77.7;165485.0;25628.0;80442.0;191113.0;245927.0
1;A-U All economic activities;1996;77.3;171905.0;26652.0;84919.0;198557.0;256824.0
2;A-U All economic activities;1997;76.2;181552.0;29309.0;95264.0;210861.0;276816.0
3;A-U All economic activities;1998;75.8;194591.0;30563.0;102401.0;225154.0;296992.0
4;A-U All economic activities;1999;77.0;209544.0;32307.0;104447.0;241851.0;313991.0
5;A-U All economic activities;2000;77.2;226691.0;34371.0;111466.0;261062.0;338157.0
6;A-U All economic activities;2001;77.3;239070.0;36945.0;118168.0;276015.0;357238.0
7;A-U All economic activities;2002;77.8;251061.0;37038.0;119129.0;288099.0;370190.0
8;A-U All economic activities;2003;78.2;257855.0;37051.0;119301.0;294906.0;377156.0
9;A-U All economic activities;2004;76.8;261594.0;36958.0;127066.0;298552.0;388660.0
10;A-U All economic activities;2005;75.3;265786.0;38034.0;137931.0;303820.0;403717.0
11;A-U All economic activities;2006;73.5;274630.0;40887.0;154652.0;315517.0;429282.0
12;A-U All economic activities;2007;72.9;290422.0;43024.0;166950.0;333446.0;457372.0
13;A-U All economic activities;2008;73.5;307606.0;43777.0;170448.0;351383.0;478054.0
14;A-U All economic activities;2009;77.5;312196.0;42884.0;145717.0;355080.0;457913.0
15;A-U All economic activities;2010;76.2;311717.0;44773.0;156069.0;356490.0;467786.0
16;A-U All economic activities;2011;76.5;319557.0;46176.0;158747.0;365733.0;478304.0
17;A-U All economic activities;2012;77.1;323867.0;46198.0;156413.0;370065.0;480280.0
18;A-U All economic activities;2013;76.9;324676.0;46487.0;157764.0;371163.0;482440.0
19;A-U All economic activities;2014;77.3;328166.0;48630.0;159410.0;376796.0;487576.0
20;A-U All economic activities;2015;75.7;330267.0;50980.0;173209.0;381247.0;503476.0
21;A-U All economic activities;2016;76.7;340586.0;54194.0;174435.0;394780.0;515021.0
22;A-U All economic activities;2017;76.1;352818.0;57121.0;185620.0;409939.0;538438.0
23;A-U All economic activities;2018;76.4;369840.0;60390.0;193428.0;430230.0;563268.0
24;A-U All economic activities;2019;76.7;388869.0;63758.0;201200.0;452627.0;590069.0
25;A-U All economic activities;2020;79.0;402735.0;64348.0;188791.0;467083.0;591526.0
26;A-U All economic activities;2021;75.8;419346.0;70962.0;227303.0;490308.0;646649.0
27;A-U All economic activities;2022;74.6;451678.0;76583.0;256296.0;528261.0;707974.0
28;A Agriculture, forestry and fishing;1995;89.0;1831.0;5392.0;6282.0;7223.0;8113.0
29;A Agriculture, forestry and fishing;1996;89.2;1896.0;5184.0;6039.0;7080.0;7935.0
30;A Agriculture, forestry and fishing;1997;88.8;1953.0;5886.0;6878.0;7839.0;8831.0
31;A Agriculture, forestry and fishing;1998;88.0;2033.0;4962.0;5913.0;6995.0;7946.0
32;A Agriculture, forestry and fishing;1999;88.5;2175.0;4712.0;5609.0;6887.0;7784.0
33;A Agriculture, forestry and fishing;2000;88.9;2302.0;4871.0;5764.0;7173.0;8066.0
34;A Agriculture, forestry and fishing;2001;89.4;2415.0;5006.0;5885.0;7421.0;8300.0
35;A Agriculture, forestry and fishing;2002;88.8;2573.0;4279.0;5139.0;6852.0;7712.0
36;A Agriculture, forestry and fishing;2003;87.3;2594.0;4401.0;5418.0;6995.0;8012.0
37;A Agriculture, forestry and fishing;2004;87.3;2547.0;3793.0;4716.0;6340.0;7263.0
38;A Agriculture, forestry and fishing;2005;85.8;2518.0;3906.0;4972.0;6424.0;7490.0
39;A Agriculture, forestry and fishing;2006;84.7;2563.0;4936.0;6290.0;7499.0;8853.0
40;A Agriculture, forestry and fishing;2007;83.3;2695.0;4652.0;6121.0;7347.0;8816.0
41;A Agriculture, forestry and fishing;2008;83.4;2773.0;3960.0;5302.0;6733.0;8075.0
42;A Agriculture, forestry and fishing;2009;84.7;2798.0;3141.0;4216.0;5939.0;7014.0
43;A Agriculture, forestry and fishing;2010;82.2;2851.0;4214.0;5746.0;7065.0;8597.0
44;A Agriculture, forestry and fishing;2011;85.4;2926.0;3522.0;4622.0;6448.0;7548.0
45;A Agriculture, forestry and fishing;2012;85.6;2996.0;3815.0;4957.0;6811.0;7953.0
46;A Agriculture, forestry and fishing;2013;87.0;3046.0;4663.0;5814.0;7709.0;8860.0
47;A Agriculture, forestry and fishing;2014;84.9;3054.0;4173.0;5454.0;7227.0;8508.0
48;A Agriculture, forestry and fishing;2015;93.9;3038.0;5033.0;5556.0;8071.0;8594.0
49;A Agriculture, forestry and fishing;2016;92.8;3125.0;5174.0;5818.0;8299.0;8943.0
50;A Agriculture, forestry and fishing;2017;90.8;3269.0;5863.0;6785.0;9132.0;10054.0
51;A Agriculture, forestry and fishing;2018;95.8;3471.0;5218.0;5596.0;8689.0;9067.0
52;A Agriculture, forestry and fishing;2019;94.6;3670.0;5215.0;5721.0;8885.0;9391.0
53;A Agriculture, forestry and fishing;2020;95.5;3826.0;4904.0;5311.0;8730.0;9137.0
54;A Agriculture, forestry and fishing;2021;96.2;3959.0;5274.0;5642.0;9233.0;9601.0
55;A Agriculture, forestry and fishing;2022;100.8;4155.0;5836.0;5755.0;9991.0;9910.0
56;B Mining and quarrying;1995;11.9;741.0;5.0;5523.0;746.0;6264.0
57;B Mining and quarrying;1996;10.2;767.0;6.0;6826.0;773.0;7593.0
58;B Mining and quarrying;1997;10.5;753.0;7.0;6503.0;760.0;7256.0
59;B Mining and quarrying;1998;12.0;767.0;7.0;5670.0;774.0;6437.0
60;B Mining and quarrying;1999;13.8;731.0;8.0;4623.0;739.0;5354.0
61;B Mining and quarrying;2000;10.2;805.0;8.0;7196.0;813.0;8001.0
62;B Mining and quarrying;2001;7.6;777.0;9.0;9522.0;786.0;10299.0
63;B Mining and quarrying;2002;9.5;866.0;10.0;8383.0;876.0;9249.0
64;B Mining and quarrying;2003;9.2;875.0;11.0;8804.0;886.0;9679.0
65;B Mining and quarrying;2004;8.9;906.0;8.0;9407.0;914.0;10313.0
66;B Mining and quarrying;2005;6.5;742.0;7.0;10704.0;749.0;11446.0
67;B Mining and quarrying;2006;5.0;734.0;6.0;14106.0;740.0;14840.0
68;B Mining and quarrying;2007;5.5;770.0;6.0;13442.0;776.0;14212.0
69;B Mining and quarrying;2008;4.0;818.0;6.0;19583.0;824.0;20401.0
70;B Mining and quarrying;2009;5.8;825.0;7.0;13479.0;832.0;14304.0
71;B Mining and quarrying;2010;5.6;872.0;6.0;14862.0;878.0;15734.0
72;B Mining and quarrying;2011;5.7;971.0;7.0;16107.0;978.0;17078.0
73;B Mining and quarrying;2012;5.3;1033.0;8.0;18507.0;1041.0;19540.0
74;B Mining and quarrying;2013;5.5;1118.0;9.0;19258.0;1127.0;20376.0
75;B Mining and quarrying;2014;8.5;1242.0;14.0;13501.0;1256.0;14743.0
76;B Mining and quarrying;2015;11.9;1240.0;10.0;9279.0;1250.0;10519.0
77;B Mining and quarrying;2016;19.4;1126.0;9.0;4733.0;1135.0;5859.0
78;B Mining and quarrying;2017;16.4;850.0;10.0;4387.0;860.0;5237.0
79;B Mining and quarrying;2018;18.0;843.0;9.0;3887.0;852.0;4730.0
80;B Mining and quarrying;2019;24.1;808.0;8.0;2576.0;816.0;3384.0
81;B Mining and quarrying;2020;149.4;863.0;11.0;-278.0;874.0;585.0
82;B Mining and quarrying;2021;21.4;785.0;13.0;2946.0;798.0;3731.0
83;B Mining and quarrying;2022;5.2;885.0;18.0;16334.0;903.0;17219.0
84;B-E Industry (no construction), energy;1995;62.2;30652.0;1511.0;21017.0;32163.0;51669.0
85;B-E Industry (no construction), energy;1996;60.8;30845.0;1615.0;22522.0;32460.0;53367.0
86;B-E Industry (no construction), energy;1997;60.5;31559.0;1710.0;23393.0;33269.0;54952.0
87;B-E Industry (no construction), energy;1998;60.0;32813.0;1830.0;24965.0;34643.0;57778.0
88;B-E Industry (no construction), energy;1999;62.4;34142.0;1906.0;23585.0;36048.0;57727.0
89;B-E Industry (no construction), energy;2000;60.8;36171.0;2014.0;26617.0;38185.0;62788.0
90;B-E Industry (no construction), energy;2001;58.3;37052.0;2223.0;30282.0;39275.0;67334.0
91;B-E Industry (no construction), energy;2002;61.3;38227.0;2199.0;27750.0;40426.0;65977.0
92;B-E Industry (no construction), energy;2003;61.4;38247.0;2284.0;27759.0;40531.0;66006.0
93;B-E Industry (no construction), energy;2004;59.2;38331.0;2261.0;30269.0;40592.0;68600.0
94;B-E Industry (no construction), energy;2005;55.1;37872.0;2373.0;35164.0;40245.0;73036.0
95;B-E Industry (no construction), energy;2006;51.8;38351.0;2488.0;40551.0;40839.0;78902.0
96;B-E Industry (no construction), energy;2007;51.4;39818.0;2732.0;43016.0;42550.0;82834.0
97;B-E Industry (no construction), energy;2008;51.2;42107.0;2927.0;45876.0;45034.0;87983.0
98;B-E Industry (no construction), energy;2009;60.5;42820.0;2853.0;32629.0;45673.0;75449.0
99;B-E Industry (no construction), energy;2010;57.0;40979.0;2885.0;36038.0;43864.0;77017.0
100;B-E Industry (no construction), energy;2011;55.2;41940.0;3031.0;39538.0;44971.0;81478.0
101;B-E Industry (no construction), energy;2012;54.7;42493.0;3238.0;41186.0;45731.0;83679.0
102;B-E Industry (no construction), energy;2013;56.3;42879.0;3340.0;39156.0;46219.0;82035.0
103;B-E Industry (no construction), energy;2014;61.9;44105.0;3685.0;33068.0;47790.0;77173.0
104;B-E Industry (no construction), energy;2015;61.4;43849.0;4142.0;34336.0;47991.0;78185.0
105;B-E Industry (no construction), energy;2016;65.2;44922.0;4371.0;30720.0;49293.0;75642.0
106;B-E Industry (no construction), energy;2017;63.7;45852.0;4518.0;33262.0;50370.0;79114.0
107;B-E Industry (no construction), energy;2018;63.7;47696.0;4874.0;34878.0;52570.0;82574.0
108;B-E Industry (no construction), energy;2019;66.2;49915.0;5183.0;33344.0;55098.0;83259.0
109;B-E Industry (no construction), energy;2020;70.2;51413.0;5815.0;30098.0;57228.0;81511.0
110;B-E Industry (no construction), energy;2021;63.1;52676.0;6465.0;41028.0;59141.0;93704.0
111;B-E Industry (no construction), energy;2022;51.7;56132.0;7558.0;67110.0;63690.0;123242.0
112;C Manufacturing;1995;69.9;27745.0;1423.0;13965.0;29168.0;41710.0
113;C Manufacturing;1996;70.6;27930.0;1520.0;13757.0;29450.0;41687.0
114;C Manufacturing;1997;69.1;28575.0;1601.0;15114.0;30176.0;43689.0
115;C Manufacturing;1998;66.9;29678.0;1715.0;17269.0;31393.0;46947.0
116;C Manufacturing;1999;68.1;30867.0;1775.0;17038.0;32642.0;47905.0
117;C Manufacturing;2000;68.4;32726.0;1866.0;17879.0;34592.0;50605.0
118;C Manufacturing;2001;67.2;33511.0;2071.0;19459.0;35582.0;52970.0
119;C Manufacturing;2002;69.8;34413.0;2032.0;17795.0;36445.0;52208.0
120;C Manufacturing;2003;70.7;34309.0;2105.0;17207.0;36414.0;51516.0
121;C Manufacturing;2004;67.7;34389.0;2084.0;19488.0;36473.0;53877.0
122;C Manufacturing;2005;64.3;34052.0;2200.0;22368.0;36252.0;56420.0
123;C Manufacturing;2006;63.4;34551.0;2293.0;23564.0;36844.0;58115.0
