ID;Geslacht;Leeftijd;Perioden;TotaalPrivebezittingen_1;EigenWoning_2;TotaalFinancieel_3;BankEnSpaartegoeden_4;Effecten_5;Hypotheekschuld_6;Privevermogen_7;Ondernemingsvermogen_8;NagelatenVermogen_9;TotaalOverigeBezittingen_10;OverigeOnroerendeZaken_11;RoerendeZaken_12;ContantGeld_13;VorderingenRestituties_14;AandeelInOverdeeldeBoedelS_15;OverigeBezittingenNEG_16;TotaalOverigeSchulden_17;RentedragendeSchulden_18;Belastingschulden_19;HuishoudelijkeSchulden_20;OverigeRentelozeSchulden_21;VermogenNalatenschap_22;VermogenOnbekend_23;BegrafenisOfCrematiekosten_24;UitkeringenUitvaartverzekering_25;ZuiverSaldoNalatenschap_26;TotaalPriveBezittingen_27;EigenWoning_28;TotaalFinancieel_29;BankEnSpaartegoeden_30;Effecten_31;Hypotheekschuld_32;Privevermogen_33;Ondernemingsvermogen_34;NagelatenVermogen_35;TotaalOverigeBezittingen_36;OverigeOnroerendeZaken_37;RoerendeZaken_38;ContantGeld_39;VorderingenRestituties_40;AandeelInOverdeeldeBoedelS_41;OverigeBezittingenNEG_42;TotaalOverigeSchulden_43;RentedragendeSchulden_44;Belasingschulden_45;HuishoudelijkeSchulden_46;OverigeRentelozeSchulden_47;VermogenNalatenschap_48;VermogenOnbekend_49;BegrafenisOfCrematiekosten_50;UitkeringenUitvaartverzekering_51;ZuiverSaldoNalatenschap_52;TotaalPriveBezittingen_53;EigenWoning_54;TotaalFinancieel_55;BankEnSpaartegoeden_56;Effecten_57;Hypotheekschuld_58;Privevermogen_59;Ondernemingsvermogen_60;NagelatenVermogen_61;TotaalOverigeBezittingen_62;OverigeOnroerendeZaken_63;RoerendeZaken_64;ContantGeld_65;VorderingenRestituties_66;AandeelInOverdeeldeBoedelS_67;OverigeBezittingenNEG_68;TotaalOverigeSchulden_69;RentedragendeSchulden_70;Belastingschulden_71;HuishoudelijkeSchulden_72;OverigeRentelozeSchulden_73;VermogenNalatenschap_74;VermogenOnbekend_75;BegrafenisOfCrematiekosten_76;UitkeringenUitvaartverzekering_77;ZuiverSaldoNalatenschap_78;TotaalPrivebezittingen_79;EigenWoning_80;TotaalFinancieel_81;BankEnSpaartegoeden_82;Effecten_83;Hypotheekschuld_84;Privevermogen_85;Ondernemingsvermogen_86;NagelatenVermogen_87;TotaalOverigeBezittingen_88;OverigeOnroerendeZaken_89;RoerendeZaken_90;ContantGeld_91;VorderingenRestituties_92;AandeelInOverdeeldeBoedelS_93;OverigeBezittingenNEG_94;TotaalOverigeSchulden_95;RentedragendeSchulden_96;Belastingschulden_97;HuishoudelijkeSchulden_98;OverigeRentelozeSchulden_99;VermogenNalatenschap_100;VermogenOnbekend_101;BegrafenisOfCrematiekosten_102;UitkeringenUitvaartverzekering_103;ZuiverSaldoNalatenschap_104
0;Mannen en vrouwen;Totaal leeftijd;2005;52000;26750;51080;50910;12750;14970;52050;2420;52120;45430;5070;30550;18340.0;22150;870.0;5550;32510;10050.0;16050.0;12190.0;8040.0;54890;15760;50090;17130.0;60120;9510;4841.0;4669;2828;1841.0;838.0;8672;816.0;9488;1976;718.0;187.0;23.0;422.0;42.0;584.0;1042.0;521.0;117.0;71.0;332.0;10423;643.0;296;37.0;10807;183;181.0;91;56;144.0;56.0;167;337.0;182;43;142.0;6.0;1.0;19.0;48.0;105.0;32.0;52.0;7.0;6.0;41.0;190;41.0;6;2.0;180;116;147.0;32;26;35.0;35.0;96;75.0;98;4;60.0;3.0;0.0;2.0;16.0;23.0;2.0;8.0;1.0;1.0;5.0;102;0.0;5;2.0;95
1;Mannen en vrouwen;Totaal leeftijd;2006;56160;28750;55240;55030;13320;16270;56170;2480;56240;47400;5320;32990;19650.0;23360;820.0;4240;33830;9000.0;17170.0;13620.0;8620.0;57740;15370;52960;18720.0;62000;10464;5385.0;5079;3094;1984.0;964.0;9500;939.0;10439;1932;761.0;201.0;27.0;459.0;54.0;431.0;1249.0;591.0;144.0;95.0;419.0;11122;419.0;331;46.0;11257;186;187.0;92;56;149.0;59.0;169;378.0;186;41;143.0;6.0;1.0;20.0;67.0;102.0;37.0;66.0;8.0;7.0;49.0;193;27.0;6;2.0;182;120;150.0;33;27;38.0;38.0;99;83.0;101;4;60.0;3.0;0.0;1.0;19.0;9.0;2.0;12.0;1.0;1.0;6.0;105;0.0;6;2.0;96
2;Mannen en vrouwen;Totaal leeftijd;2007;55210;29070;54330;54170;12850;16240;55270;2570;55340;47510;5270;32610;19020.0;23530;710.0;5080;34890;8860.0;17700.0;13820.0;9690.0;57670;13290;53600;19830.0;59660;11023;5705.0;5318;3282;2036.0;1063.0;9960;952.0;10912;2310;876.0;215.0;37.0;517.0;33.0;632.0;1371.0;618.0;140.0;124.0;490.0;11850;138.0;353;52.0;11687;200;196.0;98;61;158.0;65.0;180;370.0;197;49;166.0;7.0;2.0;22.0;46.0;124.0;39.0;70.0;8.0;9.0;51.0;205;10.0;7;3.0;196;129;159.0;35;29;41.0;41.0;107;81.0;109;5;68.0;3.0;0.0;2.0;15.0;22.0;2.0;15.0;1.0;1.0;7.0;113;0.0;6;2.0;105
3;Mannen en vrouwen;Totaal leeftijd;2008;56560;30160;55620;55470;12570;16990;56610;2650;56670;48580;5450;32810;18870.0;23950;920.0;5320;36220;10340.0;18270.0;13580.0;10530.0;59100;12810;55010;20930.0;60450;11397;5981.0;5416;3659;1757.0;1166.0;10231;1167.0;11398;2316;889.0;199.0;29.0;522.0;148.0;528.0;1526.0;744.0;132.0;135.0;515.0;12188;79.0;376;57.0;11948;202;198.0;97;66;140.0;69.0;181;440.0;201;48;163.0;6.0;2.0;22.0;161.0;99.0;42.0;72.0;7.0;10.0;49.0;206;6.0;7;3.0;198;135;160.0;37;31;36.0;43.0;110;84.0;112;4;66.0;3.0;0.0;2.0;17.0;21.0;3.0;16.0;1.0;1.0;6.0;115;0.0;6;3.0;107
4;Mannen en vrouwen;Totaal leeftijd;2009;56300;31110;55340;55210;12270;17680;56340;2510;56400;48490;5540;32690;18200.0;23510;820.0;5570;36390;10660.0;18030.0;13140.0;10630.0;59200;13250;55390;21710.0;60770;11166;6002.0;5164;3668;1496.0;1204.0;9962;792.0;10754;2163;791.0;192.0;32.0;507.0;60.0;582.0;1610.0;845.0;118.0;122.0;524.0;11307;113.0;390;63.0;11092;198;193.0;93;66;122.0;68.0;177;315.0;191;45;143.0;6.0;2.0;22.0;73.0;104.0;44.0;79.0;7.0;9.0;49.0;191;9.0;7;3.0;183;138;159.0;37;32;32.0;45.0;112;71.0;114;5;65.0;3.0;0.0;2.0;18.0;29.0;3.0;17.0;1.0;1.0;8.0;115;0.0;7;3.0;107
5;Mannen en vrouwen;Totaal leeftijd;2010;52540;31360;51480;51140;13040;16310;52580;2630;52650;36770;4150;24770;;20930;;3030;25010;;;;;53330;19080;48880;;54410;12500;6854.0;5647;3817;1830.0;1211.0;11290;1184.0;12473;1693;652.0;184.0;;605.0;;252.0;1015.0;;;;;13152;-869.0;317;;11966;238;219.0;110;75;140.0;74.0;215;450.0;237;46;157.0;7.0;;29.0;;83.0;41.0;;;;;247;-46.0;6;;220;167;178.0;43;35;36.0;46.0;142;73.0;145;5;61.0;3.0;;2.0;;13.0;2.0;;;;;151;0.0;6;;134
6;Mannen en vrouwen;jonger dan 35 jaar;2005;340;180;330;320;50;170;340;20;340;260;10;170;70.0;100;10.0;40;170;50.0;70.0;60.0;40.0;360;90;310;110.0;420;32;24.0;8;6;1.0;21.0;10;;11;8;;2.0;0.0;1.0;;;2.0;;0.0;0.0;;17;2.0;2;0.0;16;92;135.0;24;20;27.0;123.0;30;;32;30;;14.0;1.0;11.0;;;12.0;;5.0;3.0;;46;18.0;8;4.0;39;73;120.0;9;7;7.0;98.0;17;;17;4;;3.0;0.0;2.0;;;2.0;;0.0;1.0;;22;0.0;7;3.0;17
7;Mannen en vrouwen;jonger dan 35 jaar;2006;320;180;300;300;60;180;320;40;320;270;20;210;80.0;120;10.0;30;180;50.0;90.0;60.0;40.0;340;80;290;80.0;370;32;26.0;6;5;1.0;22.0;10;;12;6;;1.0;0.0;1.0;;;2.0;1.0;0.0;0.0;;16;1.0;2;0.0;14;101;145.0;22;17;23.0;123.0;33;;39;21;;5.0;0.0;12.0;;;13.0;21.0;4.0;4.0;;46;10.0;8;4.0;38;95;128.0;10;9;8.0;105.0;20;;23;5;;3.0;0.0;3.0;;;2.0;6.0;1.0;1.0;;29;0.0;7;4.0;22
8;Mannen en vrouwen;jonger dan 35 jaar;2007;330;160;320;320;40;160;330;30;330;260;10;180;80.0;100;0.0;30;180;50.0;80.0;60.0;40.0;360;50;300;120.0;380;34;25.0;9;6;;21.0;13;;17;5;;1.0;0.0;1.0;;;3.0;1.0;1.0;1.0;;19;;3;1.0;18;102;159.0;27;17;;134.0;40;;52;20;;5.0;1.0;8.0;;;18.0;20.0;8.0;11.0;;54;;8;5.0;47;64;135.0;8;7;;113.0;18;;19;5;;3.0;0.0;3.0;;;2.0;4.0;0.0;1.0;;19;;8;4.0;12
9;Mannen en vrouwen;jonger dan 35 jaar;2008;280;140;260;260;40;130;280;20;280;220;10;140;70.0;90;10.0;30;160;30.0;70.0;50.0;60.0;300;60;250;90.0;320;27;23.0;5;4;;17.0;11;;12;7;;1.0;0.0;2.0;;;4.0;;0.0;2.0;2.0;15;1.0;2;1.0;15;97;165.0;18;16;;127.0;39;;44;33;;5.0;1.0;20.0;;;25.0;;6.0;28.0;29.0;52;13.0;9;7.0;45;64;140.0;10;8;;122.0;19;;19;5;;3.0;0.0;3.0;;;3.0;;0.0;1.0;5.0;25;0.0;8;4.0;19
