ID;Sex;Age;CountryOfBirth;DutchCaribbean;Periods;PopulationOnJanuary1st_1
0;Total male and female;Total;Total;Caribbean Netherlands;2011;21087
1;Total male and female;Total;Total;Caribbean Netherlands;2012;22304
2;Total male and female;Total;Total;Caribbean Netherlands;2013;23296
3;Total male and female;Total;Total;Caribbean Netherlands;2014;24279
4;Total male and female;Total;Total;Caribbean Netherlands;2015;24593
5;Total male and female;Total;Total;Caribbean Netherlands;2016;24548
6;Total male and female;Total;Total;Caribbean Netherlands;2017;24439
7;Total male and female;Total;Total;Caribbean Netherlands;2018;25052
8;Total male and female;Total;Total;Caribbean Netherlands;2019;25157
9;Total male and female;Total;Total;Caribbean Netherlands;2020;25987
10;Total male and female;Total;Total;Caribbean Netherlands;2021;26805
11;Total male and female;Total;Total;Caribbean Netherlands;2022;27726
12;Total male and female;Total;Total;Caribbean Netherlands;2023;29418
13;Total male and female;Total;Total;Caribbean Netherlands;2024;30397
14;Total male and female;Total;Total;Bonaire;2011;15679
15;Total male and female;Total;Total;Bonaire;2012;16541
16;Total male and female;Total;Total;Bonaire;2013;17408
17;Total male and female;Total;Total;Bonaire;2014;18413
18;Total male and female;Total;Total;Bonaire;2015;18905
19;Total male and female;Total;Total;Bonaire;2016;19408
20;Total male and female;Total;Total;Bonaire;2017;19179
21;Total male and female;Total;Total;Bonaire;2018;19549
22;Total male and female;Total;Total;Bonaire;2019;20104
23;Total male and female;Total;Total;Bonaire;2020;20915
24;Total male and female;Total;Total;Bonaire;2021;21745
25;Total male and female;Total;Total;Bonaire;2022;22573
26;Total male and female;Total;Total;Bonaire;2023;24090
27;Total male and female;Total;Total;Bonaire;2024;25133
28;Total male and female;Total;Total;St Eustatius;2011;3611
29;Total male and female;Total;Total;St Eustatius;2012;3792
30;Total male and female;Total;Total;St Eustatius;2013;3897
31;Total male and female;Total;Total;St Eustatius;2014;4020
32;Total male and female;Total;Total;St Eustatius;2015;3877
33;Total male and female;Total;Total;St Eustatius;2016;3193
34;Total male and female;Total;Total;St Eustatius;2017;3250
35;Total male and female;Total;Total;St Eustatius;2018;3348
36;Total male and female;Total;Total;St Eustatius;2019;3138
37;Total male and female;Total;Total;St Eustatius;2020;3139
38;Total male and female;Total;Total;St Eustatius;2021;3142
39;Total male and female;Total;Total;St Eustatius;2022;3242
40;Total male and female;Total;Total;St Eustatius;2023;3293
41;Total male and female;Total;Total;St Eustatius;2024;3204
42;Total male and female;Total;Total;Saba;2011;1797
43;Total male and female;Total;Total;Saba;2012;1971
44;Total male and female;Total;Total;Saba;2013;1991
45;Total male and female;Total;Total;Saba;2014;1846
46;Total male and female;Total;Total;Saba;2015;1811
47;Total male and female;Total;Total;Saba;2016;1947
48;Total male and female;Total;Total;Saba;2017;2010
49;Total male and female;Total;Total;Saba;2018;2155
50;Total male and female;Total;Total;Saba;2019;1915
51;Total male and female;Total;Total;Saba;2020;1933
52;Total male and female;Total;Total;Saba;2021;1918
53;Total male and female;Total;Total;Saba;2022;1911
54;Total male and female;Total;Total;Saba;2023;2035
55;Total male and female;Total;Total;Saba;2024;2060
56;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2011;12869
57;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2012;14033
58;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2013;14904
59;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2014;15647
60;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2015;15761
61;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2016;15617
62;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2017;15386
63;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2018;15910
64;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2019;15955
65;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2020;16733
66;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2021;17380
67;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2022;18183
68;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2023;19826
69;Total male and female;Total;Born outside the Caribbean Netherlands;Caribbean Netherlands;2024;20802
70;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2011;9146
71;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2012;9972
72;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2013;10685
73;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2014;11464
74;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2015;11739
75;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2016;12141
76;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2017;11792
77;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2018;12089
78;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2019;12542
79;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2020;13283
80;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2021;13958
81;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2022;14674
82;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2023;16113
83;Total male and female;Total;Born outside the Caribbean Netherlands;Bonaire;2024;17120
84;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2011;2496
85;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2012;2662
86;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2013;2790
87;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2014;2893
88;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2015;2760
89;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2016;2086
90;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2017;2132
91;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2018;2211
92;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2019;2035
93;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2020;2040
94;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2021;2019
95;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2022;2111
96;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2023;2176
97;Total male and female;Total;Born outside the Caribbean Netherlands;St Eustatius;2024;2111
98;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2011;1227
99;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2012;1399
100;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2013;1429
101;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2014;1290
102;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2015;1262
103;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2016;1390
104;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2017;1462
105;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2018;1610
106;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2019;1378
107;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2020;1410
108;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2021;1403
109;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2022;1398
110;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2023;1537
111;Total male and female;Total;Born outside the Caribbean Netherlands;Saba;2024;1571
112;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2011;8588
113;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2012;9719
114;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2013;10404
115;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2014;10943
116;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2015;10949
117;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2016;10660
118;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2017;10316
119;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2018;10770
120;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2019;10755
121;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2020;11377
122;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2021;11771
123;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2022;12384
124;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2023;13780
125;Total male and female;Total;Born outside Dutch Caribbean;Caribbean Netherlands;2024;14678
126;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2011;5751
127;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2012;6576
128;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2013;7108
129;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2014;7723
130;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2015;7917
131;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2016;8208
132;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2017;7767
133;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2018;8044
134;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2019;8435
135;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2020;9025
136;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2021;9465
137;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2022;10038
138;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2023;11260
139;Total male and female;Total;Born outside Dutch Caribbean;Bonaire;2024;12188
140;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2011;1931
141;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2012;2064
142;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2013;2191
143;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2014;2269
144;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2015;2124
145;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2016;1437
146;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2017;1470
147;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2018;1514
148;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2019;1348
149;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2020;1344
150;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2021;1312
151;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2022;1354
152;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2023;1398
153;Total male and female;Total;Born outside Dutch Caribbean;St Eustatius;2024;1352
154;Total male and female;Total;Born outside Dutch Caribbean;Saba;2011;906
155;Total male and female;Total;Born outside Dutch Caribbean;Saba;2012;1079
156;Total male and female;Total;Born outside Dutch Caribbean;Saba;2013;1105
157;Total male and female;Total;Born outside Dutch Caribbean;Saba;2014;951
158;Total male and female;Total;Born outside Dutch Caribbean;Saba;2015;908
159;Total male and female;Total;Born outside Dutch Caribbean;Saba;2016;1015
160;Total male and female;Total;Born outside Dutch Caribbean;Saba;2017;1079
161;Total male and female;Total;Born outside Dutch Caribbean;Saba;2018;1212
162;Total male and female;Total;Born outside Dutch Caribbean;Saba;2019;972
163;Total male and female;Total;Born outside Dutch Caribbean;Saba;2020;1008
164;Total male and female;Total;Born outside Dutch Caribbean;Saba;2021;994
165;Total male and female;Total;Born outside Dutch Caribbean;Saba;2022;992
166;Total male and female;Total;Born outside Dutch Caribbean;Saba;2023;1122
167;Total male and female;Total;Born outside Dutch Caribbean;Saba;2024;1138
168;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2011;6614
169;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2012;7242
170;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2013;7777
171;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2014;8095
172;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2015;8030
173;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2016;7670
174;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2017;7214
175;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2018;7539
176;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2019;7450
177;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2020;7891
178;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2021;8093
179;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2022;8514
180;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2023;9474
181;Total male and female;Total;Born outside Kingdom of the Netherlands;Caribbean Netherlands;2024;10272
182;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2011;3985
183;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2012;4356
184;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2013;4754
185;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2014;5183
186;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2015;5319
187;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2016;5529
188;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2017;4972
189;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2018;5123
190;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2019;5440
191;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2020;5829
192;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2021;6097
193;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2022;6453
194;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2023;7235
195;Total male and female;Total;Born outside Kingdom of the Netherlands;Bonaire;2024;8043
196;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2011;1772
197;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2012;1873
198;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2013;1988
199;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2014;2032
200;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2015;1896
201;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2016;1233
202;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2017;1277
203;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2018;1321
204;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2019;1157
205;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2020;1155
206;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2021;1112
207;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2022;1175
208;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2023;1213
209;Total male and female;Total;Born outside Kingdom of the Netherlands;St Eustatius;2024;1189
210;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2011;857
211;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2012;1013
212;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2013;1035
213;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2014;880
214;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2015;815
215;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2016;908
216;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2017;965
217;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2018;1095
218;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2019;853
219;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2020;907
220;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2021;884
221;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2022;886
222;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2023;1026
223;Total male and female;Total;Born outside Kingdom of the Netherlands;Saba;2024;1040
224;Total male and female;Total;Africa;Caribbean Netherlands;2011;99
225;Total male and female;Total;Africa;Caribbean Netherlands;2012;119
226;Total male and female;Total;Africa;Caribbean Netherlands;2013;155
227;Total male and female;Total;Africa;Caribbean Netherlands;2014;152
228;Total male and female;Total;Africa;Caribbean Netherlands;2015;141
229;Total male and female;Total;Africa;Caribbean Netherlands;2016;129
230;Total male and female;Total;Africa;Caribbean Netherlands;2017;89
231;Total male and female;Total;Africa;Caribbean Netherlands;2018;89
232;Total male and female;Total;Africa;Caribbean Netherlands;2019;76
233;Total male and female;Total;Africa;Caribbean Netherlands;2020;79
234;Total male and female;Total;Africa;Caribbean Netherlands;2021;81
235;Total male and female;Total;Africa;Caribbean Netherlands;2022;71
236;Total male and female;Total;Africa;Caribbean Netherlands;2023;90
237;Total male and female;Total;Africa;Caribbean Netherlands;2024;100
238;Total male and female;Total;Africa;Bonaire;2011;45
239;Total male and female;Total;Africa;Bonaire;2012;59
240;Total male and female;Total;Africa;Bonaire;2013;82
241;Total male and female;Total;Africa;Bonaire;2014;94
242;Total male and female;Total;Africa;Bonaire;2015;92
243;Total male and female;Total;Africa;Bonaire;2016;93
244;Total male and female;Total;Africa;Bonaire;2017;55
245;Total male and female;Total;Africa;Bonaire;2018;44
246;Total male and female;Total;Africa;Bonaire;2019;48
247;Total male and female;Total;Africa;Bonaire;2020;48
248;Total male and female;Total;Africa;Bonaire;2021;50
249;Total male and female;Total;Africa;Bonaire;2022;48
250;Total male and female;Total;Africa;Bonaire;2023;52
251;Total male and female;Total;Africa;Bonaire;2024;62
252;Total male and female;Total;Africa;St Eustatius;2011;37
253;Total male and female;Total;Africa;St Eustatius;2012;36
254;Total male and female;Total;Africa;St Eustatius;2013;40
255;Total male and female;Total;Africa;St Eustatius;2014;39
256;Total male and female;Total;Africa;St Eustatius;2015;33
257;Total male and female;Total;Africa;St Eustatius;2016;5
258;Total male and female;Total;Africa;St Eustatius;2017;5
259;Total male and female;Total;Africa;St Eustatius;2018;6
260;Total male and female;Total;Africa;St Eustatius;2019;4
261;Total male and female;Total;Africa;St Eustatius;2020;4
262;Total male and female;Total;Africa;St Eustatius;2021;8
263;Total male and female;Total;Africa;St Eustatius;2022;6
264;Total male and female;Total;Africa;St Eustatius;2023;10
265;Total male and female;Total;Africa;St Eustatius;2024;11
266;Total male and female;Total;Africa;Saba;2011;17
267;Total male and female;Total;Africa;Saba;2012;24
268;Total male and female;Total;Africa;Saba;2013;33
269;Total male and female;Total;Africa;Saba;2014;19
270;Total male and female;Total;Africa;Saba;2015;16
271;Total male and female;Total;Africa;Saba;2016;31
272;Total male and female;Total;Africa;Saba;2017;29
273;Total male and female;Total;Africa;Saba;2018;39
274;Total male and female;Total;Africa;Saba;2019;24
275;Total male and female;Total;Africa;Saba;2020;27
276;Total male and female;Total;Africa;Saba;2021;23
277;Total male and female;Total;Africa;Saba;2022;17
278;Total male and female;Total;Africa;Saba;2023;28
279;Total male and female;Total;Africa;Saba;2024;27
280;Total male and female;Total;America;Caribbean Netherlands;2011;17951
281;Total male and female;Total;America;Caribbean Netherlands;2012;18462
282;Total male and female;Total;America;Caribbean Netherlands;2013;19136
283;Total male and female;Total;America;Caribbean Netherlands;2014;19840
284;Total male and female;Total;America;Caribbean Netherlands;2015;20164
285;Total male and female;Total;America;Caribbean Netherlands;2016;20062
286;Total male and female;Total;America;Caribbean Netherlands;2017;20011
287;Total male and female;Total;America;Caribbean Netherlands;2018;20420
288;Total male and female;Total;America;Caribbean Netherlands;2019;20541
289;Total male and female;Total;America;Caribbean Netherlands;2020;21148
290;Total male and female;Total;America;Caribbean Netherlands;2021;21749
291;Total male and female;Total;America;Caribbean Netherlands;2022;22453
292;Total male and female;Total;America;Caribbean Netherlands;2023;23587
293;Total male and female;Total;America;Caribbean Netherlands;2024;24392
294;Total male and female;Total;America;Bonaire;2011;13260
295;Total male and female;Total;America;Bonaire;2012;13549
296;Total male and female;Total;America;Bonaire;2013;14178
297;Total male and female;Total;America;Bonaire;2014;14873
298;Total male and female;Total;America;Bonaire;2015;15293
299;Total male and female;Total;America;Bonaire;2016;15684
300;Total male and female;Total;America;Bonaire;2017;15509
301;Total male and female;Total;America;Bonaire;2018;15721
302;Total male and female;Total;America;Bonaire;2019;16171
303;Total male and female;Total;America;Bonaire;2020;16749
304;Total male and female;Total;America;Bonaire;2021;17372
305;Total male and female;Total;America;Bonaire;2022;17973
306;Total male and female;Total;America;Bonaire;2023;18972
307;Total male and female;Total;America;Bonaire;2024;19812
308;Total male and female;Total;America;St Eustatius;2011;3188
309;Total male and female;Total;America;St Eustatius;2012;3306
310;Total male and female;Total;America;St Eustatius;2013;3353
311;Total male and female;Total;America;St Eustatius;2014;3449
312;Total male and female;Total;America;St Eustatius;2015;3374
313;Total male and female;Total;America;St Eustatius;2016;2792
314;Total male and female;Total;America;St Eustatius;2017;2853
315;Total male and female;Total;America;St Eustatius;2018;2968
316;Total male and female;Total;America;St Eustatius;2019;2794
317;Total male and female;Total;America;St Eustatius;2020;2803
318;Total male and female;Total;America;St Eustatius;2021;2791
319;Total male and female;Total;America;St Eustatius;2022;2891
320;Total male and female;Total;America;St Eustatius;2023;2936
321;Total male and female;Total;America;St Eustatius;2024;2870
322;Total male and female;Total;America;Saba;2011;1503
323;Total male and female;Total;America;Saba;2012;1607
324;Total male and female;Total;America;Saba;2013;1605
325;Total male and female;Total;America;Saba;2014;1518
326;Total male and female;Total;America;Saba;2015;1497
327;Total male and female;Total;America;Saba;2016;1586
328;Total male and female;Total;America;Saba;2017;1649
329;Total male and female;Total;America;Saba;2018;1731
330;Total male and female;Total;America;Saba;2019;1576
331;Total male and female;Total;America;Saba;2020;1596
332;Total male and female;Total;America;Saba;2021;1586
333;Total male and female;Total;America;Saba;2022;1589
334;Total male and female;Total;America;Saba;2023;1679
335;Total male and female;Total;America;Saba;2024;1710
336;Total male and female;Total;Asia;Caribbean Netherlands;2011;627
337;Total male and female;Total;Asia;Caribbean Netherlands;2012;722
338;Total male and female;Total;Asia;Caribbean Netherlands;2013;801
339;Total male and female;Total;Asia;Caribbean Netherlands;2014;813
340;Total male and female;Total;Asia;Caribbean Netherlands;2015;766
341;Total male and female;Total;Asia;Caribbean Netherlands;2016;750
342;Total male and female;Total;Asia;Caribbean Netherlands;2017;656
343;Total male and female;Total;Asia;Caribbean Netherlands;2018;709
344;Total male and female;Total;Asia;Caribbean Netherlands;2019;664
345;Total male and female;Total;Asia;Caribbean Netherlands;2020;670
346;Total male and female;Total;Asia;Caribbean Netherlands;2021;664
347;Total male and female;Total;Asia;Caribbean Netherlands;2022;678
348;Total male and female;Total;Asia;Caribbean Netherlands;2023;746
349;Total male and female;Total;Asia;Caribbean Netherlands;2024;788
350;Total male and female;Total;Asia;Bonaire;2011;353
351;Total male and female;Total;Asia;Bonaire;2012;414
352;Total male and female;Total;Asia;Bonaire;2013;465
353;Total male and female;Total;Asia;Bonaire;2014;526
354;Total male and female;Total;Asia;Bonaire;2015;525
355;Total male and female;Total;Asia;Bonaire;2016;535
356;Total male and female;Total;Asia;Bonaire;2017;439
357;Total male and female;Total;Asia;Bonaire;2018;462
358;Total male and female;Total;Asia;Bonaire;2019;478
359;Total male and female;Total;Asia;Bonaire;2020;479
360;Total male and female;Total;Asia;Bonaire;2021;485
361;Total male and female;Total;Asia;Bonaire;2022;489
362;Total male and female;Total;Asia;Bonaire;2023;513
363;Total male and female;Total;Asia;Bonaire;2024;558
364;Total male and female;Total;Asia;St Eustatius;2011;118
365;Total male and female;Total;Asia;St Eustatius;2012;123
366;Total male and female;Total;Asia;St Eustatius;2013;148
367;Total male and female;Total;Asia;St Eustatius;2014;133
368;Total male and female;Total;Asia;St Eustatius;2015;120
369;Total male and female;Total;Asia;St Eustatius;2016;86
370;Total male and female;Total;Asia;St Eustatius;2017;88
371;Total male and female;Total;Asia;St Eustatius;2018;77
372;Total male and female;Total;Asia;St Eustatius;2019;64
373;Total male and female;Total;Asia;St Eustatius;2020;56
374;Total male and female;Total;Asia;St Eustatius;2021;54
375;Total male and female;Total;Asia;St Eustatius;2022;78
376;Total male and female;Total;Asia;St Eustatius;2023;83
377;Total male and female;Total;Asia;St Eustatius;2024;77
378;Total male and female;Total;Asia;Saba;2011;156
379;Total male and female;Total;Asia;Saba;2012;185
380;Total male and female;Total;Asia;Saba;2013;188
381;Total male and female;Total;Asia;Saba;2014;154
382;Total male and female;Total;Asia;Saba;2015;121
383;Total male and female;Total;Asia;Saba;2016;129
384;Total male and female;Total;Asia;Saba;2017;129
385;Total male and female;Total;Asia;Saba;2018;170
386;Total male and female;Total;Asia;Saba;2019;122
387;Total male and female;Total;Asia;Saba;2020;135
388;Total male and female;Total;Asia;Saba;2021;125
389;Total male and female;Total;Asia;Saba;2022;111
390;Total male and female;Total;Asia;Saba;2023;150
391;Total male and female;Total;Asia;Saba;2024;153
392;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2011;2398
393;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2012;2991
394;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2013;3192
395;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2014;3460
396;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2015;3508
397;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2016;3596
398;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2017;3674
399;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2018;3826
400;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2019;3870
401;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2020;4081
402;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2021;4299
403;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2022;4513
404;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2023;4985
405;Total male and female;Total;Europe (including the Netherlands);Caribbean Netherlands;2024;5108
406;Total male and female;Total;Europe (including the Netherlands);Bonaire;2011;2016
407;Total male and female;Total;Europe (including the Netherlands);Bonaire;2012;2513
408;Total male and female;Total;Europe (including the Netherlands);Bonaire;2013;2677
409;Total male and female;Total;Europe (including the Netherlands);Bonaire;2014;2912
410;Total male and female;Total;Europe (including the Netherlands);Bonaire;2015;2987
411;Total male and female;Total;Europe (including the Netherlands);Bonaire;2016;3088
412;Total male and female;Total;Europe (including the Netherlands);Bonaire;2017;3169
413;Total male and female;Total;Europe (including the Netherlands);Bonaire;2018;3316
414;Total male and female;Total;Europe (including the Netherlands);Bonaire;2019;3402
415;Total male and female;Total;Europe (including the Netherlands);Bonaire;2020;3631
416;Total male and female;Total;Europe (including the Netherlands);Bonaire;2021;3830
417;Total male and female;Total;Europe (including the Netherlands);Bonaire;2022;4057
418;Total male and female;Total;Europe (including the Netherlands);Bonaire;2023;4545
419;Total male and female;Total;Europe (including the Netherlands);Bonaire;2024;4693
420;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2011;264
421;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2012;323
422;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2013;352
423;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2014;395
424;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2015;346
425;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2016;310
426;Total male and female;Total;Europe (including the Netherlands);St Eustatius;2017;304
