ID;OriginOfExports;Periods;ExportsOfGoodsAndServices_1;ExportsOfGoods_2;ExportsOfServices_3;ExportsOfGoodsAndServices_4;ExportsOfGoods_5;ExportsOfServices_6;ExportsOfGoodsAndServices_7;ExportsOfGoods_8;ExportsOfServices_9;ExportsOfGoodsAndServices_10;ExportsOfGoods_11;ExportsOfServices_12
0;A-U All economic activities;2015;350227;209521;140706;350227.0;209521.0;140706.0;;;;100.0;100.0;100.0
1;A-U All economic activities;2016;339254;206749;132505;348605.0;215331.0;133274.0;-0.5;2.8;-5.3;97.3;96.0;99.4
2;A-U All economic activities;2017;370216;225757;144459;369812.0;225390.0;144318.0;6.1;4.7;8.3;100.1;100.2;100.1
3;A-U All economic activities;2018;396766;235791;160975;387614.0;229978.0;157531.0;4.8;2.0;9.2;102.4;102.5;102.2
4;A-U All economic activities;2019;396197;226669;169528;384490.0;221570.0;162838.0;-0.8;-3.7;3.4;103.0;102.3;104.1
5;A-U All economic activities;2020;362298;204786;157512;361281.0;211784.0;149482.0;-6.0;-4.4;-8.2;100.3;96.7;105.4
6;A-U All economic activities;2021;412802;244002;168800;378595.0;222889.0;155769.0;4.8;5.2;4.2;109.0;109.5;108.4
7;A-U All economic activities;2022;504914;301888;203026;395984.0;222876.0;173278.0;4.6;0.0;11.2;127.5;135.5;117.2
8;A Agriculture, forestry and fishing;2015;11840;11621;219;11840.0;11621.0;219.0;;;;100.0;100.0;100.0
9;A Agriculture, forestry and fishing;2016;12152;11931;221;12178.0;11965.0;213.0;2.9;3.0;-2.7;99.8;99.7;103.8
10;A Agriculture, forestry and fishing;2017;12451;12225;226;12199.0;11983.0;216.0;0.2;0.2;1.4;102.1;102.0;104.7
11;A Agriculture, forestry and fishing;2018;12010;11773;237;11843.0;11625.0;218.0;-2.9;-3.0;0.9;101.4;101.3;108.8
12;A Agriculture, forestry and fishing;2019;12480;12237;243;12039.0;11817.0;221.0;1.6;1.6;1.7;103.7;103.6;109.7
13;A Agriculture, forestry and fishing;2020;11995;11806;189;11609.0;11439.0;172.0;-3.6;-3.2;-22.2;103.3;103.2;109.7
14;A Agriculture, forestry and fishing;2021;13326;13152;174;11978.0;11826.0;156.0;3.2;3.4;-9.5;111.3;111.2;111.6
15;A Agriculture, forestry and fishing;2022;13525;13272;253;11258.0;11050.0;211.0;-6.0;-6.6;35.6;120.1;120.1;119.7
16;01 Agriculture;2015;11301;11084;217;11301.0;11084.0;217.0;;;;100.0;100.0;100.0
17;01 Agriculture;2016;11490;11272;218;11571.0;11361.0;210.0;2.4;2.5;-3.2;99.3;99.2;103.8
18;01 Agriculture;2017;11820;11597;223;11656.0;11443.0;213.0;0.7;0.7;1.4;101.4;101.3;104.7
19;01 Agriculture;2018;11343;11108;235;11270.0;11054.0;216.0;-3.3;-3.4;1.3;100.6;100.5;108.9
20;01 Agriculture;2019;11848;11607;241;11518.0;11299.0;219.0;2.2;2.2;1.7;102.9;102.7;109.8
21;01 Agriculture;2020;11349;11163;186;11052.0;10884.0;170.0;-4.1;-3.7;-22.4;102.7;102.6;109.2
22;01 Agriculture;2021;12629;12457;172;11425.0;11275.0;154.0;3.4;3.6;-9.7;110.5;110.5;111.8
23;01 Agriculture;2022;12811;12561;250;10793.0;10587.0;209.0;-5.5;-6.1;36.0;118.7;118.6;119.5
24;02 Forestry and logging;2015;122;122;0;122.0;122.0;0.0;;;;100.0;100.0;
25;02 Forestry and logging;2016;145;144;1;136.0;135.0;;11.5;10.7;;106.6;106.7;
26;02 Forestry and logging;2017;143;142;1;127.0;126.0;;-6.9;-6.9;;112.9;113.0;
27;02 Forestry and logging;2018;148;148;0;126.0;126.0;;-0.7;0.0;;117.7;117.8;
28;02 Forestry and logging;2019;163;163;0;130.0;130.0;;3.4;3.4;;125.4;125.5;
29;02 Forestry and logging;2020;208;207;1;172.0;172.0;;32.5;32.5;;120.8;120.3;
30;02 Forestry and logging;2021;229;229;0;176.0;176.0;;2.4;2.4;0.0;129.8;129.9;
31;02 Forestry and logging;2022;266;266;0;149.0;149.0;;-15.3;-15.3;;178.0;178.1;
32;03 Fishing and aquaculture;2015;417;415;2;417.0;415.0;2.0;;;;100.0;100.0;100.0
33;03 Fishing and aquaculture;2016;517;515;2;471.0;469.0;2.0;12.9;13.0;0.0;109.8;109.8;100.0
34;03 Fishing and aquaculture;2017;488;486;2;423.0;421.0;2.0;-10.3;-10.3;0.0;115.4;115.5;100.0
35;03 Fishing and aquaculture;2018;519;517;2;448.0;446.0;2.0;5.9;6.0;0.0;115.9;116.0;100.0
36;03 Fishing and aquaculture;2019;469;467;2;399.0;397.0;2.0;-11.0;-11.0;0.0;117.6;117.7;100.0
37;03 Fishing and aquaculture;2020;438;436;2;383.0;381.0;2.0;-3.8;-3.9;0.0;114.3;114.3;100.0
38;03 Fishing and aquaculture;2021;468;466;2;377.0;375.0;2.0;-1.6;-1.6;0.0;124.1;124.2;100.0
39;03 Fishing and aquaculture;2022;448;445;3;322.0;321.0;2.0;-14.5;-14.6;0.0;139.0;138.8;150.0
40;B-E Industry (no construction), energy;2015;195889;178072;17817;195889.0;178072.0;17817.0;;;;100.0;100.0;100.0
41;B-E Industry (no construction), energy;2016;190867;174823;16044;199217.0;183269.0;15948.0;1.7;2.9;-10.5;95.8;95.4;100.6
42;B-E Industry (no construction), energy;2017;206614;190447;16167;207204.0;191321.0;15919.0;4.0;4.4;-0.2;99.7;99.5;101.6
43;B-E Industry (no construction), energy;2018;218018;201507;16511;212509.0;196618.0;15936.0;2.6;2.8;0.1;102.6;102.5;103.6
44;B-E Industry (no construction), energy;2019;208005;191947;16058;203619.0;188580.0;15085.0;-4.2;-4.1;-5.3;102.2;101.8;106.5
45;B-E Industry (no construction), energy;2020;191379;175635;15744;197454.0;182899.0;14601.0;-3.0;-3.0;-3.2;96.9;96.0;107.8
46;B-E Industry (no construction), energy;2021;225130;209040;16090;204885.0;190563.0;14454.0;3.8;4.2;-1.0;109.9;109.7;111.3
47;B-E Industry (no construction), energy;2022;285093;264956;20137;207245.0;191040.0;16314.0;1.2;0.3;12.9;137.6;138.7;123.4
48;B Mining and quarrying;2015;12252;7415;4837;12252.0;7415.0;4837.0;;;;100.0;100.0;100.0
49;B Mining and quarrying;2016;9105;5566;3539;11791.0;8254.0;3537.0;-3.8;11.3;-26.9;77.2;67.4;100.1
50;B Mining and quarrying;2017;7835;5430;2405;9347.0;7157.0;2391.0;-20.7;-13.3;-32.4;83.8;75.9;100.6
51;B Mining and quarrying;2018;7770;5512;2258;8130.0;6098.0;2175.0;-13.0;-14.8;-9.0;95.6;90.4;103.8
52;B Mining and quarrying;2019;5926;4240;1686;6809.0;5355.0;1606.0;-16.3;-12.2;-26.2;87.0;79.2;105.0
53;B Mining and quarrying;2020;3974;2235;1739;5751.0;4126.0;1655.0;-15.5;-22.9;3.1;69.1;54.2;105.1
54;B Mining and quarrying;2021;6686;5434;1252;4963.0;4111.0;1145.0;-13.7;-0.4;-30.8;134.7;132.2;109.3
55;B Mining and quarrying;2022;14828;13167;1661;4677.0;3597.0;1414.0;-5.8;-12.5;23.5;317.0;366.1;117.5
56;06 Extraction of crude petroleum and gas;2015;7270;7209;61;7270.0;7209.0;61.0;;;;100.0;100.0;100.0
57;06 Extraction of crude petroleum and gas;2016;5506;5375;131;8198.0;8067.0;131.0;12.8;11.9;114.8;67.2;66.6;100.0
