ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;GemiddeldeAncienniteit_2;TotaalWerknemers_3;VasteArbeidsrelatie_4;FlexibeleArbeidsrelatie_5;VasteArbeidsrelatie_6;FlexibeleArbeidsrelatie_7;TotaalZelfstandigen_8;MetPersoneel_9;ZonderPersoneel_10;MetPersoneel_11;ZonderPersoneel_12;PersonenMetVoortdurendEenBaan_13;PersonenMetMeerDanEenBaan_14;Deeltijders_15;Voltijders_16;GemiddeldeArbeidsduur_17;PersonenMetUitkering_18
0;Totaal mannen en vrouwen;15 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
1;Totaal mannen en vrouwen;15 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
2;Totaal mannen en vrouwen;15 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
3;Totaal mannen en vrouwen;15 jaar;1920  tot 1925;;;;;;;;;;;;;;;;;;
4;Totaal mannen en vrouwen;15 jaar;1925  tot 1930;;;;;;;;;;;;;;;;;;
5;Totaal mannen en vrouwen;15 jaar;1930  tot 1935;;;;;;;;;;;;;;;;;;
6;Totaal mannen en vrouwen;15 jaar;1935  tot 1940;;;;;;;;;;;;;;;;;;
7;Totaal mannen en vrouwen;15 jaar;1940  tot 1945;;;;;;;;;;;;;;;;;;
8;Totaal mannen en vrouwen;15 jaar;1945  tot 1950;;;;;;;;;;;;;;;;;;
9;Totaal mannen en vrouwen;15 jaar;1950  tot 1955;;;;;;;;;;;;;;;;;;
10;Totaal mannen en vrouwen;15 jaar;1955  tot 1960;9.0;;95.0;;;;;5.0;;;;;;;35.0;65.0;36.7;
11;Totaal mannen en vrouwen;15 jaar;1960  tot 1965;1.0;;;;;;;;;;;;;;;;;
12;Totaal mannen en vrouwen;15 jaar;1965  tot 1970;0.0;;;;;;;;;;;;;;;;;
13;Totaal mannen en vrouwen;15 jaar;1970  tot 1975;3.0;;;;;;;;;;;;;;;;;
14;Totaal mannen en vrouwen;15 jaar;1975  tot 1980;2.0;;;;;;;;;;;;;;;;;
15;Totaal mannen en vrouwen;15 jaar;1980  tot 1985;4.0;;;;;;;;;;;;0.0;0.0;;;;0.0
16;Totaal mannen en vrouwen;15 jaar;1985  tot 1990;4.0;0.3;97.0;22.0;75.0;22.0;78.0;3.0;;;;;0.0;20.0;86.0;14.0;20.5;0.0
17;Totaal mannen en vrouwen;15 jaar;1990  tot 1995;4.0;0.3;95.0;19.0;77.0;19.0;81.0;5.0;;3.0;;;0.0;20.0;90.0;10.0;18.7;0.0
18;Totaal mannen en vrouwen;15 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;
19;Totaal mannen en vrouwen;16 jaar;1905  tot 1910;;;;;;;;;;;;;;;;;;
20;Totaal mannen en vrouwen;16 jaar;1910  tot 1915;;;;;;;;;;;;;;;;;;
21;Totaal mannen en vrouwen;16 jaar;1915  tot 1920;;;;;;;;;;;;;;;;;;
