ID;Bestemmingen;Perioden;Wegingscoefficienten_1;Prijsindexcijfers_2
0;Europa                   per auto;winter  1985;230.0;80.0
1;Europa                   per auto;  december  1984;230.0;80.0
2;Europa                   per auto;  januari   1985;230.0;80.0
3;Europa                   per auto;  februari  1985;230.0;80.0
4;Europa                   per auto;  maart     1985;230.0;80.0
5;Europa                   per auto;zomer   1985;153.0;90.0
6;Europa                   per auto;  april     1985;153.0;90.0
7;Europa                   per auto;  mei       1985;153.0;90.0
8;Europa                   per auto;  juni      1985;153.0;90.0
9;Europa                   per auto;  juli      1985;153.0;90.0
10;Europa                   per auto;  augustus  1985;153.0;90.0
11;Europa                   per auto;  september 1985;153.0;90.0
12;Europa                   per auto;  oktober   1985;153.0;90.0
13;Europa                   per auto;winter  1986;230.0;85.0
14;Europa                   per auto;  december  1985;230.0;92.0
15;Europa                   per auto;  januari   1986;230.0;80.0
16;Europa                   per auto;  februari  1986;230.0;91.0
17;Europa                   per auto;  maart     1986;230.0;79.0
18;Europa                   per auto;zomer   1986;153.0;92.0
19;Europa                   per auto;  april     1986;153.0;66.0
20;Europa                   per auto;  mei       1986;153.0;76.0
21;Europa                   per auto;  juni      1986;153.0;94.0
22;Europa                   per auto;  juli      1986;153.0;140.0
23;Europa                   per auto;  augustus  1986;153.0;121.0
24;Europa                   per auto;  september 1986;153.0;80.0
25;Europa                   per auto;  oktober   1986;153.0;70.0
26;Europa                   per auto;winter  1987;230.0;86.0
27;Europa                   per auto;  december  1986;230.0;96.0
28;Europa                   per auto;  januari   1987;230.0;78.0
29;Europa                   per auto;  februari  1987;230.0;91.0
30;Europa                   per auto;  maart     1987;230.0;80.0
31;Europa                   per auto;zomer   1987;153.0;91.0
32;Europa                   per auto;  april     1987;153.0;73.0
33;Europa                   per auto;  mei       1987;153.0;74.0
34;Europa                   per auto;  juni      1987;153.0;92.0
35;Europa                   per auto;  juli      1987;153.0;128.0
36;Europa                   per auto;  augustus  1987;153.0;115.0
37;Europa                   per auto;  september 1987;153.0;81.0
38;Europa                   per auto;  oktober   1987;153.0;70.0
39;Europa                   per auto;winter  1988;230.0;97.0
40;Europa                   per auto;  december  1987;230.0;109.0
41;Europa                   per auto;  januari   1988;230.0;88.0
42;Europa                   per auto;  februari  1988;230.0;103.0
43;Europa                   per auto;  maart     1988;230.0;88.0
44;Europa                   per auto;zomer   1988;153.0;93.0
45;Europa                   per auto;  april     1988;153.0;73.0
46;Europa                   per auto;  mei       1988;153.0;78.0
47;Europa                   per auto;  juni      1988;153.0;94.0
48;Europa                   per auto;  juli      1988;153.0;131.0
49;Europa                   per auto;  augustus  1988;153.0;123.0
50;Europa                   per auto;  september 1988;153.0;82.0
51;Europa                   per auto;  oktober   1988;153.0;72.0
52;Europa                   per auto;winter  1989;230.0;101.0
53;Europa                   per auto;  december  1988;230.0;114.0
54;Europa                   per auto;  januari   1989;230.0;91.0
55;Europa                   per auto;  februari  1989;230.0;108.0
56;Europa                   per auto;  maart     1989;230.0;93.0
57;Europa                   per auto;zomer   1989;153.0;96.0
58;Europa                   per auto;  april     1989;153.0;78.0
59;Europa                   per auto;  mei       1989;153.0;82.0
60;Europa                   per auto;  juni      1989;153.0;92.0
61;Europa                   per auto;  juli      1989;153.0;128.0
62;Europa                   per auto;  augustus  1989;153.0;127.0
63;Europa                   per auto;  september 1989;153.0;85.0
64;Europa                   per auto;  oktober   1989;153.0;77.0
65;Europa                   per auto;winter  1990;230.0;100.0
66;Europa                   per auto;  december  1989;;
67;Europa                   per auto;  januari   1990;230.0;100.0
68;Europa                   per auto;  februari  1990;230.0;100.0
69;Europa                   per auto;  maart     1990;230.0;100.0
70;Europa                   per auto;zomer   1990;153.0;100.0
71;Europa                   per auto;  april     1990;153.0;100.0
72;Europa                   per auto;  mei       1990;153.0;100.0
73;Europa                   per auto;  juni      1990;153.0;100.0
74;Europa                   per auto;  juli      1990;153.0;100.0
75;Europa                   per auto;  augustus  1990;153.0;100.0
76;Europa                   per auto;  september 1990;153.0;100.0
77;Europa                   per auto;  oktober   1990;153.0;100.0
78;Europa                   per auto;winter  1991;230.0;104.0
79;Europa                   per auto;  december  1990;230.0;115.0
80;Europa                   per auto;  januari   1991;230.0;91.0
81;Europa                   per auto;  februari  1991;230.0;113.0
82;Europa                   per auto;  maart     1991;230.0;99.0
83;Europa                   per auto;zomer   1991;153.0;104.0
84;Europa                   per auto;  april     1991;153.0;84.0
85;Europa                   per auto;  mei       1991;153.0;89.0
86;Europa                   per auto;  juni      1991;153.0;101.0
87;Europa                   per auto;  juli      1991;153.0;142.0
88;Europa                   per auto;  augustus  1991;153.0;134.0
89;Europa                   per auto;  september 1991;153.0;92.0
90;Europa                   per auto;  oktober   1991;153.0;86.0
91;Europa                   per auto;winter  1992;230.0;107.0
92;Europa                   per auto;  december  1991;230.0;117.0
93;Europa                   per auto;  januari   1992;230.0;94.0
94;Europa                   per auto;  februari  1992;230.0;114.0
95;Europa                   per auto;  maart     1992;230.0;102.0
96;Europa                   per auto;zomer   1992;153.0;109.0
97;Europa                   per auto;  april     1992;153.0;90.0
98;Europa                   per auto;  mei       1992;153.0;93.0
99;Europa                   per auto;  juni      1992;153.0;109.0
100;Europa                   per auto;  juli      1992;153.0;147.0
101;Europa                   per auto;  augustus  1992;153.0;140.0
102;Europa                   per auto;  september 1992;153.0;97.0
103;Europa                   per auto;  oktober   1992;153.0;90.0
104;Europa                   per auto;winter  1993;230.0;113.0
105;Europa                   per auto;  december  1992;230.0;122.0
106;Europa                   per auto;  januari   1993;230.0;101.0
107;Europa                   per auto;  februari  1993;230.0;124.0
108;Europa                   per auto;  maart     1993;230.0;104.0
109;Europa                   per auto;zomer   1993;153.0;115.0
110;Europa                   per auto;  april     1993;153.0;98.0
111;Europa                   per auto;  mei       1993;153.0;99.0
112;Europa                   per auto;  juni      1993;153.0;112.0
113;Europa                   per auto;  juli      1993;153.0;151.0
114;Europa                   per auto;  augustus  1993;153.0;150.0
115;Europa                   per auto;  september 1993;153.0;102.0
116;Europa                   per auto;  oktober   1993;153.0;96.0
117;Europa                   per auto;winter  1994;230.0;119.0
118;Europa                   per auto;  december  1993;230.0;128.0
119;Europa                   per auto;  januari   1994;230.0;107.0
120;Europa                   per auto;  februari  1994;230.0;129.0
121;Europa                   per auto;  maart     1994;230.0;112.0
