ID;TechnologyArea;Periods;EnterprisesApplyingForAnEPOPatent_1;PatentApplicationsAtTheEPO_2;EnterprisesApplyingForANLOCPatent_3;PatentApplicationsAtTheNLOC_4
0;1;2000;1178.0;4003.0;1261.0;2031.0
1;1;2001;1191.0;4442.0;1156.0;1783.0
2;1;2002;1050.0;4814.0;1145.0;1791.0
3;1;2003;1102.0;5069.0;1270.0;1888.0
4;1;2004;1151.0;4771.0;1232.0;1802.0
5;1;2005;1154.0;4820.0;1262.0;1837.0
6;1;2006;1317.0;5070.0;1438.0;1764.0
7;1;2007;1377.0;5123.0;1474.0;1649.0
8;1;2008;1281.0;4597.0;1366.0;1887.0
9;1;2009;1430.0;4544.0;2133.0;1904.0
10;1;2010;1270.0;3460.0;1490.0;1849.0
11;2;2000;270.0;553.0;314.0;371.0
12;2;2001;274.0;552.0;296.0;373.0
13;2;2002;255.0;569.0;323.0;385.0
14;2;2003;244.0;572.0;329.0;383.0
15;2;2004;256.0;548.0;318.0;394.0
16;2;2005;250.0;643.0;326.0;391.0
17;2;2006;329.0;917.0;346.0;391.0
18;2;2007;323.0;1008.0;353.0;362.0
19;2;2008;310.0;851.0;354.0;379.0
20;2;2009;335.0;944.0;483.0;389.0
21;2;2010;262.0;711.0;361.0;363.0
22;3;2000;69.0;77.0;111.0;132.0
23;3;2001;71.0;69.0;92.0;119.0
24;3;2002;54.0;42.0;107.0;133.0
25;3;2003;40.0;38.0;94.0;121.0
26;3;2004;48.0;51.0;104.0;130.0
27;3;2005;55.0;53.0;100.0;118.0
28;3;2006;75.0;89.0;122.0;155.0
29;3;2007;87.0;111.0;108.0;126.0
30;3;2008;73.0;106.0;113.0;144.0
31;3;2009;70.0;107.0;134.0;130.0
32;3;2010;68.0;94.0;119.0;134.0
33;4;2000;39.0;104.0;37.0;47.0
34;4;2001;52.0;120.0;27.0;51.0
35;4;2002;40.0;118.0;36.0;49.0
36;4;2003;44.0;104.0;36.0;56.0
37;4;2004;45.0;103.0;23.0;49.0
38;4;2005;42.0;150.0;32.0;45.0
39;4;2006;41.0;185.0;30.0;40.0
40;4;2007;43.0;175.0;29.0;35.0
41;4;2008;42.0;168.0;30.0;37.0
42;4;2009;46.0;138.0;69.0;56.0
43;4;2010;38.0;113.0;33.0;39.0
44;5;2000;43.0;72.0;84.0;92.0
45;5;2001;35.0;63.0;84.0;95.0
46;5;2002;37.0;60.0;97.0;109.0
47;5;2003;41.0;84.0;108.0;105.0
48;5;2004;51.0;77.0;100.0;108.0
49;5;2005;45.0;68.0;93.0;104.0
50;5;2006;63.0;80.0;99.0;106.0
51;5;2007;55.0;100.0;107.0;100.0
52;5;2008;59.0;104.0;104.0;102.0
53;5;2009;74.0;122.0;144.0;106.0
54;5;2010;52.0;88.0;98.0;84.0
55;6;2000;119.0;300.0;82.0;100.0
56;6;2001;116.0;301.0;93.0;108.0
57;6;2002;124.0;349.0;83.0;94.0
58;6;2003;119.0;346.0;91.0;101.0
59;6;2004;112.0;317.0;91.0;107.0
60;6;2005;108.0;373.0;101.0;124.0
61;6;2006;150.0;563.0;95.0;90.0
62;6;2007;138.0;622.0;109.0;101.0
63;6;2008;136.0;473.0;107.0;95.0
64;6;2009;145.0;577.0;136.0;98.0
65;6;2010;104.0;416.0;111.0;106.0
66;7;2000;288.0;438.0;352.0;487.0
67;7;2001;305.0;462.0;323.0;397.0
68;7;2002;256.0;369.0;343.0;435.0
69;7;2003;287.0;448.0;385.0;485.0
70;7;2004;318.0;474.0;362.0;465.0
71;7;2005;333.0;533.0;365.0;434.0
72;7;2006;339.0;537.0;405.0;415.0
73;7;2007;340.0;571.0;379.0;368.0
74;7;2008;317.0;494.0;415.0;398.0
75;7;2009;353.0;516.0;557.0;397.0
76;7;2010;325.0;393.0;402.0;391.0
77;8;2000;68.0;84.0;59.0;70.0
78;8;2001;68.0;122.0;38.0;49.0
79;8;2002;60.0;98.0;37.0;55.0
80;8;2003;66.0;106.0;50.0;59.0
81;8;2004;62.0;98.0;47.0;46.0
82;8;2005;57.0;102.0;42.0;51.0
83;8;2006;78.0;147.0;51.0;47.0
84;8;2007;72.0;167.0;53.0;42.0
85;8;2008;81.0;141.0;65.0;50.0
86;8;2009;83.0;144.0;91.0;64.0
87;8;2010;75.0;113.0;67.0;55.0
88;9;2000;55.0;81.0;65.0;96.0
89;9;2001;69.0;106.0;46.0;65.0
90;9;2002;54.0;75.0;74.0;95.0
91;9;2003;65.0;105.0;65.0;85.0
92;9;2004;68.0;101.0;61.0;76.0
93;9;2005;70.0;119.0;67.0;73.0
94;9;2006;84.0;112.0;76.0;66.0
95;9;2007;72.0;100.0;69.0;60.0
96;9;2008;76.0;95.0;67.0;65.0
97;9;2009;75.0;93.0;108.0;69.0
98;9;2010;66.0;66.0;73.0;67.0
99;B3 Printing;2000;21.0;55.0;20.0;27.0
100;B3 Printing;2001;24.0;29.0;12.0;14.0
101;B3 Printing;2002;13.0;16.0;24.0;34.0
102;B3 Printing;2003;25.0;48.0;29.0;36.0
103;B3 Printing;2004;26.0;45.0;27.0;42.0
