ID;Perioden;TotaalPersonenInHuishoudens_1;ThuiswonendKind_2;Alleenstaand_3;Samenwonend_4;OuderInEenouderhuishouden_5;OverigLidHuishouden_6;PersoonInInstitutioneelHuishouden_7;TotaalParticuliereHuishoudens_8;Eenpersoonshuishoudens_9;Paren_10;Eenouderhuishoudens_11;OverigeHuishoudens_12;TotaalParticuliereHuishoudens_13;Eenpersoonshuishoudens_14;TotaalMeerpersoonshuishoudens_15;k_2Personen_16;k_3Personen_17;k_4Personen_18;k_5OfMeerPersonen_19;GemiddeldeHuishoudensgrootte_20;TotaalParen_21;GeenKinderen_22;k_1Kind_23;k_2Kinderen_24;k_3OfMeerKinderen_25;TotaalEenouderhuishoudens_26;k_1Kind_27;k_2Kinderen_28;k_3OfMeerKinderen_29;TotaalHuishoudensMetKinderen_30;k_0Tot3Jaar_31;k_3Tot6Jaar_32;k_6Tot12Jaar_33;k_12Tot18Jaar_34;k_18JaarOfOuder_35
0;2011;16654440;4580946;2705474;8386606;495176;273063;213175;7447339;2705474;4193302;495176;53387;7447340;2705474;4741866;2443842;914046;967973;416005;2.21;4193302;2148246;745785;925779;373492;495175;298635;149968;46572;2540232;486372;321807;582891;537339;611823
1;2012;16733111;4576085;2743215;8420888;502835;273219;216869;7509844;2743215;4210442;502835;53352;7509842;2743215;4766627;2470870;919118;963780;412859;2.2;4210442;2170990;748152;921047;370253;502841;303202;152615;47024;2542294;482037;322834;572654;544933;619836
2;2013;16808558;4568082;2781303;8454417;510222;274694;219840;7572331;2781303;4227209;510222;53597;7572330;2781303;4791027;2496553;925228;959536;409710;2.19;4227209;2192377;751691;916297;366844;510223;307745;155083;47395;2545055;480599;324910;560471;553946;625129
3;2014;16877777;4557721;2818443;8486416;516542;276509;222146;7632063;2818443;4243206;516542;53872;7632062;2818443;4813619;2521793;930230;955192;406404;2.18;4243206;2214083;754426;911486;363211;516541;311579;157240;47722;2545662;480688;321548;550980;565006;627440
4;2015;16941212;4545677;2854643;8516571;522010;278401;223910;7689069;2854643;4258283;522010;54133;7689070;2854643;4834427;2546055;934888;950675;402809;2.17;4258283;2235133;757223;906660;359267;522012;315111;159020;47881;2545161;481819;316991;542589;573465;630297
5;2016;17001316;4533312;2890581;8545019;526758;280427;225219;7744247;2890581;4272507;526758;54401;7744245;2890581;4853664;2568547;938697;946890;399530;2.17;4272507;2255042;759226;902639;355600;526757;318022;160736;47999;2544225;483471;314933;535616;575179;635026
6;2017;17059329;4520685;2927197;8571790;530769;282695;226193;7798587;2927197;4285897;530769;54724;7798590;2927197;4871393;2589585;941946;943564;396298;2.16;4285897;2273940;760926;899107;351924;530769;320420;162234;48115;2542725;485553;314410;530641;572455;639666
7;2018;17116421;4508394;2964774;8596811;534168;285237;227037;7852443;2964774;4298409;534168;55092;7852444;2964774;4887670;2608955;944440;940863;393412;2.15;4298409;2291519;762042;896286;348562;534167;322483;163523;48161;2541054;488268;314786;527500;562172;648328
8;2019;17172914;4496472;3003315;8620133;537116;288017;227861;7906011;3003315;4310068;537116;55512;7906008;3003315;4902693;2626517;946759;938681;390736;2.14;4310068;2307616;763102;893980;345370;537118;324190;164699;48229;2539569;491417;315427;527622;549614;655489
9;2020;17228807;4485309;3042073;8641691;540039;290879;228816;7958893;3042073;4320848;540039;55933;7958886;3042073;4916813;2641376;950736;936769;387932;2.14;4320848;2320598;766192;892021;342037;540038;326299;165555;48184;2540288;495148;316679;524345;540729;663387
10;2021;17283771;4475134;3080993;8661232;542514;293831;230067;8010484;3080993;4330623;542514;56354;8010484;3080993;4929491;2654913;953737;935377;385464;2.13;4330623;2332524;768446;890627;339026;542514;328158;166248;48108;2540610;498563;318389;520312;533266;670080
11;2022;17337577;4465841;3120063;8678644;544268;296908;231853;8060417;3120063;4339321;544268;56765;8060417;3120063;4940354;2667301;955114;934545;383394;2.12;4339321;2343905;769211;889836;336369;544270;329439;166818;48013;2539688;501547;320425;518784;526690;672242
12;2023;17389848;4457960;3158560;8693541;545547;299892;234348;8108021;3158560;4346773;545547;57141;8108021;3158560;4949461;2678434;955068;934250;381709;2.12;4346773;2354323;768696;889643;334111;545547;330425;167239;47883;2537997;504079;322642;518949;521949;670378
13;2024;17440237;4451838;3196092;8705423;546469;302786;237629;8152754;3196092;4352716;546469;57477;8152754;3196092;4956662;2687624;953784;934702;380552;2.11;4352716;2363293;766888;890195;332340;546470;330914;167748;47808;2535891;506164;324744;520247;518884;665852
14;2025;17488344;4447540;3232711;8713898;547020;305557;241618;8194439;3232711;4356951;547020;57757;8194437;3232711;4961726;2694791;952270;935211;379454;2.1;4356951;2370409;765093;890829;330620;547023;331247;168052;47724;2533564;507746;326711;522029;518881;658197
15;2026;17533959;4445226;3268306;8718606;547336;308256;246229;8232952;3268306;4359302;547336;58008;8232950;3268306;4964644;2699473;949629;936660;378882;2.1;4359302;2375368;762103;892429;329402;547340;331259;168423;47658;2531274;508993;328580;524464;514665;654572
16;2027;17576849;4444566;3303057;8719329;547555;310937;251405;8268524;3303057;4359665;547555;58247;8268528;3303057;4965471;2701392;946455;938945;378679;2.1;4359665;2377678;758544;894905;328538;547555;331130;168853;47572;2529543;510078;330370;527566;509622;651907
17;2028;17616845;4445532;3336903;8715968;547691;313651;257100;8301069;3336903;4357983;547691;58492;8301068;3336903;4964165;2700648;943040;941731;378746;2.09;4357983;2377346;754808;897896;327933;547692;330964;169240;47488;2528333;510849;331831;531031;507490;647132
18;2029;17653878;4448182;3369540;8708686;547849;316361;263260;8330455;3369540;4354343;547849;58723;8330455;3369540;4960915;2697081;939401;945240;379193;2.09;4354343;2374370;750702;901603;327668;547850;330599;169800;47451;2527826;511363;332925;534677;507291;641570
19;2030;17687784;4452460;3400742;8697731;548040;319035;269776;8356581;3400742;4348861;548040;58938;8356577;3400742;4955835;2691115;936043;948858;379819;2.08;4348861;2368983;746907;905402;327569;548040;330243;170354;47443;2527917;511547;333682;538137;508353;636198
20;2031;17718520;4458111;3430188;8683527;548380;321664;276650;8379479;3430188;4341765;548380;59146;8379479;3430188;4949291;2682968;932779;952786;380758;2.08;4341765;2361298;743193;909496;327778;548381;330006;170914;47461;2528846;511397;334217;541341;510043;631848
21;2032;17745948;4464681;3458155;8666467;548536;324313;283796;8399283;3458155;4333235;548536;59357;8399285;3458155;4941130;2673455;929378;956562;381735;2.08;4333235;2352219;739494;913479;328043;548538;329798;171322;47418;2529554;510666;334501;543987;512201;628199
22;2033;17769818;4471663;3484428;8646955;548791;326895;291086;8416269;3484428;4323476;548791;59574;8416267;3484428;4931839;2662569;926333;960194;382743;2.08;4323476;2341664;736152;917290;328370;548791;329686;171709;47396;2530604;509489;334652;546242;514905;625316
23;2034;17790209;4478570;3509074;8625480;549132;329466;298487;8430741;3509074;4312734;549132;59801;8430742;3509074;4921668;2650567;923291;963901;383909;2.07;4312734;2330070;732689;921129;328846;549132;329481;172218;47433;2531798;507871;334645;548028;518070;623184
