ID;Perioden;AantalBedrijven_1;AantalWerkzamePersonen_2;ArbeidsjarenWerkzamePersonen_3;AantalWerknemersOpEigenLoonlijst_4;ArbeidsjarenWerknemersOpEigenLoon_5;AantalOverigWerkzamePersonen_6;ArbeidsjarenOverigWerkzamePersonen_7;AantalUitzendkrachtenGedetacheerd_8;AantalOverigWerkzamePersonenNiet_9
0;2004;240;11080;7640;10560;7330;520;310;480;40
1;2005;225;11640;8070;11190;7740;450;320;430;20
2;2006;184;11461;8017;10887;7728;574;289;543;32
3;2007;182;11547;8165;10976;7878;571;287;540;32
4;2008;171;11740;8223;11082;7865;658;358;622;37
