ID;CaribbeanNetherlands;Periods;TotalHouseholdsAndCompanies_1;Total_2;Prepaid_3;Postpaid_4;Companies_5;Total_6;Fossil_7;Renewable_8;OilTransit_9;TotalHouseholdsAndCompanies_10;Households_11;Companies_12;Production_13
0;Caribbean Netherlands;1993;;;;;;52.9;;;;;;;
1;Caribbean Netherlands;1994;;;;;;59.9;;;;;;;
2;Caribbean Netherlands;1995;;;;;;62.2;;;;;;;
3;Caribbean Netherlands;1996;;;;;;78.7;;;;;;;
4;Caribbean Netherlands;1997;;;;;;83.0;;;;;;;
5;Caribbean Netherlands;1998;;;;;;90.3;;;;;;;
6;Caribbean Netherlands;1999;;;;;;90.0;;;;5660.0;4904.0;756.0;
7;Caribbean Netherlands;2000;;;;;;86.5;;;;5693.0;4930.0;763.0;
8;Caribbean Netherlands;2001;;;;;;87.6;;;;5864.0;5094.0;770.0;
9;Caribbean Netherlands;2002;;;;;;;;;;5897.0;5111.0;786.0;
10;Caribbean Netherlands;2003;;;;;;90.8;;;;6054.0;5258.0;796.0;
11;Caribbean Netherlands;2004;;;;;;94.8;;;;6202.0;5351.0;851.0;
12;Caribbean Netherlands;2005;;;;;;95.2;;;;6364.0;5478.0;886.0;
13;Caribbean Netherlands;2006;;;;;;91.4;;;;6480.0;5561.0;919.0;
14;Caribbean Netherlands;2007;;;;;;93.6;;;;6899.0;5890.0;1009.0;
15;Caribbean Netherlands;2008;;;;;;91.0;;;;7199.0;6126.0;1073.0;
16;Caribbean Netherlands;2009;;;;;;95.1;;;;7605.0;6453.0;1152.0;
17;Caribbean Netherlands;2010;;;;;;103.9;;;;7855.0;6756.0;1099.0;
18;Caribbean Netherlands;2011;;;;;;106.4;;;;8068.0;6953.0;1115.0;
19;Caribbean Netherlands;2012;;;;;;113.7;81.3;32.5;;8281.0;7125.0;1156.0;
20;Caribbean Netherlands;2013;12113.0;10004.0;;;2109.0;116.3;79.6;36.7;;8502.0;7353.0;1149.0;1359.0
21;Caribbean Netherlands;2014;;;;;;120.0;78.8;41.2;;;;;1561.0
22;Caribbean Netherlands;2015;;;;;;126.7;86.6;40.1;;;;;1643.0
23;Caribbean Netherlands;2016;;;;;;132.1;94.5;37.6;;9916.0;;;1659.0
24;Caribbean Netherlands;2017;;;;;2455.0;136.6;101.3;35.3;;10283.0;;;1702.0
25;Caribbean Netherlands;2018;13729.0;11203.0;;;2526.0;136.4;91.4;45.1;;10640.0;;;1826.0
26;Caribbean Netherlands;2019;14187.0;11610.0;;;2577.0;144.9;103.7;41.2;;11226.0;;;2038.0
27;Caribbean Netherlands;2020;14842.0;12294.0;;;2548.0;147.7;112.1;35.7;;11595.0;9852.0;1743.0;2083.0
28;Caribbean Netherlands;2021;15388.0;12779.0;;;2609.0;159.2;118.5;40.7;;12394.0;10387.0;2007.0;2295.0
29;Caribbean Netherlands;2022;16146.0;13378.0;;;2768.0;166.5;125.5;41.0;;12977.0;10834.0;2143.0;2489.0
30;Caribbean Netherlands;2023;;;;;;183.2;140.0;43.2;;13246.0;11182.0;2064.0;2760.0
31;Bonaire;1993;;;;;;46.7;;;58.8;;;;755.0
32;Bonaire;1994;;;;;;50.8;;;116.3;;;;822.0
33;Bonaire;1995;;;;;;52.1;;;128.6;;;;888.0
34;Bonaire;1996;;;;;;67.9;;;;;;;933.0
35;Bonaire;1997;;;;;;71.4;;;179.9;;;;989.0
36;Bonaire;1998;;;;;;77.6;;;114.0;;;;1015.0
37;Bonaire;1999;5769.0;4653.0;;4653.0;1116.0;76.4;;;79.1;5660.0;4904.0;756.0;906.0
38;Bonaire;2000;5838.0;4736.0;;4736.0;1102.0;72.6;;;102.2;5693.0;4930.0;763.0;895.0
39;Bonaire;2001;6032.0;4908.0;;4908.0;1124.0;72.7;;;112.6;5864.0;5094.0;770.0;906.0
40;Bonaire;2002;6102.0;4956.0;;4956.0;1146.0;67.8;;;33.9;5897.0;5111.0;786.0;946.0
41;Bonaire;2003;6315.0;5137.0;;5137.0;1178.0;74.6;;;79.9;6054.0;5258.0;796.0;978.0
42;Bonaire;2004;6467.0;5234.0;;5234.0;1233.0;78.0;;;93.1;6202.0;5351.0;851.0;985.0
43;Bonaire;2005;6610.0;5337.0;;5337.0;1273.0;77.4;;;100.0;6364.0;5478.0;886.0;1023.0
44;Bonaire;2006;6852.0;5528.0;;5528.0;1324.0;73.2;;;126.1;6480.0;5561.0;919.0;1032.0
