ID;Inkomensbegrippen;Kenmerken;Perioden;ParticuliereHuishoudens_1;PersonenPerHuishouden_2;MediaanInkomen_3;GemiddeldInkomen_4;Theilcoefficient_5;Ginicoefficient_6;PolarisatieIndex_7;RelatieveInterkwartielafstand_8;Ratio8020_9;k_1eDeciel_10;k_2eDeciel_11;k_3eDeciel_12;k_4eDeciel_13;k_5eDeciel_14;k_6eDeciel_15;k_7eDeciel_16;k_8eDeciel_17;k_9eDeciel_18;k_10Deciel_19
0;17;1;2000;6791;2.3;22.0;25.3;0.248;0.338;0.277;0.788;6.003;2.1;4.6;5.7;6.7;8.0;9.4;10.8;12.5;15.1;25.1
1;17;1;2001;6862;2.3;23.8;27.5;0.202;0.33;0.283;0.801;5.712;2.4;4.6;5.7;6.8;8.0;9.4;10.9;12.6;15.2;24.5
2;17;1;2002;6919;2.3;24.7;28.3;0.206;0.331;0.28;0.795;5.878;2.1;4.6;5.7;6.8;8.1;9.4;10.9;12.7;15.3;24.3
3;17;1;2003;6948;2.3;24.8;28.3;0.202;0.329;0.279;0.793;5.924;2.0;4.7;5.8;6.9;8.1;9.5;11.0;12.8;15.4;24.0
4;17;1;2004;6990;2.3;25.2;29.0;0.207;0.334;0.282;0.797;5.992;2.0;4.6;5.7;6.8;8.0;9.4;10.9;12.7;15.3;24.5
5;17;1;2005;7063;2.3;25.4;29.4;0.208;0.334;0.283;0.801;5.865;2.2;4.6;5.7;6.7;8.0;9.3;10.8;12.6;15.3;24.7
6;17;1;2006;7109;2.3;26.4;30.6;0.202;0.33;0.282;0.797;5.696;2.4;4.6;5.7;6.8;8.0;9.3;10.8;12.6;15.2;24.6
7;17;1;2007;7166;2.2;27.6;32.6;0.227;0.346;0.288;0.813;6.114;2.3;4.5;5.5;6.6;7.8;9.1;10.6;12.4;15.1;26.1
8;17;1;2008;7242;2.2;28.4;33.1;0.209;0.338;0.289;0.819;6.005;2.2;4.5;5.6;6.7;7.9;9.3;10.8;12.6;15.4;25.0
9;17;1;2009;7303;2.2;28.6;33.3;0.208;0.338;0.291;0.83;6.092;2.0;4.6;5.6;6.7;7.9;9.3;10.9;12.8;15.5;24.7
10;17;1;2010;7337;2.2;28.3;33.2;0.205;0.336;0.292;0.831;5.934;2.2;4.6;5.6;6.7;7.9;9.3;10.8;12.7;15.4;24.8
11;17;1;2011;7416;2.2;28.5;33.3;0.207;0.338;0.294;0.836;6.021;2.1;4.6;5.6;6.7;7.9;9.3;10.8;12.8;15.5;24.8
12;17;1;2012;7470;2.2;28.4;33.3;0.207;0.338;0.294;0.84;6.062;2.1;4.5;5.6;6.7;7.9;9.3;10.9;12.8;15.5;24.8
13;17;1;2013;7488;2.2;28.5;33.6;0.21;0.34;0.296;0.849;6.122;2.1;4.5;5.6;6.7;7.8;9.2;10.8;12.8;15.6;24.8
14;17;1;2014;7557;2.2;28.9;35.0;0.228;0.35;0.303;0.867;6.294;2.1;4.5;5.5;6.5;7.6;9.0;10.7;12.6;15.4;26.1
15;17;22;2000;2249;1.0;13.0;14.6;0.165;0.279;0.201;0.555;4.361;2.4;6.0;7.0;7.7;8.5;9.4;10.5;11.9;14.3;22.4
16;17;22;2001;2288;1.0;14.0;16.0;0.175;0.287;0.208;0.571;4.439;2.6;5.9;6.8;7.6;8.3;9.2;10.4;11.8;14.0;23.4
17;17;22;2002;2325;1.0;14.7;16.6;0.183;0.291;0.205;0.561;4.696;2.1;5.8;6.9;7.6;8.4;9.3;10.4;11.9;14.2;23.3
18;17;22;2003;2342;1.0;14.8;16.6;0.175;0.288;0.204;0.557;4.733;2.1;5.7;6.9;7.7;8.5;9.4;10.5;11.9;14.2;22.9
19;17;22;2004;2368;1.0;15.1;16.9;0.175;0.291;0.203;0.557;4.803;2.1;5.7;6.9;7.7;8.5;9.4;10.5;11.9;14.2;23.1
20;17;22;2005;2436;1.0;15.2;17.2;0.196;0.295;0.202;0.548;4.83;2.2;5.7;6.9;7.7;8.4;9.3;10.3;11.7;14.0;23.8
21;17;22;2006;2473;1.0;15.9;17.9;0.191;0.291;0.2;0.542;4.703;2.3;5.7;6.9;7.7;8.5;9.3;10.3;11.7;13.9;23.7
22;17;22;2007;2511;1.0;16.5;18.6;0.187;0.292;0.2;0.549;4.717;2.3;5.7;6.9;7.7;8.4;9.3;10.3;11.8;14.0;23.7
23;17;22;2008;2561;1.0;17.0;19.0;0.186;0.296;0.202;0.556;4.975;2.0;5.6;6.9;7.7;8.5;9.4;10.4;11.9;14.1;23.6
24;17;22;2009;2599;1.0;17.3;19.1;0.177;0.291;0.2;0.545;4.987;1.8;5.7;7.0;7.9;8.7;9.5;10.5;12.0;14.3;22.8
25;17;22;2010;2617;1.0;17.2;19.1;0.172;0.288;0.197;0.536;4.808;2.1;5.6;7.0;7.8;8.6;9.4;10.4;11.9;14.1;22.9
26;17;22;2011;2679;1.0;17.3;18.9;0.162;0.281;0.194;0.527;4.716;2.0;5.7;7.1;8.0;8.8;9.6;10.6;12.0;14.2;22.2
27;17;22;2012;2717;1.0;17.5;19.0;0.17;0.287;0.197;0.536;5.018;1.7;5.6;7.1;8.0;8.8;9.6;10.7;12.0;14.2;22.4
28;17;22;2013;2716;1.0;17.6;19.2;0.17;0.289;0.199;0.55;5.068;1.7;5.5;7.0;8.0;8.8;9.6;10.6;12.1;14.3;22.4
29;17;22;2014;2774;1.0;17.9;19.9;0.189;0.297;0.199;0.548;5.177;1.8;5.5;6.9;7.8;8.6;9.4;10.5;11.9;14.1;23.5
30;17;23;2000;1008;1.0;13.9;15.4;0.205;0.308;0.218;0.609;5.551;1.3;5.5;6.6;7.6;8.6;9.6;10.7;12.2;14.4;23.4
31;17;23;2001;1028;1.0;15.3;17.2;0.206;0.31;0.219;0.603;5.324;1.9;5.3;6.5;7.5;8.4;9.4;10.5;11.9;14.2;24.4
32;17;23;2002;1050;1.0;15.8;17.6;0.215;0.314;0.219;0.614;5.779;1.3;5.3;6.5;7.6;8.6;9.5;10.7;12.1;14.4;24.0
33;17;23;2003;1063;1.0;16.0;17.4;0.205;0.312;0.22;0.604;5.886;1.3;5.2;6.6;7.7;8.6;9.7;10.8;12.2;14.6;23.5
34;17;23;2004;1072;1.0;16.1;17.6;0.206;0.317;0.224;0.619;6.073;1.2;5.1;6.5;7.6;8.6;9.6;10.7;12.2;14.5;23.9
35;17;23;2005;1106;1.0;16.1;17.9;0.208;0.317;0.222;0.614;5.901;1.4;5.1;6.5;7.6;8.5;9.5;10.6;12.0;14.5;24.2
36;17;23;2006;1126;1.0;16.9;18.9;0.21;0.314;0.221;0.605;5.596;1.8;5.1;6.5;7.5;8.4;9.4;10.5;11.9;14.3;24.5
37;17;23;2007;1149;1.0;17.4;19.7;0.224;0.319;0.22;0.612;5.758;1.6;5.2;6.5;7.5;8.4;9.4;10.4;11.9;14.2;25.0
38;17;23;2008;1183;1.0;17.9;20.2;0.222;0.32;0.222;0.626;5.913;1.5;5.1;6.5;7.5;8.4;9.4;10.5;12.0;14.3;24.8
39;17;23;2009;1203;1.0;18.2;20.1;0.212;0.317;0.222;0.614;6.009;1.3;5.1;6.5;7.6;8.6;9.5;10.7;12.2;14.5;23.9
40;17;23;2010;1217;1.0;18.0;20.0;0.199;0.311;0.22;0.612;5.609;1.7;5.2;6.6;7.6;8.5;9.4;10.6;12.1;14.4;24.0
41;17;23;2011;1254;1.0;18.0;19.8;0.2;0.311;0.219;0.605;5.789;1.3;5.3;6.6;7.7;8.6;9.6;10.7;12.2;14.5;23.5
42;17;23;2012;1279;1.0;18.1;19.8;0.202;0.315;0.223;0.604;6.163;1.1;5.1;6.6;7.7;8.7;9.7;10.8;12.2;14.5;23.6
43;17;23;2013;1284;1.0;18.3;20.1;0.209;0.317;0.226;0.628;6.158;1.2;5.0;6.5;7.6;8.6;9.6;10.8;12.3;14.5;23.8
44;17;23;2014;1311;1.0;18.6;21.0;0.235;0.329;0.228;0.625;6.342;1.3;4.9;6.4;7.4;8.4;9.4;10.5;12.0;14.2;25.4
45;17;24;2000;851;1.0;14.0;15.2;0.223;0.32;0.222;0.623;6.325;0.8;5.2;6.5;7.7;8.7;9.8;10.9;12.3;14.4;23.8
46;17;24;2001;868;1.0;15.5;17.1;0.219;0.32;0.222;0.62;5.906;1.6;5.0;6.3;7.5;8.6;9.6;10.6;12.0;14.3;24.6
47;17;24;2002;886;1.0;16.0;17.4;0.23;0.325;0.224;0.635;6.553;0.9;5.0;6.4;7.6;8.7;9.7;10.8;12.2;14.5;24.2
48;17;24;2003;896;1.0;16.0;17.0;0.213;0.32;0.227;0.634;6.584;0.9;4.9;6.4;7.7;8.8;9.9;11.0;12.4;14.7;23.3
