ID;KenmerkenVanPersonen;Perioden;Koopkrachtverandering_1;AandeelInDeBevolking_2;k_1977100_3;k_1980100_4;k_1985100_5;k_1990100_6;k_1995100_7;Sinds1977_8;Sinds1980_9;Sinds1985_10;Sinds1990_11;Sinds1995_12;Sinds1977_13;Sinds1980_14;Sinds1985_15;Sinds1990_16;Sinds1995_17
918;606;1996;0.8;8;99.9;98.0;111.2;101.3;100.8;-0.1;-2.0;11.2;1.3;0.8;0.0;-0.1;1.0;0.2;0.8
919;606;1997;1.1;8;101.0;99.1;112.4;102.4;101.8;1.0;-0.9;12.4;2.4;1.8;0.0;-0.1;1.0;0.3;0.9
920;606;1998;1.0;8;102.0;100.0;113.5;103.4;102.9;2.0;0.0;13.5;3.4;2.9;0.1;0.0;1.0;0.4;0.9
921;606;1999;0.4;8;102.4;100.5;114.0;103.8;103.3;2.4;0.5;14.0;3.8;3.3;0.1;0.0;0.9;0.4;0.8
922;606;2000;0.9;8;103.3;101.4;115.1;104.8;104.2;3.3;1.4;15.1;4.8;4.2;0.1;0.1;0.9;0.5;0.8
923;606;2001;4.5;8;107.9;105.9;120.2;109.5;108.9;7.9;5.9;20.2;9.5;8.9;0.3;0.3;1.2;0.8;1.4
924;606;2002;0.7;8;108.6;106.6;121.0;110.2;109.6;8.6;6.6;21.0;10.2;9.6;0.3;0.3;1.1;0.8;1.3
925;607;1978;2.9;30;102.9;99.7;111.9;101.9;100.4;2.9;;;;;2.9;;;;
926;607;1979;1.3;30;104.2;101.0;113.4;103.2;101.7;4.2;;;;;2.1;;;;
927;607;1980;-1.0;30;103.2;100.0;112.2;102.1;100.7;3.2;;;;;1.1;;;;
928;607;1981;-3.4;30;99.7;96.7;108.4;98.7;97.3;-0.3;-3.3;;;;-0.1;-3.4;;;
929;607;1982;-2.2;31;97.5;94.5;106.1;96.5;95.2;-2.5;-5.5;;;;-0.5;-2.8;;;
930;607;1983;-3.1;31;94.6;91.6;102.8;93.6;92.3;-5.4;-8.4;;;;-0.9;-2.9;;;
931;607;1984;-2.7;31;92.0;89.2;100.1;91.1;89.8;-8.0;-10.8;;;;-1.2;-2.8;;;
932;607;1985;-0.1;34;92.0;89.1;100.0;91.0;89.8;-8.0;-10.9;;;;-1.0;-2.3;;;
933;607;1986;2.5;35;94.3;91.4;102.5;93.3;92.0;-5.7;-8.6;2.5;;;-0.7;-1.5;2.5;;
934;607;1987;1.9;36;96.1;93.1;104.4;95.1;93.7;-3.9;-6.9;4.4;;;-0.4;-1.0;2.2;;
935;607;1988;0.6;36;96.6;93.6;105.1;95.6;94.3;-3.4;-6.4;5.1;;;-0.3;-0.8;1.7;;
936;607;1989;1.3;37;97.9;94.8;106.4;96.9;95.5;-2.1;-5.2;6.4;;;-0.2;-0.6;1.6;;
937;607;1990;3.2;39;101.0;97.9;109.9;100.0;98.6;1.0;-2.1;9.9;;;0.1;-0.2;1.9;;
938;607;1991;0.0;38;101.0;97.9;109.8;100.0;98.6;1.0;-2.1;9.8;0.0;;0.1;-0.2;1.6;0.0;
939;607;1992;-0.1;38;100.9;97.8;109.7;99.9;98.5;0.9;-2.2;9.7;-0.1;;0.1;-0.2;1.3;-0.1;
940;607;1993;0.4;38;101.3;98.2;110.2;100.3;98.9;1.3;-1.8;10.2;0.3;;0.1;-0.1;1.2;0.1;
941;607;1994;-0.3;38;101.0;97.9;109.9;100.0;98.6;1.0;-2.1;9.9;0.0;;0.1;-0.2;1.1;0.0;
942;607;1995;1.4;38;102.5;99.3;111.4;101.4;100.0;2.5;-0.7;11.4;1.4;;0.1;0.0;1.1;0.3;
943;607;1996;1.0;38;103.5;100.3;112.5;102.4;101.0;3.5;0.3;12.5;2.4;1.0;0.2;0.0;1.1;0.4;1.0
944;607;1997;1.0;38;104.5;101.3;113.6;103.4;102.0;4.5;1.3;13.6;3.4;2.0;0.2;0.1;1.1;0.5;1.0
945;607;1998;1.6;38;106.1;102.8;115.4;105.0;103.6;6.1;2.8;15.4;5.0;3.6;0.3;0.2;1.1;0.6;1.2
946;607;1999;0.5;38;106.7;103.4;116.0;105.6;104.1;6.7;3.4;16.0;5.6;4.1;0.3;0.2;1.1;0.6;1.0
947;607;2000;0.8;38;107.5;104.2;116.9;106.4;104.9;7.5;4.2;16.9;6.4;4.9;0.3;0.2;1.0;0.6;1.0
948;607;2001;4.2;38;112.0;108.6;121.8;110.9;109.3;12.0;8.6;21.8;10.9;9.3;0.5;0.4;1.2;0.9;1.5
949;607;2002;0.5;38;112.6;109.1;122.4;111.4;109.8;12.6;9.1;22.4;11.4;9.8;0.5;0.4;1.2;0.9;1.3
950;608;1978;3.0;19;103.0;99.5;110.6;100.7;99.4;3.0;;;;;3.0;;;;
951;608;1979;1.4;19;104.5;100.9;112.2;102.2;100.8;4.5;;;;;2.2;;;;
952;608;1980;-0.9;19;103.5;100.0;111.2;101.2;99.9;3.5;;;;;1.2;;;;
953;608;1981;-3.2;19;100.3;96.9;107.6;98.0;96.8;0.3;-3.1;;;;0.1;-3.2;;;
954;608;1982;-2.2;20;98.1;94.8;105.3;95.9;94.7;-1.9;-5.2;;;;-0.4;-2.7;;;
955;608;1983;-2.9;20;95.3;92.0;102.3;93.2;92.0;-4.7;-8.0;;;;-0.8;-2.7;;;
956;608;1984;-2.6;20;92.8;89.6;99.6;90.8;89.6;-7.2;-10.4;;;;-1.1;-2.7;;;
957;608;1985;0.4;20;93.1;90.0;100.0;91.1;89.9;-6.9;-10.0;;;;-0.9;-2.1;;;
958;608;1986;2.7;21;95.6;92.4;102.7;93.5;92.3;-4.4;-7.6;2.7;;;-0.5;-1.3;2.7;;
959;608;1987;2.0;22;97.6;94.3;104.8;95.4;94.2;-2.4;-5.7;4.8;;;-0.2;-0.8;2.4;;
960;608;1988;0.6;22;98.1;94.8;105.4;96.0;94.7;-1.9;-5.2;5.4;;;-0.2;-0.7;1.8;;
961;608;1989;1.3;23;99.4;96.0;106.7;97.2;95.9;-0.6;-4.0;6.7;;;-0.1;-0.5;1.6;;
962;608;1990;2.9;23;102.2;98.8;109.8;100.0;98.7;2.2;-1.2;9.8;;;0.2;-0.1;1.9;;
963;608;1991;0.0;24;102.3;98.8;109.8;100.0;98.7;2.3;-1.2;9.8;0.0;;0.2;-0.1;1.6;0.0;
964;608;1992;-0.1;25;102.2;98.7;109.8;100.0;98.7;2.2;-1.3;9.8;0.0;;0.1;-0.1;1.3;0.0;
965;608;1993;0.3;25;102.5;99.0;110.1;100.3;99.0;2.5;-1.0;10.1;0.3;;0.2;-0.1;1.2;0.1;
966;608;1994;-0.4;26;102.1;98.7;109.7;99.9;98.6;2.1;-1.3;9.7;-0.1;;0.1;-0.1;1.0;0.0;
967;608;1995;1.4;26;103.6;100.1;111.2;101.3;100.0;3.6;0.1;11.2;1.3;;0.2;0.0;1.1;0.3;
968;608;1996;1.0;27;104.7;101.1;112.4;102.4;101.0;4.7;1.1;12.4;2.4;1.0;0.2;0.1;1.1;0.4;1.0
969;608;1997;0.9;27;105.6;102.1;113.4;103.3;102.0;5.6;2.1;13.4;3.3;2.0;0.3;0.1;1.1;0.5;1.0
970;608;1998;1.7;27;107.4;103.8;115.3;105.0;103.7;7.4;3.8;15.3;5.0;3.7;0.3;0.2;1.1;0.6;1.2
971;608;1999;0.5;28;108.0;104.3;115.9;105.6;104.2;8.0;4.3;15.9;5.6;4.2;0.3;0.2;1.1;0.6;1.0
972;608;2000;0.8;28;108.8;105.1;116.8;106.4;105.0;8.8;5.1;16.8;6.4;5.0;0.4;0.2;1.0;0.6;1.0
973;608;2001;4.1;28;113.3;109.4;121.6;110.8;109.3;13.3;9.4;21.6;10.8;9.3;0.5;0.4;1.2;0.9;1.5
974;608;2002;0.5;28;113.8;109.9;122.2;111.3;109.9;13.8;9.9;22.2;11.3;9.9;0.5;0.4;1.2;0.9;1.4
975;609;1978;2.8;11;102.8;100.1;114.0;104.0;102.3;2.8;;;;;2.8;;;;
976;609;1979;1.1;11;103.9;101.2;115.3;105.2;103.4;3.9;;;;;2.0;;;;
977;609;1980;-1.2;11;102.7;100.0;113.9;103.9;102.2;2.7;;;;;0.9;;;;
978;609;1981;-3.7;11;98.9;96.3;109.7;100.1;98.4;-1.1;-3.7;;;;-0.3;-3.7;;;
979;609;1982;-2.3;11;96.6;94.1;107.2;97.8;96.1;-3.4;-5.9;;;;-0.7;-3.0;;;
980;609;1983;-3.4;11;93.4;90.9;103.6;94.5;92.9;-6.6;-9.1;;;;-1.1;-3.1;;;
981;609;1984;-2.8;11;90.8;88.4;100.7;91.9;90.3;-9.2;-11.6;;;;-1.4;-3.0;;;
982;609;1985;-0.7;13;90.2;87.8;100.0;91.3;89.7;-9.8;-12.2;;;;-1.3;-2.6;;;
983;609;1986;2.2;13;92.2;89.8;102.2;93.3;91.7;-7.8;-10.2;2.2;;;-0.9;-1.8;2.2;;
984;609;1987;1.6;14;93.6;91.2;103.8;94.7;93.1;-6.4;-8.8;3.8;;;-0.7;-1.3;1.9;;
985;609;1988;0.6;14;94.2;91.7;104.5;95.3;93.7;-5.8;-8.3;4.5;;;-0.5;-1.1;1.5;;
986;609;1989;1.3;15;95.4;92.9;105.8;96.5;94.9;-4.6;-7.1;5.8;;;-0.4;-0.8;1.4;;
987;609;1990;3.6;16;98.8;96.2;109.6;100.0;98.3;-1.2;-3.8;9.6;;;-0.1;-0.4;1.8;;
988;609;1991;-0.1;14;98.7;96.1;109.5;99.9;98.2;-1.3;-3.9;9.5;-0.1;;-0.1;-0.4;1.5;-0.1;
989;609;1992;-0.2;14;98.5;95.9;109.2;99.7;98.0;-1.5;-4.1;9.2;-0.3;;-0.1;-0.3;1.3;-0.2;
990;609;1993;0.8;13;99.3;96.7;110.1;100.5;98.8;-0.7;-3.3;10.1;0.5;;0.0;-0.3;1.2;0.2;
991;609;1994;-0.2;13;99.1;96.5;109.9;100.3;98.6;-0.9;-3.5;9.9;0.3;;-0.1;-0.3;1.1;0.1;
992;609;1995;1.4;12;100.5;97.9;111.5;101.7;100.0;0.5;-2.1;11.5;1.7;;0.0;-0.1;1.1;0.3;
993;609;1996;0.8;12;101.4;98.7;112.4;102.6;100.8;1.4;-1.3;12.4;2.6;0.8;0.1;-0.1;1.1;0.4;0.8
994;609;1997;1.1;11;102.5;99.8;113.7;103.7;102.0;2.5;-0.2;13.7;3.7;2.0;0.1;0.0;1.1;0.5;1.0
995;609;1998;1.3;11;103.8;101.1;115.1;105.1;103.3;3.8;1.1;15.1;5.1;3.3;0.2;0.1;1.1;0.6;1.1
996;609;1999;0.5;10;104.4;101.6;115.7;105.6;103.8;4.4;1.6;15.7;5.6;3.8;0.2;0.1;1.0;0.6;0.9
997;609;2000;0.8;10;105.1;102.4;116.6;106.4;104.6;5.1;2.4;16.6;6.4;4.6;0.2;0.1;1.0;0.6;0.9
998;609;2001;4.5;10;109.9;107.0;121.9;111.2;109.3;9.9;7.0;21.9;11.2;9.3;0.4;0.3;1.2;1.0;1.5
999;609;2002;0.5;10;110.4;107.5;122.4;111.7;109.8;10.4;7.5;22.4;11.7;9.8;0.4;0.3;1.2;0.9;1.3
1000;701;1978;2.9;63;102.9;100.3;114.3;106.0;105.0;2.9;;;;;2.9;;;;
1001;701;1979;1.0;63;104.0;101.3;115.5;107.1;106.1;4.0;;;;;2.0;;;;
1002;701;1980;-1.3;64;102.6;100.0;114.0;105.7;104.7;2.6;;;;;0.9;;;;
1003;701;1981;-3.8;64;98.7;96.2;109.7;101.7;100.7;-1.3;-3.8;;;;-0.3;-3.8;;;
1004;701;1982;-2.5;64;96.3;93.8;107.0;99.2;98.2;-3.7;-6.2;;;;-0.8;-3.1;;;
1005;701;1983;-3.6;64;92.8;90.5;103.2;95.6;94.7;-7.2;-9.5;;;;-1.2;-3.3;;;
1006;701;1984;-2.7;65;90.3;88.0;100.4;93.0;92.1;-9.7;-12.0;;;;-1.4;-3.1;;;
1007;701;1985;-0.4;57;90.0;87.7;100.0;92.7;91.8;-10.0;-12.3;;;;-1.3;-2.6;;;
1008;701;1986;2.0;56;91.8;89.5;102.0;94.6;93.6;-8.2;-10.5;2.0;;;-0.9;-1.8;2.0;;
1009;701;1987;1.5;55;93.2;90.8;103.5;96.0;95.1;-6.8;-9.2;3.5;;;-0.7;-1.4;1.8;;
1010;701;1988;0.5;55;93.6;91.2;104.0;96.4;95.5;-6.4;-8.8;4.0;;;-0.6;-1.1;1.3;;
1011;701;1989;1.2;53;94.7;92.3;105.3;97.6;96.6;-5.3;-7.7;5.3;;;-0.4;-0.9;1.3;;
1012;701;1990;2.5;52;97.1;94.6;107.9;100.0;99.0;-2.9;-5.4;7.9;;;-0.2;-0.6;1.5;;
1013;701;1991;0.1;52;97.2;94.7;108.0;100.1;99.2;-2.8;-5.3;8.0;0.1;;-0.2;-0.5;1.3;0.1;
1014;701;1992;0.3;52;97.5;95.0;108.4;100.5;99.5;-2.5;-5.0;8.4;0.5;;-0.2;-0.4;1.2;0.2;
1015;701;1993;0.4;51;98.0;95.5;108.8;100.9;99.9;-2.0;-4.5;8.8;0.9;;-0.1;-0.4;1.1;0.3;
