ID;OriginDestination;Periods;TotalWaste_1;ChemicalWaste_2;FerroWaste_3;WasteOfNonFerroMetals_4;WasteOfMixedMetals_5;WasteOfGlass_6;WoodWaste_7;PaperWaste_8;PlasticWaste_9;RubberWaste_10;WasteOfTextiles_11;OtherRecyclableWaste_12;DiscardedMaterials_13;AnimalAndVegetableWaste_14;MixedWaste_15;Sludge_16;MineralWaste_17
0;Total private households;2008;9331;18;662;0;71;356;317;1242;13;65;82;0;285;1718;4034;0;467
1;Total private households;2010;8989;17;153;0;64;358;299;1128;90;35;79;0;351;1708;4283;0;424
2;Total private households;2012;8434;17;550;0;57;357;297;998;118;55;75;0;345;1768;3701;0;95
3;A-U All economic activities;2008;54042;1890;1836;204;594;256;1733;1605;385;44;45;0;115;10865;4543;673;29252
4;A-U All economic activities;2010;51466;2062;1166;239;554;255;1945;1470;367;40;28;0;123;12073;4191;658;26297
5;A-U All economic activities;2012;52346;2058;1667;232;378;238;1961;1306;388;40;33;0;155;12070;3646;636;27537
6;A Agriculture, forestry and fishing;2008;3973;3;21;0;1;0;0;0;35;0;0;0;0;3777;125;1;10
7;A Agriculture, forestry and fishing;2010;4164;5;7;0;1;0;2;1;24;0;0;0;0;3883;156;1;84
8;A Agriculture, forestry and fishing;2012;4211;3;26;0;1;0;4;1;35;0;0;0;0;3839;167;4;132
9;B-E Industry (no construction) energy;2008;18655;1482;784;78;425;46;519;791;188;4;38;0;27;5488;1820;565;6400
10;B-E Industry (no construction) energy;2010;17153;1635;342;56;414;48;458;692;161;2;26;0;14;6523;1371;552;4860
11;B-E Industry (no construction) energy;2012;16958;1629;534;60;276;56;461;596;177;2;31;0;26;6564;1165;529;4851
12;B Mining and quarrying;2008;101;30;2;0;1;0;1;1;0;0;0;0;0;1;7;1;57
13;B Mining and quarrying;2010;133;27;3;0;1;0;1;1;0;0;0;0;0;0;5;0;95
14;B Mining and quarrying;2012;121;29;1;0;2;0;1;0;0;0;0;0;0;1;5;0;81
15;C Manufacturing;2008;15671;1293;567;45;391;34;478;772;170;2;38;0;15;5445;1663;206;4554
16;C Manufacturing;2010;14013;1349;174;26;392;47;407;673;144;2;26;0;6;6406;1035;166;3160
17;C Manufacturing;2012;13936;1324;318;22;258;48;413;589;141;2;31;0;8;6500;883;185;3213
18;10-12  Manufacture of food and beverages;2008;7648;31;177;0;19;20;16;117;21;0;0;0;3;5361;1039;180;663
19;10-12  Manufacture of food and beverages;2010;7659;41;20;0;13;21;14;93;22;0;0;0;0;6284;316;146;687
20;10-12  Manufacture of food and beverages;2012;7683;35;51;0;13;20;27;89;21;0;0;0;1;6318;258;163;685
21;13-15 Man. of textile-, leatherproducts;2008;87;5;4;0;1;0;4;11;2;0;37;0;0;0;23;0;0
22;13-15 Man. of textile-, leatherproducts;2010;72;6;1;0;0;0;2;8;2;0;25;0;0;0;28;0;0
23;13-15 Man. of textile-, leatherproducts;2012;78;24;2;0;1;0;1;5;5;0;29;0;0;0;12;0;0
24;16-18 Man. wood en paperprod., printing;2008;1063;73;34;2;10;0;242;481;24;0;0;0;1;0;175;18;3
25;16-18 Man. wood en paperprod., printing;2010;1001;72;14;2;7;1;211;444;21;0;0;0;0;4;201;15;9
26;16-18 Man. wood en paperprod., printing;2012;829;63;26;1;7;0;169;376;25;0;1;0;0;4;140;11;6
27;16 Manufacture of wood products;2008;251;5;3;0;2;0;213;4;1;0;0;0;0;0;19;0;3
28;16 Manufacture of wood products;2010;241;5;1;0;2;1;199;3;1;0;0;0;0;2;18;0;9
29;16 Manufacture of wood products;2012;176;1;1;0;3;0;152;3;1;0;0;0;0;0;8;0;6
30;17 Manufacture of paper;2008;522;64;27;0;3;0;21;231;20;0;0;0;1;0;137;18;0
31;17 Manufacture of paper;2010;509;63;12;0;2;0;10;235;18;0;0;0;0;2;152;15;0
32;17 Manufacture of paper;2012;437;59;20;0;3;0;14;202;22;0;1;0;0;0;105;11;0
33;18 Printing and reproduction;2008;290;4;3;1;6;0;8;246;3;0;0;0;0;0;18;0;0
34;18 Printing and reproduction;2010;251;3;1;2;2;0;3;205;2;0;0;0;0;0;32;0;0
35;18 Printing and reproduction;2012;216;3;5;1;2;0;3;170;2;0;0;0;0;4;26;0;0
36;19 Manufacture of coke and petroleum;2008;477;455;1;0;1;0;1;1;0;0;0;0;0;2;5;0;12
37;19 Manufacture of coke and petroleum;2010;480;465;0;0;1;0;1;1;0;0;0;0;0;1;3;0;8
38;19 Manufacture of coke and petroleum;2012;503;447;1;0;4;0;1;0;0;0;0;0;0;29;6;1;14
39;20-21 Chemistry and pharmaceuticals;2008;1419;428;23;0;22;0;9;56;16;0;0;0;1;54;125;6;677
40;20-21 Chemistry and pharmaceuticals;2010;1188;499;8;1;15;1;11;17;14;0;0;0;0;85;121;5;411
41;20-21 Chemistry and pharmaceuticals;2012;1167;457;21;0;13;1;8;17;15;0;0;0;0;116;128;8;383
42;20 Manufacture of chemical products;2008;1350;414;22;0;22;0;9;52;15;0;0;0;1;10;121;6;677
43;20 Manufacture of chemical products;2010;1101;478;7;1;15;0;11;14;13;0;0;0;0;47;99;5;410
44;20 Manufacture of chemical products;2012;1082;439;20;0;13;0;7;14;14;0;0;0;0;62;122;8;382
45;21 Manufacture of pharmaceutical product;2008;69;14;1;0;0;0;0;4;1;0;0;0;0;44;5;0;0
46;21 Manufacture of pharmaceutical product;2010;87;21;1;0;1;0;0;3;1;0;0;0;0;38;22;0;0
47;21 Manufacture of pharmaceutical product;2012;85;18;1;0;0;0;0;3;1;0;0;0;0;53;6;0;1
48;22-23 Man. plastics and construction;2008;1107;14;23;0;45;9;22;24;86;2;0;0;0;2;60;1;820
49;22-23 Man. plastics and construction;2010;882;16;14;0;29;18;16;21;71;2;0;0;0;0;82;0;611
50;22-23 Man. plastics and construction;2012;858;12;14;0;9;23;19;14;55;2;0;0;0;0;76;2;631
51;22 Manufacture rubber, plastic products;2008;165;7;5;0;7;0;10;20;84;2;0;0;0;0;29;0;1
52;22 Manufacture rubber, plastic products;2010;156;9;2;0;3;0;7;16;70;2;0;0;0;0;45;0;3
53;22 Manufacture rubber, plastic products;2012;118;5;5;0;1;1;9;8;53;2;0;0;0;0;31;0;1
54;23 Manufacture of building materials;2008;942;6;18;0;38;9;13;4;2;0;0;0;0;1;31;1;819
55;23 Manufacture of building materials;2010;726;7;13;0;26;18;9;5;1;0;0;0;0;0;37;0;608
56;23 Manufacture of building materials;2012;740;7;9;0;8;23;10;6;2;0;0;0;0;0;44;2;630
57;24-25 Man. of basic metals and -products;2008;3148;239;189;36;182;2;13;18;10;0;0;0;1;2;99;0;2356
58;24-25 Man. of basic metals and -products;2010;2103;216;70;17;207;5;10;22;3;0;0;0;1;2;135;0;1415
59;24-25 Man. of basic metals and -products;2012;2168;257;128;10;105;2;15;24;7;0;0;0;0;1;142;0;1476
60;24 Manufacture of basic metals;2008;2697;165;65;23;39;0;3;3;8;0;0;0;1;0;57;0;2332
61;24 Manufacture of basic metals;2010;1693;155;22;9;17;0;2;7;0;0;0;0;0;1;81;0;1399
62;24 Manufacture of basic metals;2012;1763;147;48;5;25;0;2;2;1;0;0;0;0;0;85;0;1448
63;25 Manufacture of metal products;2008;451;75;124;13;143;2;9;15;2;0;0;0;0;2;42;0;24
64;25 Manufacture of metal products;2010;410;61;48;8;191;5;8;15;2;0;0;0;0;2;54;0;17
65;25 Manufacture of metal products;2012;405;110;80;6;79;2;13;21;7;0;0;0;0;1;57;0;28
66;26-27 Electrical and electron. Industry;2008;86;7;5;3;19;1;7;11;2;0;0;0;3;1;17;0;10
67;26-27 Electrical and electron. Industry;2010;77;5;3;2;18;1;5;8;3;0;0;0;2;2;23;0;6
68;26-27 Electrical and electron. Industry;2012;78;5;7;2;11;1;3;13;7;0;0;0;2;1;20;0;6
69;26 Manufacture of electronic products;2008;23;5;1;1;2;0;1;4;0;0;0;0;1;0;9;0;0
70;26 Manufacture of electronic products;2010;21;4;0;0;1;0;1;3;0;0;0;0;1;1;9;0;0
71;26 Manufacture of electronic products;2012;26;3;2;0;1;0;1;7;0;0;0;0;1;1;11;0;0
72;27 Manufacture of electric equipment;2008;62;2;3;2;17;1;6;8;2;0;0;0;2;0;8;0;10
73;27 Manufacture of electric equipment;2010;57;2;3;2;17;1;4;5;2;0;0;0;1;0;14;0;6
74;27 Manufacture of electric equipment;2012;52;1;5;2;10;1;3;5;7;0;0;0;1;0;10;0;6
75;28 Manufacture of machinery n.e.c. ;2008;147;14;32;3;36;0;12;18;2;0;0;0;2;1;22;0;3
76;28 Manufacture of machinery n.e.c. ;2010;171;13;25;4;44;0;12;26;3;0;0;0;1;1;37;0;5
77;28 Manufacture of machinery n.e.c. ;2012;159;12;33;8;42;0;11;20;2;0;0;0;2;1;27;0;1
78;29-30 Transport equipment;2008;189;20;60;1;36;0;10;10;2;0;0;0;1;1;43;0;6
79;29-30 Transport equipment;2010;116;11;13;1;41;0;7;9;1;0;0;0;1;1;29;0;4
80;29-30 Transport equipment;2012;98;9;20;0;24;0;11;10;1;0;0;0;1;1;14;0;7
81;31-33 Other manufacturing and repair;2008;299;5;20;0;19;0;141;26;5;0;0;0;3;21;56;0;4
82;31-33 Other manufacturing and repair;2010;262;5;4;0;16;0;119;25;5;0;1;0;1;26;58;0;3
83;31-33 Other manufacturing and repair;2012;315;2;15;1;30;1;149;21;2;0;1;0;0;29;61;0;3
84;D Electricity and gas supply;2008;1287;10;5;0;8;0;1;3;1;0;0;0;2;0;12;0;1245
85;D Electricity and gas supply;2010;1249;9;10;1;10;1;19;5;2;0;0;0;3;1;17;0;1172
86;D Electricity and gas supply;2012;1305;12;10;0;8;0;2;3;3;0;0;0;1;0;8;0;1257
87;E Water supply and waste management;2008;1595;150;211;33;26;12;38;15;17;2;0;0;9;41;139;358;544
88;E Water supply and waste management;2010;1758;251;156;28;12;0;31;12;15;0;0;0;4;115;315;386;433
89;E Water supply and waste management;2012;1597;264;205;38;7;8;45;4;33;0;0;0;18;63;269;343;301
90;F Construction;2008;25530;25;603;125;120;68;1045;8;17;0;3;0;3;314;345;16;22839
91;F Construction;2010;24504;27;689;176;110;79;1306;7;32;0;0;0;5;395;309;19;21351
92;F Construction;2012;25597;17;732;164;75;49;1322;6;34;0;0;0;4;427;200;18;22550
93;G-I Trade, transport, hotels, catering;2008;1951;284;146;2;37;70;122;270;76;38;2;0;64;243;593;0;3
94;G-I Trade, transport, hotels, catering;2010;1912;308;52;6;15;66;136;278;76;37;2;0;78;234;622;0;2
95;G-I Trade, transport, hotels, catering;2012;1766;317;112;7;16;68;127;208;52;38;1;0;99;175;544;0;3
96;J Information and communication;2008;162;0;13;0;2;5;7;48;3;0;0;0;0;2;80;0;0
97;J Information and communication;2010;139;0;3;0;1;5;8;36;3;0;0;0;0;0;83;0;0
98;J Information and communication;2012;155;0;13;0;0;5;7;36;3;0;0;0;0;0;90;0;0
99;K Financial institutions;2008;212;2;18;0;0;4;3;40;4;0;0;0;1;28;111;0;0
100;K Financial institutions;2010;173;2;3;0;0;3;4;30;3;1;0;0;0;47;80;0;0
101;K Financial institutions;2012;140;1;11;0;0;3;3;20;3;0;0;0;0;22;76;0;0
102;L Renting, buying and selling of real es;2008;106;4;9;0;3;1;8;20;3;0;0;0;0;11;47;0;0
103;L Renting, buying and selling of real es;2010;101;1;3;0;6;2;9;14;2;0;0;0;0;7;56;0;0
104;L Renting, buying and selling of real es;2012;62;1;6;0;0;2;7;11;1;0;0;0;0;4;31;0;0
105;M-N Business services;2008;1051;45;70;0;5;15;27;160;18;0;0;0;2;323;385;0;0
106;M-N Business services;2010;1016;29;26;1;5;22;20;173;24;0;0;0;1;310;405;0;0
107;M-N Business services;2012;1172;30;82;1;8;24;27;185;42;0;0;0;1;380;390;0;0
108;O-Q Government and care;2008;2166;41;148;0;0;42;0;221;39;0;0;0;19;667;898;91;0
109;O-Q Government and care;2010;2101;51;35;0;0;24;1;207;39;0;0;0;25;654;978;86;0
110;O-Q Government and care;2012;2112;57;133;0;0;25;0;206;39;0;0;0;23;647;896;85;0
111;R-U Culture, recreation, other services;2008;236;4;24;0;1;4;1;47;2;1;1;0;0;13;140;0;0
112;R-U Culture, recreation, other services;2010;203;4;7;0;1;7;1;33;2;0;0;0;0;20;128;0;0
113;R-U Culture, recreation, other services;2012;172;3;18;0;1;7;4;37;3;0;0;0;0;12;87;0;0
114;Total Dutch economy;2008;63373;1909;2498;204;665;613;2050;2848;398;109;127;0;401;12583;8577;673;29718
115;Total Dutch economy;2010;60455;2079;1319;239;618;613;2244;2597;456;75;107;0;474;13780;8473;658;26721
116;Total Dutch economy;2012;60780;2075;2217;232;435;595;2258;2304;506;95;108;0;501;13839;7347;636;27632
117;Total from abroad;2008;18259;320;3365;140;14;452;827;1627;490;33;130;14;46;7960;113;37;2691
118;Total from abroad;2010;18538;179;5146;459;0;376;1232;1762;422;22;83;1;60;8250;176;6;366
119;Total from abroad;2012;19861;241;3385;334;1;375;1207;1653;489;20;77;6;271;9889;1101;11;800
120;Total origin;2008;81631;2228;5863;344;679;1065;2877;4474;888;142;257;14;447;20543;8690;710;32409
121;Total origin;2010;78993;2258;6465;698;618;989;3476;4359;878;97;190;1;534;22031;8649;663;27087
122;Total origin;2012;80641;2316;5602;566;436;970;3465;3957;995;116;185;6;771;23727;8449;647;28432
123;34;2008;66089;1752;2668;34;654;985;1614;1879;648;115;121;13;293;15175;8058;645;31435
124;34;2010;63159;1813;2718;321;618;925;2451;1913;572;67;57;1;383;16323;7672;619;26706
125;34;2012;65327;1878;2129;166;435;873;2613;1659;685;82;50;6;365;18174;7678;609;27924
126;35;2008;53485;807;2646;32;651;970;539;1860;599;89;113;13;247;14332;187;221;30178
127;35;2010;50511;723;2718;321;617;922;1134;1889;489;50;44;0;313;15209;120;248;25713
128;35;2012;53056;702;2127;165;434;871;1199;1651;614;70;32;6;299;17098;385;225;27177
129;36;2008;10175;634;0;0;1;12;1065;14;35;26;4;0;8;807;7101;384;83
130;36;2010;10817;823;0;0;1;0;1308;21;75;16;11;0;54;1054;7073;328;51
131;36;2012;10801;895;2;1;0;0;1411;6;66;11;14;0;52;1020;6907;347;68
132;37;2008;2429;311;22;2;2;3;10;5;14;0;3;0;38;36;770;40;1174
133;37;2010;1831;268;0;0;0;2;8;3;8;0;2;0;16;59;479;43;942
134;37;2012;1470;281;0;0;0;1;3;2;6;0;3;0;14;56;386;37;679
135;Total to abroad;2008;15542;477;3195;310;25;80;1263;2595;240;27;136;1;154;5368;632;65;974
136;Total to abroad;2010;15834;445;3746;377;0;64;1025;2446;306;31;133;1;150;5708;977;44;381
137;Total to abroad;2012;15314;438;3473;400;1;97;852;2299;310;34;135;0;406;5553;771;38;508
138;Total destination;2008;81631;2228;5863;344;679;1065;2877;4474;888;142;257;14;447;20543;8690;710;32409
139;Total destination;2010;78993;2258;6465;698;618;989;3476;4359;878;97;190;1;534;22031;8649;663;27087
140;Total destination;2012;80641;2316;5602;566;436;970;3465;3957;995;116;185;6;771;23727;8449;647;28432
