ID;Perioden;TotaalAlleVrouwen_1;AutochtoneVrouwenIncl2eGeneratie_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;EuropeseEconomischeRuimteEER_10;OverigEuropa_11;Indonesie_12;OverigBuitenEuropa_13
0;2002;1.73;1.67;3.1;2.23;1.73;3.29;1.9;1.84;2.48;1.4;1.73;1.73;1.4
1;2003;1.75;1.69;3.11;2.23;1.75;3.28;1.89;1.84;2.47;1.4;1.75;1.75;1.4
2;2004;1.75;1.7;3.11;2.23;1.75;3.27;1.87;1.84;2.47;1.4;1.75;1.75;1.4
3;2005;1.75;1.7;3.11;2.22;1.75;3.26;1.85;1.83;2.46;1.4;1.75;1.75;1.4
4;2006;1.76;1.71;3.11;2.22;1.76;3.25;1.83;1.82;2.46;1.4;1.76;1.76;1.4
5;2007;1.76;1.71;3.1;2.22;1.76;3.23;1.81;1.8;2.45;1.4;1.76;1.76;1.4
6;2008;1.76;1.71;3.09;2.21;1.76;3.22;1.78;1.78;2.44;1.4;1.76;1.76;1.4
7;2009;1.75;1.71;3.08;2.21;1.75;3.19;1.77;1.77;2.43;1.4;1.75;1.75;1.4
8;2010;1.75;1.72;3.07;2.2;1.75;3.17;1.75;1.75;2.42;1.4;1.75;1.75;1.4
9;2011;1.75;1.72;3.05;2.2;1.75;3.15;1.75;1.75;2.41;1.4;1.75;1.75;1.4
10;2012;1.75;1.72;3.03;2.19;1.75;3.12;1.75;1.75;2.4;1.4;1.75;1.75;1.4
11;2013;1.75;1.72;3.01;2.19;1.75;3.09;1.75;1.75;2.39;1.4;1.75;1.75;1.4
12;2014;1.75;1.72;2.99;2.18;1.75;3.06;1.75;1.75;2.38;1.4;1.75;1.75;1.4
13;2015;1.75;1.72;2.96;2.18;1.75;3.03;1.75;1.75;2.37;1.4;1.75;1.75;1.4
14;2016;1.75;1.73;2.94;2.17;1.75;3.0;1.75;1.75;2.35;1.4;1.75;1.75;1.4
15;2017;1.75;1.73;2.91;2.16;1.75;2.96;1.75;1.75;2.34;1.4;1.75;1.75;1.4
16;2018;1.75;1.73;2.88;2.16;1.75;2.93;1.75;1.75;2.33;1.4;1.75;1.75;1.4
17;2019;1.75;1.73;2.85;2.15;1.75;2.89;1.75;1.75;2.31;1.4;1.75;1.75;1.4
18;2020;1.75;1.73;2.81;2.14;1.75;2.86;1.75;1.75;2.3;1.4;1.75;1.75;1.4
19;2021;1.75;1.73;2.78;2.14;1.75;2.82;1.75;1.75;2.29;1.4;1.75;1.75;1.4
20;2022;1.75;1.73;2.75;2.13;1.75;2.78;1.75;1.75;2.27;1.4;1.75;1.75;1.4
21;2023;1.75;1.73;2.71;2.12;1.75;2.74;1.75;1.75;2.26;1.4;1.75;1.75;1.4
22;2024;1.75;1.73;2.67;2.12;1.75;2.7;1.75;1.75;2.24;1.4;1.75;1.75;1.4
23;2025;1.75;1.74;2.64;2.11;1.75;2.66;1.75;1.75;2.23;1.4;1.75;1.75;1.4
24;2026;1.75;1.74;2.6;2.1;1.75;2.62;1.75;1.75;2.22;1.4;1.75;1.75;1.4
25;2027;1.75;1.74;2.57;2.1;1.75;2.58;1.75;1.75;2.2;1.4;1.75;1.75;1.4
26;2028;1.75;1.74;2.53;2.09;1.75;2.54;1.75;1.75;2.19;1.4;1.75;1.75;1.4
27;2029;1.75;1.74;2.49;2.08;1.75;2.51;1.75;1.75;2.18;1.4;1.75;1.75;1.4
28;2030;1.75;1.74;2.46;2.08;1.75;2.47;1.75;1.75;2.16;1.4;1.75;1.75;1.4
29;2031;1.75;1.74;2.42;2.07;1.75;2.43;1.75;1.75;2.15;1.4;1.75;1.75;1.4
30;2032;1.75;1.74;2.38;2.06;1.75;2.39;1.75;1.75;2.14;1.4;1.75;1.75;1.4
31;2033;1.75;1.74;2.35;2.06;1.75;2.36;1.75;1.75;2.12;1.4;1.75;1.75;1.4
32;2034;1.75;1.74;2.32;2.05;1.75;2.32;1.75;1.75;2.11;1.4;1.75;1.75;1.4
33;2035;1.75;1.74;2.28;2.05;1.75;2.29;1.75;1.75;2.1;1.4;1.75;1.75;1.4
34;2036;1.75;1.74;2.25;2.04;1.75;2.25;1.75;1.75;2.09;1.4;1.75;1.75;1.4
35;2037;1.75;1.74;2.22;2.04;1.75;2.22;1.75;1.75;2.08;1.4;1.75;1.75;1.4
36;2038;1.75;1.75;2.19;2.03;1.75;2.19;1.75;1.75;2.07;1.4;1.75;1.75;1.4
37;2039;1.75;1.75;2.16;2.03;1.75;2.17;1.75;1.75;2.06;1.4;1.75;1.75;1.4
38;2040;1.75;1.75;2.14;2.02;1.75;2.14;1.75;1.75;2.05;1.4;1.75;1.75;1.4
39;2041;1.75;1.75;2.11;2.02;1.75;2.11;1.75;1.75;2.04;1.4;1.75;1.75;1.4
40;2042;1.75;1.75;2.09;2.01;1.75;2.09;1.75;1.75;2.03;1.4;1.75;1.75;1.4
41;2043;1.75;1.75;2.07;2.01;1.75;2.07;1.75;1.75;2.02;1.4;1.75;1.75;1.4
42;2044;1.75;1.75;2.05;2.01;1.75;2.05;1.75;1.75;2.02;1.4;1.75;1.75;1.4
43;2045;1.75;1.75;2.04;2.01;1.75;2.04;1.75;1.75;2.01;1.4;1.75;1.75;1.4
44;2046;1.75;1.75;2.02;2.0;1.75;2.02;1.75;1.75;2.01;1.4;1.75;1.75;1.4
45;2047;1.75;1.75;2.01;2.0;1.75;2.01;1.75;1.75;2.0;1.4;1.75;1.75;1.4
46;2048;1.75;1.75;2.01;2.0;1.75;2.01;1.75;1.75;2.0;1.4;1.75;1.75;1.4
47;2049;1.75;1.75;2.0;2.0;1.75;2.0;1.75;1.75;2.0;1.4;1.75;1.75;1.4
