ID;SoortVacature;Overheidssectoren;Perioden;TotaalAantalVacatures_1;k_10Werknemers_2;k_1099Werknemers_3;k_100Werknemers_4;k_1ElementaireBeroepen_5;k_2LagereBeroepen_6;k_4MiddelbareBeroepen_7;k_6HogereBeroepen_8;k_8WetenschappelijkeBeroepen_9;k_9BeroepOnbekend_10;k_2LagerOnderwijs_11;k_3VoortgezetOnderwijsLagereTrap_12;k_4VoortgezetOnderwijsHogereTrap_13;k_5HogerOnderwijs1eTrap_14;k_67HogerOnderwijs2e3eTrap_15;k_9Onbekend_16
0;Totaal aantal vacatures;Totaal overheidssectoren;2000;14.1;0.2;1.8;12.1;0.2;1.6;4.7;5.3;2.3;0.0;0.0;1.6;4.6;5.5;2.2;0.0
1;Totaal aantal vacatures;Totaal overheidssectoren;2001;14.7;0.2;1.7;12.8;0.2;1.2;5.2;6.6;1.5;0.0;0.1;1.5;4.9;7.1;1.1;0.0
2;Totaal aantal vacatures;Totaal overheidssectoren;2002;11.8;0.1;1.3;10.4;0.2;1.4;3.4;5.0;1.9;;0.0;1.7;3.4;5.1;1.6;
3;Totaal aantal vacatures;Totaal overheidssectoren;2003;8.8;0.0;0.8;8.0;0.1;0.9;2.8;3.7;1.3;;0.0;0.0;0.9;3.0;3.9;1.0
4;Totaal aantal vacatures;Totaal overheidssectoren;2004;8.5;0.0;0.6;7.9;;;;;;;;;;;;
5;Totaal aantal vacatures;Totaal overheidssectoren;2006;12.3;0.0;1.0;11.2;0.2;0.7;4.3;5.8;1.2;;0.0;0.8;3.5;5.5;2.5;
6;Totaal aantal vacatures;Totaal overheidssectoren;2008;22.1;0.1;0.9;21.0;0.4;0.6;4.8;7.3;1.5;7.5;0.0;0.7;3.4;8.0;2.4;7.5
7;Totaal aantal vacatures;Rijksoverheid;2000;2.4;0.0;0.0;2.4;0.0;0.3;1.0;0.6;0.4;0.0;0.0;0.4;0.8;0.7;0.4;0.0
8;Totaal aantal vacatures;Rijksoverheid;2001;2.3;0.0;0.0;2.3;0.0;0.1;1.3;0.6;0.3;0.0;0.0;0.4;0.9;0.7;0.3;0.0
9;Totaal aantal vacatures;Rijksoverheid;2002;1.6;0.0;0.0;1.6;0.0;0.1;0.4;0.7;0.4;;0.0;0.2;0.2;0.7;0.4;
10;Totaal aantal vacatures;Rijksoverheid;2003;0.9;0.0;0.0;0.9;0.0;0.1;0.3;0.2;0.3;;0.0;0.0;0.3;0.3;0.3;
11;Totaal aantal vacatures;Rijksoverheid;2004;0.6;;;0.6;;;;;;;;;;;;
12;Totaal aantal vacatures;Rijksoverheid;2006;1.5;;;1.5;0.0;0.0;0.5;0.8;0.2;;;0.1;0.4;0.3;0.8;
13;Totaal aantal vacatures;Rijksoverheid;2008;1.5;;0.0;1.5;;;0.4;1.0;0.1;;;;0.3;0.2;1.0;
14;Totaal aantal vacatures;Provincies;2000;0.4;0.0;0.0;0.4;0.0;0.0;0.1;0.2;0.1;0.0;0.0;0.0;0.1;0.2;0.1;0.0
15;Totaal aantal vacatures;Provincies;2001;0.7;0.0;0.0;0.7;0.0;0.1;0.3;0.3;0.0;0.0;0.0;0.1;0.3;0.3;0.0;0.0
16;Totaal aantal vacatures;Provincies;2002;0.6;0.0;0.0;0.6;0.0;0.0;0.2;0.4;0.1;;0.0;0.0;0.3;0.3;0.1;
17;Totaal aantal vacatures;Provincies;2003;0.6;0.0;0.0;0.6;0.0;0.2;0.1;0.3;0.1;;0.0;0.2;0.1;0.3;0.0;
18;Totaal aantal vacatures;Provincies;2004;0.3;;;0.3;;;;;;;;;;;;
19;Totaal aantal vacatures;Provincies;2006;0.5;;;0.5;0.0;0.1;0.1;0.3;0.0;;;0.1;0.1;0.2;0.2;
20;Totaal aantal vacatures;Provincies;2008;0.6;;;0.6;;0.0;0.1;0.5;0.0;;;0.0;0.0;0.4;0.1;
21;Totaal aantal vacatures;Gemeenten;2000;4.6;0.0;0.7;3.9;0.1;0.8;1.4;1.6;0.6;0.0;0.0;0.7;1.6;1.6;0.5;0.0
22;Totaal aantal vacatures;Gemeenten;2001;5.3;0.0;0.8;4.5;0.1;0.7;1.9;2.1;0.6;0.0;0.0;0.8;1.9;2.2;0.3;0.0
23;Totaal aantal vacatures;Gemeenten;2002;4.7;0.0;0.5;4.1;0.0;0.5;1.5;2.0;0.6;;0.0;0.6;1.6;2.1;0.4;
24;Totaal aantal vacatures;Gemeenten;2003;3.4;0.0;0.3;3.0;0.1;0.5;1.0;1.4;0.4;;0.0;0.5;1.2;1.4;0.3;
25;Totaal aantal vacatures;Gemeenten;2004;3.4;;0.3;3.0;;;;;;;;;;;;
26;Totaal aantal vacatures;Gemeenten;2006;4.1;;0.5;3.6;0.1;0.3;1.5;1.9;0.3;;0.0;0.3;1.2;2.0;0.5;
27;Totaal aantal vacatures;Gemeenten;2008;5.7;0.0;0.5;5.2;0.3;0.4;2.0;2.3;0.7;;0.0;0.5;1.5;3.3;0.4;
28;Totaal aantal vacatures;Onderwijs;2000;5.3;0.2;1.0;4.1;0.1;0.4;1.1;2.7;1.1;0.0;0.0;0.4;1.1;2.7;1.1;0.0
29;Totaal aantal vacatures;Onderwijs;2001;5.4;0.2;0.9;4.3;0.1;0.3;1.0;3.5;0.6;0.0;0.0;0.2;1.0;3.7;0.5;0.0
30;Totaal aantal vacatures;Onderwijs;2002;4.3;0.1;0.7;3.5;0.1;0.8;1.0;1.7;0.8;;0.0;0.8;1.0;1.9;0.6;
31;Totaal aantal vacatures;Onderwijs;2003;3.4;0.0;0.4;3.0;0.0;0.1;1.0;1.7;0.5;;0.0;0.1;1.0;1.8;0.5;
32;Totaal aantal vacatures;Onderwijs;2004;3.7;0.0;0.2;3.4;;;;;;;;;;;;
33;Totaal aantal vacatures;Onderwijs;2006;4.9;0.0;0.5;4.3;0.1;0.2;1.3;2.8;0.6;;0.0;0.2;0.9;2.8;1.0;
34;Totaal aantal vacatures;Onderwijs;2008;5.5;0.1;0.4;5.0;0.1;0.1;1.5;3.2;0.6;;0.0;0.1;0.8;3.7;0.8;
35;Totaal aantal vacatures;Politie;2000;1.1;0.0;0.0;1.1;0.0;0.1;1.0;0.0;0.0;0.0;0.0;0.1;0.9;0.1;0.0;0.0
36;Totaal aantal vacatures;Politie;2001;0.8;0.0;0.0;0.8;0.0;0.0;0.7;0.1;0.0;0.0;0.0;0.1;0.6;0.1;0.0;0.0
37;Totaal aantal vacatures;Politie;2002;0.3;0.0;0.0;0.3;0.0;0.0;0.2;0.1;0.0;;0.0;0.1;0.2;0.1;0.0;
38;Totaal aantal vacatures;Politie;2003;0.3;0.0;0.0;0.3;0.0;0.1;0.2;0.1;0.0;;0.0;0.0;0.2;0.0;0.0;
39;Totaal aantal vacatures;Politie;2004;0.3;;;0.3;;;;;;;;;;;;
40;Totaal aantal vacatures;Politie;2006;1.1;;;1.1;0.0;0.1;0.9;0.1;0.0;;0.0;0.1;0.9;0.2;0.0;
41;Totaal aantal vacatures;Politie;2008;0.8;;;0.8;0.0;0.1;0.7;0.1;0.0;;;0.1;0.6;0.1;0.0;
42;Totaal aantal vacatures;Defensie;2000;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43;Totaal aantal vacatures;Defensie;2001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;Totaal aantal vacatures;Defensie;2002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
