ID;Perioden;Super_1;Normaal_2;Normaal_3;Euro95_4;Euro98_5;Euro98Loodvervanger_6;Dieselolie_7;DieselolieInBulk_8;LPG_9;Tweetakt_10
0;1913;8.46;;;;;;;;;
1;1914;8.62;;;;;;;;;
2;1915;8.62;;;;;;;;;
3;1916;11.51;;;;;;;;;
4;1917;26.41;;;;;;;;;
5;1918;61.28;;;;;;;;;
6;1919;18.05;;;;;;;;;
7;1920;18.15;;;;;;;;;
8;1921;15.49;;;;;;;;;
9;1922;11.67;;;;;;;;;
10;1923;9.89;;;;;;;;;
11;1924;9.48;;;;;;;;;
12;1925;9.23;;;;;;;;;
13;1926;8.98;;;;;;;;;
14;1927;7.18;;;;;;;;;
15;1928;7.81;;;;;;;;;
16;1929;8.17;;;;;;;;;
17;1930;7.85;;;;;;;;;
18;1931;4.37;;;;;;;;;
19;1932;6.37;;;;;;;;;
20;1933;6.95;;;;;;;;;
21;1934;6.11;;;;;;;;;
22;1935;6.08;;;;;;;;;
23;1936;6.25;;;;;;;;;
24;1937;6.93;;;;;;;;;
25;1938;6.74;;;;;;;;;
26;1939;6.72;;;;;;;;;
27;1940;8.09;;;;;;;;;
28;1941;;;;;;;;;;
29;1942;;;;;;;;;;
30;1943;;;;;;;;;;
31;1944;;;;;;;;;;
32;1945;;;;;;;;;;
33;1946;;;;;;;;;;
34;1947;9.98;;;;;;;;;
35;1948;;;;;;;;;;
36;1949;;;;;;;;;;
37;1950;12.93;;;;;;;;;
38;1951;16.47;16.47;;;;;;;;
39;1952;16.93;16.93;;;;;;;;
40;1953;17.06;17.06;;;;;;;;
41;1954;18.33;;;;;;;;8.62;
42;1955;18.33;;;;;;;;9.48;
43;1956;18.35;;;;;;7.36;;;
44;1957;22.59;;;;;;8.33;;;
45;1958;21.98;;;;;;7.22;;;
46;1959;22.06;;;;;;7.2;;;
47;1960;22.31;20.69;;;;;6.85;;;
48;1961;22.22;20.64;;;;;6.87;;9.48;
49;1962;22.28;20.66;;;;;7.26;;9.48;
50;1963;22.45;20.86;;;;;7.34;;9.48;
51;1964;23.79;22.53;;;;;7.1;;9.66;
52;1965;24.1;22.78;;;;;7.3;;9.71;
53;1966;25.11;23.61;;;;;8.08;;9.71;
54;1967;24.93;23.43;;;;;9.88;;9.73;
55;1968;25.28;23.78;;;;;10.05;;10.07;
56;1969;27.02;25.89;;;;;9.56;;11.07;
57;1970;27.61;26.5;;;;;9.95;;11.03;
58;1971;30.44;29.16;;;;;10.54;;12.4;
59;1972;32.31;31.13;;;;;9.88;;12.62;
60;1973;35.73;34.46;;;;;18.31;;13.25;
61;1974;43.66;42.39;;;;;23.78;;17.2;
62;1975;45.71;44.64;;;;;24.06;;18.46;
63;1976;49.88;48.11;;;;;25.59;;19.24;
64;1977;49.26;48.02;;;;;26.02;;19.24;
65;1978;49.42;48.18;;;;;28.01;;20.24;
66;1979;54.53;52.99;;;;;34.27;;21.09;
67;1980;65.98;64.43;;;;;43.94;;26.87;
68;1981;77.65;75.24;;;;;51.5;;33.4;
69;1982;79.18;76.51;;;;;54.29;;34.53;
70;1983;81.28;78.72;;;;;51.96;;35.69;
71;1984;85.51;83.74;;;;;55.18;;34.62;
72;1985;87.74;84.97;;;;;57.07;;34.71;95.48
73;1986;70.89;71.09;67.72;;;;39.19;;21.57;79.43
74;1987;75.11;;72.98;;;;40.76;;22.13;83.85
75;1988;74.49;;69.85;72.54;;;38.35;;21.18;82.42
76;1989;78.6;;;75.45;77.27;;41.49;;21.99;85.1
77;1990;81.78;;;78.23;80.04;;49.92;;24.68;89.1
78;1991;87.6;;;82.42;84.24;;52.49;;26.78;93.0
79;1992;91.05;;;83.79;85.61;;52.13;;24.89;94.66
80;1993;89.69;;;82.14;84.2;;58.07;;24.17;93.52
81;1994;94.26;;;86.54;89.27;;60.53;;25.35;98.34
82;1995;94.62;;;86.91;89.63;;60.35;;26.53;98.71
83;1996;;;;90.27;92.59;96.79;65.07;52.84;28.96;102.08
84;1997 1e kwartaal;;;;93.32;95.59;98.69;67.69;54.86;34.59;105.12
85;1997 2e kwartaal;;;;92.77;95.04;98.21;65.7;53.17;29.08;104.56
86;1997 3e kwartaal;;;;100.62;102.89;106.07;69.07;56.04;34.07;112.38
87;1997 4e kwartaal;;;;99.01;101.74;104.46;69.96;56.79;35.47;110.84
88;1997;;;;96.46;98.84;101.88;68.12;55.22;33.31;108.25
89;1998 1e kwartaal;;;;96.84;99.56;102.29;66.63;54.0;32.66;108.54
90;1998 2e kwartaal;;;;96.54;99.26;101.99;65.72;53.17;30.88;108.31
91;1998 3e kwartaal;;;;95.77;98.49;101.22;64.34;51.96;30.42;107.56
92;1998 4e kwartaal;;;;93.44;96.16;98.88;63.31;51.51;33.56;105.46
93;1998;;;;95.64;98.36;101.08;64.99;52.65;31.88;107.46
94;1999 1e kwartaal;;;;94.62;97.34;100.06;64.05;52.04;31.98;106.32
95;1999 2e kwartaal;;;;98.95;101.67;104.39;67.43;54.99;32.83;110.9
96;1999 3e kwartaal;;;;103.43;106.17;108.87;70.85;57.73;36.59;115.13
97;1999 4e kwartaal;;;;104.2;106.88;111.13;75.5;61.71;39.44;117.71
98;1999;;;;100.34;103.05;106.15;69.49;56.65;35.24;112.55
99;2000 1e kwartaal;;;;111.25;113.98;116.7;79.49;65.24;43.74;122.85
100;2000 2e kwartaal;;;;118.08;122.56;125.29;80.89;66.7;42.3;129.96
101;2000 3e kwartaal;;;;118.36;125.02;127.89;86.77;71.62;44.96;130.19
102;2000 4e kwartaal;;;;115.4;121.54;124.66;90.75;74.76;50.15;127.59
103;2000;;;;115.78;120.79;123.65;84.5;69.6;45.3;127.65
104;2001 1e kwartaal;;;;114.78;120.6;123.19;82.05;66.73;46.24;126.64
105;2001 2e kwartaal;;;;121.76;127.32;129.81;83.64;68.06;44.19;133.27
106;2001 3e kwartaal;;;;114.81;120.26;122.98;83.4;67.9;41.05;126.57
107;2001 4e kwartaal;;;;107.14;112.57;115.29;80.12;64.93;40.69;119.63
108;2001;;;;114.6;120.17;122.8;82.3;66.91;43.02;126.51
109;2002 1e kwartaal;;;;111.11;116.53;119.16;77.25;62.06;41.52;122.67
110;2002 2e kwartaal;;;;116.4;121.81;124.44;79.32;63.85;42.79;127.9
111;2002 3e kwartaal;;;;115.98;121.4;124.03;78.96;63.49;42.17;126.9
112;2002 4e kwartaal;;;;113.29;118.7;121.34;79.62;65.6;45.8;126.8
113;2002;;;;114.2;119.62;122.25;78.8;63.76;43.08;126.08
114;2003 1e kwartaal;;;;118.65;124.04;126.7;84.3;67.9;48.9;130.26
115;2003 2e kwartaal;;;;114.45;119.69;122.49;77.0;62.31;39.8;125.82
116;2003 3e kwartaal;;;;116.4;121.56;124.33;77.02;62.12;40.69;127.92
117;2003 4e kwartaal;;;;114.07;119.45;122.03;79.64;63.72;43.37;125.42
118;2003;;;;115.88;121.17;123.88;79.47;64.0;43.17;127.34
119;2004 1e kwartaal;;;;119.44;124.8;127.59;82.1;66.33;43.75;128.31
120;2004 2e kwartaal;;;;126.29;131.74;134.34;86.0;69.81;44.28;134.84
121;2004 3e kwartaal;;;;127.58;132.83;135.66;91.45;73.97;46.31;135.54
122;2004 4e kwartaal;;;;127.54;130.05;134.22;96.05;;51.12;
123;2004;;;;125.22;129.86;132.96;88.93;;46.38;
124;2005 1e kwartaal;;;;125.74;130.55;133.7;93.74;;48.15;
125;2005 2e kwartaal;;;;133.38;138.65;141.2;100.67;;48.27;
126;2005 3e kwartaal;;;;143.2;149.12;150.86;107.72;;49.98;
127;2005 4e kwartaal;;;;138.51;144.24;146.64;107.24;;57.43;
128;2005;;;;135.26;140.7;143.16;102.4;;50.98;
129;2006 1e kwartaal;;;;137.88;144.25;146.94;108.9;;58.8;
130;2006 2e kwartaal;;;;147.17;153.11;155.42;110.88;;55.45;
131;2006 3e kwartaal;;;;145.63;151.61;154.46;111.03;;57.1;
132;2006 4e kwartaal;;;;134.17;139.27;142.27;104.1;;56.01;
133;2006;;;;141.22;147.06;149.77;108.72;;56.83;
134;2007 1e kwartaal;;;;137.74;143.72;147.45;102.81;;55.44;
135;2007 2e kwartaal;;;;149.38;155.78;158.53;107.68;;57.07;
136;2007 3e kwartaal;;;;147.74;154.14;156.38;110.61;;58.39;
137;2007 4e kwartaal;;;;148.74;155.45;158.96;117.91;;65.97;
138;2007;;;;145.93;152.31;155.36;109.8;;59.24;
139;2008 1e kwartaal;;;;152.27;158.38;162.79;122.41;;67.02;
140;2008 2e kwartaal;;;;161.71;167.8;171.82;138.13;;66.75;
141;2008 3e kwartaal;;;;163.1;167.53;173.69;139.69;;71.38;
142;2008 4e kwartaal;;;;135.78;140.55;149.5;114.43;;59.51;
143;2008;;;;153.67;158.44;164.44;128.65;;67.54;
144;2009 1e kwartaal;;;;125.52;131.07;133.37;95.92;;56.51;
145;2009 2e kwartaal;;;;135.29;140.55;143.77;98.22;;53.82;
146;2009 3e kwartaal;;;;137.98;143.36;146.48;101.13;;58.38;
147;2009 4e kwartaal;;;;138.38;143.66;146.53;103.31;;62.34;
148;2009;;;;134.57;139.95;142.86;99.9;;57.88;
