ID;SBI1993;Perioden;TotaalCaoSectoren_1;ParticuliereBedrijven_2;Overheid_3;GesubsidieerdeSector_4
41;5;1993 maart;99.7;99.7;99.3;100.0
42;5;1993 april;99.6;99.7;99.3;100.0
43;5;1993 mei;99.6;99.7;99.3;100.0
44;5;1993 juni;99.6;99.7;99.3;100.0
45;5;1993 juli;99.6;99.7;99.3;100.0
46;5;1993 augustus;99.6;99.7;99.2;100.0
47;5;1993 september;99.6;99.7;99.2;100.0
48;5;1993 oktober;99.6;99.7;99.2;100.0
49;5;1993 november;99.6;99.7;99.2;100.0
50;5;1993 december;99.6;99.7;99.2;100.0
51;5;1993 jaargemiddelde;99.6;99.7;99.3;100.0
52;5;1994 januari;99.6;99.7;99.2;99.9
53;5;1994 februari;99.6;99.7;99.2;99.9
54;5;1994 maart;99.6;99.7;99.2;99.9
55;5;1994 april;99.7;99.7;99.2;99.9
56;5;1994 mei;99.7;99.7;99.2;99.9
57;5;1994 juni;99.7;99.7;99.2;99.9
58;5;1994 juli;99.7;99.7;99.2;100.1
59;5;1994 augustus;99.7;99.7;98.9;100.1
60;5;1994 september;99.7;99.7;98.9;100.4
61;5;1994 oktober;99.7;99.7;98.9;100.4
62;5;1994 november;99.7;99.7;98.9;100.4
63;5;1994 december;99.7;99.7;98.9;100.4
64;5;1994 jaargemiddelde;99.7;99.7;99.1;100.1
65;5;1995 januari;99.8;99.8;98.9;100.5
66;5;1995 februari;99.7;99.8;98.9;100.5
67;5;1995 maart;99.7;99.8;98.9;100.5
68;5;1995 april;99.7;99.8;98.9;100.5
69;5;1995 mei;99.7;99.8;98.9;100.5
70;5;1995 juni;99.7;99.8;98.9;100.5
71;5;1995 juli;99.7;99.7;98.9;100.5
72;5;1995 augustus;99.7;99.7;98.9;100.5
73;5;1995 september;99.7;99.7;98.9;100.5
74;5;1995 oktober;99.7;99.7;98.9;100.4
75;5;1995 november;99.7;99.7;98.9;100.4
76;5;1995 december;99.7;99.7;98.9;100.4
77;5;1995 jaargemiddelde;99.7;99.8;98.9;100.5
78;5;1996 januari;99.6;99.7;98.9;100.3
79;5;1996 februari;99.6;99.7;98.9;100.3
80;5;1996 maart;99.6;99.7;98.9;100.3
81;5;1996 april;99.6;99.6;98.9;100.3
82;5;1996 mei;99.6;99.6;98.9;100.3
83;5;1996 juni;99.6;99.6;98.9;100.3
84;5;1996 juli;99.5;99.6;98.9;100.0
85;5;1996 augustus;99.5;99.6;98.9;100.0
86;5;1996 september;99.5;99.6;98.9;100.0
87;5;1996 oktober;99.4;99.4;98.9;100.0
88;5;1996 november;99.4;99.4;98.9;100.0
89;5;1996 december;99.4;99.4;98.9;100.0
90;5;1996 jaargemiddelde;99.5;99.6;98.9;100.2
91;5;1997 januari;98.9;99.2;97.3;99.0
92;5;1997 februari;98.9;99.2;97.3;99.0
93;5;1997 maart;98.9;99.2;97.3;99.0
94;5;1997 april;98.9;99.2;97.3;99.0
95;5;1997 mei;98.9;99.2;97.3;99.0
96;5;1997 juni;98.9;99.2;97.3;99.0
97;5;1997 juli;98.6;99.1;97.3;97.0
98;5;1997 augustus;98.6;99.1;97.3;97.0
99;5;1997 september;98.6;99.1;97.3;97.0
100;5;1997 oktober;98.5;99.1;97.2;95.9
101;5;1997 november;98.5;99.1;97.2;95.9
102;5;1997 december;98.5;99.1;97.2;95.9
103;5;1997 jaargemiddelde;98.7;99.2;97.3;97.7
104;5;1998 januari;98.4;99.0;97.2;95.9
105;5;1998 februari;98.4;99.0;97.2;95.9
106;5;1998 maart;98.4;99.0;97.2;95.9
107;5;1998 april;98.4;99.0;97.1;95.9
108;5;1998 mei;98.4;99.0;97.1;95.9
109;5;1998 juni;98.4;99.0;97.1;95.9
110;5;1998 juli;98.3;99.0;97.1;95.9
111;5;1998 augustus;98.2;99.0;96.4;95.9
112;5;1998 september;98.2;99.0;96.4;95.9
113;5;1998 oktober;98.2;99.0;96.4;95.9
114;5;1998 november;98.2;99.0;96.4;95.9
115;5;1998 december;98.2;99.0;96.4;95.9
116;5;1998 jaargemiddelde;98.3;99.0;96.8;95.9
117;5;1999 januari;98.0;98.8;96.2;95.3
118;5;1999 februari;98.0;98.8;96.2;95.3
119;5;1999 maart;98.0;98.8;96.2;95.3
120;5;1999 april;98.0;98.8;96.2;95.3
121;5;1999 mei;98.0;98.8;96.2;95.3
122;5;1999 juni;98.0;98.8;96.2;95.3
123;5;1999 juli;98.0;98.8;96.2;95.3
124;5;1999 augustus;98.0;98.8;96.2;95.1
125;5;1999 september;98.0;98.8;96.2;95.1
126;5;1999 oktober;98.0;98.8;96.2;95.1
127;5;1999 november;98.0;98.8;96.2;95.1
128;5;1999 december;98.0;98.8;96.2;95.1
129;5;1999 jaargemiddelde;98.0;98.8;96.2;95.2
130;5;2000 januari;98.0;98.8;96.2;94.8
131;5;2000 februari;98.0;98.8;96.2;94.8
132;5;2000 april;98.0;98.8;96.2;94.8
133;5;2000 maart;98.0;98.8;96.2;94.8
134;5;2000 mei;98.0;98.8;96.2;94.8
135;5;2000 juni;98.0;98.8;96.2;94.8
136;5;2000 juli;98.0;98.8;96.2;94.8
137;5;2000 augustus;98.0;98.8;96.2;94.8
138;5;2000 september;98.0;98.8;96.2;94.8
139;5;2000 oktober;98.0;98.8;96.2;94.8
140;5;2000 november;98.0;98.8;96.2;94.8
141;5;2000 december;98.0;98.8;96.2;94.8
